# DCSoakDump v1 | 2026-05-15T03:10:34 | mode=SUMMARY | seed=0 | n_cells=<unknown>
tick	day	phase	phase_kind	field	min	max	mean	std
1	20	2.1365	weather	cell.temp	0.000000	0.950462	0.401034	0.273103
1	20	2.1365	weather	cell.temp_baseline	0.000000	0.962319	0.397713	0.300564
1	20	2.1365	weather	cell.temp_30d	0.000000	0.988368	0.409927	0.277271
1	20	2.1365	weather	cell.temp_365d	0.000000	0.988368	0.409927	0.277271
1	20	2.1365	weather	cell.temp_anomaly	0.000000	0.000000	0.000000	0.000000
1	20	2.1365	weather	cell.moisture	0.187627	1.000000	0.585588	0.200223
1	20	2.1365	weather	cell.snow_cover	0.000000	0.850000	0.017417	0.109010
1	20	2.1365	weather	cell.sea_ice_frac	0.000000	0.580215	0.021108	0.076830
1	20	2.1365	weather	cell.weather_intensity	0.000000	1.000000	0.083323	0.216340
1	20	2.1365	weather	cell.weather_cloud	0.000000	0.919096	0.323767	0.174156
1	20	2.1365	weather	cell.weather_precip	0.000000	1.000000	0.230694	0.177826
1	20	2.1365	weather	cell.elevation	0.000000	0.910126	0.403302	0.230933
1	20	2.1365	weather	cell.base_moisture	0.197823	1.000000	0.602835	0.192195
1	20	2.1365	weather	cell.ocean_current_x	-1.000000	0.868328	0.013758	0.265456
1	20	2.1365	weather	cell.ocean_current_y	-1.000000	0.734991	0.004608	0.132000
1	20	2.1365	weather	cell.wind_x	-1.000000	0.999996	-0.557468	0.469981
1	20	2.1365	weather	cell.wind_y	-0.999522	1.000000	0.486155	0.481664
1	20	2.1365	weather	cell.slp	-0.463589	1.058657	0.030638	0.356224
1	20	2.1365	weather	cell.wind_speed	0.167134	0.650000	0.555795	0.139134
1	20	2.1365	weather	cell.upwelling_strength	-0.889996	0.000000	-0.292849	0.270721
1	20	2.1365	weather	cell.pos_x	0.000000	103.057022	51.528511	29.998958
1	20	2.1365	weather	cell.pos_y	0.000000	58.500000	29.250000	17.315095
1	20	2.1365	weather	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
1	20	2.1365	weather	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
1	20	2.1365	weather	cell.terrain	0	25	4.855833	6.420090
1	20	2.1365	weather	cell.landform	0	10	2.799583	2.641070
1	20	2.1365	weather	cell.vegetation	0	23	3.761250	6.390103
1	20	2.1365	weather	cell.base_terrain	0	25	4.855833	6.420090
1	20	2.1365	weather	cell.base_landform	0	12	2.816250	2.682968
1	20	2.1365	weather	cell.base_vegetation	0	23	3.797917	6.437293
1	20	2.1365	weather	cell.cover	0	5	0.424167	1.202462
1	20	2.1365	weather	cell.weather_type	0	7	0.528333	1.463739
1	20	2.1365	weather	cell.is_water	0	1	0.769583	0.421100
1	20	2.1365	weather	cell.climate_dirty_mask	0	0	0.000000	0.000000
1	20	2.1365	weather	cell.weather_dirty_mask	0	0	0.000000	0.000000
1	20	2.1365	weather	cell.weather_vapor	0.312745	1.000000	0.686317	0.122845
1	20	2.1365	weather	cell.weather_convergence	0.000000	0.901404	0.318855	0.122910
1	20	2.1365	weather	cell.weather_instability	0.000000	1.000000	0.562093	0.301606
1	20	2.1365	weather	cell.weather_field_init	1	1	1.000000	0.000000
1	20	2.1365	weather	cell.air_mass_temp_anomaly	-0.051495	0.105000	0.002000	0.026712
1	20	2.1365	weather	cell.has_river	0	1	0.064167	0.245050
1	20	2.1365	weather	cell.ema_initialized	1	1	1.000000	0.000000
1	20	2.1365	weather	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
1	20	2.1365	weather	world.sea_ice_fraction_buffer_hash	1255841012	1255841012	1255841012.000000	0
1	21	2.3676	climate	cell.temp	0.000000	0.950462	0.405303	0.270080
1	21	2.3676	climate	cell.temp_baseline	0.000000	0.962319	0.397713	0.300564
1	21	2.3676	climate	cell.temp_30d	0.000000	0.988368	0.409927	0.277271
1	21	2.3676	climate	cell.temp_365d	0.000000	0.988368	0.409927	0.277271
1	21	2.3676	climate	cell.temp_anomaly	0.000000	0.000000	0.000000	0.000000
1	21	2.3676	climate	cell.moisture	0.175269	1.000000	0.568504	0.187191
1	21	2.3676	climate	cell.snow_cover	0.000000	0.850000	0.017417	0.109010
1	21	2.3676	climate	cell.sea_ice_frac	0.000000	0.592084	0.021911	0.079506
