# DCSoakDump v1 | 2026-05-15T09:31:52 | mode=SUMMARY | seed=0 | n_cells=<unknown>
tick	day	phase	phase_kind	field	min	max	mean	std
1	19	1.9042	climate	cell.temp	0.000000	1.000000	0.400774	0.246526
1	19	1.9042	climate	cell.temp_baseline	0.000000	0.997739	0.394450	0.278346
1	19	1.9042	climate	cell.temp_30d	0.000000	1.000000	0.400624	0.262249
1	19	1.9042	climate	cell.temp_365d	0.000000	1.000000	0.400624	0.262249
1	19	1.9042	climate	cell.temp_anomaly	-0.000000	0.000000	0.000000	0.000000
1	19	1.9042	climate	cell.moisture	0.196187	1.000000	0.589597	0.186997
1	19	1.9042	climate	cell.snow_cover	0.000000	0.850000	0.008349	0.075989
1	19	1.9042	climate	cell.sea_ice_frac	0.000000	0.447677	0.019242	0.065573
1	19	1.9042	climate	cell.weather_intensity	0.000000	1.000000	0.080177	0.213226
1	19	1.9042	climate	cell.weather_cloud	0.000000	0.877363	0.294410	0.168349
1	19	1.9042	climate	cell.weather_precip	0.000000	1.000000	0.209998	0.183873
1	19	1.9042	climate	cell.elevation	0.000000	0.910698	0.397795	0.253328
1	19	1.9042	climate	cell.base_moisture	0.235785	1.000000	0.615213	0.186074
1	19	1.9042	climate	cell.ocean_current_x	-1.000000	0.810487	0.018441	0.256459
1	19	1.9042	climate	cell.ocean_current_y	-0.782812	1.000000	-0.002508	0.132248
1	19	1.9042	climate	cell.wind_x	-1.000000	0.999914	-0.577432	0.448020
1	19	1.9042	climate	cell.wind_y	-0.999981	0.999981	0.456065	0.507795
1	19	1.9042	climate	cell.slp	-0.430674	1.058657	-0.017288	0.340443
1	19	1.9042	climate	cell.wind_speed	0.167184	0.650000	0.546507	0.137064
1	19	1.9042	climate	cell.upwelling_strength	-0.889991	0.000000	-0.260059	0.272097
1	19	1.9042	climate	cell.pos_x	0.000000	103.057022	51.528511	29.998958
1	19	1.9042	climate	cell.pos_y	0.000000	58.500000	29.250000	17.315095
1	19	1.9042	climate	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
1	19	1.9042	climate	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
1	19	1.9042	climate	cell.terrain	0	25	5.032083	6.160307
1	19	1.9042	climate	cell.landform	0	10	3.022917	2.727769
1	19	1.9042	climate	cell.vegetation	0	23	5.085000	6.894402
1	19	1.9042	climate	cell.base_terrain	0	25	5.032083	6.160307
1	19	1.9042	climate	cell.base_landform	0	12	3.039583	2.767011
1	19	1.9042	climate	cell.base_vegetation	0	23	5.048750	6.856849
1	19	1.9042	climate	cell.cover	0	5	0.466667	1.342779
1	19	1.9042	climate	cell.weather_type	0	7	0.466667	1.391542
1	19	1.9042	climate	cell.is_water	0	1	0.680833	0.466154
1	19	1.9042	climate	cell.climate_dirty_mask	0	0	0.000000	0.000000
1	19	1.9042	climate	cell.weather_dirty_mask	0	0	0.000000	0.000000
1	19	1.9042	climate	cell.weather_vapor	0.317241	1.000000	0.652221	0.145931
1	19	1.9042	climate	cell.weather_convergence	0.000000	0.855944	0.319821	0.115185
1	19	1.9042	climate	cell.weather_instability	0.000000	1.000000	0.529923	0.311786
1	19	1.9042	climate	cell.weather_field_init	1	1	1.000000	0.000000
1	19	1.9042	climate	cell.air_mass_temp_anomaly	-0.052898	0.102894	0.001441	0.026517
1	19	1.9042	climate	cell.has_river	0	1	0.059167	0.235936
1	19	1.9042	climate	cell.ema_initialized	1	1	1.000000	0.000000
1	19	1.9042	climate	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
1	19	1.9042	climate	world.sea_ice_fraction_buffer_hash	936586251	936586251	936586251.000000	0
2	20	1.9812	climate	cell.temp	0.000000	1.000000	0.400555	0.246441
2	20	1.9812	climate	cell.temp_baseline	0.000000	0.997739	0.394450	0.278346
2	20	1.9812	climate	cell.temp_30d	0.000000	1.000000	0.400624	0.262249
2	20	1.9812	climate	cell.temp_365d	0.000000	1.000000	0.400624	0.262249
2	20	1.9812	climate	cell.temp_anomaly	-0.000000	0.000000	0.000000	0.000000
2	20	1.9812	climate	cell.moisture	0.191720	1.000000	0.584951	0.184357
2	20	1.9812	climate	cell.snow_cover	0.000000	0.850000	0.008349	0.075989
2	20	1.9812	climate	cell.sea_ice_frac	0.000000	0.457713	0.020032	0.068105
2	20	1.9812	climate	cell.weather_intensity	0.000000	1.000000	0.080177	0.213226
2	20	1.9812	climate	cell.weather_cloud	0.000000	0.877363	0.294410	0.168349
2	20	1.9812	climate	cell.weather_precip	0.000000	1.000000	0.209998	0.183873
2	20	1.9812	climate	cell.elevation	0.000000	0.910698	0.397795	0.253328
2	20	1.9812	climate	cell.base_moisture	0.235785	1.000000	0.615213	0.186074
2	20	1.9812	climate	cell.ocean_current_x	-1.000000	0.810487	0.018441	0.256459
2	20	1.9812	climate	cell.ocean_current_y	-0.782812	1.000000	-0.002508	0.132248
2	20	1.9812	climate	cell.wind_x	-1.000000	0.999914	-0.577432	0.448020
2	20	1.9812	climate	cell.wind_y	-0.999981	0.999981	0.456065	0.507795
2	20	1.9812	climate	cell.slp	-0.430674	1.058657	-0.017288	0.340443
2	20	1.9812	climate	cell.wind_speed	0.167184	0.650000	0.546507	0.137064
2	20	1.9812	climate	cell.upwelling_strength	-0.889991	0.000000	-0.260059	0.272097
2	20	1.9812	climate	cell.pos_x	0.000000	103.057022	51.528511	29.998958
2	20	1.9812	climate	cell.pos_y	0.000000	58.500000	29.250000	17.315095
2	20	1.9812	climate	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
2	20	1.9812	climate	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
2	20	1.9812	climate	cell.terrain	0	25	5.032083	6.160307
2	20	1.9812	climate	cell.landform	0	10	3.022917	2.727769
2	20	1.9812	climate	cell.vegetation	0	23	5.085000	6.894402
2	20	1.9812	climate	cell.base_terrain	0	25	5.032083	6.160307
2	20	1.9812	climate	cell.base_landform	0	12	3.039583	2.767011
2	20	1.9812	climate	cell.base_vegetation	0	23	5.048750	6.856849
2	20	1.9812	climate	cell.cover	0	5	0.466667	1.342779
2	20	1.9812	climate	cell.weather_type	0	7	0.466667	1.391542
2	20	1.9812	climate	cell.is_water	0	1	0.680833	0.466154
2	20	1.9812	climate	cell.climate_dirty_mask	0	0	0.000000	0.000000
2	20	1.9812	climate	cell.weather_dirty_mask	0	0	0.000000	0.000000
2	20	1.9812	climate	cell.weather_vapor	0.317241	1.000000	0.652221	0.145931
2	20	1.9812	climate	cell.weather_convergence	0.000000	0.855944	0.319821	0.115185
2	20	1.9812	climate	cell.weather_instability	0.000000	1.000000	0.529923	0.311786
2	20	1.9812	climate	cell.weather_field_init	1	1	1.000000	0.000000
2	20	1.9812	climate	cell.air_mass_temp_anomaly	-0.052898	0.102894	0.001441	0.026517
2	20	1.9812	climate	cell.has_river	0	1	0.059167	0.235936
2	20	1.9812	climate	cell.ema_initialized	1	1	1.000000	0.000000
