# DCSoakDump v1 | 2026-05-15T03:20:59 | mode=SUMMARY | seed=0 | n_cells=<unknown>
tick	day	phase	phase_kind	field	min	max	mean	std
1	28	2.8670	climate	cell.temp	0.000000	0.999876	0.397703	0.256724
1	28	2.8670	climate	cell.temp_baseline	0.000000	0.996061	0.394142	0.287956
1	28	2.8670	climate	cell.temp_30d	0.000000	1.000000	0.403574	0.269683
1	28	2.8670	climate	cell.temp_365d	0.000000	1.000000	0.403574	0.269683
1	28	2.8670	climate	cell.temp_anomaly	-0.000000	0.000000	-0.000000	0.000000
1	28	2.8670	climate	cell.moisture	0.183276	1.000000	0.571292	0.173833
1	28	2.8670	climate	cell.snow_cover	0.000000	0.850000	0.019224	0.115024
1	28	2.8670	climate	cell.sea_ice_frac	0.000000	0.717357	0.028726	0.099396
1	28	2.8670	climate	cell.weather_intensity	0.000000	1.000000	0.075106	0.195027
1	28	2.8670	climate	cell.weather_cloud	0.000000	0.882247	0.323180	0.160920
1	28	2.8670	climate	cell.weather_precip	0.000000	1.000000	0.222774	0.168621
1	28	2.8670	climate	cell.elevation	0.000000	0.911686	0.402331	0.242077
1	28	2.8670	climate	cell.base_moisture	0.210707	1.000000	0.634439	0.187029
1	28	2.8670	climate	cell.ocean_current_x	-0.872092	1.000000	0.017521	0.266886
1	28	2.8670	climate	cell.ocean_current_y	-1.000000	0.543492	0.003498	0.109875
1	28	2.8670	climate	cell.wind_x	-1.000000	0.999986	-0.589347	0.422608
1	28	2.8670	climate	cell.wind_y	-1.000000	0.999997	0.476568	0.496947
1	28	2.8670	climate	cell.slp	-0.395492	1.058657	0.029686	0.378602
1	28	2.8670	climate	cell.wind_speed	0.167144	0.650000	0.550067	0.132901
1	28	2.8670	climate	cell.upwelling_strength	-0.889997	0.000000	-0.260642	0.276142
1	28	2.8670	climate	cell.pos_x	0.000000	103.057022	51.528511	29.998958
1	28	2.8670	climate	cell.pos_y	0.000000	58.500000	29.250000	17.315095
1	28	2.8670	climate	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
1	28	2.8670	climate	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
1	28	2.8670	climate	cell.terrain	0	25	5.451667	6.510709
1	28	2.8670	climate	cell.landform	0	10	3.083333	2.716718
1	28	2.8670	climate	cell.vegetation	0	23	5.528750	7.304337
1	28	2.8670	climate	cell.base_terrain	0	25	5.451667	6.510709
1	28	2.8670	climate	cell.base_landform	0	12	3.100000	2.755752
1	28	2.8670	climate	cell.base_vegetation	0	23	5.510833	7.286509
1	28	2.8670	climate	cell.cover	0	5	0.349167	1.138237
1	28	2.8670	climate	cell.weather_type	0	6	0.527917	1.434998
1	28	2.8670	climate	cell.is_water	0	1	0.653750	0.475774
1	28	2.8670	climate	cell.climate_dirty_mask	0	0	0.000000	0.000000
1	28	2.8670	climate	cell.weather_dirty_mask	0	0	0.000000	0.000000
1	28	2.8670	climate	cell.weather_vapor	0.297302	1.000000	0.674232	0.125151
1	28	2.8670	climate	cell.weather_convergence	0.000000	0.805497	0.318196	0.113019
1	28	2.8670	climate	cell.weather_instability	0.000000	1.000000	0.550433	0.286252
1	28	2.8670	climate	cell.weather_field_init	1	1	1.000000	0.000000
1	28	2.8670	climate	cell.air_mass_temp_anomaly	-0.050924	0.093675	0.002453	0.025897
1	28	2.8670	climate	cell.has_river	0	1	0.070000	0.255147
1	28	2.8670	climate	cell.ema_initialized	1	1	1.000000	0.000000
1	28	2.8670	climate	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
1	28	2.8670	climate	world.sea_ice_fraction_buffer_hash	1129082966	1129082966	1129082966.000000	0
2	28	2.9337	weather	cell.temp	0.000000	0.999876	0.394586	0.258337
2	28	2.9337	weather	cell.temp_baseline	0.000000	0.996061	0.394142	0.287956
2	28	2.9337	weather	cell.temp_30d	0.000000	1.000000	0.403574	0.269683
2	28	2.9337	weather	cell.temp_365d	0.000000	1.000000	0.403574	0.269683
2	28	2.9337	weather	cell.temp_anomaly	-0.000000	0.000000	-0.000000	0.000000
