row_idx,tick_idx,timestamp_ms,was_skipped_day,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms,sus_sim_p95_300,sus_sim_max_300,over_1ms_count_300,j_season_refresh_ms,j_season_refresh_slices,j_season_refresh_skip,j_enum_atlas_upload_ms,j_enum_atlas_upload_slices,j_enum_atlas_upload_skip,j_ocean_currents_ms,j_ocean_currents_slices,j_ocean_currents_skip,j_refresh_climate_daily_ms,j_refresh_climate_daily_slices,j_refresh_climate_daily_skip,j_weather_refresh_ms,j_weather_refresh_slices,j_weather_refresh_skip,j_dynamic_visual_atlas_upload_ms,j_dynamic_visual_atlas_upload_slices,j_dynamic_visual_atlas_upload_skip,bd_climate_pass_a_ms,bd_climate_pass_b_ms,bd_climate_ocean_ms,bd_climate_sea_ice_ms,bd_climate_ice_bake_ms,bd_climate_transp_ms,bd_climate_total_ms,bd_climate_cells,bd_climate_partial,bd_climate_current_pass,bd_climate_progress_ratio,bd_climate_dirty_ratio,bd_climate_visited_ratio,bd_climate_pass_b_path,bd_weather_weather_tick_ms,bd_weather_advance_ms,bd_weather_spawn_ms,bd_weather_distribute_ms,bd_weather_cyclone_ms,bd_weather_field_solve_ms,bd_weather_field_solve_total_ms,bd_weather_field_summary_ms,bd_weather_field_commit_total_ms,bd_weather_field_commit_setup_ms,bd_weather_field_commit_loop_ms,bd_weather_field_commit_dc_ms,bd_weather_field_commit_convergence_ms,bd_weather_weather_field_bake_ms,bd_weather_transp_ms,bd_weather_albedo_ms,bd_weather_veg_dyn_ms,bd_weather_cover_rebake_ms,bd_weather_veg_rebake_ms,bd_weather_feedback_ms,bd_weather_total_ms,bd_weather_fronts,bd_weather_albedo_ran,bd_weather_veg_dyn_ran,bd_weather_feedback_ran,bd_weather_begin_stage_a_ms,bd_weather_run_stage_a_slice_ms,bd_weather_stage_a_direct_ms,bd_weather_commit_stage_a_ms,bd_weather_stage_b_outer_ms,bd_weather_sync_fronts_ms,bd_weather_soak_dump_ms,bd_weather_prelude_ms,bd_weather_job_total_ms,bd_weather_job_unattributed_ms,bd_enum_atlas_axis,bd_enum_atlas_path,bd_enum_atlas_elapsed_ms,bd_enum_atlas_dirty_cells,bd_enum_atlas_dirty_pixels,bd_enum_atlas_buffer_patch_ms,bd_enum_atlas_image_ms,bd_enum_atlas_upload_ms,bd_enum_atlas_cache_valid,bd_enum_atlas_biome_pending,bd_enum_atlas_cover_pending,bd_enum_atlas_vegetation_pending,bd_sea_ice_atlas_done,bd_sea_ice_atlas_phase,bd_sea_ice_atlas_stage_name,bd_sea_ice_atlas_elapsed_ms,bd_sea_ice_atlas_reason
0,67,20891,true,55,0,0.24,0.005,0,,,,,0,64.974,295.037,0,,,,,,,,,,,,,,,,,,,0.22,0.689,0.845,4.826,0,0.05,7,2400,false,done,1,1,1,full,0.4807,0.2277,0.228,0.025,0,0.2277,0.2277,0.228,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.233,12,false,false,false,0,0,0,0.372,0.02,0,0.003,0.008,0.426,0.023,cover,skipped_no_dirty,1.836,0,0,1.796,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
1,68,21007,true,55,63,63.429,0.016,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,49.369,64.974,295.037,0,,,,,,,,,,,,,,,,,,,0.21,1.063,0.842,4.19,0,0.047,7,2400,false,done,1,1,1,full,0.4807,0.2277,0.228,0.025,0,0.2277,0.2277,0.228,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.233,12,false,false,false,0,0,0,0.372,0.02,0,0.003,0.008,0.426,0.023,cover,skipped_no_dirty,1.836,0,0,1.796,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
2,69,21011,true,55,0,0.193,0.004,0,,,,,0,64.974,295.037,0,,,,,,,,,,,,,,,,,,,0.21,1.063,0.842,4.19,0,0.047,7,2400,false,done,1,1,1,full,0.4807,0.2277,0.228,0.025,0,0.2277,0.2277,0.228,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.233,12,false,false,false,0,0,0,0.372,0.02,0,0.003,0.008,0.426,0.023,cover,skipped_no_dirty,1.836,0,0,1.796,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
3,70,21083,true,56,39,39.192,0.008,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,32.668,64.974,295.037,0,,,,,,,,,,,,,,,,,,,0.23,0.829,0.819,4.068,0,0.047,6,2400,false,done,1,1,1,full,0.4807,0.2277,0.228,0.025,0,0.2277,0.2277,0.228,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.233,12,false,false,false,0,0,0,0.372,0.02,0,0.003,0.008,0.426,0.023,cover,skipped_no_dirty,1.836,0,0,1.796,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
4,71,21090,true,56,0,0.496,0.004,0,season_refresh,stage_0_moisture,cursor_0,stage,0.275,64.974,295.037,0,,,,,,,,,,,,,,,,,,,0.23,0.829,0.819,4.068,0,0.047,6,2400,false,done,1,1,1,full,0.4807,0.2277,0.228,0.025,0,0.2277,0.2277,0.228,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.233,12,false,false,false,0,0,0,0.372,0.02,0,0.003,0.008,0.426,0.023,cover,skipped_no_dirty,1.836,0,0,1.796,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
5,72,21181,false,56,53,51.602,1.281,0.207,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,43.001,64.974,295.037,0,0.152,1,,0,0,policy_gated,0,0,policy_gated,6.945,6,,1.197,3,,43.013,1,,0.218,0.972,0.827,4.664,0,0.047,6,2400,false,done,1,1,1,full,0.4117,0.1461,0.241,0.0246,0,0.1461,0.1461,0.241,0.003,0.001,0,0.002,0,0,0,0,0,0,0,0,1.121,12,false,false,false,0,0,0,0.36,0.02,0,0.004,0.007,0.419,0.028,cover,skipped_no_dirty,1.836,0,0,1.796,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
6,73,21195,true,56,6,6.828,0.008,0,season_refresh,stage_2_redecide,cursor_0,micro,6.586,64.974,295.037,0,,,,,,,,,,,,,,,,,,,0.218,0.972,0.827,4.664,0,0.047,6,2400,false,done,1,1,1,full,0.4117,0.1461,0.241,0.0246,0,0.1461,0.1461,0.241,0.003,0.001,0,0.002,0,0,0,0,0,0,0,0,1.121,12,false,false,false,0,0,0,0.36,0.02,0,0.004,0.007,0.419,0.028,cover,skipped_no_dirty,1.836,0,0,1.796,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
7,74,21303,true,56,59,58.781,0.018,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,48.956,64.974,295.037,0,,,,,,,,,,,,,,,,,,,0.227,0.684,0.78,4.597,0,0.046,7,2400,false,done,1,1,1,full,0.4117,0.1461,0.241,0.0246,0,0.1461,0.1461,0.241,0.003,0.001,0,0.002,0,0,0,0,0,0,0,0,1.121,12,false,false,false,0,0,0,0.36,0.02,0,0.004,0.007,0.419,0.028,cover,skipped_no_dirty,1.174,0,0,1.142,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
8,75,21320,true,56,14,14.125,0.023,0,season_refresh,stage_4_veg_feedback,cursor_0,micro,13.902,64.974,295.037,0,,,,,,,,,,,,,,,,,,,0.227,0.684,0.78,4.597,0,0.046,7,2400,false,done,1,1,1,full,0.4117,0.1461,0.241,0.0246,0,0.1461,0.1461,0.241,0.003,0.001,0,0.002,0,0,0,0,0,0,0,0,1.121,12,false,false,false,0,0,0,0.36,0.02,0,0.004,0.007,0.419,0.028,cover,skipped_no_dirty,1.174,0,0,1.142,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
9,76,21377,true,56,41,40.851,0.013,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,32.731,64.974,295.037,0,,,,,,,,,,,,,,,,,,,0.241,0.654,0.803,4.083,0,0.047,6,2400,false,done,1,1,1,full,0.4117,0.1461,0.241,0.0246,0,0.1461,0.1461,0.241,0.003,0.001,0,0.002,0,0,0,0,0,0,0,0,1.121,12,false,false,false,0,0,0,0.36,0.02,0,0.004,0.007,0.419,0.028,cover,skipped_no_dirty,1.174,0,0,1.142,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
10,77,21385,true,56,2,2.304,0.005,0,season_refresh,stage_6_mangrove,cursor_0,stage,2.07,64.974,295.037,0,,,,,,,,,,,,,,,,,,,0.241,0.654,0.803,4.083,0,0.047,6,2400,false,done,1,1,1,full,0.4117,0.1461,0.241,0.0246,0,0.1461,0.1461,0.241,0.003,0.001,0,0.002,0,0,0,0,0,0,0,0,1.121,12,false,false,false,0,0,0,0.36,0.02,0,0.004,0.007,0.419,0.028,cover,skipped_no_dirty,1.174,0,0,1.142,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
11,78,21497,true,56,53,52.73,0.01,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,43.108,64.974,295.037,0,,,,,,,,,,,,,,,,,,,0.257,0.681,0.832,4.379,0,0.047,7,2400,false,done,1,1,1,full,0.4117,0.1461,0.241,0.0246,0,0.1461,0.1461,0.241,0.003,0.001,0,0.002,0,0,0,0,0,0,0,0,1.121,12,false,false,false,0,0,0,0.36,0.02,0,0.004,0.007,0.419,0.028,cover,skipped_no_dirty,1.174,0,0,1.142,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
12,79,21502,true,56,2,1.793,0.006,0,season_refresh,stage_8_swamp,cursor_0,stage,1.598,64.974,295.037,0,,,,,,,,,,,,,,,,,,,0.257,0.681,0.832,4.379,0,0.047,7,2400,false,done,1,1,1,full,0.4117,0.1461,0.241,0.0246,0,0.1461,0.1461,0.241,0.003,0.001,0,0.002,0,0,0,0,0,0,0,0,1.121,12,false,false,false,0,0,0,0.36,0.02,0,0.004,0.007,0.419,0.028,cover,skipped_no_dirty,1.174,0,0,1.142,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
13,80,21607,false,56,63,61.181,1.457,0.21,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,48.426,63.067,295.037,0,4.682,1,,0,0,policy_gated,0,0,policy_gated,6.211,6,,1.564,3,,48.438,1,,0.191,0.699,0.779,4.284,0,0.051,6,2400,false,done,1,1,1,full,0.3937,0.145,0.218,0.0307,0,0.145,0.145,0.218,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.485,12,false,false,false,0,0,0,0.652,0.02,0,0.003,0.007,0.715,0.033,cover,skipped_no_dirty,1.174,0,0,1.142,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
14,81,21613,true,56,0,0.234,0.004,0,season_refresh,stage_10_atlas_queue,cursor_0,stage,0.026,63.067,295.037,0,,,,,,,,,,,,,,,,,,,0.191,0.699,0.779,4.284,0,0.051,6,2400,false,done,1,1,1,full,0.3937,0.145,0.218,0.0307,0,0.145,0.145,0.218,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.485,12,false,false,false,0,0,0,0.652,0.02,0,0.003,0.007,0.715,0.033,cover,skipped_no_dirty,1.174,0,0,1.142,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
15,82,21697,true,56,53,52.559,0.01,0.001,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,32.059,63.067,295.037,0,,,,,,,,,,,,,,,,,,,0.22,0.789,0.861,4.689,0,0.047,7,2400,false,done,1,1,1,full,0.3937,0.145,0.218,0.0307,0,0.145,0.145,0.218,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.485,12,false,false,false,0,0,0,0.652,0.02,0,0.003,0.007,0.715,0.033,biome,cached_full_update,13.238,723,166506,11.707,0.002,1.504,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
16,83,21700,true,56,0,0.198,0.004,0,,,,,0,63.067,295.037,0,,,,,,,,,,,,,,,,,,,0.22,0.789,0.861,4.689,0,0.047,7,2400,false,done,1,1,1,full,0.3937,0.145,0.218,0.0307,0,0.145,0.145,0.218,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.485,12,false,false,false,0,0,0,0.652,0.02,0,0.003,0.007,0.715,0.033,biome,cached_full_update,13.238,723,166506,11.707,0.002,1.504,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
17,84,21779,true,56,51,50.747,0.014,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,43.509,63.067,295.037,0,,,,,,,,,,,,,,,,,,,0.258,0.953,0.779,4.677,0,0.048,7,2400,false,done,1,1,1,full,0.3937,0.145,0.218,0.0307,0,0.145,0.145,0.218,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.485,12,false,false,false,0,0,0,0.652,0.02,0,0.003,0.007,0.715,0.033,biome,cached_full_update,13.238,723,166506,11.707,0.002,1.504,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
18,85,21785,true,56,0,0.197,0.004,0,,,,,0,63.067,295.037,0,,,,,,,,,,,,,,,,,,,0.258,0.953,0.779,4.677,0,0.048,7,2400,false,done,1,1,1,full,0.3937,0.145,0.218,0.0307,0,0.145,0.145,0.218,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.485,12,false,false,false,0,0,0,0.652,0.02,0,0.003,0.007,0.715,0.033,biome,cached_full_update,13.238,723,166506,11.707,0.002,1.504,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
19,86,21886,true,56,56,56.277,0.015,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,49.246,63.067,295.037,0,,,,,,,,,,,,,,,,,,,0.238,0.882,0.822,4.535,0,0.049,7,2400,false,done,1,1,1,full,0.3937,0.145,0.218,0.0307,0,0.145,0.145,0.218,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.485,12,false,false,false,0,0,0,0.652,0.02,0,0.003,0.007,0.715,0.033,biome,cached_full_update,13.238,723,166506,11.707,0.002,1.504,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
20,87,21890,true,56,1,0.202,0.004,0,,,,,0,63.067,295.037,0,,,,,,,,,,,,,,,,,,,0.238,0.882,0.822,4.535,0,0.049,7,2400,false,done,1,1,1,full,0.3937,0.145,0.218,0.0307,0,0.145,0.145,0.218,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.485,12,false,false,false,0,0,0,0.652,0.02,0,0.003,0.007,0.715,0.033,biome,cached_full_update,13.238,723,166506,11.707,0.002,1.504,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
21,88,21988,false,56,43,40.872,1.379,0.235,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,32.313,63.067,295.037,0,0,0,policy_gated,0,0,policy_gated,0,0,policy_gated,6.882,6,,1.313,3,,32.326,1,,0.255,1.103,0.861,4.359,0,0.053,7,2400,false,done,1,1,1,full,0.3957,0.1446,0.225,0.0261,0,0.1446,0.1446,0.225,0.003,0.001,0.001,0.001,0,0,0,0,0.0239,0,0,0,1.233,12,false,true,false,0,0,0,0.351,0.097,0,0.003,0.007,0.489,0.031,biome,cached_full_update,13.238,723,166506,11.707,0.002,1.504,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
22,89,21995,true,56,0,0.237,0.005,0,,,,,0,63.067,295.037,0,,,,,,,,,,,,,,,,,,,0.255,1.103,0.861,4.359,0,0.053,7,2400,false,done,1,1,1,full,0.3957,0.1446,0.225,0.0261,0,0.1446,0.1446,0.225,0.003,0.001,0.001,0.001,0,0,0,0,0.0239,0,0,0,1.233,12,false,true,false,0,0,0,0.351,0.097,0,0.003,0.007,0.489,0.031,biome,cached_full_update,13.238,723,166506,11.707,0.002,1.504,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived
