row_idx,tick_idx,timestamp_ms,was_skipped_day,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms,sus_sim_p95_300,sus_sim_max_300,over_1ms_count_300,j_season_refresh_ms,j_season_refresh_slices,j_season_refresh_skip,j_enum_atlas_upload_ms,j_enum_atlas_upload_slices,j_enum_atlas_upload_skip,j_ocean_currents_ms,j_ocean_currents_slices,j_ocean_currents_skip,j_refresh_climate_daily_ms,j_refresh_climate_daily_slices,j_refresh_climate_daily_skip,j_weather_refresh_ms,j_weather_refresh_slices,j_weather_refresh_skip,j_dynamic_visual_atlas_upload_ms,j_dynamic_visual_atlas_upload_slices,j_dynamic_visual_atlas_upload_skip,bd_climate_pass_a_ms,bd_climate_pass_b_ms,bd_climate_ocean_ms,bd_climate_sea_ice_ms,bd_climate_ice_bake_ms,bd_climate_transp_ms,bd_climate_total_ms,bd_climate_cells,bd_climate_partial,bd_climate_current_pass,bd_climate_progress_ratio,bd_climate_dirty_ratio,bd_climate_visited_ratio,bd_climate_pass_b_path,bd_weather_weather_tick_ms,bd_weather_advance_ms,bd_weather_spawn_ms,bd_weather_distribute_ms,bd_weather_cyclone_ms,bd_weather_field_solve_ms,bd_weather_field_solve_total_ms,bd_weather_field_summary_ms,bd_weather_field_commit_total_ms,bd_weather_field_commit_setup_ms,bd_weather_field_commit_loop_ms,bd_weather_field_commit_dc_ms,bd_weather_field_commit_convergence_ms,bd_weather_weather_field_bake_ms,bd_weather_transp_ms,bd_weather_albedo_ms,bd_weather_veg_dyn_ms,bd_weather_cover_rebake_ms,bd_weather_veg_rebake_ms,bd_weather_feedback_ms,bd_weather_total_ms,bd_weather_fronts,bd_weather_albedo_ran,bd_weather_veg_dyn_ran,bd_weather_feedback_ran,bd_weather_begin_stage_a_ms,bd_weather_run_stage_a_slice_ms,bd_weather_stage_a_direct_ms,bd_weather_commit_stage_a_ms,bd_weather_stage_b_outer_ms,bd_weather_sync_fronts_ms,bd_weather_soak_dump_ms,bd_weather_prelude_ms,bd_weather_job_total_ms,bd_weather_job_unattributed_ms,bd_enum_atlas_axis,bd_enum_atlas_path,bd_enum_atlas_elapsed_ms,bd_enum_atlas_dirty_cells,bd_enum_atlas_dirty_pixels,bd_enum_atlas_buffer_patch_ms,bd_enum_atlas_image_ms,bd_enum_atlas_upload_ms,bd_enum_atlas_cache_valid,bd_enum_atlas_biome_pending,bd_enum_atlas_cover_pending,bd_enum_atlas_vegetation_pending,bd_sea_ice_atlas_done,bd_sea_ice_atlas_phase,bd_sea_ice_atlas_stage_name,bd_sea_ice_atlas_elapsed_ms,bd_sea_ice_atlas_reason,bd_dynamic_visual_atlas_done,bd_dynamic_visual_atlas_work_done,bd_dynamic_visual_atlas_elapsed_ms,bd_dynamic_visual_atlas_progress_ratio,bd_dynamic_visual_atlas_phase,bd_dynamic_visual_atlas_stage_name,bd_dynamic_visual_atlas_current_phase,bd_dynamic_visual_atlas_phase_cursor,bd_dynamic_visual_atlas_ticks_used,bd_dynamic_visual_atlas_total_ticks_used,bd_dynamic_visual_atlas_mask_path,bd_dynamic_visual_atlas_mask_dirty_count,bd_dynamic_visual_atlas_max_cells_per_tick,bd_dynamic_visual_atlas_time_check_cells_per_step,bd_dynamic_visual_atlas_slice_budget_ms,bd_dynamic_visual_atlas_dynamic_dirty_cells,bd_dynamic_visual_atlas_dynamic_ms,bd_dynamic_visual_atlas_dynamic_prepare_ms,bd_dynamic_visual_atlas_dynamic_step_ms,bd_dynamic_visual_atlas_dynamic_finalize_ms,bd_dynamic_visual_atlas_dynamic_cells_considered,bd_dynamic_visual_atlas_dynamic_total_cells,bd_dynamic_visual_atlas_dynamic_pixels_written,bd_dynamic_visual_atlas_dynamic_cpp_calls,bd_dynamic_visual_atlas_dynamic_gd_calls,bd_dynamic_visual_atlas_dynamic_empty_calls,bd_dynamic_visual_atlas_dynamic_source,bd_dynamic_visual_atlas_dynamic_path,bd_dynamic_visual_atlas_dynamic_fallback_reason,bd_dynamic_visual_atlas_ecology_dirty_cells,bd_dynamic_visual_atlas_ecology_ms,bd_dynamic_visual_atlas_ecology_prepare_ms,bd_dynamic_visual_atlas_ecology_step_ms,bd_dynamic_visual_atlas_ecology_finalize_ms,bd_dynamic_visual_atlas_ecology_cells_considered,bd_dynamic_visual_atlas_ecology_total_cells,bd_dynamic_visual_atlas_ecology_pixels_written,bd_dynamic_visual_atlas_ecology_cpp_calls,bd_dynamic_visual_atlas_ecology_gd_calls,bd_dynamic_visual_atlas_ecology_empty_calls,bd_dynamic_visual_atlas_ecology_source,bd_dynamic_visual_atlas_ecology_path,bd_dynamic_visual_atlas_ecology_fallback_reason,bd_dynamic_visual_atlas_smooth_dirty_cells,bd_dynamic_visual_atlas_smooth_ms,bd_dynamic_visual_atlas_smooth_prepare_ms,bd_dynamic_visual_atlas_smooth_step_ms,bd_dynamic_visual_atlas_smooth_finalize_ms,bd_dynamic_visual_atlas_smooth_cells_considered,bd_dynamic_visual_atlas_smooth_pixels_written,bd_dynamic_visual_atlas_smooth_cpp_calls,bd_dynamic_visual_atlas_smooth_gd_calls,bd_dynamic_visual_atlas_smooth_empty_calls,bd_dynamic_visual_atlas_ice_dirty_cells,bd_dynamic_visual_atlas_ice_ms,bd_dynamic_visual_atlas_ice_prepare_ms,bd_dynamic_visual_atlas_ice_step_ms,bd_dynamic_visual_atlas_ice_finalize_ms,bd_dynamic_visual_atlas_ice_cells_considered,bd_dynamic_visual_atlas_ice_pixels_written,bd_dynamic_visual_atlas_ice_cpp_calls,bd_dynamic_visual_atlas_ice_gd_calls,bd_dynamic_visual_atlas_ice_empty_calls,bd_dynamic_visual_atlas_smooth_total_cells,bd_dynamic_visual_atlas_smooth_source,bd_dynamic_visual_atlas_smooth_path,bd_dynamic_visual_atlas_smooth_fallback_reason,bd_dynamic_visual_atlas_ice_total_cells,bd_dynamic_visual_atlas_ice_source,bd_dynamic_visual_atlas_ice_path,bd_dynamic_visual_atlas_ice_fallback_reason
0,62,21390,true,54,0,0.229,0.005,0,,,,,0,74.892,299.437,0,,,,,,,,,,,,,,,,,,,0.23,0.787,0.749,4.107,0,0.047,6,2400,false,done,1,1,1,full,0.4637,0.2121,0.226,0.0256,0,0.2121,0.2121,0.226,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.195,12,false,false,false,0,0,0,0.388,0.019,0,0.002,0.007,0.441,0.025,cover,skipped_no_dirty,1.812,0,0,1.769,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,59.816,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,false,0,4096,128,800,2400,32.539,0.059,31.76,0.695,2400,2400,0,19,0,0,all_cells,cpp,,1696,27.001,0.156,26.828,0,1696,2400,0,14,0,0,all_cells,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1,63,21477,false,54,75,73.229,1.345,0.238,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,63.615,74.892,299.437,0,0,0,policy_gated,0,0,policy_gated,1.357,1,,6.737,6,,1.184,3,,63.632,1,,0.239,1.066,0.827,4.353,0,0.046,7,2400,false,done,1,1,1,full,0.4034,0.1403,0.237,0.0261,0,0.1403,0.1403,0.237,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.115,12,false,false,false,0,0,0,0.366,0.021,0,0.003,0.007,0.419,0.022,cover,skipped_no_dirty,1.812,0,0,1.769,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,8192,63.518,0.8,upload_phase_4,dynamic_visual_atlas_upload,4,992,2,2,false,0,4096,128,800,2400,32.539,0.059,31.76,0.695,2400,2400,0,19,0,0,all_cells,cpp,,2400,39.336,0.156,38.597,0.554,2400,2400,0,20,0,0,all_cells,cpp,,2400,41.22,0.161,40.342,0.688,2400,0,19,0,0,992,9.768,0.172,9.586,0,992,0,8,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
2,64,21485,true,54,1,0.265,0.005,0,,,,,0,74.892,299.437,0,,,,,,,,,,,,,,,,,,,0.239,1.066,0.827,4.353,0,0.046,7,2400,false,done,1,1,1,full,0.4034,0.1403,0.237,0.0261,0,0.1403,0.1403,0.237,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.115,12,false,false,false,0,0,0,0.366,0.021,0,0.003,0.007,0.419,0.022,cover,skipped_no_dirty,1.812,0,0,1.769,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,8192,63.518,0.8,upload_phase_4,dynamic_visual_atlas_upload,4,992,2,2,false,0,4096,128,800,2400,32.539,0.059,31.76,0.695,2400,2400,0,19,0,0,all_cells,cpp,,2400,39.336,0.156,38.597,0.554,2400,2400,0,20,0,0,all_cells,cpp,,2400,41.22,0.161,40.342,0.688,2400,0,19,0,0,992,9.768,0.172,9.586,0,992,0,8,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
3,65,21537,true,54,24,23.395,0.018,0.001,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,14.21,74.892,299.437,0,,,,,,,,,,,,,,,,,,,0.193,0.884,0.852,4.38,0,0.054,6,2400,false,done,1,1,1,full,0.4034,0.1403,0.237,0.0261,0,0.1403,0.1403,0.237,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.115,12,false,false,false,0,0,0,0.366,0.021,0,0.003,0.007,0.419,0.022,cover,skipped_no_dirty,1.984,0,0,1.931,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,9600,14.104,1,upload,dynamic_visual_atlas_upload,5,0,3,3,false,0,4096,128,800,2400,32.539,0.059,31.76,0.695,2400,2400,0,19,0,0,all_cells,cpp,,2400,39.336,0.156,38.597,0.554,2400,2400,0,20,0,0,all_cells,cpp,,2400,41.22,0.161,40.342,0.688,2400,0,19,0,0,2400,23.796,0.172,23.403,0.199,2400,0,19,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
4,66,21563,true,54,0,0.298,0.007,0,,,,,0,74.892,299.437,0,,,,,,,,,,,,,,,,,,,0.193,0.884,0.852,4.38,0,0.054,6,2400,false,done,1,1,1,full,0.4034,0.1403,0.237,0.0261,0,0.1403,0.1403,0.237,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.115,12,false,false,false,0,0,0,0.366,0.021,0,0.003,0.007,0.419,0.022,cover,skipped_no_dirty,1.984,0,0,1.931,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,9600,14.104,1,upload,dynamic_visual_atlas_upload,5,0,3,3,false,0,4096,128,800,2400,32.539,0.059,31.76,0.695,2400,2400,0,19,0,0,all_cells,cpp,,2400,39.336,0.156,38.597,0.554,2400,2400,0,20,0,0,all_cells,cpp,,2400,41.22,0.161,40.342,0.688,2400,0,19,0,0,2400,23.796,0.172,23.403,0.199,2400,0,19,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
5,67,21686,true,54,73,73.171,0.017,0,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,59.851,74.892,299.437,0,,,,,,,,,,,,,,,,,,,0.219,1.037,0.824,4.41,0,0.047,7,2400,false,done,1,1,1,full,0.4034,0.1403,0.237,0.0261,0,0.1403,0.1403,0.237,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.115,12,false,false,false,0,0,0,0.366,0.021,0,0.003,0.007,0.419,0.022,cover,skipped_no_dirty,1.984,0,0,1.931,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,59.761,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,false,0,4096,128,800,2400,32.277,0.061,31.602,0.59,2400,2400,0,19,0,0,all_cells,cpp,,1696,27.205,0.145,27.042,0,1696,2400,0,14,0,0,all_cells,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6,68,21690,true,54,1,0.215,0.004,0.001,,,,,0,74.892,299.437,0,,,,,,,,,,,,,,,,,,,0.219,1.037,0.824,4.41,0,0.047,7,2400,false,done,1,1,1,full,0.4034,0.1403,0.237,0.0261,0,0.1403,0.1403,0.237,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.115,12,false,false,false,0,0,0,0.366,0.021,0,0.003,0.007,0.419,0.022,cover,skipped_no_dirty,1.984,0,0,1.931,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,59.761,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,false,0,4096,128,800,2400,32.277,0.061,31.602,0.59,2400,2400,0,19,0,0,all_cells,cpp,,1696,27.205,0.145,27.042,0,1696,2400,0,14,0,0,all_cells,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7,69,21789,true,54,76,76.516,0.016,0.001,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,61.557,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.24,1.098,0.864,12.119,0,0.08,15,2400,false,done,1,1,1,full,0.4034,0.1403,0.237,0.0261,0,0.1403,0.1403,0.237,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.115,12,false,false,false,0,0,0,0.366,0.021,0,0.003,0.007,0.419,0.022,cover,skipped_no_dirty,1.984,0,0,1.931,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,8192,61.472,0.8,upload_phase_4,dynamic_visual_atlas_upload,4,992,2,2,false,0,4096,128,800,2400,32.277,0.061,31.602,0.59,2400,2400,0,19,0,0,all_cells,cpp,,2400,39.316,0.145,38.58,0.564,2400,2400,0,20,0,0,all_cells,cpp,,2400,39.893,0.156,39.116,0.594,2400,0,19,0,0,992,9.313,0.16,9.145,0,992,0,8,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
8,70,21794,true,54,0,0.218,0.005,0,,,,,0,75.634,299.437,0,,,,,,,,,,,,,,,,,,,0.24,1.098,0.864,12.119,0,0.08,15,2400,false,done,1,1,1,full,0.4034,0.1403,0.237,0.0261,0,0.1403,0.1403,0.237,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,1.115,12,false,false,false,0,0,0,0.366,0.021,0,0.003,0.007,0.419,0.022,cover,skipped_no_dirty,1.984,0,0,1.931,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,8192,61.472,0.8,upload_phase_4,dynamic_visual_atlas_upload,4,992,2,2,false,0,4096,128,800,2400,32.277,0.061,31.602,0.59,2400,2400,0,19,0,0,all_cells,cpp,,2400,39.316,0.145,38.58,0.564,2400,2400,0,20,0,0,all_cells,cpp,,2400,39.893,0.156,39.116,0.594,2400,0,19,0,0,992,9.313,0.16,9.145,0,992,0,8,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
9,71,21838,false,54,24,22.323,1.522,0.217,dynamic_visual_atlas_upload,dynamic_visual_atlas_upload,,,13.404,75.634,299.437,0,0.337,1,,0,0,policy_gated,0,0,policy_gated,7.016,6,,1.248,3,,13.413,1,,0.232,1.061,0.805,4.66,0,0.05,7,2400,false,done,1,1,1,full,0.4161,0.1455,0.246,0.0246,0,0.1455,0.1455,0.246,0.003,0.002,0,0.001,0,0,0,0,0,0,0,0,1.17,12,false,false,false,0,0,0,0.379,0.02,0,0.004,0.007,0.437,0.027,cover,skipped_no_dirty,1.984,0,0,1.931,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,9600,13.318,1,upload,dynamic_visual_atlas_upload,5,0,3,3,false,0,4096,128,800,2400,32.277,0.061,31.602,0.59,2400,2400,0,19,0,0,all_cells,cpp,,2400,39.316,0.145,38.58,0.564,2400,2400,0,20,0,0,all_cells,cpp,,2400,39.893,0.156,39.116,0.594,2400,0,19,0,0,2400,22.592,0.16,22.236,0.175,2400,0,19,0,0,2400,all_cells,cpp,,2400,ice_default_source,cpp,
