row_idx,tick_idx,timestamp_ms,was_skipped_day,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms,sus_sim_p95_300,sus_sim_max_300,over_1ms_count_300,j_season_refresh_ms,j_season_refresh_slices,j_season_refresh_skip,j_enum_atlas_upload_ms,j_enum_atlas_upload_slices,j_enum_atlas_upload_skip,j_ocean_currents_ms,j_ocean_currents_slices,j_ocean_currents_skip,j_refresh_climate_daily_ms,j_refresh_climate_daily_slices,j_refresh_climate_daily_skip,j_weather_refresh_ms,j_weather_refresh_slices,j_weather_refresh_skip,j_dynamic_visual_atlas_upload_ms,j_dynamic_visual_atlas_upload_slices,j_dynamic_visual_atlas_upload_skip,bd_climate_pass_a_ms,bd_climate_pass_b_ms,bd_climate_ocean_ms,bd_climate_sea_ice_ms,bd_climate_ice_bake_ms,bd_climate_transp_ms,bd_climate_total_ms,bd_climate_cells,bd_climate_partial,bd_climate_current_pass,bd_climate_progress_ratio,bd_climate_dirty_ratio,bd_climate_visited_ratio,bd_climate_pass_b_path,bd_climate_pa_pushed_cells,bd_climate_pa_total_cells,bd_climate_pa_push_ratio,bd_weather_weather_tick_ms,bd_weather_advance_ms,bd_weather_spawn_ms,bd_weather_distribute_ms,bd_weather_cyclone_ms,bd_weather_field_solve_ms,bd_weather_field_solve_total_ms,bd_weather_field_summary_ms,bd_weather_field_commit_total_ms,bd_weather_field_commit_setup_ms,bd_weather_field_commit_loop_ms,bd_weather_field_commit_dc_ms,bd_weather_field_commit_convergence_ms,bd_weather_weather_field_bake_ms,bd_weather_transp_ms,bd_weather_albedo_ms,bd_weather_veg_dyn_ms,bd_weather_cover_rebake_ms,bd_weather_veg_rebake_ms,bd_weather_feedback_ms,bd_weather_total_ms,bd_weather_fronts,bd_weather_albedo_ran,bd_weather_veg_dyn_ran,bd_weather_feedback_ran,bd_weather_begin_stage_a_ms,bd_weather_run_stage_a_slice_ms,bd_weather_stage_a_direct_ms,bd_weather_commit_stage_a_ms,bd_weather_stage_b_outer_ms,bd_weather_sync_fronts_ms,bd_weather_soak_dump_ms,bd_weather_prelude_ms,bd_weather_job_total_ms,bd_weather_job_unattributed_ms,bd_enum_atlas_axis,bd_enum_atlas_path,bd_enum_atlas_elapsed_ms,bd_enum_atlas_dirty_cells,bd_enum_atlas_dirty_pixels,bd_enum_atlas_buffer_patch_ms,bd_enum_atlas_image_ms,bd_enum_atlas_upload_ms,bd_enum_atlas_cache_valid,bd_enum_atlas_biome_pending,bd_enum_atlas_cover_pending,bd_enum_atlas_vegetation_pending,bd_sea_ice_atlas_done,bd_sea_ice_atlas_phase,bd_sea_ice_atlas_stage_name,bd_sea_ice_atlas_elapsed_ms,bd_sea_ice_atlas_reason,bd_dynamic_visual_atlas_done,bd_dynamic_visual_atlas_work_done,bd_dynamic_visual_atlas_elapsed_ms,bd_dynamic_visual_atlas_progress_ratio,bd_dynamic_visual_atlas_phase,bd_dynamic_visual_atlas_stage_name,bd_dynamic_visual_atlas_current_phase,bd_dynamic_visual_atlas_phase_cursor,bd_dynamic_visual_atlas_ticks_used,bd_dynamic_visual_atlas_total_ticks_used,bd_dynamic_visual_atlas_mask_path,bd_dynamic_visual_atlas_mask_dirty_count,bd_dynamic_visual_atlas_dirty_reason,bd_dynamic_visual_atlas_dirty_noop,bd_dynamic_visual_atlas_dirty_mask_available,bd_dynamic_visual_atlas_dirty_source,bd_dynamic_visual_atlas_max_cells_per_tick,bd_dynamic_visual_atlas_time_check_cells_per_step,bd_dynamic_visual_atlas_cpp_time_check_cells_per_step,bd_dynamic_visual_atlas_slice_budget_ms,bd_dynamic_visual_atlas_dynamic_dirty_cells,bd_dynamic_visual_atlas_dynamic_ms,bd_dynamic_visual_atlas_dynamic_prepare_ms,bd_dynamic_visual_atlas_dynamic_step_ms,bd_dynamic_visual_atlas_dynamic_finalize_ms,bd_dynamic_visual_atlas_dynamic_cells_considered,bd_dynamic_visual_atlas_dynamic_total_cells,bd_dynamic_visual_atlas_dynamic_pixels_written,bd_dynamic_visual_atlas_dynamic_cpp_calls,bd_dynamic_visual_atlas_dynamic_gd_calls,bd_dynamic_visual_atlas_dynamic_empty_calls,bd_dynamic_visual_atlas_dynamic_source,bd_dynamic_visual_atlas_dynamic_path,bd_dynamic_visual_atlas_dynamic_fallback_reason,bd_dynamic_visual_atlas_ecology_dirty_cells,bd_dynamic_visual_atlas_ecology_ms,bd_dynamic_visual_atlas_ecology_prepare_ms,bd_dynamic_visual_atlas_ecology_step_ms,bd_dynamic_visual_atlas_ecology_finalize_ms,bd_dynamic_visual_atlas_ecology_cells_considered,bd_dynamic_visual_atlas_ecology_total_cells,bd_dynamic_visual_atlas_ecology_pixels_written,bd_dynamic_visual_atlas_ecology_cpp_calls,bd_dynamic_visual_atlas_ecology_gd_calls,bd_dynamic_visual_atlas_ecology_empty_calls,bd_dynamic_visual_atlas_ecology_source,bd_dynamic_visual_atlas_ecology_path,bd_dynamic_visual_atlas_ecology_fallback_reason,bd_dynamic_visual_atlas_smooth_dirty_cells,bd_dynamic_visual_atlas_smooth_ms,bd_dynamic_visual_atlas_smooth_prepare_ms,bd_dynamic_visual_atlas_smooth_step_ms,bd_dynamic_visual_atlas_smooth_finalize_ms,bd_dynamic_visual_atlas_smooth_cells_considered,bd_dynamic_visual_atlas_smooth_total_cells,bd_dynamic_visual_atlas_smooth_pixels_written,bd_dynamic_visual_atlas_smooth_cpp_calls,bd_dynamic_visual_atlas_smooth_gd_calls,bd_dynamic_visual_atlas_smooth_empty_calls,bd_dynamic_visual_atlas_smooth_source,bd_dynamic_visual_atlas_smooth_path,bd_dynamic_visual_atlas_smooth_fallback_reason,bd_dynamic_visual_atlas_ice_dirty_cells,bd_dynamic_visual_atlas_ice_ms,bd_dynamic_visual_atlas_ice_prepare_ms,bd_dynamic_visual_atlas_ice_step_ms,bd_dynamic_visual_atlas_ice_finalize_ms,bd_dynamic_visual_atlas_ice_cells_considered,bd_dynamic_visual_atlas_ice_total_cells,bd_dynamic_visual_atlas_ice_pixels_written,bd_dynamic_visual_atlas_ice_cpp_calls,bd_dynamic_visual_atlas_ice_gd_calls,bd_dynamic_visual_atlas_ice_empty_calls,bd_dynamic_visual_atlas_ice_source,bd_dynamic_visual_atlas_ice_path,bd_dynamic_visual_atlas_ice_fallback_reason
0,243,27942,false,51,60,58.408,1.549,0.257,refresh_climate_daily,sea_ice,cursor_4,data_core,32.238,62.741,281.539,0,1.847,1,,0,0,policy_gated,5.727,1,,34.625,6,,1.588,3,,14.088,1,,0.236,0.917,0.882,32.191,0,0.114,35,2400,false,done,1,1,1,full,0,0,1,0.4004,0.1268,0.244,0.0296,0,0.1268,0.1268,0.244,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.509,12,false,false,false,0,0,0,0.385,0.022,0,0.004,0.011,0.445,0.023,cover,skipped_no_dirty,1.472,0,0,1.419,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,13.923,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,8.885,0.095,7.953,0.799,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,8.774,1.618,6.661,0.441,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,11.738,3.728,7.603,0.37,2400,2400,0,1,0,0,dirty_decay_one_hop,cpp,,0,0.038,0.025,0,0.007,0,0,0,0,0,0,dirty_no_water_intersection,,
1,244,27952,true,51,4,4.249,0.017,0,season_refresh,stage_9_sync,cursor_0,stage,3.794,62.741,281.539,0,,,,,,,,,,,,,,,,,,,0.236,0.917,0.882,32.191,0,0.114,35,2400,false,done,1,1,1,full,0,0,1,0.4004,0.1268,0.244,0.0296,0,0.1268,0.1268,0.244,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.509,12,false,false,false,0,0,0,0.385,0.022,0,0.004,0.011,0.445,0.023,cover,skipped_no_dirty,1.472,0,0,1.419,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,13.923,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,8.885,0.095,7.953,0.799,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,8.774,1.618,6.661,0.441,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,11.738,3.728,7.603,0.37,2400,2400,0,1,0,0,dirty_decay_one_hop,cpp,,0,0.038,0.025,0,0.007,0,0,0,0,0,0,dirty_no_water_intersection,,
2,245,28053,true,51,67,66.464,0.019,0,refresh_climate_daily,sea_ice,cursor_4,data_core,31.382,62.741,281.539,0,,,,,,,,,,,,,,,,,,,0.246,1.189,1.013,31.33,0,0.137,34,2400,false,done,1,1,1,full,0,0,1,0.4004,0.1268,0.244,0.0296,0,0.1268,0.1268,0.244,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.509,12,false,false,false,0,0,0,0.385,0.022,0,0.004,0.011,0.445,0.023,biome,cached_full_update,20.612,1824,419904,19.138,0.009,1.39,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,10.868,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,5.072,0.083,4.63,0.328,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.413,0.785,2.607,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,,,
3,246,28057,true,51,1,0.834,0.018,0,season_refresh,stage_11_feedback,cursor_0,stage,0.172,62.741,281.539,0,,,,,,,,,,,,,,,,,,,0.246,1.189,1.013,31.33,0,0.137,34,2400,false,done,1,1,1,full,0,0,1,0.4004,0.1268,0.244,0.0296,0,0.1268,0.1268,0.244,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.509,12,false,false,false,0,0,0,0.385,0.022,0,0.004,0.011,0.445,0.023,biome,cached_full_update,20.612,1824,419904,19.138,0.009,1.39,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,10.868,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,5.072,0.083,4.63,0.328,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.413,0.785,2.607,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,,,
4,247,28117,true,53,47,47.338,0.018,0,refresh_climate_daily,sea_ice,cursor_4,data_core,31.987,62.741,281.539,0,,,,,,,,,,,,,,,,,,,0.371,1.704,1.77,31.945,0,0.1,36,2400,false,done,1,1,1,full,0,0,1,0.4004,0.1268,0.244,0.0296,0,0.1268,0.1268,0.244,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.509,12,false,false,false,0,0,0,0.385,0.022,0,0.004,0.011,0.445,0.023,biome,cached_full_update,20.612,1824,419904,19.138,0.009,1.39,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,10.417,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,5.072,0.083,4.63,0.328,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,5.514,0.785,4.248,0.443,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,8.14,3.535,4.17,0.41,2400,2400,0,1,0,0,dirty_decay_one_hop,cpp,,0,0.03,0.02,0,0.006,0,0,0,0,0,0,dirty_no_water_intersection,,
5,248,28126,true,53,1,0.436,0.005,0.001,,,,,0,62.741,281.539,0,,,,,,,,,,,,,,,,,,,0.371,1.704,1.77,31.945,0,0.1,36,2400,false,done,1,1,1,full,0,0,1,0.4004,0.1268,0.244,0.0296,0,0.1268,0.1268,0.244,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.509,12,false,false,false,0,0,0,0.385,0.022,0,0.004,0.011,0.445,0.023,biome,cached_full_update,20.612,1824,419904,19.138,0.009,1.39,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,10.417,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,5.072,0.083,4.63,0.328,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,5.514,0.785,4.248,0.443,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,8.14,3.535,4.17,0.41,2400,2400,0,1,0,0,dirty_decay_one_hop,cpp,,0,0.03,0.02,0,0.006,0,0,0,0,0,0,dirty_no_water_intersection,,
6,249,28215,true,53,46,45.739,0.022,0,refresh_climate_daily,sea_ice,cursor_4,data_core,30.822,62.741,281.539,0,,,,,,,,,,,,,,,,,,,0.224,0.962,0.884,30.782,0,0.11,33,2400,false,done,1,1,1,full,0,0,1,0.4004,0.1268,0.244,0.0296,0,0.1268,0.1268,0.244,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.509,12,false,false,false,0,0,0,0.385,0.022,0,0.004,0.011,0.445,0.023,biome,cached_full_update,20.612,1824,419904,19.138,0.009,1.39,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,11.767,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,4.763,0.036,4.102,0.606,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,5.753,0.86,4.869,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,,,
7,250,28223,true,53,1,0.385,0.005,0.001,,,,,0,62.741,281.539,0,,,,,,,,,,,,,,,,,,,0.224,0.962,0.884,30.782,0,0.11,33,2400,false,done,1,1,1,full,0,0,1,0.4004,0.1268,0.244,0.0296,0,0.1268,0.1268,0.244,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.509,12,false,false,false,0,0,0,0.385,0.022,0,0.004,0.011,0.445,0.023,biome,cached_full_update,20.612,1824,419904,19.138,0.009,1.39,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,11.767,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,4.763,0.036,4.102,0.606,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,5.753,0.86,4.869,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,,,
8,251,28319,false,53,50,47.786,1.2,0.448,refresh_climate_daily,sea_ice,cursor_4,data_core,32.084,62.741,281.539,0,0,0,policy_gated,0,0,policy_gated,0,0,policy_gated,34.967,6,,1.901,3,,10.457,1,,0.224,1.337,0.966,32.04,0,0.11,35,2400,false,done,1,1,1,full,0,0,1,0.4061,0.1263,0.244,0.0358,0,0.1263,0.1263,0.244,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.818,12,false,false,false,0,0,0,0.683,0.024,0,0.005,0.013,0.746,0.021,biome,cached_full_update,20.612,1824,419904,19.138,0.009,1.39,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,10.342,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,4.763,0.036,4.102,0.606,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,7.93,0.86,6.565,0.463,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,7.996,3.576,4.074,0.318,2400,2400,0,1,0,0,dirty_decay_one_hop,cpp,,0,0.033,0.017,0,0.006,0,0,0,0,0,0,dirty_no_water_intersection,,
9,252,28328,true,53,0,0.411,0.006,0,,,,,0,62.741,281.539,0,,,,,,,,,,,,,,,,,,,0.224,1.337,0.966,32.04,0,0.11,35,2400,false,done,1,1,1,full,0,0,1,0.4061,0.1263,0.244,0.0358,0,0.1263,0.1263,0.244,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0,0,1.818,12,false,false,false,0,0,0,0.683,0.024,0,0.005,0.013,0.746,0.021,biome,cached_full_update,20.612,1824,419904,19.138,0.009,1.39,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,10.342,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,4.763,0.036,4.102,0.606,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,7.93,0.86,6.565,0.463,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,7.996,3.576,4.074,0.318,2400,2400,0,1,0,0,dirty_decay_one_hop,cpp,,0,0.033,0.017,0,0.006,0,0,0,0,0,0,dirty_no_water_intersection,,
