row_idx,tick_idx,timestamp_ms,was_skipped_day,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms,sus_sim_p95_300,sus_sim_max_300,over_1ms_count_300,j_season_refresh_ms,j_season_refresh_slices,j_season_refresh_skip,j_enum_atlas_upload_ms,j_enum_atlas_upload_slices,j_enum_atlas_upload_skip,j_ocean_currents_ms,j_ocean_currents_slices,j_ocean_currents_skip,j_refresh_climate_daily_ms,j_refresh_climate_daily_slices,j_refresh_climate_daily_skip,j_weather_refresh_ms,j_weather_refresh_slices,j_weather_refresh_skip,j_dynamic_visual_atlas_upload_ms,j_dynamic_visual_atlas_upload_slices,j_dynamic_visual_atlas_upload_skip,bd_climate_pass_a_ms,bd_climate_pass_b_ms,bd_climate_ocean_ms,bd_climate_sea_ice_ms,bd_climate_ice_bake_ms,bd_climate_transp_ms,bd_climate_total_ms,bd_climate_cells,bd_climate_partial,bd_climate_current_pass,bd_climate_progress_ratio,bd_climate_dirty_ratio,bd_climate_visited_ratio,bd_climate_pass_b_path,bd_climate_pa_pushed_cells,bd_climate_pa_total_cells,bd_climate_pa_push_ratio,bd_weather_weather_tick_ms,bd_weather_advance_ms,bd_weather_spawn_ms,bd_weather_distribute_ms,bd_weather_cyclone_ms,bd_weather_field_solve_ms,bd_weather_field_solve_total_ms,bd_weather_field_summary_ms,bd_weather_field_commit_total_ms,bd_weather_field_commit_setup_ms,bd_weather_field_commit_loop_ms,bd_weather_field_commit_dc_ms,bd_weather_field_commit_convergence_ms,bd_weather_weather_field_bake_ms,bd_weather_transp_ms,bd_weather_albedo_ms,bd_weather_veg_dyn_ms,bd_weather_cover_rebake_ms,bd_weather_veg_rebake_ms,bd_weather_feedback_ms,bd_weather_total_ms,bd_weather_fronts,bd_weather_albedo_ran,bd_weather_veg_dyn_ran,bd_weather_feedback_ran,bd_weather_begin_stage_a_ms,bd_weather_run_stage_a_slice_ms,bd_weather_stage_a_direct_ms,bd_weather_commit_stage_a_ms,bd_weather_stage_b_outer_ms,bd_weather_sync_fronts_ms,bd_weather_soak_dump_ms,bd_weather_prelude_ms,bd_weather_job_total_ms,bd_weather_job_unattributed_ms,bd_enum_atlas_axis,bd_enum_atlas_path,bd_enum_atlas_elapsed_ms,bd_enum_atlas_dirty_cells,bd_enum_atlas_dirty_pixels,bd_enum_atlas_buffer_patch_ms,bd_enum_atlas_image_ms,bd_enum_atlas_upload_ms,bd_enum_atlas_cache_valid,bd_enum_atlas_biome_pending,bd_enum_atlas_cover_pending,bd_enum_atlas_vegetation_pending,bd_sea_ice_atlas_done,bd_sea_ice_atlas_phase,bd_sea_ice_atlas_stage_name,bd_sea_ice_atlas_elapsed_ms,bd_sea_ice_atlas_reason,bd_dynamic_visual_atlas_done,bd_dynamic_visual_atlas_work_done,bd_dynamic_visual_atlas_elapsed_ms,bd_dynamic_visual_atlas_progress_ratio,bd_dynamic_visual_atlas_phase,bd_dynamic_visual_atlas_stage_name,bd_dynamic_visual_atlas_current_phase,bd_dynamic_visual_atlas_phase_cursor,bd_dynamic_visual_atlas_ticks_used,bd_dynamic_visual_atlas_total_ticks_used,bd_dynamic_visual_atlas_mask_path,bd_dynamic_visual_atlas_mask_dirty_count,bd_dynamic_visual_atlas_dirty_reason,bd_dynamic_visual_atlas_dirty_noop,bd_dynamic_visual_atlas_dirty_mask_available,bd_dynamic_visual_atlas_dirty_source,bd_dynamic_visual_atlas_max_cells_per_tick,bd_dynamic_visual_atlas_time_check_cells_per_step,bd_dynamic_visual_atlas_cpp_time_check_cells_per_step,bd_dynamic_visual_atlas_slice_budget_ms,bd_dynamic_visual_atlas_dynamic_dirty_cells,bd_dynamic_visual_atlas_dynamic_ms,bd_dynamic_visual_atlas_dynamic_prepare_ms,bd_dynamic_visual_atlas_dynamic_step_ms,bd_dynamic_visual_atlas_dynamic_finalize_ms,bd_dynamic_visual_atlas_dynamic_cells_considered,bd_dynamic_visual_atlas_dynamic_total_cells,bd_dynamic_visual_atlas_dynamic_pixels_written,bd_dynamic_visual_atlas_dynamic_cpp_calls,bd_dynamic_visual_atlas_dynamic_gd_calls,bd_dynamic_visual_atlas_dynamic_empty_calls,bd_dynamic_visual_atlas_dynamic_source,bd_dynamic_visual_atlas_dynamic_path,bd_dynamic_visual_atlas_dynamic_fallback_reason,bd_dynamic_visual_atlas_ecology_dirty_cells,bd_dynamic_visual_atlas_ecology_ms,bd_dynamic_visual_atlas_ecology_prepare_ms,bd_dynamic_visual_atlas_ecology_step_ms,bd_dynamic_visual_atlas_ecology_finalize_ms,bd_dynamic_visual_atlas_ecology_cells_considered,bd_dynamic_visual_atlas_ecology_total_cells,bd_dynamic_visual_atlas_ecology_pixels_written,bd_dynamic_visual_atlas_ecology_cpp_calls,bd_dynamic_visual_atlas_ecology_gd_calls,bd_dynamic_visual_atlas_ecology_empty_calls,bd_dynamic_visual_atlas_ecology_source,bd_dynamic_visual_atlas_ecology_path,bd_dynamic_visual_atlas_ecology_fallback_reason,bd_dynamic_visual_atlas_smooth_dirty_cells,bd_dynamic_visual_atlas_smooth_ms,bd_dynamic_visual_atlas_smooth_prepare_ms,bd_dynamic_visual_atlas_smooth_step_ms,bd_dynamic_visual_atlas_smooth_finalize_ms,bd_dynamic_visual_atlas_smooth_cells_considered,bd_dynamic_visual_atlas_smooth_pixels_written,bd_dynamic_visual_atlas_smooth_cpp_calls,bd_dynamic_visual_atlas_smooth_gd_calls,bd_dynamic_visual_atlas_smooth_empty_calls,bd_dynamic_visual_atlas_ice_dirty_cells,bd_dynamic_visual_atlas_ice_ms,bd_dynamic_visual_atlas_ice_prepare_ms,bd_dynamic_visual_atlas_ice_step_ms,bd_dynamic_visual_atlas_ice_finalize_ms,bd_dynamic_visual_atlas_ice_cells_considered,bd_dynamic_visual_atlas_ice_pixels_written,bd_dynamic_visual_atlas_ice_cpp_calls,bd_dynamic_visual_atlas_ice_gd_calls,bd_dynamic_visual_atlas_ice_empty_calls,bd_dynamic_visual_atlas_smooth_total_cells,bd_dynamic_visual_atlas_smooth_source,bd_dynamic_visual_atlas_smooth_path,bd_dynamic_visual_atlas_smooth_fallback_reason,bd_dynamic_visual_atlas_ice_total_cells,bd_dynamic_visual_atlas_ice_source,bd_dynamic_visual_atlas_ice_path,bd_dynamic_visual_atlas_ice_fallback_reason
0,1338,86864,true,59,43,43.324,0.015,0,refresh_climate_daily,sea_ice,cursor_4,data_core,31.784,48.371,62.273,0,,,,,,,,,,,,,,,,,,,0.368,1.486,1.187,31.746,0,0.091,35,2400,false,done,1,1,1,full,0,0,1,0.3841,0.1581,0.199,0.027,0,0.1581,0.1581,0.199,0.002,0.001,0,0,0,0,0,0,0,0,0,0,1.364,12,false,false,false,0,0,0,0.342,0.017,0,0.002,0.008,0.39,0.021,cover,skipped_no_dirty,1.241,0,0,1.19,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,7.593,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.3,0.029,3.008,0.248,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.162,0.803,2.346,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1,1339,86872,true,59,0,0.349,0.005,0,,,,,0,48.371,62.273,0,,,,,,,,,,,,,,,,,,,0.368,1.486,1.187,31.746,0,0.091,35,2400,false,done,1,1,1,full,0,0,1,0.3841,0.1581,0.199,0.027,0,0.1581,0.1581,0.199,0.002,0.001,0,0,0,0,0,0,0,0,0,0,1.364,12,false,false,false,0,0,0,0.342,0.017,0,0.002,0.008,0.39,0.021,cover,skipped_no_dirty,1.241,0,0,1.19,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,7.593,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.3,0.029,3.008,0.248,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.162,0.803,2.346,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2,1340,86962,true,59,47,47.664,0.014,0,refresh_climate_daily,sea_ice,cursor_4,data_core,35.431,48.371,62.273,0,,,,,,,,,,,,,,,,,,,0.228,0.87,0.747,35.394,0,0.093,37,2400,false,done,1,1,1,full,0,0,1,0.3841,0.1581,0.199,0.027,0,0.1581,0.1581,0.199,0.002,0.001,0,0,0,0,0,0,0,0,0,0,1.364,12,false,false,false,0,0,0,0.342,0.017,0,0.002,0.008,0.39,0.021,cover,skipped_no_dirty,1.241,0,0,1.19,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,9.519,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.3,0.029,3.008,0.248,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,5.05,0.803,3.941,0.279,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,7.482,3.397,3.781,0.281,2400,0,1,0,0,0,0.025,0.015,0,0.006,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
3,1341,86970,true,59,1,0.358,0.005,0,,,,,0,48.371,62.273,0,,,,,,,,,,,,,,,,,,,0.228,0.87,0.747,35.394,0,0.093,37,2400,false,done,1,1,1,full,0,0,1,0.3841,0.1581,0.199,0.027,0,0.1581,0.1581,0.199,0.002,0.001,0,0,0,0,0,0,0,0,0,0,1.364,12,false,false,false,0,0,0,0.342,0.017,0,0.002,0.008,0.39,0.021,cover,skipped_no_dirty,1.241,0,0,1.19,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,9.519,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.3,0.029,3.008,0.248,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,5.05,0.803,3.941,0.279,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,7.482,3.397,3.781,0.281,2400,0,1,0,0,0,0.025,0.015,0,0.006,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
4,1342,87057,false,59,43,41.116,1.05,0.181,refresh_climate_daily,sea_ice,cursor_4,data_core,28.205,48.371,62.273,0,0.263,1,,0,0,policy_gated,0,0,policy_gated,30.258,6,,1.399,3,,8.77,1,,0.14,0.878,0.755,28.171,0,0.087,30,2400,false,done,1,1,1,full,0,0,1,0.3532,0.1128,0.212,0.0284,0,0.1128,0.1128,0.212,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,1.334,12,false,false,false,0,0,0,0.351,0.019,0,0.003,0.008,0.399,0.018,cover,skipped_no_dirty,1.241,0,0,1.19,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,8.688,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,4.069,0.037,3.656,0.358,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.334,0.748,2.566,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
5,1343,87065,true,60,0,0.473,0.005,0,season_refresh,rain_shadow,cursor_0,micro,0.124,48.371,62.273,0,,,,,,,,,,,,,,,,,,,0.14,0.878,0.755,28.171,0,0.087,30,2400,false,done,1,1,1,full,0,0,1,0.3532,0.1128,0.212,0.0284,0,0.1128,0.1128,0.212,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,1.334,12,false,false,false,0,0,0,0.351,0.019,0,0.003,0.008,0.399,0.018,cover,skipped_no_dirty,1.241,0,0,1.19,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,8.688,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,4.069,0.037,3.656,0.358,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,3.334,0.748,2.566,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6,1344,87151,true,60,46,45.412,0.014,0.001,refresh_climate_daily,sea_ice,cursor_4,data_core,28.134,48.371,62.273,0,,,,,,,,,,,,,,,,,,,0.192,0.587,0.619,28.102,0,0.081,30,2400,false,done,1,1,1,full,0,0,1,0.3532,0.1128,0.212,0.0284,0,0.1128,0.1128,0.212,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,1.334,12,false,false,false,0,0,0,0.351,0.019,0,0.003,0.008,0.399,0.018,cover,skipped_no_dirty,1.137,0,0,1.091,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,8.732,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,4.069,0.037,3.656,0.358,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,4.937,0.748,3.925,0.231,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,6.991,3.106,3.581,0.284,2400,0,1,0,0,0,0.024,0.015,0,0.004,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
7,1345,87168,true,60,3,3.535,0.012,0,season_refresh,stage_3_river,cursor_0,micro,3.102,48.371,62.273,0,,,,,,,,,,,,,,,,,,,0.192,0.587,0.619,28.102,0,0.081,30,2400,false,done,1,1,1,full,0,0,1,0.3532,0.1128,0.212,0.0284,0,0.1128,0.1128,0.212,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,1.334,12,false,false,false,0,0,0,0.351,0.019,0,0.003,0.008,0.399,0.018,cover,skipped_no_dirty,1.137,0,0,1.091,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,true,7200,8.732,1,upload,dynamic_visual_atlas_upload,5,0,2,2,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,4.069,0.037,3.656,0.358,2400,2400,0,1,0,0,dirty_mask,cpp,,2400,4.937,0.748,3.925,0.231,2400,2400,0,2,0,0,dirty_plus_decay,cpp,,2400,6.991,3.106,3.581,0.284,2400,0,1,0,0,0,0.024,0.015,0,0.004,0,0,0,0,0,2400,dirty_decay_one_hop,cpp,,0,dirty_no_water_intersection,,
8,1346,87263,true,60,53,52.815,0.015,0,refresh_climate_daily,sea_ice,cursor_4,data_core,28.377,48.564,62.273,0,,,,,,,,,,,,,,,,,,,0.198,0.533,0.593,28.344,0,0.089,30,2400,false,done,1,1,1,full,0,0,1,0.3532,0.1128,0.212,0.0284,0,0.1128,0.1128,0.212,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,1.334,12,false,false,false,0,0,0,0.351,0.019,0,0.003,0.008,0.399,0.018,cover,skipped_no_dirty,1.137,0,0,1.091,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,7.433,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.353,0.028,3.041,0.27,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,2.999,0.7,2.285,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
9,1347,87276,true,60,2,1.845,0.011,0,season_refresh,stage_5_shrubland,cursor_0,stage,1.423,48.564,62.273,0,,,,,,,,,,,,,,,,,,,0.198,0.533,0.593,28.344,0,0.089,30,2400,false,done,1,1,1,full,0,0,1,0.3532,0.1128,0.212,0.0284,0,0.1128,0.1128,0.212,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,1.334,12,false,false,false,0,0,0,0.351,0.019,0,0.003,0.008,0.399,0.018,cover,skipped_no_dirty,1.137,0,0,1.091,0,0,true,false,false,false,true,disabled,sea_ice_atlas_upload,0,shader_temperature_derived,false,4096,7.433,0.4,upload_phase_2,dynamic_visual_atlas_upload,2,1696,1,1,true,2400,dirty,false,true,dirty_world,4096,128,4096,800,2400,3.353,0.028,3.041,0.27,2400,2400,0,1,0,0,dirty_mask,cpp,,1696,2.999,0.7,2.285,0,1696,2400,0,1,0,0,dirty_plus_decay,cpp,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
