frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,32239,5.56,180,false,17,180,178,2,0,0,178,5145,8.9507,7.0735,0,0
1,32247,8.058,180,false,17,180,178,2,0,0,179,5145,8.9507,7.0735,0,0
2,32272,25.016,181,true,15,181,179,2,0,0,179,5145,9.6072,6.8107,0,0
3,32285,13.021,181,false,15,181,180,1,0,0,180,5145,9.6072,6.8107,0,0
4,32305,19.458,182,true,15,182,180,2,0,0,180,5454,9.6072,6.8107,0,0
5,32308,3.554,182,false,15,182,180,2,0,0,180,5454,11.3052,7.2435,0,0
6,32329,20.929,183,true,10,183,181,2,0,0,181,5454,11.3052,7.2435,0,0
7,32343,13.537,183,false,10,183,181,2,0,0,182,5454,9.1079,8.3049,0,0
8,32347,4.31,183,false,10,183,182,1,0,0,182,5454,9.1079,8.3049,0,0
9,32368,20.692,184,true,17,184,182,2,0,0,182,6152,9.0134,6.6013,0,0
10,32371,3.23,184,false,17,184,182,2,0,0,182,6152,9.0134,6.6013,0,0
11,32384,12.761,185,true,9,185,183,2,0,0,183,6152,9.0134,6.6013,0,0
12,32394,10.223,185,false,9,185,183,2,0,0,183,6152,8.4972,6.5115,0,0
13,32412,18.475,186,true,15,186,184,2,0,0,184,5285,8.6814,6.4109,0,0
14,32415,2.489,186,false,15,186,184,2,0,0,184,5285,8.6814,6.4109,0,0
15,32428,12.954,187,true,10,187,185,2,0,0,185,5285,8.6814,6.4109,0,0
16,32439,10.669,187,false,10,187,185,2,0,0,185,5285,8.7457,7.0113,0,0
17,32456,17.814,188,true,14,188,186,2,0,0,186,4681,8.7457,7.0113,0,0
18,32460,3.686,188,false,14,188,186,2,0,0,186,4681,8.5018,6.3755,0,0
19,32474,14.151,189,true,11,189,187,2,0,0,187,4681,8.5018,6.3755,0,0
20,32485,11.056,189,false,11,189,187,2,0,0,187,4681,9.1785,6.5828,0,0
21,32507,21.444,190,true,18,190,188,2,0,0,188,6617,10.0897,6.7763,0,0
22,32520,13.231,191,true,10,191,189,2,0,0,189,6617,10.0897,6.7763,0,0
23,32531,10.953,191,false,10,191,189,2,0,0,189,6617,8.9235,6.5673,0,0
24,32552,20.93,192,true,17,192,190,2,0,0,190,6453,9.0368,6.5204,0,0
25,32555,2.93,192,false,17,192,190,2,0,0,190,6453,9.0368,6.5204,0,0
26,32567,12.731,193,true,9,193,191,2,0,0,191,6453,9.0368,6.5204,0,0
27,32578,10.192,193,false,9,193,191,2,0,0,191,6453,8.7231,6.6212,0,0
28,32596,18.151,194,true,15,194,192,2,0,0,192,5644,8.7231,6.6212,0,0
29,32599,3.088,194,false,15,194,192,2,0,0,192,5644,8.7231,6.6212,0,0
30,32613,14.166,195,true,10,195,192,3,0,0,193,5644,10.3019,10.4318,0,0
31,32625,12.119,195,false,10,195,193,2,0,0,193,5644,10.3019,10.4318,0,0
32,32649,23.857,196,true,19,196,194,2,0,0,194,6803,9.5025,6.4296,0,0
33,32654,4.702,196,false,19,196,194,2,0,0,194,6803,9.038,8.1596,0,0
34,32673,19.409,197,true,14,197,195,2,0,0,195,6803,9.038,8.1596,0,0
35,32688,14.929,197,false,14,197,195,2,0,0,196,6803,11.7682,6.7483,0,0
36,32700,11.356,197,false,14,197,196,1,0,0,196,3480,11.7682,6.7483,0,0
