frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,35171,3.432,128,false,20,128,-1,-1,0,0,0,6222,0,0,0,0
1,35286,115.01,129,true,107,129,-1,-1,0,0,0,6222,0,0,0,0
2,35298,11.991,129,false,107,129,-1,-1,0,0,0,6222,0,0,0,0
3,35305,7.338,129,false,107,129,-1,-1,0,0,0,2871,0,0,0,0
4,35309,3.186,129,false,107,129,-1,-1,0,0,0,2871,0,0,0,0
5,35317,8.007,129,false,107,129,-1,-1,0,0,0,2871,0,0,0,0
6,35322,5.252,129,false,107,129,-1,-1,0,0,0,2871,0,0,0,0
7,35346,24.09,130,true,18,130,-1,-1,0,0,0,6983,0,0,0,0
8,35351,5.181,130,false,18,130,-1,-1,0,0,0,6983,0,0,0,0
9,35357,5.776,130,false,18,130,-1,-1,0,0,0,6983,0,0,0,0
10,35364,6.633,130,false,18,130,-1,-1,0,0,0,6983,0,0,0,0
11,35382,18.466,131,true,12,131,-1,-1,0,0,0,6983,0,0,0,0
12,35397,15.028,131,false,12,131,-1,-1,0,0,0,6983,0,0,0,0
13,35409,11.782,131,false,12,131,-1,-1,0,0,0,4307,0,0,0,0
14,35417,8.307,131,false,12,131,-1,-1,0,0,0,4307,0,0,0,0
15,35425,7.975,131,false,12,131,-1,-1,0,0,0,4307,0,0,0,0
16,35457,32.141,132,true,25,132,-1,-1,0,0,0,7659,0,0,0,0
17,35465,7.313,132,false,25,132,-1,-1,0,0,0,7659,0,0,0,0
18,35471,6.825,132,false,25,132,-1,-1,0,0,0,7659,0,0,0,0
19,35491,19.196,133,true,13,133,-1,-1,0,0,0,7659,0,0,0,0
20,35504,13.178,133,false,13,133,-1,-1,0,0,0,7659,0,0,0,0
21,35518,14.128,133,false,13,133,-1,-1,0,0,0,7659,0,0,0,0
22,35529,11.136,133,false,13,133,-1,-1,0,0,0,3110,0,0,0,0
23,35535,5.894,133,false,13,133,-1,-1,0,0,0,3110,0,0,0,0
24,35561,25.449,134,true,19,134,-1,-1,0,0,0,6997,0,0,0,0
25,35565,4.923,134,false,19,134,-1,-1,0,0,0,6997,0,0,0,0
26,35569,4.065,134,false,19,134,-1,-1,0,0,0,6997,0,0,0,0
27,35599,29.138,135,true,23,135,-1,-1,0,0,0,6997,0,0,0,0
28,35615,16.705,135,false,23,135,-1,-1,0,0,0,6997,0,0,0,0
29,35629,14.085,135,false,23,135,-1,-1,0,0,0,4963,0,0,0,0
30,35635,5.538,135,false,23,135,-1,-1,0,0,0,4963,0,0,0,0
31,35662,27.595,136,true,21,136,-1,-1,0,0,0,6786,0,0,0,0
32,35669,6.911,136,false,21,136,-1,-1,0,0,0,6786,0,0,0,0
33,35675,6.122,136,false,21,136,-1,-1,0,0,0,6786,0,0,0,0
34,35694,18.854,137,true,12,137,-1,-1,0,0,0,6786,0,0,0,0
35,35709,14.785,137,false,12,137,-1,-1,0,0,0,6786,0,0,0,0
36,35721,11.382,137,false,12,137,-1,-1,0,0,0,4246,0,0,0,0
37,35751,30.914,138,true,24,138,-1,-1,0,0,0,7673,0,0,0,0
