"run_index","run_name","mode","category","count","mean_ms","p50_ms","p95_ms","p99_ms","max_ms","ge_16_67_ms_ratio","ge_33_33_ms_ratio","effective_days_per_second","writeback_lag_days","main_wait_on_sim_us","worker_fault_count","completed_days_delta","pulse_count_delta","abi_calls_delta","work_done_delta","budget_yields_delta","runtime_graph_last_elapsed_us","post_pulse_flush_ms","climate_pod_plan_ms","climate_pod_replay_ms","domain_authority_plan_ms","domain_authority_replay_ms","active_worker_plan_ms","active_worker_replay_ms","shadow_diagnostic_plan_ms","shadow_diagnostic_replay_ms"
"1","run-01-off","OFF","all_frames","2053","14.614799805163196","12.53","28.343","40.916","770.331","0.29420360448124694","0.018996590355577204","23.1965645887844","-1","0","0","0","703","703","251181","45","6246","0","0","0","0","0","0","0","0","0"
"1","run-01-off","OFF","fast_tick_frames","696","23.4950287356322","21.95","33.383","94.752","168.598","0.8232758620689655","0.05028735632183908","23.1965645887844","-1","0","0","0","703","703","251181","45","6246","0","0","0","0","0","0","0","0","0"
"1","run-01-off","OFF","non_fast_tick_frames","1357","10.060165070007354","8.297","15.203","20.872","770.331","0.022844509948415623","0.0029476787030213707","23.1965645887844","-1","0","0","0","703","703","251181","45","6246","0","0","0","0","0","0","0","0","0"
"2","run-02-active","ACTIVE","all_frames","2456","12.215353013029333","11.728","23.803","29.721","706.954","0.2288273615635179","0.004478827361563518","33.5653620929267","2","0","0","1008","757","757","282848","15","6074","0","8.4397","6.2053","0","0","8.4397","6.2053","0","0"
"2","run-02-active","ACTIVE","fast_tick_frames","1007","18.355535253227405","17.918","26.146","31.181","96.316","0.5551142005958292","0.007944389275074478","33.5653620929267","2","0","0","1008","757","757","282848","15","6074","0","8.4397","6.2053","0","0","8.4397","6.2053","0","0"
"2","run-02-active","ACTIVE","non_fast_tick_frames","1449","7.948159420289856","4.912","12.809","14.53","706.954","0.002070393374741201","0.002070393374741201","33.5653620929267","2","0","0","1008","757","757","282848","15","6074","0","8.4397","6.2053","0","0","8.4397","6.2053","0","0"
"3","run-03-active","ACTIVE","all_frames","2279","13.163848617814834","12.315","24.654","30.284","766.465","0.250987275120667","0.005704256252742431","31.2659683933726","2","0","0","939","742","742","272556","28","6817","0","9.983","6.3352","0","0","9.983","6.3352","0","0"
"3","run-03-active","ACTIVE","fast_tick_frames","938","19.165972281449896","18.75","27.939","34.294","97.43","0.6002132196162047","0.010660980810234541","31.2659683933726","2","0","0","939","742","742","272556","28","6817","0","9.983","6.3352","0","0","9.983","6.3352","0","0"
"3","run-03-active","ACTIVE","non_fast_tick_frames","1341","8.965495152870995","5.841","13.773","15.663","766.465","0.006711409395973154","0.0022371364653243847","31.2659683933726","2","0","0","939","742","742","272556","28","6817","0","9.983","6.3352","0","0","9.983","6.3352","0","0"
"4","run-04-off","OFF","all_frames","2066","14.526331558567286","12.371","28.703","40.934","801.843","0.2942884801548887","0.021297192642787996","22.5912105130297","-1","0","0","0","694","694","244786","56","6307","0","0","0","0","0","0","0","0","0"
"4","run-04-off","OFF","fast_tick_frames","678","23.95136725663717","22.397","34.817","95.439","115.01","0.8716814159292036","0.061946902654867256","22.5912105130297","-1","0","0","0","694","694","244786","56","6307","0","0","0","0","0","0","0","0","0"
"4","run-04-off","OFF","non_fast_tick_frames","1388","9.922459654178663","8.239","15.135","17.225","801.843","0.012247838616714697","0.001440922190201729","22.5912105130297","-1","0","0","0","694","694","244786","56","6307","0","0","0","0","0","0","0","0","0"
"5","run-05-off","OFF","all_frames","2211","13.571709181365906","12.134","26.472","35.725","692.803","0.25870646766169153","0.011759384893713252","25.2938131333076","-1","0","0","0","736","736","268058","31","3701","0","0","0","0","0","0","0","0","0"
"5","run-05-off","OFF","fast_tick_frames","759","22.098432147562562","21.206","31.056","87.839","112.632","0.7378129117259552","0.03162055335968379","25.2938131333076","-1","0","0","0","736","736","268058","31","3701","0","0","0","0","0","0","0","0","0"
"5","run-05-off","OFF","non_fast_tick_frames","1452","9.114558539944909","7.228","14.182","15.981","692.803","0.008264462809917356","0.0013774104683195593","25.2938131333076","-1","0","0","0","736","736","268058","31","3701","0","0","0","0","0","0","0","0","0"
"6","run-06-active","ACTIVE","all_frames","2263","13.26355810870524","12.266","24.93","31.235","739.21","0.2545293857711003","0.007070260715863898","30.7505748908263","2","0","0","924","744","744","275535","25","7231","0","9.2415","6.6517","0","0","9.2415","6.6517","0","0"
"6","run-06-active","ACTIVE","fast_tick_frames","923","19.584845070422517","19.17","28.003","35.425","110.978","0.6143011917659805","0.014084507042253521","30.7505748908263","2","0","0","924","744","744","275535","25","7231","0","9.2415","6.6517","0","0","9.2415","6.6517","0","0"
"6","run-06-active","ACTIVE","non_fast_tick_frames","1340","8.909417910447766","5.946","13.585","15.718","739.21","0.006716417910447761","0.002238805970149254","30.7505748908263","2","0","0","924","744","744","275535","25","7231","0","9.2415","6.6517","0","0","9.2415","6.6517","0","0"
