frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,36023,3.097,140,false,22,140,-1,-1,0,0,139,7154,9.6591,6.7433,0,0
1,36026,2.948,140,false,22,140,-1,-1,0,0,139,7154,9.6591,6.7433,0,0
2,36051,25.479,141,true,20,141,-1,-1,0,0,139,7154,10.6314,6.8011,0,0
3,36064,13.147,141,false,20,141,-1,-1,0,0,140,7154,10.6314,6.8011,0,0
4,36070,6.273,141,false,20,141,-1,-1,0,0,140,2308,10.6314,6.8011,0,0
5,36093,22.208,142,true,19,142,-1,-1,0,0,140,7134,10.0742,6.6935,0,0
6,36096,3.707,142,false,19,142,-1,-1,0,0,140,7134,10.0742,6.6935,0,0
7,36114,17.082,143,true,13,143,-1,-1,0,0,141,7134,10.0742,6.6935,0,0
8,36125,11.824,143,false,13,143,-1,-1,0,0,142,7134,9.8332,6.7073,0,0
9,36129,3.812,143,false,13,143,-1,-1,0,0,142,7134,9.8332,6.7073,0,0
10,36132,3.335,143,false,13,143,-1,-1,0,0,142,7134,9.8332,6.7073,0,0
11,36158,25.561,144,true,21,144,-1,-1,0,0,142,5925,10.571,7.3501,0,0
12,36163,4.759,144,false,21,144,-1,-1,0,0,143,5925,10.571,7.3501,0,0
13,36168,5.386,144,false,21,144,-1,-1,0,0,143,5925,10.571,7.3501,0,0
14,36186,17.74,145,true,13,145,-1,-1,0,0,143,5925,10.571,7.3501,0,0
15,36202,15.803,145,false,13,145,-1,-1,0,0,144,5925,9.7944,9.712,0,0
16,36207,5.293,145,false,13,145,-1,-1,0,0,144,5925,9.7944,9.712,0,0
17,36234,26.671,146,true,22,146,-1,-1,0,0,144,7986,10.8359,6.8264,0,0
18,36238,4.044,146,false,22,146,-1,-1,0,0,145,7986,10.8359,6.8264,0,0
19,36257,19.017,147,true,14,147,-1,-1,0,0,145,7986,10.8359,6.8264,0,0
20,36270,12.967,147,false,14,147,-1,-1,0,0,146,7986,9.999,6.7904,0,0
21,36279,9.318,147,false,14,147,-1,-1,0,0,146,2314,9.999,6.7904,0,0
22,36308,28.697,148,true,22,148,-1,-1,0,0,146,7531,9.6903,6.637,0,0
23,36313,5.063,148,false,22,148,-1,-1,0,0,147,7531,9.6903,6.637,0,0
24,36331,18.55,149,true,13,149,-1,-1,0,0,147,7531,9.6903,6.637,0,0
25,36345,13.695,149,false,13,149,-1,-1,0,0,148,7531,10.5908,6.9626,0,0
26,36354,8.57,149,false,13,149,-1,-1,0,0,148,2713,10.5908,6.9626,0,0
27,36359,5.112,149,false,13,149,-1,-1,0,0,148,2713,10.5908,6.9626,0,0
28,36387,27.806,150,true,21,150,-1,-1,0,0,148,8233,9.7515,6.6398,0,0
29,36397,10.526,150,false,21,150,-1,-1,0,0,149,3160,9.7515,6.6398,0,0
30,36415,18.185,151,true,11,151,-1,-1,0,0,149,3160,9.7515,6.6398,0,0
31,36430,15.11,151,false,11,151,-1,-1,0,0,150,3160,9.3788,6.5784,0,0
32,36436,5.672,151,false,11,151,-1,-1,0,0,150,3160,9.3788,6.5784,0,0
33,36463,27.045,152,true,22,152,-1,-1,0,0,150,6781,9.1638,6.6544,0,0
34,36469,6.137,152,false,22,152,-1,-1,0,0,151,6781,9.1638,6.6544,0,0
35,36487,17.952,153,true,13,153,-1,-1,0,0,151,6781,9.1638,6.6544,0,0
36,36501,14.31,153,false,13,153,-1,-1,0,0,152,6781,9.8118,6.5342,0,0
37,36511,9.841,153,false,13,153,-1,-1,0,0,152,2971,9.8118,6.5342,0,0
38,36536,24.934,154,true,20,154,-1,-1,0,0,152,8046,9.4739,6.887,0,0
39,36542,6.036,154,false,20,154,-1,-1,0,0,153,8046,9.4739,6.887,0,0
40,36558,15.286,155,true,10,155,-1,-1,0,0,153,8046,9.4739,6.887,0,0
41,36574,16.01,155,false,10,155,-1,-1,0,0,154,8046,9.4162,6.6542,0,0
42,36579,5.244,155,false,10,155,-1,-1,0,0,154,8046,9.4162,6.6542,0,0
43,36606,27.172,156,true,23,156,-1,-1,0,0,155,6889,9.669,6.6533,0,0
44,36610,4.12,156,false,23,156,-1,-1,0,0,155,6889,9.669,6.6533,0,0
45,36614,3.802,156,false,23,156,-1,-1,0,0,155,6889,9.669,6.6533,0,0
46,36635,21.102,157,true,13,157,-1,-1,0,0,155,6889,9.669,6.6533,0,0
47,36652,16.553,157,false,13,157,-1,-1,0,0,156,6889,9.9768,6.6745,0,0
48,36660,8.465,157,false,13,157,-1,-1,0,0,156,2702,9.9768,6.6745,0,0
49,36685,24.754,158,true,19,158,-1,-1,0,0,156,7259,9.6894,6.6888,0,0
50,36691,6.038,158,false,19,158,-1,-1,0,0,157,7259,9.6894,6.6888,0,0
51,36709,18.436,159,true,11,159,-1,-1,0,0,157,7259,9.6894,6.6888,0,0
52,36725,15.244,159,false,11,159,-1,-1,0,0,158,7259,9.6873,6.7253,0,0
53,36733,8.516,159,false,11,159,-1,-1,0,0,158,2990,9.6873,6.7253,0,0
54,36762,28.942,160,true,23,160,-1,-1,0,0,159,8117,9.3355,6.7649,0,0
55,36768,6.015,160,false,23,160,-1,-1,0,0,159,243,9.3355,6.7649,0,0
56,36785,16.958,161,true,11,161,-1,-1,0,0,159,243,9.3355,6.7649,0,0
57,36810,24.599,161,false,11,161,-1,-1,0,0,160,243,9.2419,6.6148,0,0
58,36819,9.787,161,false,11,161,-1,-1,0,0,160,2917,9.2419,6.6148,0,0
59,36850,30.177,162,true,22,162,-1,-1,0,0,161,8028,9.7596,6.6254,0,0
60,36857,7.374,162,false,22,162,-1,-1,0,0,161,8028,9.7596,6.6254,0,0
61,36875,18.328,163,true,13,163,-1,-1,0,0,161,8028,9.7596,6.6254,0,0
62,36891,15.541,163,false,13,163,-1,-1,0,0,162,8028,9.8758,7.1333,0,0
63,36900,9.578,163,false,13,163,-1,-1,0,0,162,3599,9.8758,7.1333,0,0
64,36929,28.157,164,true,22,164,-1,-1,0,0,162,8693,9.8206,6.7168,0,0
65,36935,6.656,164,false,22,164,-1,-1,0,0,163,354,9.8206,6.7168,0,0
66,36941,5.384,164,false,22,164,-1,-1,0,0,163,354,9.8206,6.7168,0,0
67,36963,22.578,165,true,16,165,-1,-1,0,0,163,354,9.8206,6.7168,0,0
68,36977,13.524,165,false,16,165,-1,-1,0,0,164,354,11.5629,7.0911,0,0
69,36985,8.006,165,false,16,165,-1,-1,0,0,164,2301,11.5629,7.0911,0,0
70,37012,26.912,166,true,21,166,-1,-1,0,0,164,8322,10.3329,6.7129,0,0
71,37018,6.093,166,false,21,166,-1,-1,0,0,165,522,10.3329,6.7129,0,0
72,37038,20.061,167,true,12,167,-1,-1,0,0,165,522,10.3329,6.7129,0,0
73,37053,15.123,167,false,12,167,-1,-1,0,0,166,522,9.2364,6.7321,0,0
74,37062,8.645,167,false,12,167,-1,-1,0,0,166,2963,9.2364,6.7321,0,0
75,37089,26.98,168,true,22,168,-1,-1,0,0,166,7440,10.7788,6.7884,0,0
76,37093,4.155,168,false,22,168,-1,-1,0,0,167,7440,10.7788,6.7884,0,0
77,37112,19.643,169,true,14,169,-1,-1,0,0,167,7440,10.7788,6.7884,0,0
78,37126,13.332,169,false,14,169,-1,-1,0,0,168,7440,10.6781,7.3414,0,0
79,37137,11.281,169,false,14,169,-1,-1,0,0,168,4303,10.6781,7.3414,0,0
80,37144,7.261,169,false,14,169,-1,-1,0,0,168,4303,10.6781,7.3414,0,0
81,37170,25.398,170,true,21,170,-1,-1,0,0,168,8193,10.044,7.3217,0,0
82,37177,7.916,170,false,21,170,-1,-1,0,0,169,449,10.044,7.3217,0,0
83,37192,14.363,171,true,10,171,-1,-1,0,0,169,449,10.044,7.3217,0,0
84,37206,14.01,171,false,10,171,-1,-1,0,0,170,449,9.3187,6.614,0,0
85,37213,7.301,171,false,10,171,-1,-1,0,0,170,2591,9.3187,6.614,0,0
86,37240,27.193,172,true,22,172,-1,-1,0,0,170,8341,9.7911,6.4842,0,0
87,37245,5.128,172,false,22,172,-1,-1,0,0,171,386,9.7911,6.4842,0,0
88,37250,4.636,172,false,22,172,-1,-1,0,0,171,386,9.7911,6.4842,0,0
89,37268,17.944,173,true,14,173,-1,-1,0,0,171,386,9.7911,6.4842,0,0
90,37280,12.383,173,false,14,173,-1,-1,0,0,172,386,10.7003,6.6069,0,0
91,37287,6.803,173,false,14,173,-1,-1,0,0,172,2706,10.7003,6.6069,0,0
92,37314,26.223,174,true,22,174,-1,-1,0,0,173,8082,9.3116,6.5584,0,0
93,37318,4.546,174,false,22,174,-1,-1,0,0,173,208,9.3116,6.5584,0,0
94,37333,15.343,175,true,12,175,-1,-1,0,0,173,208,9.3116,6.5584,0,0
95,37345,12.159,175,false,12,175,-1,-1,0,0,174,208,9.1449,6.5644,0,0
96,37353,7.283,175,false,12,175,-1,-1,0,0,174,2984,9.1449,6.5644,0,0
97,37380,26.957,176,true,23,176,-1,-1,0,0,174,7821,10.5028,6.6034,0,0
98,37384,4.201,176,false,23,176,-1,-1,0,0,175,7821,10.5028,6.6034,0,0
99,37388,3.98,176,false,23,176,-1,-1,0,0,175,7821,10.5028,6.6034,0,0
100,37406,17.889,177,true,13,177,-1,-1,0,0,175,7821,10.5028,6.6034,0,0
101,37421,15.459,177,false,13,177,-1,-1,0,0,176,7821,9.1158,6.5936,0,0
102,37427,6.13,177,false,13,177,-1,-1,0,0,176,2406,9.1158,6.5936,0,0
103,37454,26.338,178,true,22,178,-1,-1,0,0,176,8262,9.4671,6.8243,0,0
104,37459,5.789,178,false,22,178,-1,-1,0,0,177,1392,9.4671,6.8243,0,0
105,37476,16.185,179,true,12,179,-1,-1,0,0,177,1392,9.4671,6.8243,0,0
106,37488,12.037,179,false,12,179,-1,-1,0,0,178,1392,9.46,6.688,0,0
107,37494,6.079,179,false,12,179,-1,-1,0,0,178,2163,9.46,6.688,0,0
108,37523,29.213,180,true,25,180,-1,-1,0,0,179,8022,9.879,6.5968,0,0
109,37528,4.774,180,false,25,180,-1,-1,0,0,179,382,9.879,6.5968,0,0
110,37545,17.572,181,true,12,181,-1,-1,0,0,179,382,9.879,6.5968,0,0
111,37558,12.902,181,false,12,181,-1,-1,0,0,180,382,10.3573,6.6079,0,0
112,37572,13.471,181,false,12,181,-1,-1,0,0,180,2063,10.3573,6.6079,0,0
113,37576,4.314,181,false,12,181,-1,-1,0,0,180,2063,10.3573,6.6079,0,0
114,37601,24.524,182,true,20,182,-1,-1,0,0,180,8671,9.8685,6.6165,0,0
115,37608,7.55,182,false,20,182,-1,-1,0,0,181,1281,9.8685,6.6165,0,0
116,37629,21.196,183,true,10,183,-1,-1,0,0,181,1281,9.7077,6.8261,0,0
117,37643,13.848,183,false,10,183,-1,-1,0,0,182,1281,9.7077,6.8261,0,0
118,37654,10.668,183,false,10,183,-1,-1,0,0,182,3596,9.7077,6.8261,0,0
119,37685,30.912,184,true,23,184,-1,-1,0,0,183,7452,9.4401,6.5592,0,0
120,37692,7.464,184,false,23,184,-1,-1,0,0,183,7452,9.4401,6.5592,0,0
121,37712,19.522,185,true,13,185,-1,-1,0,0,183,7452,9.4401,6.5592,0,0
