frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,33625,3.591,119,false,13,119,-1,-1,0,0,0,7041,0,0,0,0
1,33637,11.859,119,false,13,119,-1,-1,0,0,0,7041,0,0,0,0
2,33668,30.94,120,true,24,120,-1,-1,0,0,0,7482,0,0,0,0
3,33674,5.762,120,false,24,120,-1,-1,0,0,0,7482,0,0,0,0
4,33679,5.023,120,false,24,120,-1,-1,0,0,0,7482,0,0,0,0
5,33698,19.689,121,true,15,121,-1,-1,0,0,0,7482,0,0,0,0
6,33713,14.216,121,false,15,121,-1,-1,0,0,0,7482,0,0,0,0
7,33724,11.623,121,false,15,121,-1,-1,0,0,0,5321,0,0,0,0
8,33750,25.941,122,true,20,122,-1,-1,0,0,0,6413,0,0,0,0
9,33756,5.429,122,false,20,122,-1,-1,0,0,0,6413,0,0,0,0
10,33764,8.313,122,false,20,122,-1,-1,0,0,0,6413,0,0,0,0
11,33785,20.862,123,true,15,123,-1,-1,0,0,0,6413,0,0,0,0
12,33799,14.762,123,false,15,123,-1,-1,0,0,0,6413,0,0,0,0
13,33807,7.931,123,false,15,123,-1,-1,0,0,0,3648,0,0,0,0
14,33834,26.61,124,true,22,124,-1,-1,0,0,0,6950,0,0,0,0
15,33839,5.487,124,false,22,124,-1,-1,0,0,0,6950,0,0,0,0
16,33865,25.76,125,true,18,125,-1,-1,0,0,0,6950,0,0,0,0
17,33877,12.113,125,false,18,125,-1,-1,0,0,0,6950,0,0,0,0
18,33891,13.925,125,false,18,125,-1,-1,0,0,0,6950,0,0,0,0
19,33901,9.559,125,false,18,125,-1,-1,0,0,0,4410,0,0,0,0
20,33907,6.008,125,false,18,125,-1,-1,0,0,0,4410,0,0,0,0
21,33935,28.277,126,true,24,126,-1,-1,0,0,0,6801,0,0,0,0
22,33939,4.111,126,false,24,126,-1,-1,0,0,0,6801,0,0,0,0
23,33956,16.509,127,true,13,127,-1,-1,0,0,0,6801,0,0,0,0
24,33969,12.991,127,false,13,127,-1,-1,0,0,0,6801,0,0,0,0
25,33979,10.224,127,false,13,127,-1,-1,0,0,0,3357,0,0,0,0
26,33984,5.461,127,false,13,127,-1,-1,0,0,0,3357,0,0,0,0
27,34021,36.679,128,true,29,128,-1,-1,0,0,0,7301,0,0,0,0
28,34027,5.766,128,false,29,128,-1,-1,0,0,0,7301,0,0,0,0
29,34149,121.8,129,true,116,129,-1,-1,0,0,0,7301,0,0,0,0
30,34161,12.178,129,false,116,129,-1,-1,0,0,0,7301,0,0,0,0
31,34167,6.737,129,false,116,129,-1,-1,0,0,0,2773,0,0,0,0
32,34172,4.422,129,false,116,129,-1,-1,0,0,0,2773,0,0,0,0
33,34176,3.941,129,false,116,129,-1,-1,0,0,0,2773,0,0,0,0
34,34180,4.322,129,false,116,129,-1,-1,0,0,0,2773,0,0,0,0
35,34185,5.175,129,false,116,129,-1,-1,0,0,0,2773,0,0,0,0
36,34211,25.126,130,true,20,130,-1,-1,0,0,0,7001,0,0,0,0
37,34215,4.895,130,false,20,130,-1,-1,0,0,0,7001,0,0,0,0
38,34220,4.599,130,false,20,130,-1,-1,0,0,0,7001,0,0,0,0
39,34224,3.893,130,false,20,130,-1,-1,0,0,0,7001,0,0,0,0
40,34239,14.817,131,true,11,131,-1,-1,0,0,0,7001,0,0,0,0
41,34251,12.707,131,false,11,131,-1,-1,0,0,0,7001,0,0,0,0
42,34261,9.664,131,false,11,131,-1,-1,0,0,0,2557,0,0,0,0
43,34267,5.601,131,false,11,131,-1,-1,0,0,0,2557,0,0,0,0
44,34271,4.832,131,false,11,131,-1,-1,0,0,0,2557,0,0,0,0
45,34299,27.446,132,true,23,132,-1,-1,0,0,0,7084,0,0,0,0
46,34302,3.121,132,false,23,132,-1,-1,0,0,0,7084,0,0,0,0
47,34307,4.593,132,false,23,132,-1,-1,0,0,0,7084,0,0,0,0
48,34312,5.417,132,false,23,132,-1,-1,0,0,0,7084,0,0,0,0
49,34316,4.031,132,false,23,132,-1,-1,0,0,0,7084,0,0,0,0
50,34336,19.745,133,true,15,133,-1,-1,0,0,0,7084,0,0,0,0
51,34346,10.132,133,false,15,133,-1,-1,0,0,0,7084,0,0,0,0
52,34359,13.246,133,false,15,133,-1,-1,0,0,0,7084,0,0,0,0
53,34366,6.471,133,false,15,133,-1,-1,0,0,0,2666,0,0,0,0
54,34369,2.943,133,false,15,133,-1,-1,0,0,0,2666,0,0,0,0
55,34391,22.684,134,true,19,134,-1,-1,0,0,0,5824,0,0,0,0
56,34398,6.729,134,false,19,134,-1,-1,0,0,0,5824,0,0,0,0
57,34404,6.357,134,false,19,134,-1,-1,0,0,0,5824,0,0,0,0
58,34434,29.281,135,true,25,135,-1,-1,0,0,0,5824,0,0,0,0
59,34447,13.704,135,false,25,135,-1,-1,0,0,0,5824,0,0,0,0
60,34455,7.962,135,false,25,135,-1,-1,0,0,0,2765,0,0,0,0
61,34461,5.199,135,false,25,135,-1,-1,0,0,0,2765,0,0,0,0
62,34487,26.269,136,true,20,136,-1,-1,0,0,0,6049,0,0,0,0
63,34492,4.804,136,false,20,136,-1,-1,0,0,0,6049,0,0,0,0
64,34498,5.926,136,false,20,136,-1,-1,0,0,0,6049,0,0,0,0
65,34515,17.487,137,true,12,137,-1,-1,0,0,0,6049,0,0,0,0
66,34529,13.799,137,false,12,137,-1,-1,0,0,0,6049,0,0,0,0
67,34542,12.788,137,false,12,137,-1,-1,0,0,0,4283,0,0,0,0
68,34546,3.987,137,false,12,137,-1,-1,0,0,0,4283,0,0,0,0
69,34566,20.125,138,true,16,138,-1,-1,0,0,0,5181,0,0,0,0
70,34569,3.676,138,false,16,138,-1,-1,0,0,0,5181,0,0,0,0
71,34573,3.961,138,false,16,138,-1,-1,0,0,0,5181,0,0,0,0
72,34588,15.089,139,true,10,139,-1,-1,0,0,0,5181,0,0,0,0
73,34603,14.164,139,false,10,139,-1,-1,0,0,0,5181,0,0,0,0
74,34610,7.446,139,false,10,139,-1,-1,0,0,0,2993,0,0,0,0
75,34614,3.597,139,false,10,139,-1,-1,0,0,0,2993,0,0,0,0
76,34638,24.473,140,true,20,140,-1,-1,0,0,0,6112,0,0,0,0
77,34643,5.153,140,false,20,140,-1,-1,0,0,0,6112,0,0,0,0
78,34660,17.145,141,true,13,141,-1,-1,0,0,0,6112,0,0,0,0
79,34670,9.727,141,false,13,141,-1,-1,0,0,0,6112,0,0,0,0
80,34683,12.855,141,false,13,141,-1,-1,0,0,0,6112,0,0,0,0
81,34692,8.877,141,false,13,141,-1,-1,0,0,0,2528,0,0,0,0
82,34696,4.473,141,false,13,141,-1,-1,0,0,0,2528,0,0,0,0
83,34723,26.505,142,true,21,142,-1,-1,0,0,0,7388,0,0,0,0
84,34728,5.405,142,false,21,142,-1,-1,0,0,0,7388,0,0,0,0
85,34744,15.792,143,true,11,143,-1,-1,0,0,0,7388,0,0,0,0
86,34758,14.348,143,false,11,143,-1,-1,0,0,0,7388,0,0,0,0
87,34771,12.284,143,false,11,143,-1,-1,0,0,0,5623,0,0,0,0
88,34808,37.29,144,true,28,144,-1,-1,0,0,0,6524,0,0,0,0
89,34814,5.808,144,false,28,144,-1,-1,0,0,0,6524,0,0,0,0
90,34833,18.868,145,true,14,145,-1,-1,0,0,0,6524,0,0,0,0
91,34846,12.84,145,false,14,145,-1,-1,0,0,0,6524,0,0,0,0
92,34856,10.408,145,false,14,145,-1,-1,0,0,0,3149,0,0,0,0
93,34862,5.59,145,false,14,145,-1,-1,0,0,0,3149,0,0,0,0
94,34883,21.898,146,true,16,146,-1,-1,0,0,0,5874,0,0,0,0
95,34888,4.497,146,false,16,146,-1,-1,0,0,0,5874,0,0,0,0
96,34903,14.826,147,true,11,147,-1,-1,0,0,0,5874,0,0,0,0
97,34916,13.668,147,false,11,147,-1,-1,0,0,0,5874,0,0,0,0
98,34924,7.266,147,false,11,147,-1,-1,0,0,0,2469,0,0,0,0
99,34929,5.439,147,false,11,147,-1,-1,0,0,0,2469,0,0,0,0
100,34954,24.468,148,true,19,148,-1,-1,0,0,0,6672,0,0,0,0
101,34960,6.848,148,false,19,148,-1,-1,0,0,0,6672,0,0,0,0
102,34987,26.558,149,true,20,149,-1,-1,0,0,0,6672,0,0,0,0
103,35000,12.702,149,false,20,149,-1,-1,0,0,0,6672,0,0,0,0
104,35015,15.543,149,false,20,149,-1,-1,0,0,0,6672,0,0,0,0
105,35025,9.482,149,false,20,149,-1,-1,0,0,0,3937,0,0,0,0
106,35030,4.984,149,false,20,149,-1,-1,0,0,0,3937,0,0,0,0
107,35060,30.315,150,true,25,150,-1,-1,0,0,0,8031,0,0,0,0
108,35070,9.572,150,false,25,150,-1,-1,0,0,0,3009,0,0,0,0
109,35095,23.69,151,true,17,151,-1,-1,0,0,0,3009,0,0,0,0
110,35111,17.36,151,false,17,151,-1,-1,0,0,0,3009,0,0,0,0
111,35125,14.585,151,false,17,151,-1,-1,0,0,0,3009,0,0,0,0
112,35134,8.606,151,false,17,151,-1,-1,0,0,0,3037,0,0,0,0
113,35139,4.878,151,false,17,151,-1,-1,0,0,0,3037,0,0,0,0
114,35163,24.361,152,true,20,152,-1,-1,0,0,0,6461,0,0,0,0
115,35168,4.64,152,false,20,152,-1,-1,0,0,0,6461,0,0,0,0
116,35188,19.717,153,true,14,153,-1,-1,0,0,0,6461,0,0,0,0
117,35202,14.203,153,false,14,153,-1,-1,0,0,0,6461,0,0,0,0
118,35212,10.15,153,false,14,153,-1,-1,0,0,0,4128,0,0,0,0
119,35233,21.096,154,true,16,154,-1,-1,0,0,0,6124,0,0,0,0
120,35238,5.585,154,false,16,154,-1,-1,0,0,0,6124,0,0,0,0
121,35257,18.555,155,true,13,155,-1,-1,0,0,0,6124,0,0,0,0
122,35270,12.78,155,false,13,155,-1,-1,0,0,0,6124,0,0,0,0
123,35278,7.776,155,false,13,155,-1,-1,0,0,0,3500,0,0,0,0
124,35286,8.294,155,false,13,155,-1,-1,0,0,0,3500,0,0,0,0
125,35316,29.626,156,true,23,156,-1,-1,0,0,0,6777,0,0,0,0
126,35320,4.635,156,false,23,156,-1,-1,0,0,0,6777,0,0,0,0
127,35339,19.284,157,true,13,157,-1,-1,0,0,0,6777,0,0,0,0
128,35352,12.711,157,false,13,157,-1,-1,0,0,0,6777,0,0,0,0
129,35366,14.051,157,false,13,157,-1,-1,0,0,0,6777,0,0,0,0
130,35379,12.306,157,false,13,157,-1,-1,0,0,0,3349,0,0,0,0
131,35402,23.801,158,true,18,158,-1,-1,0,0,0,6276,0,0,0,0
132,35409,6.92,158,false,18,158,-1,-1,0,0,0,6276,0,0,0,0
133,35427,18.08,159,true,13,159,-1,-1,0,0,0,6276,0,0,0,0
134,35438,11.146,159,false,13,159,-1,-1,0,0,0,6276,0,0,0,0
135,35468,29.658,160,true,20,160,-1,-1,0,0,0,6635,0,0,0,0
136,35474,5.587,160,false,20,160,-1,-1,0,0,0,6635,0,0,0,0
137,35493,19.045,161,true,13,161,-1,-1,0,0,0,6635,0,0,0,0
138,35507,13.9,161,false,13,161,-1,-1,0,0,0,6635,0,0,0,0
139,35516,9.299,161,false,13,161,-1,-1,0,0,0,4106,0,0,0,0
140,35522,5.891,161,false,13,161,-1,-1,0,0,0,4106,0,0,0,0
141,35558,36.458,162,true,26,162,-1,-1,0,0,0,6933,0,0,0,0
142,35565,6.58,162,false,26,162,-1,-1,0,0,0,6933,0,0,0,0
143,35585,19.805,163,true,14,163,-1,-1,0,0,0,6933,0,0,0,0
144,35598,13.454,163,false,14,163,-1,-1,0,0,0,6933,0,0,0,0
145,35609,10.805,163,false,14,163,-1,-1,0,0,0,3824,0,0,0,0
146,35639,30.045,164,true,22,164,-1,-1,0,0,0,6756,0,0,0,0
147,35644,5.337,164,false,22,164,-1,-1,0,0,0,6756,0,0,0,0
148,35652,7.219,164,false,22,164,-1,-1,0,0,0,6756,0,0,0,0
149,35671,19.697,165,true,14,165,-1,-1,0,0,0,6756,0,0,0,0
150,35684,13.126,165,false,14,165,-1,-1,0,0,0,6756,0,0,0,0
151,35697,12.989,165,false,14,165,-1,-1,0,0,0,6756,0,0,0,0
152,35704,6.488,165,false,14,165,-1,-1,0,0,0,3023,0,0,0,0
153,35731,26.653,166,true,22,166,-1,-1,0,0,0,6068,0,0,0,0
154,35735,4.34,166,false,22,166,-1,-1,0,0,0,6068,0,0,0,0
155,35767,32.547,167,true,25,167,-1,-1,0,0,0,6068,0,0,0,0
156,35781,14.186,167,false,25,167,-1,-1,0,0,0,6068,0,0,0,0
