"run_index","run_name","mode","category","count","mean_ms","p50_ms","p95_ms","p99_ms","max_ms","ge_16_67_ms_ratio","ge_33_33_ms_ratio","effective_days_per_second","writeback_lag_days","main_wait_on_sim_us","worker_fault_count","completed_days_delta","pulse_count_delta","abi_calls_delta","work_done_delta","budget_yields_delta","runtime_graph_last_elapsed_us","post_pulse_flush_ms","active_worker_plan_ms","active_worker_replay_ms","shadow_diagnostic_plan_ms","shadow_diagnostic_replay_ms"
"1","run-01-off","OFF","all_frames","2073","14.473215147129762","11.581","29.618","41.798","637.031","0.2952243125904486","0.02170767004341534","21.1643378840215","-1","0","0","0","663","663","229656","56","6682","0","0","0","0","0"
"1","run-01-off","OFF","fast_tick_frames","635","25.933971653543303","24.111","34.629","117.204","127.576","0.9543307086614173","0.06771653543307087","21.1643378840215","-1","0","0","0","663","663","229656","56","6682","0","0","0","0","0"
"1","run-01-off","OFF","non_fast_tick_frames","1438","9.41231084840057","7.515","14.656","15.813","637.031","0.004172461752433936","0.0013908205841446453","21.1643378840215","-1","0","0","0","663","663","229656","56","6682","0","0","0","0","0"
"2","run-02-active","ACTIVE","all_frames","2272","13.209924295774634","11.974","27.001","30.912","828.262","0.2847711267605634","0.007482394366197183","26.7882033681768","-1","0","0","804","804","804","277621","94","6146","0","0","0","0","0"
"2","run-02-active","ACTIVE","fast_tick_frames","804","21.67197512437811","21.024","29.374","35.554","119.982","0.7985074626865671","0.018656716417910446","26.7882033681768","-1","0","0","804","804","804","277621","94","6146","0","0","0","0","0"
"2","run-02-active","ACTIVE","non_fast_tick_frames","1468","8.57539509536784","6.19","13.848","15.608","828.262","0.0034059945504087193","0.0013623978201634877","26.7882033681768","-1","0","0","804","804","804","277621","94","6146","0","0","0","0","0"
"3","run-03-active","ACTIVE","all_frames","2331","12.874408408408414","11.803","26.445","29.866","811.914","0.2767052767052767","0.004719004719004719","27.7236282152161","-1","0","0","832","793","793","283915","64","7360","0","0","0","0","0"
"3","run-03-active","ACTIVE","fast_tick_frames","832","21.2853389423077","20.754","28.454","34.706","121.255","0.7704326923076923","0.010817307692307692","27.7236282152161","-1","0","0","832","793","793","283915","64","7360","0","0","0","0","0"
"3","run-03-active","ACTIVE","non_fast_tick_frames","1499","8.206033355570373","5.821","13.553","14.98","811.914","0.00266844563042028","0.00133422281521014","27.7236282152161","-1","0","0","832","793","793","283915","64","7360","0","0","0","0","0"
"4","run-04-off","OFF","all_frames","2072","14.484125482625481","11.6","29.915","38.267","865.267","0.2924710424710425","0.023166023166023165","21.2585381103112","-1","0","0","0","656","656","231347","52","7988","0","0","0","0","0"
"4","run-04-off","OFF","fast_tick_frames","638","25.37739968652036","23.883","36.307","101.312","140.718","0.9420062695924765","0.07210031347962383","21.2585381103112","-1","0","0","0","656","656","231347","52","7988","0","0","0","0","0"
"4","run-04-off","OFF","non_fast_tick_frames","1434","9.637605997210597","7.574","14.558","15.65","865.267","0.003486750348675035","0.001394700139470014","21.2585381103112","-1","0","0","0","656","656","231347","52","7988","0","0","0","0","0"
"5","run-05-off","OFF","all_frames","2052","14.636676413255357","12.419","29.449","36.333","611.317","0.3162768031189084","0.01705653021442495","21.8413350862337","-1","0","0","0","664","664","240190","33","8073","0","0","0","0","0"
"5","run-05-off","OFF","fast_tick_frames","656","25.019887195121953","24.083","33.422","49.548","134.263","0.9710365853658537","0.05030487804878049","21.8413350862337","-1","0","0","0","664","664","240190","33","8073","0","0","0","0","0"
"5","run-05-off","OFF","non_fast_tick_frames","1396","9.75745988538683","8.629","14.985","16.58","611.317","0.008595988538681949","0.0014326647564469914","21.8413350862337","-1","0","0","0","664","664","240190","33","8073","0","0","0","0","0"
"6","run-06-active","ACTIVE","all_frames","2324","12.909861445783138","11.908","25.8","30.559","823.34","0.27925989672977625","0.004733218588640275","28.2973475952854","-1","0","0","850","774","774","281309","46","6753","0","0","0","0","0"
"6","run-06-active","ACTIVE","fast_tick_frames","849","21.091678445229725","20.645","28.839","33.705","125.21","0.7585394581861012","0.01060070671378092","28.2973475952854","-1","0","0","850","774","774","281309","46","6753","0","0","0","0","0"
"6","run-06-active","ACTIVE","non_fast_tick_frames","1475","8.200463050847452","5.733","13.564","14.96","823.34","0.003389830508474576","0.0013559322033898306","28.2973475952854","-1","0","0","850","774","774","281309","46","6753","0","0","0","0","0"
