field,samples,different_samples,max_abs_diff,mean_abs_diff,p95_abs_diff,p95_method,policy_declared,policy_exceeded,best_lag,best_lag_mean_abs_diff,first_tick,first_cell
temp_arr,763200,648109,0.26277800000000007,0.024435542450212348,0.11454900000000001,deterministic_reservoir_50000,False,True,1,0.024192192396163104,112,120
temp_arr_prev,763200,647970,0.26277800000000007,0.02467244396619918,0.11516700000000002,deterministic_reservoir_50000,False,True,2,0.024192530278218917,112,120
moisture_arr,763200,131549,0.990452,0.020953629022536422,0.15218399999999999,deterministic_reservoir_50000,False,True,-1,0.02082838428291517,112,467
moisture_arr_prev,763200,131616,0.939733,0.020921828358228384,0.15033600000000003,deterministic_reservoir_50000,False,True,0,0.020921828358228384,112,467
snow_cover_arr,763200,8641,1.0,0.0029763400458595476,0.0,deterministic_reservoir_50000,False,True,-1,0.002960762014106586,112,1941
snow_cover_arr_prev,763200,8716,1.0,0.0029946611910377464,0.0,deterministic_reservoir_50000,False,True,0,0.0029946611910377464,112,1941
temp_baseline_arr,763200,683340,0.03742699999999999,0.0012547772549783788,0.005672999999999984,deterministic_reservoir_50000,False,True,-1,0.0008775800796760081,112,60
temp_30d_arr,763200,724636,0.027154999999999985,0.001949533487945927,0.008663999999999977,deterministic_reservoir_50000,False,True,-1,0.0014406880616509624,112,60
temp_365d_arr,763200,724731,0.00565199999999999,0.0010653501519916474,0.00301499999999999,deterministic_reservoir_50000,False,True,-1,0.001042767023249725,112,60
temp_anomaly_arr,763200,725040,0.264638,0.06670606275681781,0.170764,deterministic_reservoir_50000,False,True,-2,0.06646976530338929,112,60
sea_ice_frac_arr,763200,100266,0.982251,0.006332828383123353,0.01646700000000001,deterministic_reservoir_50000,False,True,0,0.006332828383123353,112,60
sea_ice_frac_arr_prev,763200,100647,0.982251,0.006396148739517506,0.016256999999999966,deterministic_reservoir_50000,False,True,0,0.006396148739517506,112,60
weather_intensity_arr,763200,325752,0.886706,0.05795128313417449,0.190909,deterministic_reservoir_50000,False,True,0,0.05795128313417449,112,108
weather_cloud_arr,763200,763192,0.355815,0.04759570723008132,0.172722,deterministic_reservoir_50000,False,True,0,0.04759570723008132,112,0
weather_cloud_water_arr,763200,763010,0.212115,0.021122479848008767,0.06059600000000001,deterministic_reservoir_50000,False,True,0,0.021122479848008767,112,0
weather_precip_arr,763200,307042,0.16872,0.020149912450209043,0.085408,deterministic_reservoir_50000,False,True,0,0.020149912450209043,112,108
weather_transition_alpha_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
weather_classification_temp_arr,763200,647970,0.26277800000000007,0.02467244396619918,0.11352899999999999,deterministic_reservoir_50000,False,True,2,0.024192530278218917,112,120
weather_classification_moisture_arr,763200,131616,0.939733,0.020921828358228384,0.15310299999999996,deterministic_reservoir_50000,False,True,0,0.020921828358228384,112,467
weather_vapor_arr,763200,763200,0.465843,0.08631448602986615,0.23456499999999997,deterministic_reservoir_50000,False,True,0,0.08631448602986615,112,0
weather_convergence_arr,763200,753902,1.0,0.37443747086214446,0.613218,deterministic_reservoir_50000,False,True,-2,0.37442526841665413,112,0
weather_instability_arr,763200,664998,0.870781,0.16385435575210242,0.40854100000000004,deterministic_reservoir_50000,False,True,0,0.16385435575210242,112,110
weather_field_init_arr,763200,763200,1.0,1.0,1.0,deterministic_reservoir_50000,False,True,-2,1.0,112,0
air_mass_temp_anomaly_arr,763200,756218,0.12473100000000001,0.04387815803983308,0.089043,deterministic_reservoir_50000,False,True,-2,0.04372673575781313,112,0
ocean_thermal_anomaly_arr,763200,567182,0.160002,0.035652842548541654,0.103934,deterministic_reservoir_50000,False,True,-1,0.03562515613120042,112,65
local_thermal_anomaly_arr,763200,302694,0.113754,0.005219106850105618,0.032896999999999996,deterministic_reservoir_50000,False,True,1,0.00521457561382835,112,0
has_river_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
river_flow_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
river_downstream_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
hydro_parent_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
river_discharge_arr,763200,461312,313.132111,3.766792829483507,10.849196,deterministic_reservoir_50000,False,True,2,3.75360806891851,112,0
river_discharge_30d_arr,763200,519836,0.999977,0.10861917669287147,0.49774899999999994,deterministic_reservoir_50000,False,True,2,0.10860914256329043,112,0
river_storage_arr,763200,439204,49.153778,0.16236050449682646,0.341724,deterministic_reservoir_50000,False,True,2,0.16160868648731236,112,0
groundwater_storage_arr,763200,171734,0.764024,0.029726628301887513,0.215552,deterministic_reservoir_50000,False,True,2,0.029642789124473195,112,467
surface_runoff_arr,763200,269096,2.864397,0.14343218095912663,0.8721,deterministic_reservoir_50000,False,True,2,0.1430028377320747,112,423
ema_initialized_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
temp_season_offset_arr,763200,292846,0.011346000000000023,0.0006377038469601187,0.004198000000000004,deterministic_reservoir_50000,False,True,-1,0.0006236122740334339,112,182
insolation_now_arr,763200,224580,0.021492999999999984,0.001509600157232611,0.008790999999999993,deterministic_reservoir_50000,False,True,-1,0.0015052445141064818,113,60
insolation_dev_arr,763200,224580,0.021491999999999997,0.001509599842767175,0.00875200000000001,deterministic_reservoir_50000,False,True,-1,0.0015052452978056082,113,60
day_length_arr,763200,302280,0.11394700000000002,0.0009615583333334489,0.004280999999999979,deterministic_reservoir_50000,False,True,0,0.0009615583333334489,113,120
heat_input_arr,763200,224580,0.021492999999999984,0.001509600157232611,0.00862699999999994,deterministic_reservoir_50000,False,True,-1,0.0015052445141064818,113,60
thermal_energy_arr,763200,683340,0.03742699999999999,0.0012547772549783788,0.00575799999999993,deterministic_reservoir_50000,False,True,-1,0.0008775800796760081,112,60
snowpack_arr,763200,7670,0.32,0.0008788695990566006,0.0,deterministic_reservoir_50000,False,True,0,0.0008788695990566006,112,1941
water_balance_30d_arr,763200,172356,0.314694,0.008025254119496885,0.045593999999999996,deterministic_reservoir_50000,False,True,-2,0.008003769408854137,112,467
vegetation_vitality_arr,763200,172356,0.728532,0.014242648810267718,0.06602200000000003,deterministic_reservoir_50000,False,True,0,0.014242648810267718,112,467
vitality_low_streak_arr,763200,23582,190.0,2.498506289308176,0.0,deterministic_reservoir_50000,False,True,-2,2.4915625,112,518
vitality_high_streak_arr,763200,20950,190.0,1.647458071278826,0.0,deterministic_reservoir_50000,False,True,0,1.647458071278826,112,745
soil_moisture_arr,763200,649202,0.349587,0.027608791910375196,0.10176999999999999,deterministic_reservoir_50000,False,True,-1,0.027604847822620505,112,117
vegetation_growth_pressure_arr,763200,172356,1.102759,0.018141096082287506,0.10330099999999999,deterministic_reservoir_50000,False,True,0,0.018141096082287506,112,467
temperature_transport_anomaly_arr,763200,617012,0.349723,0.05558992613469534,0.172707,deterministic_reservoir_50000,False,True,-2,0.055582453359374694,112,65
vegetation_heat_stress_arr,763200,19640,0.662386,0.0010533645151990917,0.0,deterministic_reservoir_50000,False,True,0,0.0010533645151990917,112,915
vegetation_drought_stress_arr,763200,2216,1.0,0.0006387257887840697,0.0,deterministic_reservoir_50000,False,True,-2,0.000635356658854169,112,640
vegetation_cold_stress_arr,763200,3542,0.271356,0.00038572114517819163,0.0,deterministic_reservoir_50000,False,True,0,0.00038572114517819163,112,516
vegetation_regen_score_arr,763200,317542,0.998866,0.21321615048491896,0.956103,deterministic_reservoir_50000,False,True,2,0.2132127408176264,112,407
elevation_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
base_moisture_arr,763200,169963,0.294458,0.00831862551886792,0.05601999999999996,deterministic_reservoir_50000,False,True,-2,0.008285899624999997,112,467
ocean_current_x_arr,763200,585048,0.65,0.08370379308176967,0.410642,deterministic_reservoir_50000,False,True,0,0.08370379308176967,112,0
ocean_current_y_arr,763200,585090,0.330067,0.016648119536161504,0.083517,deterministic_reservoir_50000,False,True,0,0.016648119536161504,112,0
wind_x_arr,763200,763176,1.953144,0.08518975475629277,0.36152999999999996,deterministic_reservoir_50000,False,True,0,0.08518975475629277,112,0
wind_y_arr,763200,763098,1.996097,0.08904538582285434,0.29868,deterministic_reservoir_50000,False,True,0,0.08904538582285434,112,0
slp_arr,763200,763164,0.107734,0.01185649794287216,0.029156000000000015,deterministic_reservoir_50000,False,True,0,0.01185649794287216,112,0
wind_speed_arr,763200,763144,0.7566160000000001,0.047784029389404965,0.2278809999999999,deterministic_reservoir_50000,False,True,0,0.047784029389404965,112,0
upwelling_strength_arr,763200,243814,1.605868,0.0825342936217313,0.775045,deterministic_reservoir_50000,False,True,0,0.0825342936217313,112,0
wind_stress_curl_arr,763200,585120,3.986914,0.29483184996066514,1.498867,deterministic_reservoir_50000,False,True,0,0.29483184996066514,112,0
ocean_psi_arr,763200,585120,10.184132,0.8816860174922095,4.90314,deterministic_reservoir_50000,False,True,0,0.8816860174922095,112,0
cell_pos_x_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
cell_pos_y_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
cell_lat_norm_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
temp_baseline_year_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
terrain_arr,763200,129861,20.0,3.083456498951782,20.0,deterministic_reservoir_50000,False,True,2,3.0803744725738396,112,0
landform_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
vegetation_arr,763200,19666,22.0,0.1373427672955975,0.0,deterministic_reservoir_50000,False,True,-2,0.1365625,112,745
has_volcano_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
is_lake_seed_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
base_terrain_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
base_landform_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
base_vegetation_arr,763200,19666,22.0,0.1373427672955975,0.0,deterministic_reservoir_50000,False,True,-2,0.1365625,112,745
cover_arr,763200,130986,4.0,0.4774855870020964,3.0,deterministic_reservoir_50000,False,True,-2,0.4772825520833333,112,0
weather_type_arr,763200,268250,7.0,0.992109538784067,6.0,deterministic_reservoir_50000,False,True,-2,0.9920104166666667,112,108
weather_prev_type_arr,763200,268250,7.0,0.992109538784067,6.0,deterministic_reservoir_50000,False,True,-2,0.9920104166666667,112,108
weather_target_type_arr,763200,268250,7.0,0.992109538784067,6.0,deterministic_reservoir_50000,False,True,-2,0.9920104166666667,112,108
is_water_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
country_slot_arr,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
climate_dirty_mask,763200,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
weather_dirty_mask,763200,754200,1.0,0.9882075471698113,1.0,deterministic_reservoir_50000,False,True,2,0.9881329113924051,112,0
