field,samples,different_samples,max_abs_diff,mean_abs_diff,p95_abs_diff,p95_method,policy_declared,policy_exceeded,best_lag,best_lag_mean_abs_diff,first_tick,first_cell
temp_arr,240000,203848,0.2560659999999999,0.025942609000000665,0.12279200000000001,deterministic_reservoir_50000,True,False,2,0.02563984320153086,122,60
temp_arr_prev,240000,203913,0.2548659999999999,0.0262176177750002,0.12467100000000009,deterministic_reservoir_50000,True,False,2,0.02574163727891211,122,60
moisture_arr,240000,41995,0.990633,0.021115158020833403,0.14731799999999995,deterministic_reservoir_50000,True,False,0,0.021115158020833403,122,467
moisture_arr_prev,240000,42037,0.990633,0.021287680712499986,0.14457300000000006,deterministic_reservoir_50000,True,False,0,0.021287680712499986,122,467
snow_cover_arr,240000,3287,1.0,0.0038496515874999414,0.0,deterministic_reservoir_50000,True,False,2,0.0037956087627550763,122,1941
snow_cover_arr_prev,240000,3351,1.0,0.0038654996124999454,0.0,deterministic_reservoir_50000,True,False,2,0.0038117802168367073,122,1941
temp_baseline_arr,240000,210947,0.027903999999999984,0.0025723453583330618,0.012621999999999911,deterministic_reservoir_50000,True,False,-2,0.0015636011819727708,122,60
temp_30d_arr,240000,227943,0.03433900000000001,0.0054013463166664695,0.018365999999999993,deterministic_reservoir_50000,True,False,-2,0.0032775044600337894,122,60
temp_365d_arr,240000,227972,0.007282999999999984,0.001808368195833403,0.0047439999999999705,deterministic_reservoir_50000,True,False,2,0.0012873274192175825,122,60
temp_anomaly_arr,240000,227992,0.264034,0.06473771437082952,0.17762,deterministic_reservoir_50000,True,False,-2,0.06409185710033616,122,60
sea_ice_frac_arr,240000,28957,0.965275,0.00617464126666661,0.016417000000000015,deterministic_reservoir_50000,True,False,-2,0.005485038724489882,122,0
sea_ice_frac_arr_prev,240000,28973,0.965275,0.0060141444583332905,0.01673799999999992,deterministic_reservoir_50000,True,False,-2,0.005429900684523821,122,0
weather_intensity_arr,240000,99496,0.880181,0.051692562033333084,0.179913,deterministic_reservoir_50000,True,False,-2,0.05162276023809508,122,110
weather_cloud_arr,240000,239992,0.35574599999999995,0.04674343896666536,0.161945,deterministic_reservoir_50000,True,False,-2,0.046681348707481515,122,0
weather_cloud_water_arr,240000,239956,0.17579,0.021757736183335066,0.06116100000000001,deterministic_reservoir_50000,True,False,-2,0.021681187976191774,122,0
weather_precip_arr,240000,94040,0.16094,0.01930751888333287,0.083544,deterministic_reservoir_50000,True,False,-2,0.019286695051020084,122,110
weather_transition_alpha_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
weather_classification_temp_arr,240000,203913,0.2548659999999999,0.0262176177750002,0.12309199999999998,deterministic_reservoir_50000,True,False,2,0.02574163727891211,122,60
weather_classification_moisture_arr,240000,42037,0.990633,0.021287680712499986,0.14658800000000005,deterministic_reservoir_50000,True,False,0,0.021287680712499986,122,467
weather_vapor_arr,240000,239996,0.437848,0.08398686446667568,0.225489,deterministic_reservoir_50000,True,False,2,0.08397643182823793,122,0
weather_convergence_arr,240000,236916,1.0,0.3738940763499954,0.612392,deterministic_reservoir_50000,True,False,0,0.3738940763499954,122,0
weather_instability_arr,240000,209872,0.864447,0.1627783229166604,0.41276,deterministic_reservoir_50000,True,False,0,0.1627783229166604,122,101
weather_field_init_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
air_mass_temp_anomaly_arr,240000,236802,0.109712,0.04490536422499998,0.093974,deterministic_reservoir_50000,True,False,-2,0.04468776477891132,122,0
ocean_thermal_anomaly_arr,240000,177077,0.16,0.03429471559999384,0.096676,deterministic_reservoir_50000,True,False,1,0.03420912982743508,122,65
local_thermal_anomaly_arr,240000,95432,0.113754,0.0054536508125005104,0.035921999999999996,deterministic_reservoir_50000,True,False,1,0.005445288514310302,122,0
has_river_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
river_flow_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
river_downstream_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
hydro_parent_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
river_discharge_arr,240000,143256,310.393341,3.7755123744668837,11.193853,deterministic_reservoir_50000,True,False,2,3.73825948260228,122,0
river_discharge_30d_arr,240000,165832,0.999975,0.1047885944833336,0.504552,deterministic_reservoir_50000,True,False,2,0.10472147511054311,122,0
river_storage_arr,240000,136040,48.740234,0.14640008443335037,0.283743,deterministic_reservoir_50000,True,False,2,0.14436193481293844,122,0
groundwater_storage_arr,240000,53868,0.65428,0.03135399738333342,0.224065,deterministic_reservoir_50000,True,False,2,0.031027185603741587,122,467
surface_runoff_arr,240000,82560,2.296888,0.13513756641666905,0.823787,deterministic_reservoir_50000,True,False,2,0.13409584000850552,122,427
ema_initialized_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
temp_season_offset_arr,240000,83198,0.01264599999999999,0.00045053203749997585,0.0033090000000000064,deterministic_reservoir_50000,True,False,0,0.00045053203749997585,122,180
insolation_now_arr,240000,56880,0.018569000000000058,0.0008026055000001402,0.004855000000000054,deterministic_reservoir_50000,True,False,0,0.0008026055000001402,123,60
insolation_dev_arr,240000,56880,0.01856800000000003,0.0008026090000001301,0.0048850000000000005,deterministic_reservoir_50000,True,False,0,0.0008026090000001301,123,60
day_length_arr,240000,88680,0.03143600000000002,0.0005448200000000782,0.0027369999999999894,deterministic_reservoir_50000,True,False,0,0.0005448200000000782,123,180
heat_input_arr,240000,56880,0.018569000000000058,0.0008026055000001402,0.0047319999999999585,deterministic_reservoir_50000,True,False,0,0.0008026055000001402,123,60
thermal_energy_arr,240000,210947,0.027903999999999984,0.0025723453583330618,0.012881000000000031,deterministic_reservoir_50000,True,False,-2,0.0015636011819727708,122,60
snowpack_arr,240000,2852,0.32,0.0011193140666666626,0.0,deterministic_reservoir_50000,True,False,2,0.0011007121003401307,122,1941
water_balance_30d_arr,240000,54200,0.310156,0.010028616466666713,0.052071000000000006,deterministic_reservoir_50000,True,False,-2,0.00998878894557829,122,467
vegetation_vitality_arr,240000,54200,0.5990500000000001,0.010592370199997727,0.05286100000000005,deterministic_reservoir_50000,True,False,0,0.010592370199997727,122,467
vitality_low_streak_arr,240000,7796,190.0,2.9925,0.0,deterministic_reservoir_50000,True,False,0,2.9925,122,518
vitality_high_streak_arr,240000,6036,190.0,1.3525,0.0,deterministic_reservoir_50000,True,False,0,1.3525,122,745
soil_moisture_arr,240000,193464,0.353668,0.027486729287501035,0.104934,deterministic_reservoir_50000,True,False,2,0.027383077189626605,122,117
vegetation_growth_pressure_arr,240000,54200,0.8218179999999999,0.01818476878333303,0.10113900000000003,deterministic_reservoir_50000,True,False,0,0.01818476878333303,122,467
temperature_transport_anomaly_arr,240000,191740,0.340703,0.05230325396666527,0.16586,deterministic_reservoir_50000,True,False,2,0.05224069963435217,122,65
vegetation_heat_stress_arr,240000,5880,0.535312,0.0010255507333333334,0.0,deterministic_reservoir_50000,True,False,0,0.0010255507333333334,122,915
vegetation_drought_stress_arr,240000,744,0.316902,0.0004544152833333325,0.0,deterministic_reservoir_50000,True,False,-2,0.00044946634353741416,122,640
vegetation_cold_stress_arr,240000,1040,0.169797,0.0003095331500000034,0.0,deterministic_reservoir_50000,True,False,0,0.0003095331500000034,122,516
vegetation_regen_score_arr,240000,99812,0.998866,0.21460040033333425,0.956103,deterministic_reservoir_50000,True,False,-2,0.21458647970238157,122,407
elevation_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
base_moisture_arr,240000,54200,0.15922,0.0061202325583333056,0.04186400000000001,deterministic_reservoir_50000,True,False,0,0.0061202325583333056,122,467
ocean_current_x_arr,240000,184000,0.65,0.08158935144166543,0.402422,deterministic_reservoir_50000,True,False,0,0.08158935144166543,122,0
ocean_current_y_arr,240000,184000,0.325157,0.016868964683330705,0.08734800000000001,deterministic_reservoir_50000,True,False,0,0.016868964683330705,122,0
wind_x_arr,240000,240000,1.952399,0.08682819027500048,0.37204600000000004,deterministic_reservoir_50000,True,False,0,0.08682819027500048,122,0
wind_y_arr,240000,239988,1.9857960000000001,0.08953843349999976,0.292051,deterministic_reservoir_50000,True,False,0,0.08953843349999976,122,0
slp_arr,240000,239988,0.107836,0.011343168833332943,0.032349,deterministic_reservoir_50000,True,False,0,0.011343168833332943,122,0
wind_speed_arr,240000,240000,0.7567759999999999,0.04974025643333881,0.23713099999999998,deterministic_reservoir_50000,True,False,0,0.04974025643333881,122,0
upwelling_strength_arr,240000,75304,1.465813,0.07813710764164948,0.621643,deterministic_reservoir_50000,True,False,0,0.07813710764164948,122,0
wind_stress_curl_arr,240000,184000,3.974036,0.3061758924833282,1.5597720000000002,deterministic_reservoir_50000,True,False,0,0.3061758924833282,122,0
ocean_psi_arr,240000,184000,9.909006,0.9562377058167122,5.020333,deterministic_reservoir_50000,True,False,2,0.9560579752211372,122,0
cell_pos_x_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
cell_pos_y_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
cell_lat_norm_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
temp_baseline_year_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
terrain_arr,240000,39117,20.0,2.9344083333333333,20.0,deterministic_reservoir_50000,True,False,-2,2.933001700680272,122,0
landform_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
vegetation_arr,240000,3108,22.0,0.07083333333333333,0.0,deterministic_reservoir_50000,True,False,-2,0.06989795918367347,122,745
has_volcano_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
is_lake_seed_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
base_terrain_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
base_landform_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
base_vegetation_arr,240000,3108,22.0,0.07083333333333333,0.0,deterministic_reservoir_50000,True,False,-2,0.06989795918367347,122,745
cover_arr,240000,41089,4.0,0.4606708333333333,3.0,deterministic_reservoir_50000,True,False,2,0.46036989795918365,122,0
weather_type_arr,240000,80344,7.0,0.9532,6.0,deterministic_reservoir_50000,True,False,-2,0.9508163265306122,122,110
weather_prev_type_arr,240000,80344,7.0,0.9532,6.0,deterministic_reservoir_50000,True,False,-2,0.9508163265306122,122,110
