driver_day,committed_day,native_ms,command_preflight_ms,command_apply_ms,aggregate_publish_ms,report_build_ms,wrapper_ms
1,1,0.0392,0.024,0.0024,0.0128,0.0203,0.655
2,2,0.0184,0.0089,0.001,0.0085,0.0225,0.623
3,3,0.0293,0.0117,0.0014,0.0162,0.0512,0.847
4,4,0.0157,0.0059,0.0005,0.0093,0.0209,0.642
5,5,0.0127,0.0044,0.0007,0.0076,0.0191,0.713
6,6,0.0446,0.0278,0.0057,0.0111,0.0209,0.642
7,7,0.0149,0.0058,0.0006,0.0085,0.0197,0.61
8,8,0.024,0.0086,0.0012,0.0142,0.0306,0.86
9,9,0.021,0.0089,0.0014,0.0107,0.0275,0.705
10,10,0.0142,0.0049,0.0006,0.0087,0.0212,0.586
11,11,0.0185,0.0064,0.0009,0.0112,0.0292,0.642
12,12,0.0139,0.0048,0.0006,0.0085,0.0191,0.571
13,13,0.0147,0.0053,0.0004,0.009,0.0192,0.618
14,14,0.0142,0.005,0.0008,0.0084,0.0191,0.559
15,15,0.0159,0.0058,0.0012,0.0089,0.0211,0.593
16,16,0.017,0.0059,0.0008,0.0103,0.0251,0.653
17,17,0.0171,0.0062,0.0007,0.0102,0.0219,0.625
18,18,0.0152,0.0055,0.0006,0.0091,0.0197,0.598
19,19,0.0267,0.0097,0.001,0.016,0.0447,0.91
20,20,0.0194,0.0077,0.0009,0.0108,0.0331,0.656
21,21,0.0243,0.0089,0.0011,0.0143,0.029,0.795
22,22,0.0164,0.007,0.0006,0.0088,0.0189,0.6
23,23,0.0153,0.0054,0.0009,0.009,0.0288,0.682
24,24,0.0161,0.0059,0.0007,0.0095,0.022,0.613
25,25,0.0225,0.008,0.0015,0.013,0.0283,0.712
26,26,0.0183,0.0064,0.0008,0.0111,0.0241,0.655
27,27,0.0213,0.0063,0.0009,0.0141,0.0384,1.095
28,28,0.0163,0.0054,0.0006,0.0103,0.0223,0.608
29,29,0.0192,0.0065,0.0007,0.012,0.0271,0.648
30,30,0.0145,0.0052,0.0006,0.0087,0.0212,0.6
31,31,0.0147,0.0051,0.0006,0.009,0.0237,0.599
32,32,0.0202,0.0075,0.0006,0.0121,0.0401,0.839
33,33,0.0155,0.0057,0.0005,0.0093,0.0213,0.595
34,34,0.015,0.0055,0.0006,0.0089,0.0209,0.612
35,35,0.0135,0.0047,0.0005,0.0083,0.019,0.581
36,36,0.0138,0.0056,0.0005,0.0077,0.0193,0.584
37,37,0.0148,0.0054,0.0007,0.0087,0.0204,0.58
38,38,0.0143,0.0052,0.0005,0.0086,0.0192,0.567
39,39,0.016,0.0062,0.0005,0.0093,0.0237,0.889
40,40,0.0159,0.006,0.0005,0.0094,0.0232,0.612
41,41,0.0157,0.0059,0.0005,0.0093,0.0219,0.641
42,42,0.0156,0.0061,0.0005,0.009,0.0203,0.619
43,43,0.0142,0.005,0.0006,0.0086,0.0177,0.555
44,44,0.0187,0.0076,0.0007,0.0104,0.0215,0.623
45,45,0.0142,0.005,0.0006,0.0086,0.0194,0.643
46,46,0.0147,0.0052,0.0005,0.009,0.0203,0.572
47,47,0.0156,0.0056,0.0006,0.0094,0.0197,0.599
48,48,0.0141,0.0055,0.0006,0.008,0.0186,0.587
49,49,0.0148,0.0055,0.0006,0.0087,0.021,0.575
50,50,0.0135,0.005,0.0004,0.0081,0.0184,0.552
51,51,0.0126,0.0043,0.0005,0.0078,0.0186,0.555
52,52,0.0157,0.0062,0.0006,0.0089,0.0224,0.602
53,53,0.0143,0.0051,0.0007,0.0085,0.0216,0.613
54,54,0.0132,0.0047,0.0005,0.008,0.0207,0.559
55,55,0.0147,0.0052,0.0005,0.009,0.0195,0.566
56,56,0.0128,0.0043,0.0005,0.008,0.0205,0.564
57,57,0.0168,0.0065,0.0005,0.0098,0.0193,0.601
58,58,0.0184,0.0064,0.0008,0.0112,0.0224,0.6
59,59,0.0163,0.0062,0.0006,0.0095,0.0217,0.612
60,60,0.016,0.0054,0.0006,0.01,0.0197,0.58
61,61,0.0203,0.0075,0.0009,0.0119,0.0282,0.617
62,62,0.0152,0.006,0.0005,0.0087,0.0173,0.564
63,63,0.0144,0.0052,0.0006,0.0086,0.0195,0.59
64,64,0.0132,0.0049,0.0004,0.0079,0.0193,0.552
65,65,0.0153,0.0058,0.0005,0.009,0.0181,0.561
66,66,0.0203,0.0073,0.0007,0.0123,0.0242,0.633
67,67,0.0146,0.0056,0.0005,0.0085,0.0185,0.579
68,68,0.0207,0.008,0.0005,0.0122,0.0262,0.683
69,69,0.0146,0.0056,0.0007,0.0083,0.021,0.595
70,70,0.014,0.0048,0.0004,0.0088,0.0206,0.63
71,71,0.0204,0.0067,0.0012,0.0125,0.029,0.671
72,72,0.0134,0.0048,0.0006,0.008,0.0175,0.568
73,73,0.0162,0.0054,0.0009,0.0099,0.0233,0.764
74,74,0.0136,0.0048,0.0008,0.008,0.0217,0.577
75,75,0.0241,0.0093,0.0012,0.0136,0.0329,0.751
76,76,0.0157,0.0062,0.0006,0.0089,0.0216,0.601
