stage,stage_name,field,map_data_array,comparable,compared_days,diverged_days,diverged_cells,first_diverged_day,first_cell,max_abs_delta,first_reference,first_worker,note
10,CLIMATE_FEEDBACK,temperature,temp_arr,true,30,30,71997,1,0,0.414830804,0,0.00240791775,
0,PASS_A,temperature_30d_ema,temp_30d_arr,true,30,30,68040,1,60,0.008736193,0.0266841967,0.0266441703,
0,PASS_A,temperature_365d_ema,temp_365d_arr,true,30,30,67926,1,180,0.005542845,0.137926027,0.137920305,
0,PASS_A,temperature_baseline,temp_baseline_arr,true,30,30,67926,1,180,0.264382213,0.133820727,0.131730124,
0,PASS_A,thermal_energy,thermal_energy_arr,true,30,30,67926,1,180,0.346063972,0.133820727,0.131730124,
13,STAGE_B_AFTER_HYDROLOGY,moisture,moisture_arr,true,30,30,67513,1,34,0.782907113,0.993113637,0.992002308,
12,RUNTIME_HYDROLOGY,plant_available_water,plant_available_water_arr,true,30,30,51874,1,34,1.0,0.993113637,1,
12,RUNTIME_HYDROLOGY,water_balance_30d,water_balance_30d_arr,true,30,30,71767,1,0,0.972096264,0,0.972089887,
11,WEATHER,weather_precipitation,weather_precip_arr,true,30,30,66738,1,0,0.180224627,0,0.16269736,
11,WEATHER,weather_intensity,weather_intensity_arr,true,30,30,66739,1,0,0.752125263,0,0.65078944,
11,WEATHER,vapor,weather_vapor_arr,true,30,30,72000,1,0,1.0,0,1,
11,WEATHER,cloud_water,weather_cloud_water_arr,true,30,30,69904,1,0,0.652142167,0,0.650267482,
11,WEATHER,cloud_cover,weather_cloud_arr,true,30,30,69904,1,0,1.0,0,1,
4,WIND_AIR,convergence,weather_convergence_arr,true,30,30,71949,1,0,0.96734339,0,0.013377321,
11,WEATHER,instability,weather_instability_arr,true,30,30,71997,1,0,0.998729189,0,0.000200659808,
11,WEATHER,weather_type,weather_type_arr,true,30,30,60363,1,0,7.0,0,2,
11,WEATHER,weather_transition,weather_transition_alpha_arr,false,0,0,0,-1,0,0.0,,,store is uint8 but weather_transition_alpha_arr is PackedFloat32Array
6,SEA_ICE,snow_cover,snow_cover_arr,true,30,30,4026,1,461,1.0,0,0.00999999978,
12,RUNTIME_HYDROLOGY,snowpack,snowpack_arr,true,30,30,4026,1,461,0.800000012,0.800000012,0.00999999978,
6,SEA_ICE,sea_ice,sea_ice_frac_arr,true,30,30,11579,1,0,0.687112898,0.39800027,0,
12,RUNTIME_HYDROLOGY,runoff,surface_runoff_arr,true,30,30,32287,1,0,1.095847845,0,0.149999976,
12,RUNTIME_HYDROLOGY,groundwater,groundwater_storage_arr,true,30,30,29005,1,0,0.213001058,0,0.0224999972,
12,RUNTIME_HYDROLOGY,river_storage,river_storage_arr,true,30,30,35703,1,0,15.217887878,0,0.149999976,
12,RUNTIME_HYDROLOGY,river_discharge,river_discharge_arr,true,30,30,37048,1,0,98.368103027,0,0.00299999956,
12,RUNTIME_HYDROLOGY,riparian_moisture,riparian_moisture_arr,false,0,0,0,-1,0,0.0,,,map_data.gd declares no riparian_moisture_arr
9,VEGETATION_DYNAMICS,vegetation_vitality,vegetation_vitality_arr,true,30,30,31618,1,0,0.99984169,0,0.5,
7,TRANSPIRATION,vegetation_growth_pressure,vegetation_growth_pressure_arr,true,30,30,33588,1,97,0.999813676,0.0162705183,0,
9,VEGETATION_DYNAMICS,vegetation_heat_stress,vegetation_heat_stress_arr,true,30,30,870,1,1043,0.44241634,0.144461542,0,
9,VEGETATION_DYNAMICS,vegetation_drought_stress,vegetation_drought_stress_arr,true,30,30,51440,1,34,1.0,0,0.00688636303,
9,VEGETATION_DYNAMICS,vegetation_cold_stress,vegetation_cold_stress_arr,true,30,30,9362,1,160,0.613669634,0.422186255,0,
9,VEGETATION_DYNAMICS,vegetation_growth_streak,vitality_high_streak_arr,true,30,24,864,7,808,100.0,100,0,
9,VEGETATION_DYNAMICS,vegetation_drought_streak,vitality_low_streak_arr,true,30,30,26613,1,289,100.0,0,1,
9,VEGETATION_DYNAMICS,vegetation_succession_candidate,vegetation_regen_score_arr,false,0,0,0,-1,0,0.0,,,store is a uint8 flag but vegetation_regen_score_arr is a float score
