stage,stage_name,field,map_data_array,comparable,tolerance_band,compared_days,out_of_band_days,out_of_band_cells,first_out_of_band_day,max_out_of_band_delta,diverged_days,diverged_cells,first_diverged_day,first_cell,max_abs_delta,first_reference,first_worker,note
10,CLIMATE_FEEDBACK,temperature,temp_arr,true,0.005,90,2,10,7,0.027650893,2,13,7,1898,0.027650893,0.655572176,0.667245567,
0,PASS_A,temperature_30d_ema,temp_30d_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
0,PASS_A,temperature_365d_ema,temp_365d_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
0,PASS_A,temperature_baseline,temp_baseline_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
0,PASS_A,thermal_energy,thermal_energy_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
10,CLIMATE_FEEDBACK,moisture,moisture_arr,true,0.005,90,1,1140,28,0.782491356,1,1190,28,99,0.782491356,1,0.946716428,
12,RUNTIME_HYDROLOGY,plant_available_water,plant_available_water_arr,true,0.005,90,1,1124,28,0.642824471,2,1835,7,95,0.642824471,0.56611532,0.56611526,
12,RUNTIME_HYDROLOGY,water_balance_30d,water_balance_30d_arr,true,0.005,90,0,0,-1,0.0,2,2271,7,95,0.003571272,-7.28528248e-05,-7.31260225e-05,
11,WEATHER,weather_precipitation,weather_precip_arr,true,0.001,90,1,3,7,0.041519552,1,3,7,215,0.041519552,0,0.0369114764,
11,WEATHER,weather_intensity,weather_intensity_arr,true,0.001,90,1,3,7,0.07237336,1,3,7,215,0.07237336,0,0.0494871326,
11,WEATHER,vapor,weather_vapor_arr,true,0.001,90,1,1137,7,0.055130467,1,1629,7,214,0.055130467,0.0958458707,0.0989963412,
11,WEATHER,cloud_water,weather_cloud_water_arr,true,0.001,90,1,686,7,0.040168968,1,1222,7,158,0.040168968,0.0375931859,0.038719248,
11,WEATHER,cloud_cover,weather_cloud_arr,true,0.001,90,1,751,7,0.120511077,1,1109,7,214,0.120511077,0.010947274,0.0130357314,
4,WIND_AIR,convergence,weather_convergence_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
11,WEATHER,instability,weather_instability_arr,true,0.001,90,1,1014,7,0.068654478,1,1386,7,158,0.068654478,0.0260773823,0.0296093747,
11,WEATHER,weather_type,weather_type_arr,true,0.001,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
11,WEATHER,weather_prev_type,weather_prev_type_arr,true,0.001,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
11,WEATHER,weather_target_type,weather_target_type_arr,true,0.001,90,1,3,7,3.0,1,3,7,215,3.0,0,3,
11,WEATHER,weather_transition_alpha,weather_transition_alpha_arr,true,0.001,90,1,3,7,0.349999994,1,3,7,215,0.349999994,0,0.349999994,
11,WEATHER,snow_cover,snow_cover_arr,true,0.001,90,1,42,7,0.09743768,1,47,7,245,0.09743768,0.131383777,0.0870709792,
11,WEATHER,snowpack,snowpack_arr,true,0.001,90,1,41,7,0.021776438,1,47,7,245,0.021776438,0.0420428067,0.0278627127,
6,SEA_ICE,sea_ice,sea_ice_frac_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,runoff,surface_runoff_arr,true,0.005,90,1,334,28,0.089142978,1,700,28,220,0.089142978,0.344973952,0.354874045,
12,RUNTIME_HYDROLOGY,groundwater,groundwater_storage_arr,true,0.005,90,1,70,28,0.01952745,1,700,28,498,0.01952745,0.0691878572,0.0632140636,
12,RUNTIME_HYDROLOGY,river_storage,river_storage_arr,true,0.005,90,1,87,28,0.223449707,1,713,28,0,0.223449707,4.09961128,4.15348053,
12,RUNTIME_HYDROLOGY,river_discharge,river_discharge_arr,true,0.005,90,1,435,28,1.625694275,1,722,28,0,1.625694275,25.7270184,26.0650787,
12,RUNTIME_HYDROLOGY,riparian_moisture,riparian_moisture_arr,false,0.005,0,0,0,-1,0.0,0,0,-1,0,0.0,,,map_data.gd declares no riparian_moisture_arr
9,VEGETATION_DYNAMICS,vegetation_vitality,vegetation_vitality_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
7,TRANSPIRATION,vegetation_growth_pressure,vegetation_growth_pressure_arr,true,0.005,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_heat_stress,vegetation_heat_stress_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_drought_stress,vegetation_drought_stress_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_cold_stress,vegetation_cold_stress_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_growth_streak,vitality_high_streak_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_drought_streak,vitality_low_streak_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_succession_candidate,vegetation_regen_score_arr,false,0.0,0,0,0,-1,0.0,0,0,-1,0,0.0,,,store is a uint8 flag but vegetation_regen_score_arr is a float score
