stage,stage_name,field,map_data_array,comparable,tolerance_band,compared_days,out_of_band_days,out_of_band_cells,first_out_of_band_day,max_out_of_band_delta,diverged_days,diverged_cells,first_diverged_day,first_cell,max_abs_delta,first_reference,first_worker,note
10,CLIMATE_FEEDBACK,temperature,temp_arr,true,0.005,90,2,36,7,0.031422973,2,50,7,1876,0.031422973,0.655735731,0.673089683,
0,PASS_A,temperature_30d_ema,temp_30d_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
0,PASS_A,temperature_365d_ema,temp_365d_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
0,PASS_A,temperature_baseline,temp_baseline_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
0,PASS_A,thermal_energy,thermal_energy_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
10,CLIMATE_FEEDBACK,moisture,moisture_arr,true,0.005,90,1,1129,28,0.780535907,1,1179,28,149,0.780535907,0.850174546,0.842204332,
12,RUNTIME_HYDROLOGY,plant_available_water,plant_available_water_arr,true,0.005,90,1,1104,28,0.642921716,2,1813,7,149,0.642921716,0.836413145,0.836412668,
12,RUNTIME_HYDROLOGY,water_balance_30d,water_balance_30d_arr,true,0.005,90,0,0,-1,0.0,2,2296,7,149,0.004098862,-0.000214437663,-0.000216187735,
11,WEATHER,weather_precipitation,weather_precip_arr,true,0.001,90,1,6,7,0.048001446,1,6,7,745,0.048001446,0,0.0480014458,
11,WEATHER,weather_intensity,weather_intensity_arr,true,0.001,90,1,6,7,0.08106602,1,6,7,745,0.08106602,0,0.0810660198,
11,WEATHER,vapor,weather_vapor_arr,true,0.001,90,1,1001,7,0.054853514,1,1697,7,267,0.054853514,0.105308652,0.112276547,
11,WEATHER,cloud_water,weather_cloud_water_arr,true,0.001,90,1,601,7,0.037306211,1,1282,7,267,0.037306211,0.00092582294,0.00311641418,
11,WEATHER,cloud_cover,weather_cloud_arr,true,0.001,90,1,704,7,0.119879805,1,1193,7,268,0.119879805,0.0662391409,0.0888000056,
4,WIND_AIR,convergence,weather_convergence_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
11,WEATHER,instability,weather_instability_arr,true,0.001,90,1,897,7,0.040320247,1,1413,7,150,0.040320247,0.0475775525,0.0464083478,
11,WEATHER,weather_type,weather_type_arr,true,0.001,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
11,WEATHER,weather_prev_type,weather_prev_type_arr,true,0.001,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
11,WEATHER,weather_target_type,weather_target_type_arr,true,0.001,90,1,5,7,1.0,1,5,7,745,1.0,0,1,
11,WEATHER,weather_transition_alpha,weather_transition_alpha_arr,true,0.001,90,1,5,7,0.349999994,1,5,7,745,0.349999994,0,0.349999994,
11,WEATHER,snow_cover,snow_cover_arr,true,0.001,90,1,27,7,0.09726423,1,33,7,266,0.09726423,0.956044674,0.911877155,
11,WEATHER,snowpack,snowpack_arr,true,0.001,90,1,29,7,0.021795109,1,33,7,266,0.021795109,0.285846144,0.270616233,
6,SEA_ICE,sea_ice,sea_ice_frac_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,runoff,surface_runoff_arr,true,0.005,90,1,354,28,0.113444149,1,664,28,570,0.113444149,0.441404134,0.452193648,
12,RUNTIME_HYDROLOGY,groundwater,groundwater_storage_arr,true,0.005,90,1,91,28,0.024850905,1,664,28,640,0.024850905,0.0589681864,0.0533033982,
12,RUNTIME_HYDROLOGY,river_storage,river_storage_arr,true,0.005,90,1,109,28,0.254936218,1,701,28,10,0.254936218,3.97048569,4.00653458,
12,RUNTIME_HYDROLOGY,river_discharge,river_discharge_arr,true,0.005,90,1,412,28,1.828075409,1,723,28,10,1.828075409,24.9166889,25.1429157,
12,RUNTIME_HYDROLOGY,riparian_moisture,riparian_moisture_arr,false,0.005,0,0,0,-1,0.0,0,0,-1,0,0.0,,,map_data.gd declares no riparian_moisture_arr
9,VEGETATION_DYNAMICS,vegetation_vitality,vegetation_vitality_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
7,TRANSPIRATION,vegetation_growth_pressure,vegetation_growth_pressure_arr,true,0.005,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_heat_stress,vegetation_heat_stress_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_drought_stress,vegetation_drought_stress_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_cold_stress,vegetation_cold_stress_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_growth_streak,vitality_high_streak_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_drought_streak,vitality_low_streak_arr,true,0.0,90,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_succession_candidate,vegetation_regen_score_arr,false,0.0,0,0,0,-1,0.0,0,0,-1,0,0.0,,,store is a uint8 flag but vegetation_regen_score_arr is a float score
