stage,stage_name,field,map_data_array,comparable,compared_days,diverged_days,diverged_cells,first_diverged_day,first_cell,max_abs_delta,first_reference,first_worker,note
10,CLIMATE_FEEDBACK,temperature,temp_arr,true,4,1,2258,2,60,0.108046323,0.0228064526,0.0266841967,
0,PASS_A,temperature_30d_ema,temp_30d_arr,true,4,0,0,-1,0,0.0,,,
0,PASS_A,temperature_365d_ema,temp_365d_arr,true,4,1,2268,2,60,0.002305835,0.0266809072,0.0266441703,
0,PASS_A,temperature_baseline,temp_baseline_arr,true,4,0,0,-1,0,0.0,,,
0,PASS_A,thermal_energy,thermal_energy_arr,true,4,1,2268,2,60,0.075369775,0.0254834071,0.0266841967,
13,STAGE_B_AFTER_HYDROLOGY,moisture,moisture_arr,true,4,1,1216,2,95,0.227896631,0.572649539,0.570820272,
12,RUNTIME_HYDROLOGY,plant_available_water,plant_available_water_arr,true,4,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,water_balance_30d,water_balance_30d_arr,true,4,1,2397,2,0,1.0,0,1,
11,WEATHER,weather_precipitation,weather_precip_arr,true,4,0,0,-1,0,0.0,,,
11,WEATHER,weather_intensity,weather_intensity_arr,true,4,0,0,-1,0,0.0,,,
11,WEATHER,vapor,weather_vapor_arr,true,4,0,0,-1,0,0.0,,,
11,WEATHER,cloud_water,weather_cloud_water_arr,true,4,0,0,-1,0,0.0,,,
11,WEATHER,cloud_cover,weather_cloud_arr,true,4,0,0,-1,0,0.0,,,
4,WIND_AIR,convergence,weather_convergence_arr,true,4,0,0,-1,0,0.0,,,
11,WEATHER,instability,weather_instability_arr,true,4,0,0,-1,0,0.0,,,
11,WEATHER,weather_type,weather_type_arr,true,4,0,0,-1,0,0.0,,,
11,WEATHER,weather_transition,weather_transition_alpha_arr,false,0,0,0,-1,0,0.0,,,store is uint8 but weather_transition_alpha_arr is PackedFloat32Array
6,SEA_ICE,snow_cover,snow_cover_arr,true,4,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,snowpack,snowpack_arr,true,4,1,3,2,461,0.800000012,0.800000012,0,
6,SEA_ICE,sea_ice,sea_ice_frac_arr,true,4,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,runoff,surface_runoff_arr,true,4,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,groundwater,groundwater_storage_arr,true,4,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,river_storage,river_storage_arr,true,4,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,river_discharge,river_discharge_arr,true,4,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,riparian_moisture,riparian_moisture_arr,false,0,0,0,-1,0,0.0,,,map_data.gd declares no riparian_moisture_arr
9,VEGETATION_DYNAMICS,vegetation_vitality,vegetation_vitality_arr,true,4,1,2400,2,0,0.5,0,0.5,
7,TRANSPIRATION,vegetation_growth_pressure,vegetation_growth_pressure_arr,true,4,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_heat_stress,vegetation_heat_stress_arr,true,4,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_drought_stress,vegetation_drought_stress_arr,true,4,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_cold_stress,vegetation_cold_stress_arr,true,4,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_growth_streak,vitality_high_streak_arr,true,4,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_drought_streak,vitality_low_streak_arr,true,4,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_succession_candidate,vegetation_regen_score_arr,false,0,0,0,-1,0,0.0,,,store is a uint8 flag but vegetation_regen_score_arr is a float score
