stage,stage_name,field,map_data_array,comparable,tolerance_band,compared_days,out_of_band_days,out_of_band_cells,first_out_of_band_day,max_out_of_band_delta,diverged_days,diverged_cells,first_diverged_day,first_cell,max_abs_delta,first_reference,first_worker,note
10,CLIMATE_FEEDBACK,temperature,temp_arr,true,0.005,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
0,PASS_A,temperature_30d_ema,temp_30d_arr,true,0.0,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
0,PASS_A,temperature_365d_ema,temp_365d_arr,true,0.0,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
0,PASS_A,temperature_baseline,temp_baseline_arr,true,0.0,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
0,PASS_A,thermal_energy,thermal_energy_arr,true,0.0,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
10,CLIMATE_FEEDBACK,moisture,moisture_arr,true,0.005,30,1,1136,28,0.668028623,1,1188,28,95,0.668028623,0.575134158,0.580286682,
12,RUNTIME_HYDROLOGY,plant_available_water,plant_available_water_arr,true,0.005,30,1,1128,28,0.632158518,2,2074,7,95,0.632158518,0.573993742,0.573993683,
12,RUNTIME_HYDROLOGY,water_balance_30d,water_balance_30d_arr,true,0.005,30,0,0,-1,0.0,2,2246,7,95,0.002054378,-7.41298718e-05,-7.4407857e-05,
11,WEATHER,weather_precipitation,weather_precip_arr,true,0.001,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
11,WEATHER,weather_intensity,weather_intensity_arr,true,0.001,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
11,WEATHER,vapor,weather_vapor_arr,true,0.001,30,1,1101,7,0.024343252,1,1621,7,214,0.024343252,0.0958458707,0.0970197394,
11,WEATHER,cloud_water,weather_cloud_water_arr,true,0.001,30,1,500,7,0.030163977,1,1128,7,215,0.030163977,0.0206351504,0.0224782154,
11,WEATHER,cloud_cover,weather_cloud_arr,true,0.001,30,1,580,7,0.105114497,1,1014,7,215,0.105114497,0.0270560458,0.0293120369,
4,WIND_AIR,convergence,weather_convergence_arr,true,0.0,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
11,WEATHER,instability,weather_instability_arr,true,0.001,30,1,923,7,0.018989161,1,1367,7,158,0.018989161,0.0253946707,0.0267561898,
11,WEATHER,weather_type,weather_type_arr,true,0.001,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
11,WEATHER,weather_prev_type,weather_prev_type_arr,true,0.001,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
11,WEATHER,weather_target_type,weather_target_type_arr,true,0.001,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
11,WEATHER,weather_transition_alpha,weather_transition_alpha_arr,true,0.001,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
11,WEATHER,snow_cover,snow_cover_arr,true,0.001,30,1,40,7,0.091070056,1,44,7,245,0.091070056,0.00678323628,2.48607139e-05,
11,WEATHER,snowpack,snowpack_arr,true,0.001,30,1,38,7,0.021802425,1,44,7,245,0.021802425,0.00217063562,7.95542837e-06,
6,SEA_ICE,sea_ice,sea_ice_frac_arr,true,0.0,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,runoff,surface_runoff_arr,true,0.005,30,1,286,28,0.073216975,1,700,28,220,0.073216975,0.344465166,0.352571785,
12,RUNTIME_HYDROLOGY,groundwater,groundwater_storage_arr,true,0.005,30,1,32,28,0.016038775,1,700,28,530,0.016038775,0.110009752,0.104345009,
12,RUNTIME_HYDROLOGY,river_storage,river_storage_arr,true,0.005,30,1,71,28,0.141525269,1,701,28,0,0.141525269,4.22922516,4.26613617,
12,RUNTIME_HYDROLOGY,river_discharge,river_discharge_arr,true,0.005,30,1,406,28,1.029678345,1,715,28,0,1.029678345,26.5404129,26.7720413,
12,RUNTIME_HYDROLOGY,riparian_moisture,riparian_moisture_arr,false,0.005,0,0,0,-1,0.0,0,0,-1,0,0.0,,,map_data.gd declares no riparian_moisture_arr
9,VEGETATION_DYNAMICS,vegetation_vitality,vegetation_vitality_arr,true,0.0,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
7,TRANSPIRATION,vegetation_growth_pressure,vegetation_growth_pressure_arr,true,0.005,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_heat_stress,vegetation_heat_stress_arr,true,0.0,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_drought_stress,vegetation_drought_stress_arr,true,0.0,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_cold_stress,vegetation_cold_stress_arr,true,0.0,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_growth_streak,vitality_high_streak_arr,true,0.0,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_drought_streak,vitality_low_streak_arr,true,0.0,30,0,0,-1,0.0,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_succession_candidate,vegetation_regen_score_arr,false,0.0,0,0,0,-1,0.0,0,0,-1,0,0.0,,,store is a uint8 flag but vegetation_regen_score_arr is a float score
