day,parity_compared,parity_matched,diverged_field_count,diverged_cells,first_field,first_stage,first_cell,first_reference,first_worker,reason,production_stage_mask,worker_stage_mask
2,true,true,0,0,,0,0,,,ok,0x0,0x0
3,true,true,0,0,,0,0,,,ok,0x0,0x0
4,true,true,0,0,,0,0,,,ok,0x0,0x0
5,true,true,0,0,,0,0,,,ok,0x0,0x0
6,true,true,0,0,,0,0,,,ok,0x0,0x0
7,true,false,11,3311,temperature,10,1817,0.699194968,0.701670349,climate_reference_mismatch_forced,0x1FFF,0x1FFF
8,true,true,0,0,,0,0,,,ok,0x0,0x0
9,true,true,0,0,,0,0,,,ok,0x0,0x0
10,true,true,0,0,,0,0,,,ok,0x0,0x0
11,true,true,0,0,,0,0,,,ok,0x0,0x0
12,true,true,0,0,,0,0,,,ok,0x0,0x0
13,true,true,0,0,,0,0,,,ok,0x0,0x0
14,true,true,0,0,,0,0,,,ok,0x0,0x0
15,true,true,0,0,,0,0,,,ok,0x0,0x0
16,true,true,0,0,,0,0,,,ok,0x0,0x0
17,true,true,0,0,,0,0,,,ok,0x0,0x0
18,true,true,0,0,,0,0,,,ok,0x18FF,0x18FF
19,true,true,0,0,,0,0,,,ok,0x0,0x0
20,true,true,0,0,,0,0,,,ok,0x0,0x0
21,true,true,0,0,,0,0,,,ok,0x0,0x0
22,true,true,0,0,,0,0,,,ok,0x0,0x0
23,true,true,0,0,,0,0,,,ok,0x0,0x0
24,true,true,0,0,,0,0,,,ok,0x0,0x0
25,true,true,0,0,,0,0,,,ok,0x0,0x0
26,true,true,0,0,,0,0,,,ok,0x0,0x0
27,true,true,0,0,,0,0,,,ok,0x0,0x0
28,true,false,6,3199,moisture,10,149,0.850174546,0.842204332,climate_reference_mismatch_forced,0x18FF,0x18FF
29,true,true,0,0,,0,0,,,ok,0x0,0x0
30,true,true,0,0,,0,0,,,ok,0x0,0x0
31,true,true,0,0,,0,0,,,ok,0x0,0x0
32,true,true,0,0,,0,0,,,ok,0x0,0x0
33,true,true,0,0,,0,0,,,ok,0x0,0x0
34,true,true,0,0,,0,0,,,ok,0x0,0x0
35,true,true,0,0,,0,0,,,ok,0x0,0x0
36,true,true,0,0,,0,0,,,ok,0x0,0x0
37,true,true,0,0,,0,0,,,ok,0x0,0x0
38,true,false,1,6,temperature,10,415,0.158805132,0.144215778,climate_reference_mismatch_forced,0x18FF,0x18FF
39,true,true,0,0,,0,0,,,ok,0x0,0x0
40,true,true,0,0,,0,0,,,ok,0x0,0x0
41,true,true,0,0,,0,0,,,ok,0x0,0x0
42,true,true,0,0,,0,0,,,ok,0x0,0x0
43,true,true,0,0,,0,0,,,ok,0x0,0x0
44,true,true,0,0,,0,0,,,ok,0x0,0x0
45,true,true,0,0,,0,0,,,ok,0x0,0x0
46,true,true,0,0,,0,0,,,ok,0x0,0x0
47,true,true,0,0,,0,0,,,ok,0x0,0x0
48,true,true,0,0,,0,0,,,ok,0x18FF,0x18FF
49,true,true,0,0,,0,0,,,ok,0x0,0x0
50,true,true,0,0,,0,0,,,ok,0x0,0x0
51,true,true,0,0,,0,0,,,ok,0x0,0x0
52,true,true,0,0,,0,0,,,ok,0x0,0x0
53,true,true,0,0,,0,0,,,ok,0x0,0x0
54,true,true,0,0,,0,0,,,ok,0x0,0x0
55,true,true,0,0,,0,0,,,ok,0x0,0x0
56,true,true,0,0,,0,0,,,ok,0x0,0x0
57,true,true,0,0,,0,0,,,ok,0x0,0x0
58,true,true,0,0,,0,0,,,ok,0x18FF,0x18FF
59,true,true,0,0,,0,0,,,ok,0x0,0x0
60,true,true,0,0,,0,0,,,ok,0x0,0x0
61,true,true,0,0,,0,0,,,ok,0x0,0x0
62,true,true,0,0,,0,0,,,ok,0x0,0x0
63,true,true,0,0,,0,0,,,ok,0x0,0x0
64,true,true,0,0,,0,0,,,ok,0x0,0x0
65,true,true,0,0,,0,0,,,ok,0x0,0x0
66,true,true,0,0,,0,0,,,ok,0x0,0x0
67,true,true,0,0,,0,0,,,ok,0x0,0x0
68,true,true,0,0,,0,0,,,ok,0x18FF,0x18FF
69,true,true,0,0,,0,0,,,ok,0x0,0x0
70,true,true,0,0,,0,0,,,ok,0x0,0x0
71,true,true,0,0,,0,0,,,ok,0x0,0x0
72,true,true,0,0,,0,0,,,ok,0x0,0x0
73,true,true,0,0,,0,0,,,ok,0x0,0x0
74,true,true,0,0,,0,0,,,ok,0x0,0x0
75,true,true,0,0,,0,0,,,ok,0x0,0x0
76,true,true,0,0,,0,0,,,ok,0x0,0x0
77,true,true,0,0,,0,0,,,ok,0x0,0x0
78,true,true,0,0,,0,0,,,ok,0x18FF,0x18FF
79,true,true,0,0,,0,0,,,ok,0x0,0x0
80,true,true,0,0,,0,0,,,ok,0x0,0x0
81,true,true,0,0,,0,0,,,ok,0x0,0x0
82,true,true,0,0,,0,0,,,ok,0x0,0x0
83,true,true,0,0,,0,0,,,ok,0x0,0x0
84,true,true,0,0,,0,0,,,ok,0x0,0x0
85,true,true,0,0,,0,0,,,ok,0x0,0x0
86,true,true,0,0,,0,0,,,ok,0x0,0x0
87,true,true,0,0,,0,0,,,ok,0x0,0x0
88,true,true,0,0,,0,0,,,ok,0x18FF,0x18FF
89,true,true,0,0,,0,0,,,ok,0x0,0x0
90,true,true,0,0,,0,0,,,ok,0x0,0x0
91,true,true,0,0,,0,0,,,ok,0x0,0x0
