stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,0,3,0,0.452,0.150667,0.169,7200
1,PASS_B,0,3,0,0.262,0.087333,0.091,7200
2,OCEAN_WATER,0,3,0,0.215,0.071667,0.075,7200
3,OCEAN_LAND,0,3,0,0.052,0.017333,0.018,7200
4,WIND_AIR,0,3,0,0.272,0.090667,0.093,7200
5,WIND_SURFACE,0,3,0,0.252,0.084,0.088,7200
6,SEA_ICE,0,3,0,0.167,0.055667,0.059,7200
7,TRANSPIRATION,0,3,0,0.048,0.016,0.017,7200
8,ALBEDO,1,1,0,0.0029,0.0029,0.0029,2400
9,VEGETATION_DYNAMICS,1,1,0,0.4249,0.4249,0.4249,2400
10,CLIMATE_FEEDBACK,1,1,0,0.0098,0.0098,0.0098,2400
11,WEATHER,3,3,0,0.1069,0.035633,0.0391,57600
12,RUNTIME_HYDROLOGY,3,3,0,0.4139,0.137967,0.1403,79200
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
