stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,9,9,0,1.877,0.208556,0.319,21600
1,PASS_B,9,9,0,1.078,0.119778,0.153,21600
2,OCEAN_WATER,9,9,0,0.885,0.098333,0.267,21600
3,OCEAN_LAND,9,9,0,0.202,0.022444,0.038,21600
4,WIND_AIR,9,9,0,1.279,0.142111,0.229,21600
5,WIND_SURFACE,9,9,0,1.083,0.120333,0.248,21600
6,SEA_ICE,9,9,0,0.578,0.064222,0.092,21600
7,TRANSPIRATION,9,9,0,0.207,0.023,0.034,21600
8,ALBEDO,1,1,0,0.0046,0.0046,0.0046,2400
9,VEGETATION_DYNAMICS,1,1,0,0.5418,0.5418,0.5418,2400
10,CLIMATE_FEEDBACK,1,1,0,0.0132,0.0132,0.0132,2400
11,WEATHER,9,9,0,0.4511,0.050122,0.0708,172800
12,RUNTIME_HYDROLOGY,9,9,0,1.7235,0.1915,0.2513,237600
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
