stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,9,9,0,1.754,0.194889,0.469,21600
1,PASS_B,9,9,0,0.967,0.107444,0.189,21600
2,OCEAN_WATER,9,9,0,0.601,0.066778,0.087,21600
3,OCEAN_LAND,9,9,0,0.182,0.020222,0.027,21600
4,WIND_AIR,9,9,0,0.945,0.105,0.175,21600
5,WIND_SURFACE,9,9,0,0.824,0.091556,0.137,21600
6,SEA_ICE,9,9,0,0.546,0.060667,0.083,21600
7,TRANSPIRATION,9,9,0,0.185,0.020556,0.031,21600
8,ALBEDO,1,1,0,0.0033,0.0033,0.0033,2400
9,VEGETATION_DYNAMICS,1,1,0,0.4001,0.4001,0.4001,2400
10,CLIMATE_FEEDBACK,1,1,0,0.014,0.014,0.014,2400
11,WEATHER,9,9,0,0.4018,0.044644,0.0844,172800
12,RUNTIME_HYDROLOGY,9,9,0,1.6827,0.186967,0.4597,237600
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
