stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,0,3,0,0.484,0.161333,0.173,7200
1,PASS_B,0,3,0,0.133,0.044333,0.051,7200
2,OCEAN_WATER,0,0,0,0.0,0.0,0.0,0
3,OCEAN_LAND,0,0,0,0.0,0.0,0.0,0
4,WIND_AIR,0,3,0,0.015,0.005,0.011,7200
5,WIND_SURFACE,0,3,0,0.075,0.025,0.039,7200
6,SEA_ICE,0,3,0,0.109,0.036333,0.051,7200
7,TRANSPIRATION,0,3,0,0.011,0.003667,0.004,7200
8,ALBEDO,1,1,0,0.0032,0.0032,0.0032,2400
9,VEGETATION_DYNAMICS,1,1,0,0.4153,0.4153,0.4153,2400
10,CLIMATE_FEEDBACK,1,1,0,0.0097,0.0097,0.0097,2400
11,WEATHER,3,0,3,0.0,0.0,0.0,0
12,RUNTIME_HYDROLOGY,3,0,3,0.0,0.0,0.0,0
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
