stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,0,3,0,0.436,0.145333,0.17,7200
1,PASS_B,0,3,0,0.122,0.040667,0.042,7200
2,OCEAN_WATER,0,0,0,0.0,0.0,0.0,0
3,OCEAN_LAND,0,0,0,0.0,0.0,0.0,0
4,WIND_AIR,0,3,0,0.007,0.002333,0.003,7200
5,WIND_SURFACE,0,3,0,0.058,0.019333,0.02,7200
6,SEA_ICE,0,3,0,0.097,0.032333,0.037,7200
7,TRANSPIRATION,0,3,0,0.01,0.003333,0.004,7200
8,ALBEDO,1,1,0,0.003,0.003,0.003,2400
9,VEGETATION_DYNAMICS,1,1,0,0.3996,0.3996,0.3996,2400
10,CLIMATE_FEEDBACK,1,1,0,0.0086,0.0086,0.0086,2400
11,WEATHER,3,3,0,1.3141,0.438033,0.5064,43200
12,RUNTIME_HYDROLOGY,3,3,0,0.3927,0.1309,0.1389,79200
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
