stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,0,3,0,0.469,0.156333,0.163,7200
1,PASS_B,0,3,0,0.158,0.052667,0.066,7200
2,OCEAN_WATER,0,0,0,0.0,0.0,0.0,0
3,OCEAN_LAND,0,0,0,0.0,0.0,0.0,0
4,WIND_AIR,0,3,0,0.006,0.002,0.002,7200
5,WIND_SURFACE,0,3,0,0.057,0.019,0.02,7200
6,SEA_ICE,0,3,0,0.174,0.058,0.079,7200
7,TRANSPIRATION,0,3,0,0.014,0.004667,0.006,7200
8,ALBEDO,1,1,0,0.0053,0.0053,0.0053,2400
9,VEGETATION_DYNAMICS,1,1,0,0.7346,0.7346,0.7346,2400
10,CLIMATE_FEEDBACK,1,1,0,0.0107,0.0107,0.0107,2400
11,WEATHER,3,0,3,0.0,0.0,0.0,0
12,RUNTIME_HYDROLOGY,3,0,3,0.0,0.0,0.0,0
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
