stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,3,3,0,0.651,0.217,0.339,7200
1,PASS_B,3,3,0,0.329,0.109667,0.123,7200
2,OCEAN_WATER,3,3,0,0.311,0.103667,0.143,7200
3,OCEAN_LAND,3,3,0,0.066,0.022,0.028,7200
4,WIND_AIR,3,3,0,0.376,0.125333,0.178,7200
5,WIND_SURFACE,3,3,0,0.271,0.090333,0.093,7200
6,SEA_ICE,3,3,0,0.161,0.053667,0.06,7200
7,TRANSPIRATION,3,3,0,0.057,0.019,0.023,7200
8,ALBEDO,1,1,0,0.0035,0.0035,0.0035,2400
9,VEGETATION_DYNAMICS,1,1,0,0.4439,0.4439,0.4439,2400
10,CLIMATE_FEEDBACK,1,1,0,0.0149,0.0149,0.0149,2400
11,WEATHER,3,3,0,0.1186,0.039533,0.0468,57600
12,RUNTIME_HYDROLOGY,3,3,0,0.4692,0.1564,0.181,79200
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
