day,parity_compared,parity_matched,diverged_field_count,diverged_cells,first_field,first_stage,first_cell,first_reference,first_worker,reason
2,true,false,7,12810,temperature,10,60,0.0228064526,0.0266841967,climate_reference_mismatch_forced
3,true,true,0,0,,0,0,,,ok
4,true,true,0,0,,0,0,,,ok
5,true,true,0,0,,0,0,,,ok
6,true,true,0,0,,0,0,,,ok
7,true,false,24,19453,temperature,10,60,0.0136691909,0.0176313035,climate_reference_mismatch_forced
8,true,true,0,0,,0,0,,,ok
9,true,true,0,0,,0,0,,,ok
10,true,true,0,0,,0,0,,,ok
11,true,true,0,0,,0,0,,,ok
12,true,true,0,0,,0,0,,,ok
13,true,true,0,0,,0,0,,,ok
