day,parity_compared,parity_matched,diverged_field_count,diverged_cells,first_field,first_stage,first_cell,first_reference,first_worker,reason
2,true,false,7,12810,temperature,10,60,0.0228064526,0.0266841967,climate_reference_mismatch_forced
3,true,true,0,0,,0,0,,,ok
4,true,true,0,0,,0,0,,,ok
5,true,true,0,0,,0,0,,,ok
6,true,true,0,0,,0,0,,,ok
7,true,false,24,19432,temperature,10,60,0.0136691909,0.0228064526,climate_reference_mismatch_forced
8,true,true,0,0,,0,0,,,ok
9,true,true,0,0,,0,0,,,ok
10,true,true,0,0,,0,0,,,ok
11,true,true,0,0,,0,0,,,ok
12,true,true,0,0,,0,0,,,ok
13,true,true,0,0,,0,0,,,ok
14,true,true,0,0,,0,0,,,ok
15,true,true,0,0,,0,0,,,ok
16,true,true,0,0,,0,0,,,ok
17,true,true,0,0,,0,0,,,ok
18,true,false,19,23043,temperature,10,60,0.00179261342,0.0136691909,climate_reference_mismatch_forced
19,true,true,0,0,,0,0,,,ok
20,true,true,0,0,,0,0,,,ok
21,true,true,0,0,,0,0,,,ok
22,true,true,0,0,,0,0,,,ok
23,true,true,0,0,,0,0,,,ok
24,true,true,0,0,,0,0,,,ok
25,true,true,0,0,,0,0,,,ok
26,true,true,0,0,,0,0,,,ok
27,true,true,0,0,,0,0,,,ok
28,true,false,19,23219,temperature,10,60,0,0.00179261342,climate_reference_mismatch_forced
29,true,true,0,0,,0,0,,,ok
30,true,true,0,0,,0,0,,,ok
31,true,true,0,0,,0,0,,,ok
