day,field,cells,max_abs,out_of_band_cells,first_cell
7,temperature,2400,0.173575163,2202,60
7,moisture,2400,0.689806730,1204,95
7,vapor,2400,0.000000000,0,-1
7,alpha,2400,1.000000000,2400,0
7,snowpack,2400,0.000000000,0,-1
7,paw,2400,0.000000000,0,-1
18,temperature,2400,0.169469252,2180,60
18,moisture,2400,0.970856488,1187,95
18,vapor,2400,0.216720968,2400,0
18,alpha,2400,0.349999994,7,2201
18,snowpack,2400,0.319999993,154,95
18,paw,2400,1.000000000,2356,0
28,temperature,2400,0.214181960,2162,61
28,moisture,2400,0.970952293,830,95
28,vapor,2400,0.266666889,2400,0
28,alpha,2400,0.000000000,0,-1
28,snowpack,2400,0.325485826,166,95
28,paw,2400,1.000000000,2390,0
38,temperature,2400,0.218567371,2123,180
38,moisture,2400,0.784806967,1165,95
38,vapor,2400,0.298281074,2398,0
38,alpha,2400,0.000000000,0,-1
38,snowpack,2400,0.331165820,163,99
38,paw,2400,1.000000000,2376,0
