tick,cell,lat,temp,tprev,t30,season_off,sea_ice,clim_dirty
--- cell 100 ---
1064,100,0.025641,0.48,0,0.152765,0.48,0,1
1065,100,0.025641,0.48,0,0.152765,0.48,0,1
1066,100,0.025641,0.48,0,0.152765,0.48,0,1
1067,100,0.025641,0.48,0,0.152765,0.48,0,1
1068,100,0.025641,0.48,0,0.152765,0.48,0,1
1069,100,0.025641,0.48,0,0.152765,0.48,0,1
1070,100,0.025641,0.48,0,0.152765,0.48,0,1
1071,100,0.025641,0.48,0,0.152765,0.48,0,1
1072,100,0.025641,0.48,0,0.152765,0.48,0,1
1073,100,0.025641,0,0,0.147672,-0.08766,0,0
1074,100,0.025641,0,0,0.147672,-0.08766,0,0
1075,100,0.025641,0,0,0.147672,-0.08766,0,0
1076,100,0.025641,0,0,0.147672,-0.08766,0,0
1077,100,0.025641,0,0,0.147672,-0.08766,1,0
1078,100,0.025641,0,0,0.147672,-0.08766,1,0
1079,100,0.025641,0,0,0.147672,-0.08766,1,0
1080,100,0.025641,0,0,0.147672,-0.08766,1,0
1081,100,0.025641,0,0,0.147672,-0.08766,1,0
1082,100,0.025641,0,0,0.14275,-0.32,1,1
1083,100,0.025641,0,0,0.14275,-0.32,1,1
--- cell 500 ---
1064,500,0.205128,0.549981,0,0.343136,0.209726,0,1
1065,500,0.205128,0.549981,0,0.343136,0.209726,0,1
1066,500,0.205128,0.534786,0,0.343136,0.209726,0,1
1067,500,0.205128,0.534786,0,0.343136,0.209726,0,1
1068,500,0.205128,0.534786,0,0.343136,0.209726,0,1
1069,500,0.205128,0.534786,0,0.343136,0.209726,0,1
1070,500,0.205128,0.534786,0,0.343136,0.209726,0,1
1071,500,0.205128,0.534786,0,0.343136,0.209726,0,1
1072,500,0.205128,0.534786,0,0.343136,0.209726,0,1
1073,500,0.205128,0.385903,0,0.344561,0.045647,0,0
1074,500,0.205128,0.385903,0,0.344561,0.045647,0,0
1075,500,0.205128,0.37097,0,0.344561,0.045647,0,0
1076,500,0.205128,0.37097,0,0.344561,0.045647,0,0
1077,500,0.205128,0.37097,0,0.344561,0.045647,0,0
1078,500,0.205128,0.37097,0,0.344561,0.045647,0,0
1079,500,0.205128,0.37097,0,0.344561,0.045647,0,0
1080,500,0.205128,0.37097,0,0.344561,0.045647,0,0
1081,500,0.205128,0.37097,0,0.344561,0.045647,0,0
1082,500,0.205128,0.121227,0,0.337117,-0.219029,0,1
1083,500,0.205128,0.121227,0,0.337117,-0.219029,0.029852,1
--- cell 1000 ---
1064,1000,0.410256,0.226099,0,0.276034,0.064342,0,1
1065,1000,0.410256,0.113396,0,0.276034,0.064342,0,1
1066,1000,0.410256,0.113396,0,0.276034,0.064342,0,1
1067,1000,0.410256,0.113396,0,0.276034,0.064342,0,1
1068,1000,0.410256,0.113396,0,0.276034,0.064342,0,1
1069,1000,0.410256,0.113396,0,0.276034,0.064342,0,1
1070,1000,0.410256,0.113396,0,0.276034,0.064342,0,1
1071,1000,0.410256,0.113396,0,0.276034,0.064342,0,1
1072,1000,0.410256,0.113396,0,0.276034,0.064342,0,1
1073,1000,0.410256,0.226099,0,0.278176,0.064342,0,0
1074,1000,0.410256,0.113396,0,0.278176,0.064342,0,0
1075,1000,0.410256,0.113396,0,0.278176,0.064342,0,0
1076,1000,0.410256,0.113396,0,0.278176,0.064342,0,0
1077,1000,0.410256,0.113396,0,0.278176,0.064342,0,0
1078,1000,0.410256,0.113396,0,0.278176,0.064342,0,0
1079,1000,0.410256,0.113396,0,0.278176,0.064342,0,0
1080,1000,0.410256,0.113396,0,0.278176,0.064342,0,0
1081,1000,0.410256,0.113396,0,0.278176,0.064342,0,0
1082,1000,0.410256,0.167481,0,0.274487,-0.108496,0,1
1083,1000,0.410256,0.055927,0,0.274487,-0.108496,0,1
--- cell 2000 ---
1064,2000,0.846154,0,0,0.204527,-0.287602,1,1
1065,2000,0.846154,0,0,0.204527,-0.287602,1,1
1066,2000,0.846154,0,0,0.204527,-0.287602,1,1
1067,2000,0.846154,0,0,0.204527,-0.287602,1,1
1068,2000,0.846154,0,0,0.204527,-0.287602,1,1
1069,2000,0.846154,0,0,0.204527,-0.287602,1,1
1070,2000,0.846154,0,0,0.204527,-0.287602,1,1
1071,2000,0.846154,0,0,0.204527,-0.287602,1,1
1072,2000,0.846154,0,0,0.204527,-0.287602,1,1
1073,2000,0.846154,0.105833,0,0.201238,-0.077772,1,0
1074,2000,0.846154,0.105833,0,0.201238,-0.077772,1,0
1075,2000,0.846154,0.105833,0,0.201238,-0.077772,1,0
1076,2000,0.846154,0.105833,0,0.201238,-0.077772,1,0
1077,2000,0.846154,0.105833,0,0.201238,-0.077772,1,0
1078,2000,0.846154,0.105833,0,0.201238,-0.077772,1,0
1079,2000,0.846154,0.105833,0,0.201238,-0.077772,1,0
1080,2000,0.846154,0.105833,0,0.201238,-0.077772,1,0
1081,2000,0.846154,0.105833,0,0.201238,-0.077772,1,0
1082,2000,0.846154,0.488519,0,0.210814,0.304913,1,1
1083,2000,0.846154,0.488519,0,0.210814,0.304913,0,1
--- cell 3000 ---
--- cell 4000 ---
