climate_pass_stage,lat_band,hydro,n,dT_mean_abs,dT_p95,dT_p99,dT_max,dT_pos_ratio,dT_neg_ratio,dM_p95,dM_max
ocean_land,equatorial,land,57255,0.0011920262160510001,0.0050000000000000044,0.025000000000000022,0.050000000000000044,0.11633918435071172,0.032154396995895555,0.032763199999999944,0.31838200000000005
ocean_land,equatorial,water,61545,0.0005448342676090665,0.0,0.02499999999999991,0.05000099999999996,0.0,0.027264603135916807,0.0,0.22874300000000003
ocean_land,mid_latitude,land,33990,0.008889842541924096,0.04999999999999999,0.050000000000000044,0.06125000000000003,0.025125036775522212,0.4271550456016475,0.07186899999999996,0.33038999999999996
ocean_land,mid_latitude,water,65010,4.8573973234886965e-05,0.0,0.0,0.04888400000000004,0.0,0.0061375173050299955,0.0,0.17700100000000007
ocean_land,polar,land,6930,0.006832473593073592,0.036249999999999956,0.050000000000000044,0.06125000000000003,0.0,0.36666666666666664,0.0679469499999999,0.25503
ocean_land,polar,water,52470,0.00043817388984181545,0.0,0.01181220000000002,0.050000000000000044,0.0,0.043358109395845244,0.040312000000000014,0.492081
ocean_land,subtropical,land,50160,0.002305519258373206,0.016706999999999916,0.04999999999999999,0.06124999999999997,0.09029106858054227,0.09154704944178628,0.03543409999999972,0.31484
ocean_land,subtropical,water,68640,8.806990093240092e-05,0.0,0.0,0.04847000000000001,0.0,0.008872377622377622,0.0,0.17978099999999997
ocean_water,equatorial,land,57255,0.0005251318487468344,0.003750000000000031,0.020000000000000018,0.025000000000000078,0.03955986376735656,0.020923936774080866,0.033282000000000034,0.37202199999999996
ocean_water,equatorial,water,61545,0.0002793510114550329,0.0,0.006535000000000013,0.05000099999999996,0.0,0.017336907953529938,0.0,0.19914199999999993
ocean_water,mid_latitude,land,33990,0.004457250603118564,0.025000000000000022,0.03519624000000067,0.050000000000000044,0.009149749926448956,0.2786701971167991,0.1259858999999999,0.43505000000000005
ocean_water,mid_latitude,water,65010,2.6608275649900034e-05,0.0,0.0,0.025000000000000022,0.0,0.004168589447777265,0.0,0.17700100000000007
ocean_water,polar,land,6930,0.003363097113997114,0.025000000000000022,0.025000000000000022,0.050000000000000044,0.0,0.22813852813852814,0.09956479999999919,0.340337
ocean_water,polar,water,52470,0.00023585488850771943,0.0,0.007132000000000027,0.050000000000000044,0.0,0.029864684581665715,0.011935999999999947,0.492081
ocean_water,subtropical,land,50160,0.0010993150318979264,0.00586820000000002,0.025000000000000022,0.050000000000000044,0.029884370015948965,0.05835326953748007,0.04888300000000001,0.348842
ocean_water,subtropical,water,68640,5.095311771561771e-05,0.0,0.0,0.025000000000000022,0.0,0.0058857808857808855,0.0,0.20647800000000005
pass_a,equatorial,land,19432,0.00015717625566076578,0.0,0.0050000000000000044,0.005000000000000032,0.0351482091395636,0.0,0.208424,0.37202199999999996
pass_a,equatorial,water,20888,8.553092684795104e-06,0.0,0.0,0.025000000000000022,0.0,0.00038299502106472615,0.0,0.22874300000000003
pass_a,mid_latitude,land,11536,0.00025352617891816925,0.0,0.011249999999999982,0.025000000000000022,0.010055478502080445,0.017857142857142856,0.268207,0.43505000000000005
pass_a,mid_latitude,water,22064,1.6050126903553324e-06,0.0,0.0,0.008414000000000033,0.0,0.0002719361856417694,0.0,0.17700100000000007
pass_a,polar,land,2352,0.00030528273809523823,0.0,0.011249999999999996,0.025000000000000022,0.0,0.025085034013605442,0.18349614999999989,0.34410799999999997
pass_a,polar,water,17808,1.1406727313566983e-05,0.0,0.0,0.025000000000000022,0.0,0.0010669362084456424,0.0,0.492081
pass_a,subtropical,land,17024,0.00014599582941729318,0.0,0.005,0.025000000000000022,0.029017857142857144,0.0014685150375939849,0.2313943999999998,0.348842
pass_a,subtropical,water,23296,2.185353708791214e-07,0.0,0.0,0.005091000000000012,0.0,4.292582417582418e-05,0.0,0.21656200000000003
pass_b,equatorial,land,19085,0.00024182342153523714,0.0,0.0050000000000000044,0.025000000000000022,0.035787267487555674,0.004506156667539953,0.034261200000000026,0.37202199999999996
pass_b,equatorial,water,20515,0.00010120043870338777,0.0,0.0,0.02500099999999994,0.0,0.005898123324396783,0.0,0.180149
pass_b,mid_latitude,land,11330,0.0019838479258605475,0.02499999999999991,0.025000000000000022,0.025000000000000078,0.010238305383936452,0.13045013239187997,0.18261929999999987,0.43505000000000005
pass_b,mid_latitude,water,21670,1.1686940470696823e-05,0.0,0.0,0.008671999999999902,0.0,0.001984310106137517,0.0,0.17700100000000007
pass_b,polar,land,2310,0.0014921216450216456,0.011249999999999982,0.025000000000000022,0.025000000000000022,0.0,0.10822510822510822,0.14244554999999945,0.340337
pass_b,polar,water,17490,0.00010153499142367099,0.0,0.005092440000000087,0.025000000000000022,0.0,0.013779302458547742,0.0,0.492081
pass_b,subtropical,land,16720,0.0003856402511961722,0.0,0.009614960000000033,0.025000000000000022,0.029545454545454545,0.017045454545454544,0.07898129999999982,0.348842
pass_b,subtropical,water,22880,2.212862762237761e-05,0.0,0.0,0.025000000000000022,0.0,0.0027534965034965034,0.0,0.21656200000000003
transp,equatorial,land,19085,0.01305240010479434,0.03194499999999997,0.15,0.15000100000000002,0.49426250982446945,0.3931359706575845,0.008650999999999964,0.288922
transp,equatorial,water,20515,0.0071629811844991466,0.0119983,0.14999999999999997,0.150001,0.5444796490372897,0.3456007799171338,0.0,0.22874300000000003
transp,mid_latitude,land,11330,0.03166996160635481,0.11269365000000002,0.15000000000000002,0.15000000000000008,0.3067078552515446,0.5329214474845543,0.06944165000000004,0.29512400000000005
transp,mid_latitude,water,21670,0.021139957406552837,0.08399665,0.15000000000000002,0.15000000000000008,0.2924319335486848,0.44240886017535763,0.0,0.17700100000000007
transp,polar,land,2310,0.030687991774891777,0.10453949999999972,0.14999999999999997,0.150001,0.3463203463203463,0.6112554112554113,0.06811759999999999,0.215005
transp,polar,water,17490,0.017149549571183535,0.0533450499999998,0.15000000000000002,0.15000000000000008,0.288336192109777,0.3941680960548885,0.05016589999999995,0.492081
transp,subtropical,land,16720,0.020131402870813397,0.11030979999999994,0.15000000000000002,0.15000000000000008,0.2619617224880383,0.27386363636363636,0.02016399999999997,0.28883499999999995
transp,subtropical,water,22880,0.01364083653846154,0.05681889999999985,0.15000000000000002,0.15000100000000005,0.35030594405594406,0.29772727272727273,0.0,0.17978099999999997
wind_air,equatorial,land,19085,0.0013675817133874772,0.0050000000000000044,0.025000000000000022,0.050000000000000044,0.13995284254650248,0.03217186271941315,0.03276519999999996,0.31838200000000005
wind_air,equatorial,water,20515,0.0006123531562271508,0.0,0.025000000000000022,0.05000099999999996,0.0,0.02827199610041433,0.0,0.22874300000000003
wind_air,mid_latitude,land,11330,0.009907521977052074,0.04999999999999999,0.050001000000000004,0.06125000000000003,0.02912621359223301,0.4368049426301853,0.07098915,0.29529399999999995
wind_air,mid_latitude,water,21670,5.478744808491004e-05,0.0,0.0,0.04888400000000004,0.0,0.0064143977849561605,0.0,0.17700100000000007
wind_air,polar,land,2310,0.007658400865800865,0.04999999999999993,0.050000000000000044,0.06125000000000003,0.0,0.38051948051948054,0.0677275499999999,0.21634399999999998
wind_air,polar,water,17490,0.0005030459119496868,0.0,0.01318651000000006,0.050000000000000044,0.0,0.04493996569468268,0.05016589999999995,0.492081
wind_air,subtropical,land,16720,0.0026056825956937797,0.018192099999999996,0.04999999999999999,0.06124999999999997,0.10819377990430622,0.09324162679425838,0.03577535,0.31484
wind_air,subtropical,water,22880,0.00010117167832167831,0.0,0.0,0.04847000000000001,0.0,0.00930944055944056,0.0,0.17978099999999997
wind_surface,equatorial,land,19085,0.01397287697144354,0.03194499999999997,0.18748243999999997,0.36113799999999996,0.49426250982446945,0.3931359706575845,0.03276519999999996,0.31838200000000005
wind_surface,equatorial,water,20515,0.008419072191079697,0.0119983,0.17836512000000007,0.42342699999999994,0.5444796490372897,0.3456007799171338,0.0,0.22874300000000003
wind_surface,mid_latitude,land,11330,0.03261538517210944,0.11269365000000002,0.18383586999999985,0.379211,0.3067078552515446,0.5329214474845543,0.07098915,0.29529399999999995
wind_surface,mid_latitude,water,21670,0.023099343193354868,0.08399665,0.22325091000000083,0.45181999999999994,0.2924319335486848,0.44240886017535763,0.0,0.17700100000000007
wind_surface,polar,land,2310,0.031070310389610393,0.10453949999999972,0.1669497699999996,0.21581799999999998,0.3463203463203463,0.6112554112554113,0.0677275499999999,0.21634399999999998
wind_surface,polar,water,17490,0.018426153344768437,0.0533450499999998,0.20039008000000022,0.325172,0.288336192109777,0.3941680960548885,0.05016589999999995,0.492081
