time_window,lat_band,hydro,n,precip_mean,precip_p95,precip_max,wet_ratio_gt_0p10,weather_active
W1:374-437,equatorial,land,22208,0.0,0.0,0.0,0.0,0.0
W1:374-437,equatorial,water,23872,0.0010184173089812334,0.0,0.095775,0.0,0.0227044235924933
W1:374-437,mid_latitude,land,13184,0.05939994508495146,0.209042,0.261294,0.29497876213592233,0.38812196601941745
W1:374-437,mid_latitude,water,25216,0.0007441008486675127,0.0,0.123786,0.002458756345177665,0.009398794416243654
W1:374-437,polar,land,2688,0.05416032700892857,0.241644,0.286197,0.2741815476190476,0.3162202380952381
W1:374-437,polar,water,20352,0.007345960003930817,0.086613,0.235423,0.03365762578616352,0.07556996855345911
W1:374-437,subtropical,land,19456,0.0013654549753289475,0.0,0.216583,0.007401315789473684,0.015059621710526315
W1:374-437,subtropical,water,26624,0.00081946337890625,0.0,0.1904,0.0015024038461538462,0.010479266826923076
W2:438-502,equatorial,land,22555,0.0,0.0,0.0,0.0,0.0
W2:438-502,equatorial,water,24245,0.0018693097133429572,0.0,0.102121,0.00012373685295937308,0.03703856465250567
W2:438-502,mid_latitude,land,13390,0.06445280470500374,0.205359,0.258975,0.3104555638536221,0.45414488424197164
W2:438-502,mid_latitude,water,25610,0.0006280327215931277,0.0,0.148674,0.0009371339320577899,0.008863725107379929
W2:438-502,polar,land,2730,0.06816489377289377,0.247144,0.268284,0.3183150183150183,0.4490842490842491
W2:438-502,polar,water,20670,0.00417089167876149,0.0,0.213859,0.022786647314949202,0.03691340106434446
W2:438-502,subtropical,land,19760,0.004193175961538461,0.0,0.244486,0.01862348178137652,0.04736842105263158
W2:438-502,subtropical,water,27040,0.00028717788461538464,0.0,0.112366,0.0002958579881656805,0.006989644970414201
W3:503-566,equatorial,land,22208,0.0,0.0,0.0,0.0,0.0
W3:503-566,equatorial,water,23872,0.0014491629105227882,0.0,0.103058,0.0013404825737265416,0.028275804289544237
W3:503-566,mid_latitude,land,13184,0.07439945668992719,0.216888,0.272477,0.34321905339805825,0.5493780339805825
W3:503-566,mid_latitude,water,25216,0.0006096847239847716,0.0,0.148674,0.0012690355329949238,0.007138324873096446
W3:503-566,polar,land,2688,0.06205404985119048,0.255512,0.278588,0.29575892857142855,0.42782738095238093
W3:503-566,polar,water,20352,0.003187834217767295,0.0,0.176909,0.014445754716981132,0.031446540880503145
W3:503-566,subtropical,land,19456,0.005930295795641447,0.025564,0.244831,0.026161595394736843,0.05833675986842105
W3:503-566,subtropical,water,26624,0.0005006014498197116,0.0,0.207611,0.0010141225961538462,0.007774939903846154
W4:567-631,equatorial,land,22555,0.0,0.0,0.0,0.0,0.0
W4:567-631,equatorial,water,24245,0.0010076362961435347,0.0,0.096427,0.0,0.017776861208496596
W4:567-631,mid_latitude,land,13390,0.06182475197908888,0.200292,0.2755,0.32815533980582523,0.46377893950709487
W4:567-631,mid_latitude,water,25610,0.0009297846934791097,0.0,0.158656,0.00324092151503319,0.009957048028114018
W4:567-631,polar,land,2730,0.048710215750915754,0.240304,0.266953,0.24358974358974358,0.33296703296703295
W4:567-631,polar,water,20670,0.0064738240928882435,0.083841,0.240605,0.031494920174165456,0.05108853410740203
W4:567-631,subtropical,land,19760,0.002176953795546559,0.0,0.241363,0.010273279352226721,0.02312753036437247
W4:567-631,subtropical,water,27040,0.0008634644230769231,0.0,0.131391,0.0022928994082840235,0.012278106508875739
W5:632-696,equatorial,land,22555,0.0,0.0,0.0,0.0,0.0
W5:632-696,equatorial,water,24245,0.0012678422767580945,0.0,0.091714,0.0,0.023180037121055888
W5:632-696,mid_latitude,land,13390,0.06161795399551904,0.21457514999999988,0.27356,0.3179985063480209,0.43256161314413744
W5:632-696,mid_latitude,water,25610,0.0007943712612260836,0.0,0.147771,0.0016399843811011324,0.014877001171417416
W5:632-696,polar,land,2730,0.05999843076923077,0.245401,0.281489,0.29816849816849816,0.3945054945054945
W5:632-696,polar,water,20670,0.00918763289791969,0.098591,0.240605,0.04862119013062409,0.07968069666182874
W5:632-696,subtropical,land,19760,0.007811684767206477,0.036271,0.261494,0.038157894736842106,0.05334008097165992
W5:632-696,subtropical,water,27040,0.0009948467085798816,0.0,0.207842,0.0014053254437869822,0.016383136094674556
W6:697-760,equatorial,land,3470,0.0,0.0,0.0,0.0,0.0
W6:697-760,equatorial,water,3730,0.0011947174262734585,0.0,0.089713,0.0,0.01876675603217158
W6:697-760,mid_latitude,land,2060,0.057455061165048546,0.21638,0.265808,0.27864077669902915,0.39854368932038836
W6:697-760,mid_latitude,water,3940,0.0009321208121827411,0.0,0.147771,0.005076142131979695,0.011675126903553299
W6:697-760,polar,land,420,0.058701723809523806,0.244413,0.286759,0.22857142857142856,0.3619047619047619
W6:697-760,polar,water,3180,0.007185054716981132,0.091021,0.170784,0.035849056603773584,0.06069182389937107
W6:697-760,subtropical,land,3040,0.010702005263157894,0.122812,0.251381,0.05460526315789474,0.07072368421052631
W6:697-760,subtropical,water,4160,0.00034654903846153846,0.0,0.0941,0.0,0.007451923076923077
