climate_pass_stage,lat_band,hydro,n,dT_mean_abs,dT_p95,dT_p99,dT_max,dT_pos_ratio,dT_neg_ratio,dM_p95,dM_max
ocean_land,equatorial,land,68808,0.026114045241832345,0.07268359999999997,0.09830500000000003,0.16397999999999996,0.681127194512266,0.2905476107429369,0.10847799999999996,0.33660100000000004
ocean_land,equatorial,water,32712,0.022454930514795794,0.061921000000000004,0.08838594999999992,0.14758899999999997,0.7058266079726094,0.26143311323061874,0.08048600000000006,0.48031
ocean_land,mid_latitude,land,12549,0.05899027906606104,0.15117119999999973,0.19410516000000022,0.24813999999999997,0.3842537253964459,0.5794087178261216,0.08633500000000005,0.174848
ocean_land,mid_latitude,water,72051,0.049375981388183374,0.11392599999999997,0.144965,0.255075,0.3302938196555218,0.6582698366434886,0.05724399999999996,0.36861600000000005
ocean_land,polar,water,50760,0.035447499251379036,0.11031599999999997,0.13907499999999995,0.25063399999999997,0.08120567375886525,0.7879432624113475,0.021259999999999946,0.122062
ocean_land,subtropical,land,56259,0.05317671958264455,0.11072599999999999,0.13100187999999996,0.17892199999999997,0.5462770401180256,0.4433957233509305,0.10088239999999994,0.34410799999999997
ocean_land,subtropical,water,45261,0.041529768520359694,0.100555,0.1387069999999999,0.20486300000000007,0.5210667020171892,0.46494774750889284,0.052159000000000066,0.494999
ocean_water,equatorial,land,68808,0.029226488925706312,0.07844299999999998,0.10704545999999984,0.18488700000000002,0.7630072084641321,0.2128822229973259,0.17453154999999992,0.491391
ocean_water,equatorial,water,32712,0.024640655386402543,0.067222,0.09287299999999998,0.14758899999999997,0.7373746637319638,0.23178038640254342,0.09930569999999965,0.523423
ocean_water,mid_latitude,land,12549,0.06202830456610088,0.15821700000000002,0.20335799999999998,0.23776000000000003,0.36656307275480116,0.602916567057136,0.10866739999999979,0.27589300000000005
ocean_water,mid_latitude,water,72051,0.04816622198165189,0.11474199999999996,0.14368600000000004,0.255075,0.34483907232377065,0.6422256457231683,0.061446,0.5279
ocean_water,polar,water,50760,0.03476762781717888,0.10958064999999996,0.139181,0.25063399999999997,0.08815996847911742,0.7805358550039401,0.004789099999999328,0.13990099999999994
ocean_water,subtropical,land,56259,0.05610906256776694,0.12016000000000002,0.1415881,0.22848700000000005,0.5582395705575997,0.430935494765282,0.13909899999999997,0.46003499999999997
ocean_water,subtropical,water,45261,0.042352389496475996,0.102437,0.13859700000000003,0.20486300000000007,0.5386977751264886,0.4464991935662049,0.05245700000000003,0.599872
pass_a,equatorial,land,22936,0.055696524415765614,0.11437624999999996,0.14559489999999997,0.22344099999999995,0.9666027206138821,0.028950122078828043,0.26038550000000005,0.448094
pass_a,equatorial,water,10904,0.02924363893983859,0.07816405000000007,0.10253513999999951,0.14377600000000001,0.7836573734409391,0.19057226705796038,0.37726860000000007,0.523423
pass_a,mid_latitude,land,4183,0.07576785656227587,0.16641859999999997,0.20785518000000017,0.26604099999999997,0.5474539803968443,0.443939756155869,0.19118909999999995,0.32288000000000006
pass_a,mid_latitude,water,24017,0.04834141737102885,0.11659040000000001,0.14071944000000006,0.175058,0.35745513594537204,0.6303451721697131,0.09054439999999998,0.5279
pass_a,polar,water,16920,0.03437008729314421,0.10899409999999998,0.13921224,0.17514699999999994,0.10135933806146571,0.7674940898345154,0.0,0.13990099999999994
pass_a,subtropical,land,18753,0.07903669034287847,0.17894459999999987,0.21431571999999988,0.27602600000000005,0.7190849464085747,0.2710499653388791,0.22788479999999997,0.46003499999999997
pass_a,subtropical,water,15087,0.04550629482335786,0.10781150000000003,0.13272864,0.17801699999999998,0.5474249353748261,0.43786040962417977,0.08457799999999994,0.599872
pass_b,equatorial,land,22936,0.03157766458841995,0.08240425000000004,0.11236265000000012,0.18488700000000002,0.7993547261946286,0.17867108475758633,0.24164374999999993,0.491391
pass_b,equatorial,water,10904,0.028536640132061628,0.07653545,0.10132697999999996,0.14377600000000001,0.7771460014673515,0.19644167278063096,0.271946,0.523423
pass_b,mid_latitude,land,4183,0.0608765022710973,0.1576132,0.20150684000000002,0.23776000000000003,0.3700693282333254,0.5990915610805642,0.140467,0.27589300000000005
pass_b,mid_latitude,water,24017,0.04836739946704417,0.11666600000000002,0.1407552,0.175058,0.3464629220968481,0.6412541116708997,0.08388779999999998,0.5279
pass_b,polar,water,16920,0.03452930059101655,0.10899409999999998,0.13921224,0.17514699999999994,0.0965130023640662,0.7718676122931442,0.0035946500000000416,0.13990099999999994
pass_b,subtropical,land,18753,0.055951015090918786,0.12146119999999999,0.14539391999999998,0.22848700000000005,0.5665226897029808,0.42206580280488454,0.1856521999999999,0.46003499999999997
pass_b,subtropical,water,15087,0.04520689805793067,0.10709219999999992,0.13015863999999988,0.17801699999999998,0.5433154371313051,0.4420361900974349,0.062264899999999804,0.599872
transp,equatorial,land,22936,0.01699796555633066,0.04426074999999999,0.06202065000000014,0.11511000000000005,0.5006539937216603,0.45905999302406697,0.08980025000000005,0.27205900000000005
transp,equatorial,water,10904,0.014366625000000001,0.04269470000000001,0.06683354999999969,0.12336100000000005,0.5024761555392516,0.44185619955979455,0.0749562500000001,0.420096
transp,mid_latitude,land,4183,0.037551816399713125,0.08805299999999996,0.10542196,0.13182500000000003,0.3870427922543629,0.5015539086779823,0.07677649999999983,0.17345100000000002
transp,mid_latitude,water,24017,0.029844638131323646,0.06875699999999998,0.10573856000000006,0.15000000000000008,0.4590498396968814,0.525627680393055,0.057503599999999946,0.36070800000000003
transp,polar,water,16920,0.018343987174940898,0.049647199999999996,0.06422993000000006,0.15000000000000002,0.3700354609929078,0.5149527186761229,0.022690300000000087,0.122062
transp,subtropical,land,18753,0.031901280221831176,0.07428499999999998,0.09343083999999999,0.13427399999999995,0.5019996800511918,0.4537407348157628,0.08545639999999996,0.31601199999999996
transp,subtropical,water,15087,0.028966283555378804,0.08353719999999995,0.11943195999999996,0.15000000000000008,0.5048054616557301,0.47895539205938886,0.05129389999999998,0.494999
wind_air,equatorial,land,22936,0.025640168730380188,0.07102650000000002,0.0969275000000001,0.16397999999999996,0.6653296128357168,0.30497907220090686,0.10289649999999997,0.309751
wind_air,equatorial,water,10904,0.022332861151870873,0.06160480000000006,0.08822723999999997,0.14758899999999997,0.7015774027879678,0.265498899486427,0.07801920000000005,0.48031
wind_air,mid_latitude,land,4183,0.0546707018885967,0.1421897,0.17863496,0.221543,0.3913459239780062,0.5632321300502032,0.0829400999999999,0.174848
wind_air,mid_latitude,water,24017,0.04949739621934463,0.11394760000000004,0.14532704000000005,0.255075,0.32847566307199066,0.6602406628638048,0.05771860000000011,0.36070800000000003
wind_air,polar,water,16920,0.0354813176713948,0.11031634999999997,0.13907480999999997,0.25063399999999997,0.08085106382978724,0.7882978723404256,0.02178150000000002,0.122062
wind_air,subtropical,land,18753,0.05234335034394497,0.10790579999999991,0.12841696,0.17892199999999997,0.5449794699514744,0.4443555697755026,0.09676939999999992,0.331707
wind_air,subtropical,water,15087,0.04150863193477829,0.10030039999999996,0.13867088,0.20486300000000007,0.5202492211838006,0.46589779280174987,0.05150900000000003,0.494999
wind_surface,equatorial,land,22936,0.01698929189919777,0.04428874999999996,0.06202065000000014,0.11511000000000005,0.49707882804325076,0.4618503662364841,0.09841674999999994,0.29573499999999997
wind_surface,equatorial,water,10904,0.014366625000000001,0.04269470000000001,0.06683354999999969,0.12336100000000005,0.5024761555392516,0.44185619955979455,0.0749562500000001,0.420096
wind_surface,mid_latitude,land,4183,0.03748147167104949,0.08805299999999996,0.10554130000000005,0.13182500000000003,0.38680372938082713,0.5015539086779823,0.0768653,0.174848
wind_surface,mid_latitude,water,24017,0.029846189865511928,0.06875699999999998,0.10573856000000006,0.170241,0.4590498396968814,0.525627680393055,0.057503599999999946,0.36070800000000003
wind_surface,polar,water,16920,0.018344327836879434,0.049647199999999996,0.06422993000000006,0.15394400000000003,0.3700354609929078,0.5149527186761229,0.022690300000000087,0.122062
wind_surface,subtropical,land,18753,0.03188337524662721,0.07427819999999996,0.09337407999999997,0.13427399999999995,0.5012531328320802,0.4541140084253186,0.09324599999999982,0.331707
wind_surface,subtropical,water,15087,0.028975345794392524,0.08353719999999995,0.11943195999999996,0.17537999999999998,0.5048054616557301,0.47895539205938886,0.05129389999999998,0.494999
