time_window,lat_band,hydro,n,precip_mean,precip_p95,precip_max,wet_ratio_gt_0p10,weather_active
W1:374-437,equatorial,land,31232,0.11011993055199795,0.24059134999999976,0.310652,0.5048027663934426,0.7443327356557377
W1:374-437,equatorial,water,14848,0.05952396033135776,0.30759664999999997,0.326654,0.09226831896551724,0.12223868534482758
W1:374-437,mid_latitude,land,5696,0.041659156952247194,0.122733,0.232982,0.08637640449438203,0.3472612359550562
W1:374-437,mid_latitude,water,32704,0.03565166927592955,0.069626,0.269931,0.011772260273972603,0.254005626223092
W1:374-437,polar,water,23040,0.02761183537326389,0.053542,0.109428,0.00034722222222222224,0.060112847222222224
W1:374-437,subtropical,land,25536,0.04636687037907268,0.17413675,0.315461,0.13800125313283207,0.2856359649122807
W1:374-437,subtropical,water,20544,0.03828971889602804,0.08639,0.308905,0.04205607476635514,0.15396222741433022
W2:438-502,equatorial,land,31720,0.11673156034047918,0.248741,0.315901,0.5559899117276167,0.7688839848675915
W2:438-502,equatorial,water,15080,0.05739515596816976,0.311872,0.328725,0.0939655172413793,0.12181697612732095
W2:438-502,mid_latitude,land,5785,0.05985824805531547,0.168486,0.260736,0.23595505617977527,0.46568712186689715
W2:438-502,mid_latitude,water,33215,0.03090914890862562,0.060814,0.273283,0.01125997290380852,0.08204124642480806
W2:438-502,polar,water,23400,0.027400793119658116,0.054139,0.109442,0.0008547008547008547,0.037905982905982905
W2:438-502,subtropical,land,25935,0.060501562714478506,0.208526,0.312029,0.21623288991710043,0.40848274532485057
W2:438-502,subtropical,water,20865,0.03394746331176611,0.073974,0.324256,0.031296429427270546,0.11363527438293794
W3:503-566,equatorial,land,31232,0.1250338607197746,0.25043,0.311125,0.5955430327868853,0.8381147540983607
W3:503-566,equatorial,water,14848,0.05231458768857758,0.29554689999999995,0.325198,0.08647629310344827,0.10917295258620689
W3:503-566,mid_latitude,land,5696,0.03473461288623596,0.106399,0.182828,0.056530898876404494,0.324438202247191
W3:503-566,mid_latitude,water,32704,0.03608461377813111,0.082814,0.259402,0.02299412915851272,0.43529843444227007
W3:503-566,polar,water,23040,0.025549340972222223,0.051303,0.118482,0.0019965277777777776,0.09162326388888889
W3:503-566,subtropical,land,25536,0.05981041936873433,0.181762,0.284502,0.209468984962406,0.4655388471177945
W3:503-566,subtropical,water,20544,0.032189298822040496,0.089556,0.300948,0.03908683800623053,0.1994256230529595
W4:567-631,equatorial,land,31720,0.11367443174653215,0.2436251499999999,0.309115,0.5245901639344263,0.7961223203026482
W4:567-631,equatorial,water,15080,0.05380736909814324,0.272734,0.318842,0.09946949602122016,0.12194960212201592
W4:567-631,mid_latitude,land,5785,0.029684689196197062,0.112505,0.185812,0.07139152981849611,0.1571305099394987
