climate_pass_stage,lat_band,hydro,n,dT_mean_abs,dT_p95,dT_p99,dT_max,dT_pos_ratio,dT_neg_ratio,dM_p95,dM_max
ocean_land,equatorial,land,190512,0.011267313712522046,0.04999999999999993,0.050000000000000044,0.07500099999999998,0.06786449147560258,0.5875272948685647,0.09790979999999992,0.467785
ocean_land,equatorial,water,172368,0.0017609308978464681,0.005629999999999985,0.050000000000000044,0.07500000000000007,0.0,0.055828227977350785,0.0,0.419918
ocean_land,mid_latitude,land,161280,0.005738716536458333,0.024999999999999994,0.04999999999999999,0.08625000000000002,0.038876488095238096,0.3427331349206349,0.07582699999999998,0.343097
ocean_land,mid_latitude,water,141120,0.004214260813492064,0.023806999999999995,0.04999999999999999,0.07500099999999998,0.0,0.27794075963718823,0.053907599999999896,0.41669599999999996
ocean_land,polar,land,13104,0.011461784416971916,0.04999999999999999,0.061249999999999985,0.08625000000000001,0.002442002442002442,0.5598290598290598,0.08198099999999997,0.269126
ocean_land,polar,water,168336,0.0022064227972626175,0.010193500000000008,0.03990199999999999,0.07500000000000001,0.0,0.2067591008459272,0.03662299999999996,0.17247200000000007
ocean_land,subtropical,land,194040,0.005873011389404247,0.025000000000000022,0.050000000000000044,0.07500000000000007,0.08620902906617192,0.31847041847041846,0.07512399999999997,0.433705
ocean_land,subtropical,water,168840,0.00344796425610045,0.01725919999999992,0.04999999999999999,0.07500000000000007,0.0,0.24262023217247097,0.04837099999999994,0.49494800000000005
ocean_water,equatorial,land,190512,0.00574409267132779,0.025000000000000022,0.025785379999999445,0.05000100000000002,0.038706223230032755,0.4927721088435374,0.16157579999999994,0.47557400000000005
ocean_water,equatorial,water,172368,0.0008984865578297596,0.0,0.025000000000000022,0.050000000000000044,0.0,0.04671400724032303,0.0,0.419918
ocean_water,mid_latitude,land,161280,0.0029610415550595237,0.01550329999999992,0.025000000000000022,0.06125,0.022470238095238095,0.2749565972222222,0.10853724999999993,0.483857
ocean_water,mid_latitude,water,141120,0.0021844352324263037,0.01161599999999996,0.025000000000000022,0.05000100000000002,0.0,0.2313704648526077,0.07397300000000007,0.568318
ocean_water,polar,land,13104,0.005917062957875458,0.024999999999999994,0.04014782999999905,0.06125000000000003,0.00144993894993895,0.44833638583638585,0.11317164999999947,0.404332
ocean_water,polar,water,168336,0.0011506092933181256,0.005168000000000034,0.021590899999999965,0.05000000000000002,0.0,0.17209628362322973,0.041490999999999945,0.22447099999999998
ocean_water,subtropical,land,194040,0.0030348048031333744,0.017696999999999963,0.025000000000000022,0.05874999999999997,0.04912389198103484,0.2633271490414348,0.11619999999999997,0.45482100000000003
ocean_water,subtropical,water,168840,0.001770401794598436,0.009461049999999985,0.025000000000000022,0.05000100000000002,0.0,0.20031390665719023,0.06326100000000001,0.5138
pass_a,equatorial,land,63882,0.00016096778435239974,0.0,0.0050000000000000044,0.025000000000000022,0.011709088632165555,0.010409818102125795,0.25855975,0.468604
pass_a,equatorial,water,57798,1.6968026575314036e-05,0.0,0.0,0.025000000000000022,0.0,0.0009688916571507665,0.04366129999999984,0.419918
pass_a,mid_latitude,land,54080,0.00010851706730769234,0.0,0.0050000000000000044,0.025000000000000022,0.003957100591715976,0.010780325443786981,0.2526821499999997,0.46614900000000004
pass_a,mid_latitude,water,47320,5.812935333896872e-05,0.0,0.0,0.025000000000000078,0.0,0.006086221470836856,0.10660435,0.568318
pass_a,polar,land,4394,0.0001929740555302686,0.0,0.011249999999999982,0.025000000000000022,0.0004551661356395084,0.016385980883022302,0.16794489999999992,0.412662
pass_a,polar,water,56446,2.3769337065513944e-05,0.0,0.0,0.024999999999999994,0.0,0.004056974807780888,0.057281749999999965,0.22447099999999998
pass_a,subtropical,land,65065,0.00010435501421655266,0.0,0.0049999999999999975,0.025000000000000022,0.009283024667640052,0.006685622070237455,0.23097460000000003,0.458387
pass_a,subtropical,water,56615,3.839358827165945e-05,0.0,0.0,0.025000000000000022,0.0,0.004398127704671907,0.10056029999999995,0.5138
pass_b,equatorial,land,63504,0.003421609583648274,0.024958549999999954,0.025000000000000022,0.025000999999999995,0.009826152683295541,0.3198381204333585,0.21841954999999993,0.47561600000000004
pass_b,equatorial,water,57456,0.0005315332254246727,0.0,0.025000000000000022,0.025000000000000022,0.0,0.030492898913951544,0.0,0.419918
pass_b,mid_latitude,land,53760,0.0016813083333333332,0.009871200000000004,0.024999999999999994,0.036250000000000004,0.006156994047619047,0.1783110119047619,0.12974484999999988,0.490687
pass_b,mid_latitude,water,47040,0.001340271343537415,0.005919000000000008,0.024999999999999994,0.02500100000000005,0.0,0.14942602040816327,0.08868874999999993,0.568318
pass_b,polar,land,4368,0.003096287774725275,0.023725299999999994,0.02500000000000001,0.03625000000000003,0.00022893772893772894,0.2591575091575092,0.13778049999999997,0.404332
pass_b,polar,water,56112,0.0006901547797262618,0.004563449999999999,0.018685000000000004,0.025000000000000022,0.0,0.11106358711149131,0.04807669999999996,0.22447099999999998
