tick_idx,climate_pass_stage,climate_pass_path,climate_pass_status
585,pass_a,data_core,done
586,pass_b,data_core,done
587,ocean_water,native_chunk,running
588,ocean_water,native_chunk,running
589,ocean_water,native_chunk,done
590,ocean_land,native_chunk,running
591,ocean_land,native_chunk,running
592,ocean_land,native_chunk,done
593,wind_air,gdext,done
594,wind_surface,gdext,done
595,transp,gdext,done
596,pass_a,data_core,done
597,pass_b,data_core,done
598,ocean_water,native_chunk,running
599,ocean_water,native_chunk,running
600,ocean_water,native_chunk,done
601,ocean_land,native_chunk,running
602,ocean_land,native_chunk,running
603,ocean_land,native_chunk,done
604,wind_air,gdext,done
605,wind_surface,gdext,done
606,transp,gdext,done
607,pass_a,data_core,done
608,pass_b,data_core,done
609,ocean_water,native_chunk,running
610,ocean_water,native_chunk,running
611,ocean_water,native_chunk,done
612,ocean_land,native_chunk,running
613,ocean_land,native_chunk,running
614,ocean_land,native_chunk,done
615,wind_air,gdext,done
616,wind_surface,gdext,done
617,transp,gdext,done
618,pass_a,data_core,done
619,pass_b,data_core,done
620,ocean_water,native_chunk,running
621,ocean_water,native_chunk,running
622,ocean_water,native_chunk,done
623,ocean_land,native_chunk,running
624,ocean_land,native_chunk,running
625,ocean_land,native_chunk,done
626,wind_air,gdext,done
627,wind_surface,gdext,done
628,transp,gdext,done
629,pass_a,data_core,done
630,pass_b,data_core,done
631,ocean_water,native_chunk,running
632,ocean_water,native_chunk,running
633,ocean_water,native_chunk,done
634,ocean_land,native_chunk,running
635,ocean_land,native_chunk,running
636,ocean_land,native_chunk,done
637,wind_air,gdext,done
638,wind_surface,gdext,done
639,transp,gdext,done
640,pass_a,data_core,done
641,pass_b,data_core,done
642,ocean_water,native_chunk,running
643,ocean_water,native_chunk,running
644,ocean_water,native_chunk,done
645,ocean_land,native_chunk,running
646,ocean_land,native_chunk,running
647,ocean_land,native_chunk,done
648,wind_air,gdext,done
649,wind_surface,gdext,done
650,transp,gdext,done
651,pass_a,data_core,done
652,pass_b,data_core,done
653,ocean_water,native_chunk,running
654,ocean_water,native_chunk,running
655,ocean_water,native_chunk,done
656,ocean_land,native_chunk,running
657,ocean_land,native_chunk,running
658,ocean_land,native_chunk,done
659,wind_air,gdext,done
660,wind_surface,gdext,done
661,transp,gdext,done
662,pass_a,data_core,done
663,pass_b,data_core,done
664,ocean_water,native_chunk,running
665,ocean_water,native_chunk,running
666,ocean_water,native_chunk,done
667,ocean_land,native_chunk,running
668,ocean_land,native_chunk,running
669,ocean_land,native_chunk,done
670,wind_air,gdext,done
671,wind_surface,gdext,done
672,transp,gdext,done
673,pass_a,data_core,done
674,pass_b,data_core,done
675,ocean_water,native_chunk,running
676,ocean_water,native_chunk,running
677,ocean_water,native_chunk,done
678,ocean_land,native_chunk,running
679,ocean_land,native_chunk,running
680,ocean_land,native_chunk,done
681,wind_air,gdext,done
682,wind_surface,gdext,done
683,transp,gdext,done
