time_window,lat_band,hydro,n,precip_mean,precip_p95,precip_max,wet_ratio_gt_0p10,weather_active
W4:567-631,equatorial,land,17766,0.06968055082742318,0.201879,0.267762,0.3271980186873804,0.6056512439491163
W4:567-631,equatorial,water,16074,0.010906359835759612,0.040296,0.269581,0.03919372900335946,0.06289660321015304
W4:567-631,mid_latitude,land,15040,0.04344153071808511,0.183922,0.250677,0.17214095744680852,0.4328457446808511
W4:567-631,mid_latitude,water,13160,0.020456284726443768,0.080266,0.24323,0.03054711246200608,0.3851063829787234
W4:567-631,polar,land,1222,0.015842579378068742,0.083797,0.108111,0.012274959083469721,0.2561374795417349
W4:567-631,polar,water,15698,0.00815184163587718,0.047276,0.11432,0.00019110714740731304,0.22193910052235954
W4:567-631,subtropical,land,18095,0.04297915484940591,0.1807,0.258708,0.20044211108040896,0.41304227687206413
W4:567-631,subtropical,water,15745,0.020134537122896156,0.07915119999999991,0.27033,0.02966020959034614,0.3638615433470943
W5:632-696,equatorial,land,24570,0.06974982201872201,0.20449,0.268382,0.3317867317867318,0.6088726088726089
W5:632-696,equatorial,water,22230,0.011091190328385066,0.045464,0.274992,0.03958614484930274,0.07044534412955465
W5:632-696,mid_latitude,land,20800,0.036071523317307695,0.151244,0.241546,0.13721153846153847,0.40668269230769233
W5:632-696,mid_latitude,water,18200,0.009231142307692307,0.060177,0.240871,0.021868131868131867,0.12967032967032968
W5:632-696,polar,land,1690,0.008135558579881656,0.064782,0.091646,0.0,0.13846153846153847
W5:632-696,polar,water,21710,0.005157190557346845,0.041353,0.124384,0.0009212344541685859,0.13620451404882541
W5:632-696,subtropical,land,25025,0.050109139660339655,0.18609,0.261782,0.2544655344655345,0.4317282717282717
W5:632-696,subtropical,water,21775,0.014045926613088405,0.063969,0.270099,0.027187141216991964,0.23600459242250288
W6:697-760,equatorial,land,24192,0.06491739996693122,0.198028,0.27957,0.3004712301587302,0.595734126984127
W6:697-760,equatorial,water,21888,0.009712331323099415,0.0,0.273092,0.0367781432748538,0.04358552631578947
W6:697-760,mid_latitude,land,20480,0.00982085888671875,0.060219,0.214109,0.01435546875,0.182421875
W6:697-760,mid_latitude,water,17920,0.014330054129464287,0.05642,0.196707,0.020200892857142858,0.31026785714285715
W6:697-760,polar,land,1664,0.03499001862980769,0.118253,0.194762,0.06610576923076923,0.5552884615384616
W6:697-760,polar,water,21376,0.009257782934131736,0.046336,0.118378,0.0005145958083832336,0.24723989520958084
W6:697-760,subtropical,land,24640,0.01760561221590909,0.109246,0.226081,0.05840097402597402,0.24565746753246753
W6:697-760,subtropical,water,21440,0.013383517024253732,0.064186,0.25717,0.030130597014925372,0.23055037313432836
W7:761-825,equatorial,land,24570,0.06798438534798534,0.194353,0.27774,0.33838013838013836,0.5775742775742776
W7:761-825,equatorial,water,22230,0.010929662483130905,0.065234,0.265053,0.03900134952766532,0.07354925775978408
W7:761-825,mid_latitude,land,20800,0.03072435076923077,0.158592,0.243719,0.13471153846153847,0.32846153846153847
W7:761-825,mid_latitude,water,18200,0.016101235164835165,0.060986,0.238064,0.014615384615384615,0.3598351648351648
W7:761-825,polar,land,1690,0.05960477869822486,0.19828805,0.233225,0.20828402366863905,0.6822485207100591
W7:761-825,polar,water,21710,0.009136946245969599,0.048544,0.141027,0.002947950253339475,0.24362045140488253
W7:761-825,subtropical,land,25025,0.02336915976023976,0.139951,0.2465,0.09706293706293706,0.2736063936063936
W7:761-825,subtropical,water,21775,0.01479428665901263,0.064223,0.261088,0.028289322617680825,0.2782548794489093
W8:826-890,equatorial,land,24570,0.07659141416361416,0.217578,0.269276,0.3791208791208791,0.6059422059422059
W8:826-890,equatorial,water,22230,0.010581038146648673,0.060359,0.264444,0.03634727845254161,0.0636527215474584
W8:826-890,mid_latitude,land,20800,0.02762722846153846,0.129853,0.243719,0.09764423076923077,0.33153846153846156
W8:826-890,mid_latitude,water,18200,0.009583881153846154,0.063025,0.233828,0.01956043956043956,0.15576923076923077
W8:826-890,polar,land,1690,0.05480613786982248,0.155955,0.204873,0.11479289940828402,0.8076923076923077
W8:826-890,polar,water,21710,0.00643109967756794,0.045033549999999985,0.136823,0.002717641639797328,0.1619530170428374
W8:826-890,subtropical,land,25025,0.02945887876123876,0.150446,0.262292,0.11744255744255744,0.3245154845154845
W8:826-890,subtropical,water,21775,0.012298321882893225,0.061305,0.262201,0.02833524684270953,0.2276923076923077
