frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,27949,3.14,88,false,0,88,86,2,0,0,87,169,0.6626,0.002,0,0
1,28094,145.496,89,true,1,91,89,2,0,0,89,169,0.3791,0.0005,0,0
2,28104,9.21,89,false,1,92,89,3,0,0,89,169,0.3791,0.0005,0,0
3,28105,1.406,89,false,1,92,89,3,0,0,89,169,0.3791,0.0005,0,0
4,28111,5.562,89,false,1,92,89,3,0,0,89,169,0.3791,0.0005,0,0
5,28117,6.798,89,false,1,93,89,4,0,0,89,169,0.3791,0.0005,0,0
6,28124,6.935,89,false,1,93,89,4,0,0,89,169,0.3791,0.0005,0,0
7,28131,6.877,89,false,1,93,89,4,0,0,89,169,0.3791,0.0005,0,0
8,28138,6.891,89,false,1,94,89,5,0,0,89,169,0.3791,0.0005,0,0
9,28145,6.924,89,false,1,94,89,5,0,0,89,169,0.3791,0.0005,0,0
10,28152,6.878,89,false,1,94,89,5,0,0,89,169,0.3791,0.0005,0,0
11,28159,6.925,89,false,1,95,89,6,0,0,89,169,0.3791,0.0005,0,0
12,28166,6.871,89,false,1,95,89,6,0,0,89,169,0.3791,0.0005,0,0
13,28173,6.903,89,false,1,95,89,6,0,0,89,169,0.3791,0.0005,0,0
14,28180,6.929,89,false,1,96,89,7,0,0,89,169,0.3791,0.0005,0,0
15,28186,6.867,89,false,1,96,89,7,0,0,89,21,0.3791,0.0005,0,0
16,28193,6.925,89,false,1,96,89,7,0,0,89,19,0.3791,0.0005,0,0
17,28200,6.884,89,false,1,96,89,7,0,0,89,22,0.3791,0.0005,0,0
18,28207,6.898,89,false,1,96,89,7,0,0,89,20,0.3791,0.0005,0,0
19,28214,6.935,89,false,1,96,89,7,0,0,89,19,0.3791,0.0005,0,0
20,28221,6.921,89,false,1,96,89,7,0,0,89,18,0.3791,0.0005,0,0
21,28228,6.866,89,false,1,96,89,7,0,0,89,23,0.3791,0.0005,0,0
22,28235,6.874,89,false,1,96,89,7,0,0,89,18,0.3791,0.0005,0,0
23,28242,6.923,89,false,1,96,89,7,0,0,89,21,0.3791,0.0005,0,0
24,28249,6.879,89,false,1,96,89,7,0,0,89,16,0.3791,0.0005,0,0
25,28255,6.899,89,false,1,96,89,7,0,0,89,21,0.3791,0.0005,0,0
26,28262,6.923,89,false,1,96,89,7,0,0,89,18,0.3791,0.0005,0,0
27,28269,6.877,89,false,1,96,89,7,0,0,89,15,0.3791,0.0005,0,0
28,28276,6.94,89,false,1,96,89,7,0,0,89,19,0.3791,0.0005,0,0
29,28283,6.856,89,false,1,96,89,7,0,0,89,22,0.3791,0.0005,0,0
30,28290,6.902,89,false,1,96,89,7,0,0,89,18,0.3791,0.0005,0,0
31,28297,6.94,89,false,1,96,89,7,0,0,89,21,0.3791,0.0005,0,0
32,28304,6.871,89,false,1,96,89,7,0,0,89,18,0.3791,0.0005,0,0
33,28311,7.165,89,false,1,96,89,7,0,0,89,26,0.3791,0.0005,0,0
34,28318,6.703,89,false,1,96,89,7,0,0,89,17,0.3791,0.0005,0,0
35,28324,6.858,89,false,1,96,89,7,0,0,89,40,0.3791,0.0005,0,0
36,28331,6.872,89,false,1,96,89,7,0,0,89,23,0.3791,0.0005,0,0
37,28339,6.898,89,false,1,96,89,7,0,0,89,20,0.3791,0.0005,0,0
38,28345,6.915,89,false,1,96,89,7,0,0,89,29,0.3791,0.0005,0,0
39,28352,6.908,89,false,1,96,89,7,0,0,89,29,0.3791,0.0005,0,0
40,28359,7.011,89,false,1,96,89,7,0,0,89,19,0.3791,0.0005,0,0
41,28366,6.766,89,false,1,96,89,7,0,0,89,27,0.3791,0.0005,0,0
42,28373,6.899,89,false,1,96,89,7,0,0,89,20,0.3791,0.0005,0,0
43,28380,6.948,89,false,1,96,89,7,0,0,89,18,0.3791,0.0005,0,0
44,28387,6.852,89,false,1,96,89,7,0,0,89,25,0.3791,0.0005,0,0
45,28394,6.943,89,false,1,96,89,7,0,0,89,23,0.3791,0.0005,0,0
46,28401,6.866,89,false,1,96,89,7,0,0,89,20,0.3791,0.0005,0,0
47,28407,6.931,89,false,1,96,89,7,0,0,89,30,0.3791,0.0005,0,0
48,28414,6.918,89,false,1,96,89,7,0,0,89,141,0.3791,0.0005,0,0
49,28421,6.855,89,false,1,96,89,7,0,0,89,43,0.3791,0.0005,0,0
50,28428,6.933,89,false,1,96,89,7,0,0,89,25,0.3791,0.0005,0,0
51,28435,6.857,89,false,1,96,89,7,0,0,89,38,0.3791,0.0005,0,0
52,28442,6.938,89,false,1,96,89,7,0,0,89,23,0.3791,0.0005,0,0
53,28449,6.865,89,false,1,96,89,7,0,0,89,21,0.3791,0.0005,0,0
54,28456,6.899,89,false,1,96,89,7,0,0,89,31,0.3791,0.0005,0,0
55,28463,6.939,89,false,1,96,89,7,0,0,89,21,0.3791,0.0005,0,0
56,28469,6.863,89,false,1,96,89,7,0,0,89,32,0.3791,0.0005,0,0
57,28477,6.952,89,false,1,96,89,7,0,0,89,23,0.3791,0.0005,0,0
58,28483,6.853,89,false,1,96,89,7,0,0,89,28,0.3791,0.0005,0,0
59,28490,6.897,89,false,1,96,89,7,0,0,89,25,0.3791,0.0005,0,0
60,28497,6.964,89,false,1,96,89,7,0,0,89,26,0.3791,0.0005,0,0
61,28504,6.838,89,false,1,96,89,7,0,0,89,28,0.3791,0.0005,0,0
62,28511,6.949,89,false,1,96,89,7,0,0,89,37,0.3791,0.0005,0,0
63,28518,6.842,89,false,1,96,89,7,0,0,89,43,0.3791,0.0005,0,0
64,28525,6.923,89,false,1,96,89,7,0,0,89,32,0.3791,0.0005,0,0
65,28532,6.876,89,false,1,96,89,7,0,0,89,20,0.3791,0.0005,0,0
66,28539,6.908,89,false,1,96,89,7,0,0,89,27,0.3791,0.0005,0,0
67,28545,6.914,89,false,1,96,89,7,0,0,89,21,0.3791,0.0005,0,0
68,28552,6.881,89,false,1,96,89,7,0,0,89,20,0.3791,0.0005,0,0
69,28559,6.907,89,false,1,96,89,7,0,0,89,27,0.3791,0.0005,0,0
70,28566,6.881,89,false,1,96,89,7,0,0,89,14,0.3791,0.0005,0,0
71,28573,6.903,89,false,1,96,89,7,0,0,89,15,0.3791,0.0005,0,0
72,28580,6.933,89,false,1,96,89,7,0,0,89,18,0.3791,0.0005,0,0
73,28587,6.872,89,false,1,96,89,7,0,0,89,18,0.3791,0.0005,0,0
74,28594,6.917,89,false,1,96,89,7,0,0,89,29,0.3791,0.0005,0,0
75,28601,6.879,89,false,1,96,89,7,0,0,89,16,0.3791,0.0005,0,0
76,28607,6.894,89,false,1,96,89,7,0,0,89,26,0.3791,0.0005,0,0
77,28614,6.931,89,false,1,96,89,7,0,0,89,16,0.3791,0.0005,0,0
78,28621,6.947,89,false,1,96,89,7,0,0,89,15,0.3791,0.0005,0,0
79,28628,6.844,89,false,1,96,89,7,0,0,89,20,0.3791,0.0005,0,0
80,28635,6.877,89,false,1,96,89,7,0,0,89,14,0.3791,0.0005,0,0
81,28642,6.935,89,false,1,96,89,7,0,0,89,19,0.3791,0.0005,0,0
82,28649,6.869,89,false,1,96,89,7,0,0,89,17,0.3791,0.0005,0,0
83,28656,6.902,89,false,1,96,89,7,0,0,89,16,0.3791,0.0005,0,0
84,28663,6.927,89,false,1,96,89,7,0,0,89,16,0.3791,0.0005,0,0
85,28670,6.875,89,false,1,96,89,7,0,0,89,17,0.3791,0.0005,0,0
86,28676,6.947,89,false,1,96,89,7,0,0,89,21,0.3791,0.0005,0,0
87,28683,6.853,89,false,1,96,89,7,0,0,89,25,0.3791,0.0005,0,0
88,28690,6.901,89,false,1,96,89,7,0,0,89,24,0.3791,0.0005,0,0
89,28697,6.943,89,false,1,96,89,7,0,0,89,19,0.3791,0.0005,0,0
90,28704,6.862,89,false,1,96,89,7,0,0,89,24,0.3791,0.0005,0,0
91,28711,6.934,89,false,1,96,89,7,0,0,89,19,0.3791,0.0005,0,0
92,28718,6.862,89,false,1,96,89,7,0,0,89,19,0.3791,0.0005,0,0
93,28725,6.918,89,false,1,96,89,7,0,0,89,34,0.3791,0.0005,0,0
94,28731,6.871,89,false,1,96,89,7,0,0,89,16,0.3791,0.0005,0,0
95,28738,6.912,89,false,1,96,89,7,0,0,89,15,0.3791,0.0005,0,0
96,28745,6.984,89,false,1,96,89,7,0,0,89,20,0.3791,0.0005,0,0
97,28752,6.815,89,false,1,96,89,7,0,0,89,16,0.3791,0.0005,0,0
98,28759,6.915,89,false,1,96,89,7,0,0,89,19,0.3791,0.0005,0,0
99,28766,6.878,89,false,1,96,89,7,0,0,89,13,0.3791,0.0005,0,0
100,28773,6.905,89,false,1,96,89,7,0,0,89,17,0.3791,0.0005,0,0
101,28780,6.952,89,false,1,96,89,7,0,0,89,20,0.3791,0.0005,0,0
102,28787,6.841,89,false,1,96,89,7,0,0,89,17,0.3791,0.0005,0,0
103,28794,6.926,89,false,1,96,89,7,0,0,89,17,0.3791,0.0005,0,0
104,28801,6.876,89,false,1,96,89,7,0,0,89,15,0.3791,0.0005,0,0
105,28807,6.901,89,false,1,96,89,7,0,0,89,17,0.3791,0.0005,0,0
106,28814,6.983,89,false,1,96,89,7,0,0,89,16,0.3791,0.0005,0,0
107,28821,6.823,89,false,1,96,89,7,0,0,89,18,0.3791,0.0005,0,0
108,28828,6.916,89,false,1,96,89,7,0,0,89,16,0.3791,0.0005,0,0
109,28835,6.876,89,false,1,96,89,7,0,0,89,14,0.3791,0.0005,0,0
110,28842,6.931,89,false,1,96,89,7,0,0,89,16,0.3791,0.0005,0,0
111,28849,6.869,89,false,1,96,89,7,0,0,89,17,0.3791,0.0005,0,0
112,28856,6.915,89,false,1,96,89,7,0,0,89,17,0.3791,0.0005,0,0
113,28863,6.942,89,false,1,96,89,7,0,0,89,19,0.3791,0.0005,0,0
114,28869,6.844,89,false,1,96,89,7,0,0,89,23,0.3791,0.0005,0,0
115,28876,6.956,89,false,1,96,89,7,0,0,89,17,0.3791,0.0005,0,0
116,28883,6.85,89,false,1,96,89,7,0,0,89,15,0.3791,0.0005,0,0
117,28890,6.888,89,false,1,96,89,7,0,0,89,22,0.3791,0.0005,0,0
118,28897,6.932,89,false,1,96,89,7,0,0,89,15,0.3791,0.0005,0,0
119,28904,6.882,89,false,1,96,89,7,0,0,89,15,0.3791,0.0005,0,0
120,28911,6.924,89,false,1,96,89,7,0,0,89,19,0.3791,0.0005,0,0
121,28918,6.879,89,false,1,96,89,7,0,0,89,16,0.3791,0.0005,0,0
122,28925,6.927,89,false,1,96,89,7,0,0,89,18,0.3791,0.0005,0,0
123,28932,6.865,89,false,1,96,89,7,0,0,89,19,0.3791,0.0005,0,0
124,28939,6.907,89,false,1,96,89,7,0,0,89,34,0.3791,0.0005,0,0
125,28946,6.957,89,false,1,96,89,7,0,0,89,20,0.3791,0.0005,0,0
126,28953,6.845,89,false,1,96,89,7,0,0,89,16,0.3791,0.0005,0,0
127,28959,6.968,89,false,1,96,89,7,0,0,89,21,0.3791,0.0005,0,0
128,28966,6.831,89,false,1,96,89,7,0,0,89,29,0.3791,0.0005,0,0
