frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,35250,5.191,87,false,1,87,85,2,0,0,86,20,0.5667,0.0018,0,0
1,35265,14.875,88,true,1,88,87,1,0,0,87,20,0.5751,0.0015,0,0
2,35410,144.607,89,true,1,89,88,1,0,0,88,20,0.6387,0.0019,0,0
3,35496,85.805,89,false,1,91,88,3,0,0,88,20,0.3429,0.0013,0,0
4,35503,7.427,89,false,1,92,88,4,0,0,88,20,0.3429,0.0013,0,0
5,35505,2.181,89,false,1,92,88,4,0,0,88,20,0.3429,0.0013,0,0
6,35510,4.871,89,false,1,93,88,5,0,0,88,20,0.3429,0.0013,0,0
7,35517,6.765,89,false,1,93,88,5,0,0,88,20,0.3429,0.0013,0,0
8,35524,6.949,89,false,1,93,88,5,0,0,88,20,0.3429,0.0013,0,0
9,35530,6.845,89,false,1,94,88,6,0,0,88,20,0.3429,0.0013,0,0
10,35537,6.911,89,false,1,94,88,6,0,0,88,20,0.3429,0.0013,0,0
11,35544,6.944,89,false,1,94,88,6,0,0,88,20,0.3429,0.0013,0,0
12,35551,6.846,89,false,1,95,88,7,0,0,88,20,0.3429,0.0013,0,0
13,35558,6.96,89,false,1,95,88,7,0,0,88,31,0.3429,0.0013,0,0
14,35565,6.847,89,false,1,95,88,7,0,0,88,31,0.3429,0.0013,0,0
15,35572,7.054,89,false,1,95,88,7,0,0,88,73,0.3429,0.0013,0,0
16,35579,6.735,89,false,1,95,88,7,0,0,88,36,0.3429,0.0013,0,0
17,35586,6.907,89,false,1,95,88,7,0,0,88,23,0.3429,0.0013,0,0
18,35593,6.936,89,false,1,95,88,7,0,0,88,34,0.3429,0.0013,0,0
19,35599,6.86,89,false,1,95,88,7,0,0,88,24,0.3429,0.0013,0,0
20,35606,6.938,89,false,1,95,88,7,0,0,88,105,0.3429,0.0013,0,0
21,35614,6.866,89,false,1,95,88,7,0,0,88,22,0.3429,0.0013,0,0
22,35620,6.903,89,false,1,95,88,7,0,0,88,22,0.3429,0.0013,0,0
23,35627,6.926,89,false,1,95,88,7,0,0,88,28,0.3429,0.0013,0,0
24,35634,6.872,89,false,1,95,88,7,0,0,88,21,0.3429,0.0013,0,0
25,35641,6.942,89,false,1,95,88,7,0,0,88,24,0.3429,0.0013,0,0
26,35648,6.859,89,false,1,95,88,7,0,0,88,26,0.3429,0.0013,0,0
27,35655,6.953,89,false,1,95,88,7,0,0,88,29,0.3429,0.0013,0,0
28,35662,6.959,89,false,1,95,88,7,0,0,88,30,0.3429,0.0013,0,0
29,35669,6.787,89,false,1,95,88,7,0,0,88,35,0.3429,0.0013,0,0
30,35676,6.949,89,false,1,95,88,7,0,0,88,38,0.3429,0.0013,0,0
31,35682,6.854,89,false,1,95,88,7,0,0,88,36,0.3429,0.0013,0,0
32,35689,6.959,89,false,1,95,88,7,0,0,88,38,0.3429,0.0013,0,0
33,35696,6.843,89,false,1,95,88,7,0,0,88,31,0.3429,0.0013,0,0
34,35703,6.882,89,false,1,95,88,7,0,0,88,29,0.3429,0.0013,0,0
35,35710,7.145,89,false,1,95,88,7,0,0,88,20,0.3429,0.0013,0,0
36,35717,6.654,89,false,1,95,88,7,0,0,88,33,0.3429,0.0013,0,0
37,35724,6.949,89,false,1,95,88,7,0,0,88,18,0.3429,0.0013,0,0
38,35731,6.862,89,false,1,95,88,7,0,0,88,28,0.3429,0.0013,0,0
39,35737,6.926,89,false,1,95,88,7,0,0,88,33,0.3429,0.0013,0,0
40,35744,6.874,89,false,1,95,88,7,0,0,88,32,0.3429,0.0013,0,0
41,35751,6.897,89,false,1,95,88,7,0,0,88,25,0.3429,0.0013,0,0
42,35758,6.948,89,false,1,95,88,7,0,0,88,29,0.3429,0.0013,0,0
43,35765,6.854,89,false,1,95,88,7,0,0,88,35,0.3429,0.0013,0,0
44,35772,6.981,89,false,1,95,88,7,0,0,88,24,0.3429,0.0013,0,0
45,35779,6.805,89,false,1,95,88,7,0,0,88,54,0.3429,0.0013,0,0
46,35786,6.908,89,false,1,95,88,7,0,0,88,20,0.3429,0.0013,0,0
47,35793,6.968,89,false,1,95,88,7,0,0,88,42,0.3429,0.0013,0,0
48,35799,6.845,89,false,1,95,88,7,0,0,88,23,0.3429,0.0013,0,0
49,35807,6.95,89,false,1,95,88,7,0,0,88,19,0.3429,0.0013,0,0
50,35813,6.838,89,false,1,95,88,7,0,0,88,30,0.3429,0.0013,0,0
51,35820,6.964,89,false,1,95,88,7,0,0,88,20,0.3429,0.0013,0,0
52,35827,6.838,89,false,1,95,88,7,0,0,88,30,0.3429,0.0013,0,0
53,35834,6.901,89,false,1,95,88,7,0,0,88,21,0.3429,0.0013,0,0
54,35841,6.956,89,false,1,95,88,7,0,0,88,44,0.3429,0.0013,0,0
55,35848,6.857,89,false,1,95,88,7,0,0,88,24,0.3429,0.0013,0,0
56,35855,6.93,89,false,1,95,88,7,0,0,88,25,0.3429,0.0013,0,0
57,35862,6.864,89,false,1,95,88,7,0,0,88,25,0.3429,0.0013,0,0
58,35869,6.896,89,false,1,95,88,7,0,0,88,58,0.3429,0.0013,0,0
59,35876,6.948,89,false,1,95,88,7,0,0,88,32,0.3429,0.0013,0,0
60,35883,6.848,89,false,1,95,88,7,0,0,88,26,0.3429,0.0013,0,0
61,35889,6.931,89,false,1,95,88,7,0,0,88,26,0.3429,0.0013,0,0
62,35896,6.9,89,false,1,95,88,7,0,0,88,37,0.3429,0.0013,0,0
63,35903,6.89,89,false,1,95,88,7,0,0,88,39,0.3429,0.0013,0,0
64,35910,6.881,89,false,1,95,88,7,0,0,88,32,0.3429,0.0013,0,0
65,35917,6.895,89,false,1,95,88,7,0,0,88,38,0.3429,0.0013,0,0
66,35924,6.948,89,false,1,95,88,7,0,0,88,22,0.3429,0.0013,0,0
67,35931,6.869,89,false,1,95,88,7,0,0,88,39,0.3429,0.0013,0,0
68,35938,6.937,89,false,1,95,88,7,0,0,88,29,0.3429,0.0013,0,0
69,35945,6.856,89,false,1,95,88,7,0,0,88,28,0.3429,0.0013,0,0
70,35951,6.886,89,false,1,95,88,7,0,0,88,30,0.3429,0.0013,0,0
71,35958,6.954,89,false,1,95,88,7,0,0,88,40,0.3429,0.0013,0,0
72,35965,6.848,89,false,1,95,88,7,0,0,88,24,0.3429,0.0013,0,0
73,35972,6.962,89,false,1,95,88,7,0,0,88,20,0.3429,0.0013,0,0
74,35979,6.839,89,false,1,95,88,7,0,0,88,62,0.3429,0.0013,0,0
75,35986,6.92,89,false,1,95,88,7,0,0,88,44,0.3429,0.0013,0,0
76,35993,6.885,89,false,1,95,88,7,0,0,88,34,0.3429,0.0013,0,0
77,36000,6.9,89,false,1,95,88,7,0,0,88,29,0.3429,0.0013,0,0
78,36007,6.943,89,false,1,95,88,7,0,0,88,28,0.3429,0.0013,0,0
79,36014,6.862,89,false,1,95,88,7,0,0,88,28,0.3429,0.0013,0,0
80,36021,6.968,89,false,1,95,88,7,0,0,88,28,0.3429,0.0013,0,0
81,36027,6.824,89,false,1,95,88,7,0,0,88,23,0.3429,0.0013,0,0
82,36034,6.893,89,false,1,95,88,7,0,0,88,39,0.3429,0.0013,0,0
83,36041,6.941,89,false,1,95,88,7,0,0,88,19,0.3429,0.0013,0,0
84,36048,6.867,89,false,1,95,88,7,0,0,88,36,0.3429,0.0013,0,0
85,36055,6.943,89,false,1,95,88,7,0,0,88,21,0.3429,0.0013,0,0
86,36062,6.856,89,false,1,95,88,7,0,0,88,38,0.3429,0.0013,0,0
87,36069,6.941,89,false,1,95,88,7,0,0,88,38,0.3429,0.0013,0,0
88,36076,6.87,89,false,1,95,88,7,0,0,88,71,0.3429,0.0013,0,0
89,36082,6.889,89,false,1,95,88,7,0,0,88,21,0.3429,0.0013,0,0
90,36089,6.944,89,false,1,95,88,7,0,0,88,34,0.3429,0.0013,0,0
91,36096,6.848,89,false,1,95,88,7,0,0,88,28,0.3429,0.0013,0,0
92,36103,6.977,89,false,1,95,88,7,0,0,88,18,0.3429,0.0013,0,0
93,36110,6.839,89,false,1,95,88,7,0,0,88,29,0.3429,0.0013,0,0
94,36117,6.885,89,false,1,95,88,7,0,0,88,34,0.3429,0.0013,0,0
95,36124,6.964,89,false,1,95,88,7,0,0,88,18,0.3429,0.0013,0,0
96,36131,6.856,89,false,1,95,88,7,0,0,88,19,0.3429,0.0013,0,0
97,36138,6.918,89,false,1,95,88,7,0,0,88,32,0.3429,0.0013,0,0
98,36145,6.876,89,false,1,95,88,7,0,0,88,19,0.3429,0.0013,0,0
99,36151,6.921,89,false,1,95,88,7,0,0,88,28,0.3429,0.0013,0,0
100,36158,6.89,89,false,1,95,88,7,0,0,88,28,0.3429,0.0013,0,0
101,36165,6.885,89,false,1,95,88,7,0,0,88,28,0.3429,0.0013,0,0
102,36172,6.955,89,false,1,95,88,7,0,0,88,22,0.3429,0.0013,0,0
103,36179,6.85,89,false,1,95,88,7,0,0,88,28,0.3429,0.0013,0,0
104,36186,6.949,89,false,1,95,88,7,0,0,88,32,0.3429,0.0013,0,0
105,36193,6.834,89,false,1,95,88,7,0,0,88,35,0.3429,0.0013,0,0
106,36200,6.9,89,false,1,95,88,7,0,0,88,23,0.3429,0.0013,0,0
107,36207,6.935,89,false,1,95,88,7,0,0,88,26,0.3429,0.0013,0,0
108,36213,6.875,89,false,1,95,88,7,0,0,88,19,0.3429,0.0013,0,0
109,36221,6.983,89,false,1,95,88,7,0,0,88,20,0.3429,0.0013,0,0
