building_id,building_kind,building_name,resource_in,input_goods,output_goods
advanced_chip_fab,industrial,先进芯片厂,,semiconductors;rare_earth_metals,advanced_chips
agricultural_machinery_plant,industrial,Agricultural Machinery Factory,,industrial_machinery;engines,agricultural_machinery
aluminum_plant,industrial,Aluminum Factory,,bauxite;electricity,aluminum
automobiles_plant,industrial,Automobiles Factory,,engines;steel;batteries;synthetic_rubber,automobiles
autonomous_systems_plant,industrial,自主系统工厂,,advanced_chips;electric_motor;batteries,autonomous_systems
bakery,industrial,Bakery,,flour,bread
basic_electrical_equipment_works,industrial,基础电气设备厂,,insulated_cable;steel,electrical_equipment
basic_semiconductor_fab,industrial,基础半导体厂,,silica_sand;copper;electricity,semiconductors
batteries_plant,industrial,Batteries Factory,,lead;rare_earth_metals;industrial_chemicals,batteries
bauxite_collector,collector,Bauxite Collector,bauxite[extract],tools;explosives;electricity,bauxite
beverages_plant,industrial,Beverages Factory,,processed_food;packaging,beverages
bread_plant,industrial,Bread Factory,,flour;packaging,bread
bricks_plant,industrial,Bricks Factory,,clay,bricks
bronze_foundry,industrial,青铜铸造场,,copper;tin,bronze
bronze_tool_workshop,industrial,青铜工具工坊,,bronze,bronze_tools
canned_fish_plant,industrial,Canned Fish Factory,,fish;salt;packaging,canned_fish
cement_plant,industrial,Cement Factory,,lime;clay,cement
classical_glass_kiln,industrial,古典玻璃窑,,silica_sand;logs,glass
classical_masonry_yard,industrial,古典石作场,,raw_stone;tools,dressed_masonry
classical_public_works,industrial,古典公共工程场,,dressed_masonry,construction_components
classical_scriptorium,industrial,古典抄写室,,papyrus,manuscripts
classical_silica_pit,collector,古典硅砂坑,silica_sand[extract],,silica_sand
clay_collector,collector,Clay Deposit Collector,clay[extract],tools,clay
clothing_plant,industrial,Clothing Factory,,cloth,clothing
cloth_plant,industrial,Cloth Factory,,textile,cloth
coal_mine,collector,Coal Collector,coal[extract],tools,coal
cobbler_shop,industrial,Cobbler Shop,,leather,footwear
coke_ovens,industrial,焦炉,,coal,coke
communal_hearth,industrial,公共火塘,,gathered_plants;game_meat,processed_food
computers_plant,industrial,Computers Factory,,semiconductors;electronic_components;plastics,computers
concrete_plant,industrial,Concrete Factory,,cement;raw_stone,concrete
construction_components_plant,industrial,Construction Components Factory,,concrete;steel;glass;bricks;cut_stone,construction_components
copper_ore_collector,collector,Copper Deposit Collector,copper_ore[extract],tools,copper_ore
copper_plant,industrial,Copper Factory,,copper_ore;coal,copper
corn_food_plant,industrial,Corn Food Factory,,corn_grain;packaging,corn_food
corn_grinding_house,industrial,Corn Grinding House,,corn_grain,corn_food
cottage_weaving,collector,Cottage Weaving,arable_land[capacity];fertile_soil[capacity],,cloth
cotton_collector,collector,Cotton Farm,arable_land[capacity];fertile_soil[capacity],,cotton_fiber
cotton_yarn_plant,industrial,Cotton Yarn Factory,,cotton_fiber,cotton_yarn
creamery,industrial,Creamery,,livestock_products,dairy_products
cut_stone_plant,industrial,Cut Stone Factory,,raw_stone;tools,cut_stone
dairy_products_plant,industrial,Dairy Factory,,livestock_products;packaging,dairy_products
detergent_plant,industrial,Detergent Factory,,petrochemicals;industrial_chemicals,detergent
digital_computer_workshop,industrial,数字计算机工场,,precision_tools;copper;electricity,computers
early_clay_pit,collector,早期黏土坑,clay[extract],,clay
early_copper_mine,collector,早期铜矿,copper_ore[extract],,copper_ore
early_copper_smelter,industrial,早期炼铜炉,,copper_ore;logs,copper
early_tin_mine,collector,早期锡矿,tin_ore[extract],,tin_ore
early_tin_smelter,industrial,早期炼锡炉,,tin_ore;logs,tin
edible_oil_plant,industrial,Edible Oil Factory,,corn_grain,edible_oil
electrical_equipment_plant,industrial,Electrical Equipment Factory,,wire;steel;plastics,electrical_equipment
electricity_plant,industrial,Electricity Factory,,coal,electricity
electric_motor_plant,industrial,Electric Motor Factory,,copper;steel,electric_motor
electronic_components_plant,industrial,Electronic Components Factory,,copper;tin;zinc;plastics;rare_earth_metals,electronic_components
engines_plant,industrial,Engines Factory,,steel;aluminum;machine_parts,engines
explosives_plant,industrial,Explosives Factory,,saltpeter;sulfur,explosives
fertile_soil_collector,collector,Vegetable Farm,arable_land[capacity];fertile_soil[capacity],,vegetables
