frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,25922,5.143,226,false,1,229,224,5,0,0,224,25,1.7821,0.001,0,0
1,25929,6.87,227,true,2,230,225,5,0,0,225,25,1.8362,0.0011,0,0
2,25936,6.947,227,false,2,230,225,5,0,0,225,25,1.8362,0.0011,0,0
3,25943,6.86,227,false,2,230,225,5,0,0,225,25,1.8362,0.0011,0,0
4,25950,6.889,228,true,2,231,226,5,0,0,226,25,1.7973,0.001,0,0
5,25957,6.935,228,false,2,231,226,5,0,0,226,25,1.7973,0.001,0,0
6,25964,6.876,228,false,2,231,226,5,0,0,226,25,1.7973,0.001,0,0
7,25970,6.911,229,true,2,232,227,5,0,0,227,25,3.284,0.0013,0,0
8,25977,6.876,229,false,2,232,227,5,0,0,227,25,3.284,0.0013,0,0
9,25984,6.941,229,false,2,232,227,5,0,0,228,25,3.284,0.0013,0,0
10,25991,6.86,230,true,2,233,228,5,0,0,228,25,1.8318,0.001,0,0
11,25998,6.916,230,false,2,233,228,5,0,0,228,25,1.8318,0.001,0,0
12,26005,6.932,230,false,2,233,228,5,0,0,229,25,1.8318,0.001,0,0
13,26012,6.854,231,true,2,234,229,5,0,0,229,25,1.7952,0.0016,0,0
14,26019,6.931,231,false,2,234,229,5,0,0,229,25,1.7952,0.0016,0,0
15,26026,6.882,231,false,2,234,229,5,0,0,230,25,1.9597,0.001,0,0
16,26033,6.885,232,true,2,235,230,5,0,0,230,25,1.9597,0.001,0,0
17,26039,6.923,232,false,2,235,230,5,0,0,230,25,1.9597,0.001,0,0
18,26046,6.876,233,true,2,236,231,5,0,0,231,25,1.957,0.0009,0,0
19,26053,6.94,233,false,2,236,231,5,0,0,231,25,1.957,0.0009,0,0
20,26060,6.874,233,false,2,236,231,5,0,0,231,25,1.957,0.0009,0,0
21,26067,6.946,234,true,2,237,232,5,0,0,232,25,1.8362,0.0009,0,0
22,26074,6.873,234,false,2,237,232,5,0,0,232,25,1.8362,0.0009,0,0
23,26081,6.875,234,false,2,237,232,5,0,0,232,25,1.8362,0.0009,0,0
24,26088,7.142,235,true,2,238,233,5,0,0,233,25,2.3792,0.0012,0,0
25,26095,6.673,235,false,2,238,233,5,0,0,233,25,2.3792,0.0012,0,0
26,26102,6.905,235,false,2,238,233,5,0,0,233,25,2.3792,0.0012,0,0
27,26108,6.873,236,true,2,239,234,5,0,0,234,25,1.8978,0.0012,0,0
28,26115,6.901,236,false,2,239,234,5,0,0,234,25,1.8978,0.0012,0,0
29,26122,6.95,236,false,2,239,234,5,0,0,235,25,1.8978,0.0012,0,0
30,26129,6.851,237,true,2,240,235,5,0,0,235,25,2.5736,0.0014,0,0
31,26136,6.937,237,false,2,240,235,5,0,0,235,25,2.5736,0.0014,0,0
32,26143,6.87,237,false,2,240,235,5,0,0,236,25,1.811,0.0013,0,0
33,26150,6.896,238,true,2,241,236,5,0,0,236,25,1.811,0.0013,0,0
34,26157,6.944,238,false,2,241,236,5,0,0,236,25,1.811,0.0013,0,0
35,26164,6.856,238,false,2,241,236,5,0,0,237,25,1.8728,0.0011,0,0
36,26171,6.926,239,true,2,242,237,5,0,0,237,25,1.8728,0.0011,0,0
37,26178,6.881,239,false,2,242,237,5,0,0,237,25,1.8728,0.0011,0,0
38,26185,6.938,239,false,2,242,237,5,0,0,238,25,1.8508,0.0014,0,0
39,26191,6.891,240,true,2,243,238,5,0,0,238,25,1.8508,0.0014,0,0
40,26198,6.865,240,false,2,243,238,5,0,0,238,25,1.8508,0.0014,0,0
41,26205,6.926,240,false,2,243,238,5,0,0,239,25,2.5526,0.0013,0,0
42,26212,6.872,241,true,2,244,239,5,0,0,239,25,2.5526,0.0013,0,0
43,26219,6.944,241,false,2,244,239,5,0,0,239,25,2.5526,0.0013,0,0
