epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,cohort_index,handle,signature_id,profession_id,ethnicity_id,population,funds,epoch_income,epoch_expense,epoch_in_kind_income,cash_expense_coverage_q16,livelihood_coverage_q16,income_ema,satisfaction_q16,worst_need_id,is_merchant,owner_employed,employee_employed,unemployed
1,1,1,1122,33,18,-51,0,4294995712,2,2,0,215,77649600,0,0,0,65536,65536,0,65535,-1,0,0,0,215
1,1,1,1122,33,18,-51,1,4294995713,8,8,0,789,281152260,0,0,0,65536,65536,0,65535,-1,0,0,0,789
1,1,1,1122,33,18,-51,2,4294995714,9,9,0,2297,943511730,0,0,0,65536,65536,0,65535,-1,0,0,0,2297
1,1,1,1122,33,18,-51,3,4294995715,12,12,0,162,57837645,0,0,0,65536,65536,0,65535,-1,0,0,0,162
1,1,1,1122,33,18,-51,4,4294995716,20,20,0,1,2053485790,0,0,0,65536,65536,0,65535,-1,1,0,0,1
1,1,1,1122,33,18,-51,5,4294995717,31,31,0,9036,3219888240,0,0,0,65536,65536,0,65535,-1,0,0,0,9036
2,2,2,1122,33,18,-51,0,8589963008,9,9,0,2298,1294079024,585727644,134495795,47318200,285408,228185,56404911,65535,5,0,2297,0,1
2,2,2,1122,33,18,-51,1,8589963009,8,8,0,789,359243865,114519176,44390531,32506800,169070,125303,8766080,65535,16,0,789,0,0
2,2,2,1122,33,18,-51,2,8589963010,2,2,0,215,69853540,5826250,14755690,0,25876,25876,-1116180,65535,16,0,215,0,0
2,2,2,1122,33,18,-51,3,8589963011,12,12,0,162,59561163,8002197,7803094,6674400,67208,66437,24887,65535,16,0,162,0,0
2,2,2,1122,33,18,-51,4,4294995716,20,20,0,501,1825894788,352056374,762863612,0,30244,30244,-51351835,65535,5,1,500,0,1
2,2,2,1122,33,18,-51,5,4294995717,31,31,0,8538,3024892924,0,101822880,0,0,0,-12727860,65535,-1,0,0,0,8538
3,3,3,1122,33,18,-51,0,8589963008,9,9,0,2298,1294079024,585727644,134495795,47318200,285408,228185,56404911,65535,5,0,2297,0,1
3,3,3,1122,33,18,-51,1,8589963009,8,8,0,789,359243865,114519176,44390531,32506800,169070,125303,8766080,65535,16,0,789,0,0
3,3,3,1122,33,18,-51,2,8589963010,2,2,0,215,69853540,5826250,14755690,0,25876,25876,-1116180,65535,16,0,215,0,0
3,3,3,1122,33,18,-51,3,8589963011,12,12,0,162,59561163,8002197,7803094,6674400,67208,66437,24887,65535,16,0,162,0,0
3,3,3,1122,33,18,-51,4,4294995716,20,20,0,501,1825894788,352056374,762863612,0,30244,30244,-51351835,65535,5,1,500,0,1
