epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_owner_job_reallocations,building_owner_job_profession_changes,building_owner_job_probability_skips,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap,merchant_credit_budget,merchant_credit_committed,merchant_credit_drawn,merchant_credit_repaid,merchant_credit_premium_repaid,merchant_credit_outstanding,merchant_credit_bad_debt,recovery_candidates,recovery_approved,recovery_restarted,recovery_failed,recovery_liquidated_buildings,trade_active_keys_pruned,trade_deficit_episodes_started,trade_deficit_episodes_resolved,trade_candidates_stale_generation,trade_candidates_arbitrated_out,trade_true_source_stock_failures,merchant_cash,merchant_inventory_retail_value,merchant_inventory_liquidation_value,merchant_economic_assets,merchant_procurement_margin_value,merchant_trade_purchase_cash,merchant_trade_sale_cash,merchant_operating_outflow,merchant_liquidity_coverage_q16,merchant_effective_buy_factor_q16
1,1,1,false,trade_planning,65535,1,1,5074,2400,120,261,9590,0,217097,0,537124,300,132,389227873,5250449811,647004,688268284,1319,688268284,38682188445,5486,29400000,318000,18000,300000,14400000,15000000,0,0,0,14190000,0,233625,22226812,-21993187,0,106779044644,38652810931,38652810931,27972,15254149318,38652782959,5131693500,49721416,715281584,ACTIVE,true,1,619034292161814781,7858414910045529063,SCAN,0,2975,0,0,0,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127045468160,0,0,0,0,67500,45,44,36,19,19,45,0,223,0,474,1,34875836,764324494,482817886,281506608,5131693500,0,0,0,0,0,0,0,0,0,0,0,0,27819372194,0,0,0,0,0,0,0,0,0,0,0,0,1599,0,0,0,0,610131941500,42634698306,40502827311,650634768811,2039884271,0,0,38652782959,1034481,62259
2,2,2,false,trade_planning,65535,2,2,5065,2400,120,261,9590,0,240982,0,581292,297,144,425071860,5811406526,702184,773569077,1387,773569077,43002065496,5760,25800000,276000,16000,260000,12800000,13000000,0,0,0,12435000,0,223125,29291911,-29068786,0,118822882660,42976289057,42976289057,29321,16974697615,42976259736,5590406750,68589579,765271821,ACTIVE,true,1,619034292161814781,7858414910045529063,ROUTE,2975,2975,0,17,0,0,0,initial_topology_capture,17,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259421896704,0,0,0,0,65500,44,44,29,23,23,44,0,295,0,540,0,36582293,833063748,526889742,306174006,5590406750,1,0,0,0,0,0,0,0,0,0,0,0,31044496434,0,0,0,0,0,0,0,0,0,0,0,0,1657,0,0,0,0,597077062839,66096567510,62791531860,659868594699,2268026241,0,0,42976259736,910503,62259
3,3,3,false,trade_planning,65535,3,3,5067,2400,120,261,9590,0,265650,0,647367,320,163,471690185,6420004126,861709,850332764,1516,850332764,47440483097,6330,34200000,399000,19000,380000,15200000,19000000,0,0,0,16672500,0,286125,31191066,-30904941,0,130925092263,47406308976,47406308976,32209,18703584705,47406276767,6208054250,70482015,855278835,ACTIVE,true,1,619034292161814781,7858414910045529063,SCAN,0,8655,0,0,1,0,0,initial_topology_capture,0,0,0,2702,0,40,20,8,0,0,0,0,0,0,0,0,0,0,8,8,0,0,405106851840,8037333,0,0,0,83250,56,56,33,25,26,56,0,258,0,561,0,45467650,924885844,584796209,340089635,6208054250,2,2,0,0,0,0,0,0,0,0,0,0,34210443560,0,0,0,0,0,0,0,0,0,0,0,676,1738,6,0,12,0,582644897362,91989829730,87390052325,670034949687,2501825603,40247,0,47406317014,805466,62259
4,4,4,false,trade_planning,65535,4,4,5067,2400,120,261,9591,0,276560,0,675601,377,171,491683140,6711739813,849945,889525356,1457,889525356,49623091443,6080,28600000,392000,12000,380000,9600000,19000000,0,0,0,14275000,0,249385,35012410,-34763025,0,136256201823,49594516319,49594516319,30956,19465171784,49594485363,6467809625,77805080,887608870,ACTIVE,true,1,619034292161814781,7858414910045529063,SCAN,4096,8655,0,749,1,0,0,initial_topology_capture,749,2375,0,2702,0,40,20,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,557871792128,0,0,0,0,63250,46,46,35,24,32,46,0,255,0,532,0,39378753,964403172,609656148,354747024,6467809625,3,0,0,0,0,0,0,0,0,0,0,0,35578274901,0,0,0,0,0,0,0,0,0,0,0,0,1690,0,0,0,0,567500197991,119147061091,113189339602,680689537593,2617301550,0,0,49594485363,749915,62259
5,5,5,false,trade_planning,65535,5,5,5063,2400,120,261,9591,0,208641,0,513184,289,124,372735979,5035650260,650439,660472526,1342,660472526,37121340126,5628,31800000,396000,16000,380000,12800000,19000000,0,0,0,15645000,0,196875,25116233,-24919358,0,102706153875,37089563167,37089563167,28669,14672307788,37089534498,4914063500,49403214,683275086,ACTIVE,true,1,619034292161814781,7858414910045529063,SCAN,8192,8655,0,1393,1,0,0,initial_topology_capture,1393,4728,0,2702,0,40,20,8,0,0,0,0,0,0,0,0,0,0,5,0,3,0,675849175040,0,0,0,0,57250,38,37,26,22,33,38,0,280,0,517,1,31823668,731886294,462326808,269559486,4914063500,4,0,0,0,0,0,0,0,0,0,0,0,26756086907,0,0,0,0,0,0,0,0,0,0,0,0,1605,0,0,0,0,556498798110,139410366094,132439417921,688938216031,1957381848,0,19541,37089534498,983315,62259
6,6,6,false,trade_planning,65535,6,6,5064,2400,120,261,9593,0,217113,0,537169,290,229,88362397,2256525611,10,692231848,1417,692231848,14570317634,5538,29400000,318000,18000,300000,14400000,15000000,0,0,0,14190000,0,258753,16573388,-16314635,0,86910558389,14540940654,14540940654,28558,12415794148,14540912096,1014615014,84277929,4742347,ACTIVE,true,1,619034292161814781,7858414910045529063,ROUTE,8655,8655,0,20,1,0,0,initial_topology_capture,20,72,0,2702,0,40,20,8,0,0,0,0,0,0,0,0,0,0,4,0,1,0,675245195264,0,0,0,0,13000,36,36,33,26,23,36,0,443,0,548,1,21414081,130916084,130418472,497612,491363402,5,0,0,0,0,0,0,0,0,0,0,0,24943678004,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,555863351836,136307663089,129491859522,685355211358,766726930,0,5730,14540912096,2505280,62259
7,7,7,false,trade_planning,65535,7,7,5075,2400,120,261,9593,0,241000,0,581351,321,244,96340330,2497114915,12,778018905,1521,778018905,16251271691,6031,25800000,276000,16000,260000,12800000,13000000,0,0,0,12435000,0,248902,21082492,-20833590,0,96778214156,16225496845,16225496845,31185,13825459269,16225465660,1102440733,91861877,5160303,ACTIVE,true,1,619034292161814781,7858414910045529063,SCAN,0,14096,0,0,2,0,0,initial_topology_capture,0,0,0,7434,0,104,52,15,3,0,3,0,10,0,0,0,0,0,10,7,1,0,674561523712,4874434,0,0,0,9250,35,35,30,18,15,35,0,439,0,517,0,20574379,142690813,142174011,516802,533311271,6,6,0,0,0,0,0,0,0,0,0,0,27780776767,0,0,0,0,0,0,0,0,0,0,0,1379,11,14,0,25,0,555154641796,132875495165,126231310475,681385952271,855508977,38502,4232,16225504162,2242310,62259
8,8,8,false,trade_planning,65535,8,8,5075,2400,120,261,9595,0,265682,0,647428,363,270,106937796,2755216874,39,854524555,1654,854524555,17864475068,6600,34200000,399000,19000,380000,15200000,19000000,0,0,0,16672500,0,324831,22084965,-21760134,0,106636119217,17830302479,17830302479,34011,15233731429,17830268468,1225735689,101944678,5740560,ACTIVE,true,1,619034292161814781,7858414910045529063,SCAN,4096,14096,0,766,2,0,0,initial_topology_capture,766,2406,0,7434,0,104,52,15,3,0,3,0,10,0,0,0,0,0,7,0,3,0,673852686336,0,0,0,0,13500,40,40,34,25,8,40,0,464,0,542,2,23236797,158427537,157825563,601974,593373119,7,0,0,0,0,0,0,0,0,0,0,0,30602407668,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,554472661263,129039736126,122587351122,677060012385,939975383,0,9188,17830268468,2037990,62259
9,9,9,false,trade_planning,65535,9,9,5073,2400,120,261,9596,0,276559,0,675691,379,290,111549890,2878270465,16,893713975,1577,893713975,18663535641,6136,28600000,392000,12000,380000,9600000,19000000,0,0,0,14275000,0,289787,24235402,-23945615,0,110803660173,18634961248,18634961248,31743,15829094418,18634929505,1272622723,106341776,5957740,ACTIVE,true,1,619034292161814781,7858414910045529063,SCAN,8192,14096,0,1564,2,0,0,initial_topology_capture,1564,4809,0,7434,0,104,52,15,3,0,3,0,10,0,0,0,0,0,3,0,4,0,673152237568,0,0,0,0,13750,44,43,40,25,15,44,0,467,1,552,4,25421654,165198620,164610976,587644,613451094,8,0,0,0,0,0,0,0,0,0,0,0,31792100062,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,553737229255,125050508802,118797597359,672534826614,982616467,0,20273,18634929505,1947403,62259
10,10,10,false,trade_planning,65535,10,10,5078,2400,120,261,9597,0,208651,0,513248,289,215,84627877,2167733670,41,665383700,1446,665383700,14039089384,5716,31800000,396000,16000,380000,12800000,19000000,0,0,0,15645000,0,227682,18504652,-18276970,0,83558471953,14007313137,14007313137,29469,11936924672,14007283668,972423297,80716270,4552965,ACTIVE,true,1,619034292161814781,7858414910045529063,SCAN,12288,14096,0,2260,2,0,0,initial_topology_capture,2260,7208,0,7434,0,104,52,15,3,0,3,0,10,0,0,0,0,0,2,0,1,0,672439205888,0,0,0,0,10000,31,31,34,19,21,31,0,434,1,532,3,18532593,125390910,124894884,496026,471509122,9,0,0,0,0,0,0,0,0,0,0,0,24005732055,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,552984781789,122115054120,116008924349,668993706138,738587965,0,6630,14007283668,2587254,62259
