epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,cohort_index,handle,signature_id,profession_id,ethnicity_id,population,funds,epoch_income,epoch_expense,income_ema,satisfaction_q16,worst_need_id,is_merchant,owner_employed,employee_employed,unemployed
1,1,6,1227,17,20,-37,0,8589981504,9,9,0,53,43638377,3987040,823136,395487,65535,10,0,53,0,0
1,1,6,1227,17,20,-37,1,8589981505,12,12,0,24,18632870,672960,368153,38100,65535,10,0,24,0,0
1,1,6,1227,17,20,-37,2,8589981506,2,2,0,4,2945567,0,109110,-13638,65535,10,0,4,0,0
1,1,6,1227,17,20,-37,3,4295014211,20,20,0,4,16691289,2554270,5487753,-366685,65535,10,1,3,0,1
1,1,6,1227,17,20,-37,4,8589981508,22,22,0,3,2889891,683750,84868,74860,65535,10,0,0,3,0
2,2,11,1227,17,20,-37,0,8589981504,9,9,0,54,51328971,6000364,3215963,461981,65535,5,0,54,0,0
2,2,11,1227,17,20,-37,1,8589981505,12,12,0,24,18624548,752888,761210,13247,65535,5,0,24,0,0
2,2,11,1227,17,20,-37,2,8589981506,2,2,0,4,2805794,53044,192817,-22585,65535,5,0,4,0,0
2,2,11,1227,17,20,-37,3,4295014211,20,20,0,3,9640311,4151554,7029710,-462899,65535,5,1,3,0,0
2,2,11,1227,17,20,-37,4,8589981508,22,22,0,3,3423394,683750,150247,94759,65535,5,0,0,3,0
3,3,16,1227,17,20,-37,0,8589981504,9,9,0,54,54716262,5682660,2295369,596653,65535,5,0,54,0,0
3,3,16,1227,17,20,-37,1,8589981505,12,12,0,24,20396404,2721551,949695,226448,65535,5,0,24,0,0
3,3,16,1227,17,20,-37,2,8589981506,2,2,0,4,2646292,57656,217158,-28406,65535,5,0,4,0,0
3,3,16,1227,17,20,-37,3,4295014211,20,20,0,3,5179599,4826104,9286816,-731175,65535,5,1,3,0,0
3,3,16,1227,17,20,-37,4,8589981508,22,22,0,3,3936195,683750,170949,99634,65535,5,0,0,3,0
4,4,21,1227,17,20,-37,0,8589981504,9,9,0,54,54966406,4271375,4021231,255011,65535,5,0,54,0,0
4,4,21,1227,17,20,-37,1,8589981505,12,12,0,24,20198813,1146621,1344212,60220,65535,5,0,24,0,0
4,4,21,1227,17,20,-37,2,8589981506,2,2,0,4,2429008,57302,274586,-37812,65535,5,0,4,0,0
4,4,21,1227,17,20,-37,3,4295014211,20,20,0,3,6851951,7103086,5430734,-65147,65535,5,1,3,0,0
4,4,21,1227,17,20,-37,4,8589981508,22,22,0,3,4396820,683750,223125,94940,65535,5,0,0,3,0
5,5,26,1227,17,20,-37,0,8589981504,9,9,0,54,55307551,4646225,4305080,138272,65535,5,0,54,0,0
5,5,26,1227,17,20,-37,1,8589981505,12,12,0,24,20131001,1348721,1416533,14106,65535,5,0,24,0,0
5,5,26,1227,17,20,-37,2,8589981506,2,2,0,4,2286421,147285,289872,-32002,65535,5,0,4,0,0
5,5,26,1227,17,20,-37,3,4295014211,20,20,0,3,7437073,7489951,6904829,48710,65535,5,1,3,0,0
5,5,26,1227,17,20,-37,4,8589981508,22,22,0,3,4852781,683750,227789,92597,65535,5,0,0,3,0
6,6,31,1227,17,20,-37,0,8589981504,9,9,0,54,55933784,5185181,4558948,130130,65535,5,0,54,0,0
6,6,31,1227,17,20,-37,1,8589981505,12,12,0,24,19369146,700336,1462191,-89942,65535,5,0,24,0,0
6,6,31,1227,17,20,-37,2,8589981506,2,2,0,4,2235135,250612,301898,-18410,65535,5,0,4,0,0
6,6,31,1227,17,20,-37,3,4295014211,20,20,0,3,8196288,7816912,7057697,113167,65535,14,1,3,0,0
6,6,31,1227,17,20,-37,4,8589981508,22,22,0,3,5305537,683750,230994,91317,65535,5,0,0,3,0
7,7,36,1227,17,20,-37,0,8589981504,9,9,0,54,55203111,4024568,4755241,-42535,65535,5,0,54,0,0
7,7,36,1227,17,20,-37,1,8589981505,12,12,0,24,20852112,3013639,1530673,151642,65535,16,0,24,0,0
7,7,36,1227,17,20,-37,2,8589981506,2,2,0,4,2279814,352163,307484,-1319,65535,16,0,4,0,0
7,7,36,1227,17,20,-37,3,4295014211,20,20,0,3,8193764,8096606,8099130,42122,65535,5,1,3,0,0
7,7,36,1227,17,20,-37,4,8589981508,22,22,0,3,5755030,683750,234257,90429,65535,16,0,0,3,0
8,8,41,1227,17,20,-37,0,8589981504,9,9,0,54,54636115,4438477,5005473,-86824,65535,5,0,54,0,0
8,8,41,1227,17,20,-37,1,8589981505,12,12,0,24,21749113,2468114,1571113,168990,65535,16,0,24,0,0
8,8,41,1227,17,20,-37,2,8589981506,2,2,0,4,2357509,399542,321847,9217,65535,16,0,4,0,0
8,8,41,1227,17,20,-37,3,4295014211,20,20,0,3,8509544,8424617,8108837,55267,65535,5,1,3,0,0
8,8,41,1227,17,20,-37,4,8589981508,22,22,0,3,6193274,683750,245506,88690,65535,16,0,0,3,0
9,9,46,1227,17,20,-37,0,8589981504,9,9,0,54,54469072,5254194,5421237,-53439,65535,5,0,54,0,0
9,9,46,1227,17,20,-37,1,8589981505,12,12,0,24,21933742,1882337,1697708,86449,65535,5,0,24,0,0
9,9,46,1227,17,20,-37,2,8589981506,2,2,0,4,2412521,408786,353774,10332,65535,5,0,4,0,0
9,9,46,1227,17,20,-37,3,4295014211,20,20,0,3,9147439,9047197,8409302,100461,65535,5,1,3,0,0
9,9,46,1227,17,20,-37,4,8589981508,22,22,0,3,6607684,683750,269340,85059,65535,5,0,0,3,0
10,10,51,1227,17,20,-37,0,8589981504,9,9,0,54,54512928,5613854,5569998,-14558,65535,5,0,54,0,0
10,10,51,1227,17,20,-37,1,8589981505,12,12,0,24,21246662,1039285,1726365,-53467,65535,5,0,24,0,0
10,10,51,1227,17,20,-37,2,8589981506,2,2,0,4,2464916,414259,361864,10423,65535,5,0,4,0,0
10,10,51,1227,17,20,-37,3,4295014211,20,20,0,3,10354893,9245659,8038205,188603,65535,5,1,3,0,0
10,10,51,1227,17,20,-37,4,8589981508,22,22,0,3,7016150,683750,275284,82955,65535,5,0,0,3,0
11,11,56,1227,17,20,-37,0,8589981504,9,9,0,54,54635700,6385490,6262718,9887,65535,5,0,54,0,0
