epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error
1,1,6,false,trade_planning,65535,2,6,7115,2400,120,260,13145,0,117948,2522,1437,0,0,0,1174427362,0,160421103,0,160421103,7449527808,0,856987500,11237250,393500,10843750,314800000,542187500,0,0,0,573631875,0,0,44056670,-44056670,0,37731841221,5390264000,6592540308,926913830,0,139875100,ACTIVE,true,1,7217601830262183541,5713655570603361079,SCAN,0,288000,0,0,0,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18979225600,0,0,0,0
2,2,11,false,trade_planning,65535,7,11,7374,2400,120,260,13145,0,119118,2525,264,0,0,56404664,1250772472,13854916,161707648,10888,161707648,9536746913,32922,857925000,11256000,393500,10862500,314800000,543125000,0,0,0,574293750,0,0,43970393,-43970393,0,20668426516,2952633103,8678788991,1031050810,16396470,123477190,ACTIVE,true,1,7217601830262183541,5713655570603361079,SCAN,16384,288000,0,34,0,0,0,initial_topology_capture,34,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12964593664,0,0,0,0
3,3,16,false,trade_planning,65535,12,16,7374,2400,120,260,13145,0,119118,2525,264,0,0,65267519,1421308392,14422432,161710918,12632506,161710918,12863343442,17192994,857925000,11256000,393500,10862500,314800000,543125000,0,0,0,574293750,0,0,73937312,-73937312,0,17006738624,2429534800,11988225448,1203576923,27900340,111929596,ACTIVE,true,1,7217601830262183541,5713655570603361079,SCAN,32768,288000,0,194,0,0,0,initial_topology_capture,194,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12964593664,0,0,0,0
4,4,21,false,trade_planning,65535,17,21,7374,2400,120,260,13145,0,119118,2525,264,0,0,138225605,1299190038,170614919,161712736,372575029,161712736,10961926348,706149510,857925000,11256000,393500,10862500,314800000,543125000,0,0,0,574293750,0,0,69517793,-69517793,0,11349106880,1621301694,9397851838,1263874004,137310397,2410321,ACTIVE,true,1,7217601830262183541,5713655570603361079,SCAN,49152,288000,0,451,0,0,0,initial_topology_capture,451,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12964593664,0,0,0,0
5,5,26,false,trade_planning,65535,22,26,7374,2400,120,260,13145,0,119118,2525,264,0,0,138596663,762847707,608647220,161712123,137009037,161712123,9876749084,378749723,857925000,11256000,393500,10862500,314800000,543125000,0,0,0,574293750,0,0,65942313,-65942313,0,9993945385,1427707206,8640074361,1323502313,137686236,1970195,ACTIVE,true,1,7217601830262183541,5713655570603361079,SCAN,65536,288000,0,829,0,0,0,initial_topology_capture,829,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12964593664,0,0,0,0
6,6,31,false,trade_planning,65535,27,31,7374,2400,120,260,13145,0,119118,2525,264,0,0,138760608,615421404,406738140,161709645,82628185,161709645,9672417720,261794892,857925000,11256000,393500,10862500,314800000,543125000,0,0,0,574293750,0,0,59042951,-59042951,0,9738339429,1391192052,8552697828,1411255961,137854866,1721355,ACTIVE,true,1,7217601830262183541,5713655570603361079,SCAN,81920,288000,0,1149,0,0,0,initial_topology_capture,1149,2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12964593664,0,0,0,0
7,7,36,false,trade_planning,65535,32,36,7374,2400,120,260,13145,0,119118,2525,264,0,0,138895209,387312469,403298754,161709926,23808725,161709926,9297953066,120552485,857925000,11256000,393500,10862500,314800000,543125000,0,0,0,574293750,0,0,54845987,-54845987,0,9958875731,1422697241,8319475581,1557786762,137995882,2965766,ACTIVE,true,1,7217601830262183541,5713655570603361079,SCAN,98304,288000,0,1383,0,0,0,initial_topology_capture,1383,3096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12964593664,0,0,0,0
8,8,41,false,trade_planning,65535,37,41,7374,2400,120,260,13145,0,119118,2525,264,0,0,136354937,401762227,208830189,161709940,6461617,161709940,10179645899,39245092,857925000,11256000,393500,10862500,314800000,543125000,0,0,0,574293750,0,0,61029315,-61029315,0,10635331358,1519333780,9282475807,1620569696,134104663,7185160,ACTIVE,true,1,7217601830262183541,5713655570603361079,SCAN,114688,288000,0,1569,0,0,0,initial_topology_capture,1569,3529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12964593664,0,0,0,0
9,9,46,false,trade_planning,65535,42,46,7374,2400,120,260,13145,0,119118,2525,264,0,0,135936569,464736033,94788967,161711335,13339857,161711335,10624988811,73204114,857925000,11256000,393500,10862500,314800000,543125000,0,0,0,574293750,0,0,56725789,-56725789,0,10864817649,1552117548,9693859697,1774580472,133526691,6072408,ACTIVE,true,1,7217601830262183541,5713655570603361079,SCAN,131072,288000,0,1804,0,0,0,initial_topology_capture,1804,4197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12964593664,0,0,0,0
10,10,51,false,trade_planning,65535,47,51,7374,2400,120,260,13145,0,119118,2525,264,0,0,138899019,444216650,147877313,161713842,4086028,161713842,11028272710,25420094,857925000,11256000,393500,10862500,314800000,543125000,0,0,0,574293750,0,0,55713926,-55713926,0,11356068226,1622296181,10144927616,1847196294,138010165,1539434,ACTIVE,true,1,7217601830262183541,5713655570603361079,SCAN,147456,288000,0,2208,0,0,0,initial_topology_capture,2208,5141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12964593664,0,0,0,0
