frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,31893,4.834,221,false,2,224,219,5,0,0,219,23,2.5717,0.0014,0,0
1,31901,7.736,222,true,2,225,220,5,0,0,220,23,1.94,0.001,0,0
2,31907,6.039,222,false,2,225,220,5,0,0,220,23,1.94,0.001,0,0
3,31914,6.947,222,false,2,225,220,5,0,0,221,23,1.94,0.001,0,0
4,31920,6.866,223,true,2,226,221,5,0,0,221,23,2.4974,0.0011,0,0
5,31927,6.898,223,false,2,226,221,5,0,0,221,23,2.4974,0.0011,0,0
6,31934,6.911,223,false,2,226,221,5,0,0,222,23,1.9836,0.0014,0,0
7,31941,6.893,224,true,2,227,222,5,0,0,222,23,1.9836,0.0014,0,0
8,31948,6.928,224,false,2,227,222,5,0,0,222,23,1.9836,0.0014,0,0
9,31955,7.115,225,true,2,228,223,5,0,0,223,23,1.8488,0.001,0,0
10,31962,6.644,225,false,2,228,223,5,0,0,223,23,1.8488,0.001,0,0
11,31969,6.93,225,false,2,228,223,5,0,0,223,23,1.8488,0.001,0,0
12,31979,10.025,226,true,2,229,224,5,0,0,224,23,1.9306,0.0012,0,0
13,31983,3.772,226,false,2,229,224,5,0,0,224,23,1.9306,0.0012,0,0
14,31990,7.061,226,false,2,229,224,5,0,0,224,23,1.9306,0.0012,0,0
15,32000,10.612,227,true,2,230,225,5,0,0,225,23,1.9721,0.0012,0,0
16,32003,2.988,227,false,2,230,225,5,0,0,225,23,1.9721,0.0012,0,0
17,32010,6.917,227,false,2,230,225,5,0,0,225,23,1.9721,0.0012,0,0
18,32017,7.004,228,true,2,231,226,5,0,0,226,23,3.2872,0.0012,0,0
19,32024,6.806,228,false,2,231,226,5,0,0,226,23,3.2872,0.0012,0,0
20,32031,6.916,228,false,2,231,226,5,0,0,226,23,3.2872,0.0012,0,0
21,32039,8.654,229,true,2,232,227,5,0,0,227,23,3.4106,0.0017,0,0
22,32045,5.117,229,false,2,232,227,5,0,0,227,23,3.4106,0.0017,0,0
23,32052,6.924,229,false,2,232,227,5,0,0,227,23,3.4106,0.0017,0,0
24,32059,7.031,230,true,2,233,228,5,0,0,228,23,2.0264,0.0014,0,0
25,32065,6.766,230,false,2,233,228,5,0,0,228,23,2.0264,0.0014,0,0
26,32072,6.881,230,false,2,233,228,5,0,0,229,23,2.0264,0.0014,0,0
27,32080,8.03,231,true,2,234,229,5,0,0,229,23,1.9019,0.0011,0,0
28,32086,5.804,231,false,2,234,229,5,0,0,229,23,1.9019,0.0011,0,0
29,32093,6.869,231,false,2,234,229,5,0,0,230,23,1.9019,0.0011,0,0
30,32101,8.194,232,true,2,235,230,5,0,0,230,23,1.9992,0.0017,0,0
31,32107,5.6,232,false,2,235,230,5,0,0,230,23,1.9992,0.0017,0,0
32,32114,6.951,232,false,2,235,230,5,0,0,231,23,1.8931,0.0015,0,0
33,32121,7.25,233,true,2,236,231,5,0,0,231,23,1.8931,0.0015,0,0
34,32127,6.503,233,false,2,236,231,5,0,0,231,23,1.8931,0.0015,0,0
35,32135,6.943,233,false,2,236,231,5,0,0,232,23,2.219,0.0018,0,0
36,32142,7.803,234,true,2,237,232,5,0,0,232,23,2.219,0.0018,0,0
37,32148,5.988,234,false,2,237,232,5,0,0,232,23,2.219,0.0018,0,0
38,32156,7.954,235,true,2,238,233,5,0,0,233,23,3.433,0.003,0,0
39,32162,5.823,235,false,2,238,233,5,0,0,233,23,3.433,0.003,0,0
40,32169,6.928,235,false,2,238,233,5,0,0,233,23,3.433,0.003,0,0
41,32177,7.752,236,true,2,239,234,5,0,0,234,23,1.8679,0.0012,0,0
42,32183,6.077,236,false,2,239,234,5,0,0,234,23,1.8679,0.0012,0,0
43,32190,6.841,236,false,2,239,234,5,0,0,234,23,1.8679,0.0012,0,0
44,32196,6.911,236,false,2,240,234,6,0,0,235,23,1.8679,0.0012,0,0
45,32203,6.892,237,true,2,240,235,5,0,0,235,23,2.7196,0.0019,0,0
46,32210,6.894,237,false,2,240,235,5,0,0,235,23,2.7196,0.0019,0,0
47,32217,6.948,237,false,2,241,235,6,0,0,235,23,2.7196,0.0019,0,0
48,32224,6.845,238,true,2,241,236,5,0,0,236,23,2.0616,0.0017,0,0
49,32231,6.939,238,false,2,241,236,5,0,0,236,23,2.0616,0.0017,0,0
50,32238,6.863,238,false,2,242,236,6,0,0,236,23,2.0616,0.0017,0,0
51,32245,6.895,239,true,3,242,237,5,0,0,237,23,1.9629,0.0011,0,0
52,32252,6.945,239,false,3,242,237,5,0,0,237,23,1.9629,0.0011,0,0
53,32259,6.854,239,false,3,243,237,6,0,0,237,23,1.9629,0.0011,0,0
54,32265,6.928,240,true,2,243,238,5,0,0,238,23,2.044,0.0016,0,0
55,32273,6.886,240,false,2,243,238,5,0,0,238,23,2.044,0.0016,0,0
56,32280,7.266,240,false,2,244,238,6,0,0,238,23,2.044,0.0016,0,0
57,32286,6.576,241,true,2,244,239,5,0,0,239,23,3.0425,0.002,0,0
58,32293,6.865,241,false,2,244,239,5,0,0,239,23,3.0425,0.002,0,0
59,32302,9.084,241,false,2,245,239,6,0,0,239,23,3.0425,0.002,0,0
60,32307,4.699,241,false,2,245,239,6,0,0,239,23,3.0425,0.002,0,0
61,32315,8.467,242,true,4,245,240,5,0,0,240,23,3.0066,0.003,0,0
62,32323,7.132,242,false,4,246,240,6,0,0,240,23,3.0066,0.003,0,0
63,32328,5.108,242,false,4,246,240,6,0,0,240,23,3.0066,0.003,0,0
64,32335,7.235,242,false,4,246,240,6,0,0,241,23,3.0066,0.003,0,0
65,32348,13.18,243,true,4,247,241,6,0,0,241,23,2.4755,0.0023,0,0
66,32350,1.698,243,false,4,247,241,6,0,0,241,23,2.4755,0.0023,0,0
67,32355,5.491,243,false,4,248,241,7,0,0,241,23,2.4755,0.0023,0,0
68,32364,8.734,244,true,3,248,242,6,0,0,242,29,2.5975,0.0015,0,0
69,32369,5.105,244,false,3,248,242,6,0,0,242,29,2.5975,0.0015,0,0
70,32376,6.847,244,false,3,248,242,6,0,0,242,29,2.5975,0.0015,0,0
71,32385,9.481,245,true,3,249,243,6,0,0,243,29,4.5241,0.0024,0,0
72,32390,4.324,245,false,3,249,243,6,0,0,243,29,4.5241,0.0024,0,0
73,32397,6.902,245,false,3,249,243,6,0,0,243,29,4.5241,0.0024,0,0
74,32404,6.948,245,false,3,250,243,7,0,0,244,29,4.5241,0.0024,0,0
75,32416,13.045,246,true,4,250,244,6,0,0,244,27,2.1663,0.0014,0,0
76,32419,2.218,246,false,4,250,244,6,0,0,244,27,2.1663,0.0014,0,0
77,32424,5.384,246,false,4,250,244,6,0,0,244,27,2.1663,0.0014,0,0
78,32432,8.233,247,true,3,251,245,6,0,0,245,27,3.8267,0.002,0,0
79,32438,5.573,247,false,3,251,245,6,0,0,245,27,3.8267,0.002,0,0
80,32445,6.901,247,false,3,251,245,6,0,0,245,27,3.8267,0.002,0,0
81,32452,6.973,247,false,3,252,245,7,0,0,246,27,3.8267,0.002,0,0
82,32459,7.577,248,true,2,252,246,6,0,0,246,24,3.5167,0.0041,0,0
83,32466,6.18,248,false,2,252,246,6,0,0,246,24,3.5167,0.0041,0,0
84,32473,6.875,248,false,2,252,246,6,0,0,247,24,3.5167,0.0041,0,0
85,32488,15.045,249,true,4,253,247,6,0,0,247,24,2.1644,0.002,0,0
86,32490,2.251,249,false,4,253,247,6,0,0,247,24,2.1644,0.002,0,0
87,32494,4.641,249,false,4,253,247,6,0,0,247,24,2.1644,0.002,0,0
88,32501,6.954,249,false,4,254,247,7,0,0,248,24,2.1644,0.002,0,0
89,32509,7.629,250,true,2,254,248,6,0,0,248,21,3.5774,0.002,0,0
90,32515,6.173,250,false,2,254,248,6,0,0,248,21,3.5774,0.002,0,0
91,32523,6.874,250,false,2,254,248,6,0,0,248,21,3.5774,0.002,0,0
92,32532,10.034,251,true,3,255,249,6,0,0,249,21,2.143,0.0021,0,0
93,32536,3.826,251,false,3,255,249,6,0,0,249,21,2.143,0.0021,0,0
94,32543,6.827,251,false,3,255,249,6,0,0,249,21,2.143,0.0021,0,0
95,32551,8.614,251,false,3,256,249,7,0,0,250,21,2.143,0.0021,0,0
96,32559,7.398,252,true,2,256,250,6,0,0,250,20,3.4404,0.0026,0,0
97,32564,4.694,252,false,2,256,250,6,0,0,250,20,3.4404,0.0026,0,0
98,32571,6.944,252,false,2,256,250,6,0,0,250,20,3.4404,0.0026,0,0
99,32577,6.851,252,false,2,257,250,7,0,0,251,20,3.4404,0.0026,0,0
100,32586,9.069,253,true,2,257,251,6,0,0,251,34,4.7259,0.0026,0,0
