day,phase,work,ms
-1,research_scratch_clear,0,0.003800
-1,research_scratch_clear,0,0.000100
1,epoch_vectors,67,1.341700
1,native_hash,321600,1.645900
1,building_plan,6,1.687500
1,trade_settle,0,0.005100
1,native_hash,321600,1.575100
1,ledger_apply,0,1.584400
1,native_hash,321600,1.955800
1,employment,6,2.499100
1,production.compute,1,0.274900
1,production.merge_summary,1,0.005800
1,production.compute,1,0.119900
1,production.merge_summary,1,0.006900
1,production.compute,1,0.149200
1,production.merge_summary,1,0.002300
1,production.compute,1,0.100300
1,production.merge_summary,1,0.002000
1,production.compute,1,0.108700
1,production.merge_summary,1,0.002100
1,production.compute,1,0.113000
1,production.merge_summary,1,0.002200
1,native_hash,321600,1.951300
1,production,6,2.873400
1,native_hash,321600,1.961000
1,household.prepare,0,0.011200
1,household.worker,0,1.201300
1,household.merge,0,0.062200
1,household.merge_trade,0,0.028300
1,household.merge_aggregate,0,0.028500
1,household,24,3.394100
1,native_hash,321600,1.737600
1,research,1,1.764400
1,trade_dispatch,0,0.086400
1,native_hash,321600,2.488300
1,structural,0,2.995200
1,native_hash,321600,1.516600
1,building_commit,31,2.028400
1,family.normalize,0,0.058600
1,family.attribution,0,0.004800
1,family.form,0,0.011100
1,family.index,0,0.000100
1,family.lifecycle,0,0.003800
1,family.influence,0,0.000000
1,family,2402,0.308200
1,person.retire,0,0.002700
1,person.index,0,0.010400
1,person.bind_jobs,0,0.002200
1,person.claims,0,0.000900
1,person.equity,0,0.000300
1,person.promote,0,0.000100
1,person,16,0.019900
1,prepare,0,0.008300
1,audit_population,0,0.006600
1,audit_market,0,0.955400
1,audit_market,0,0.702200
1,audit_market,0,0.401100
1,audit_transit,0,0.000300
1,audit_escrow,0,0.001200
1,audit_country,0,0.001800
1,verify,0,0.000600
1,watermark,0,0.008100
1,trade_flow,0,0.000200
1,trade_diagnostics,0,0.001200
1,trade_init,0,0.002400
1,trade_init,0,0.010400
1,trade_init,0,0.000200
1,trade_init,0,0.001100
1,trade_init,0,0.008100
1,trade_init,0,0.000400
1,trade_init,0,0.010500
1,trade_init,0,0.003900
1,trade_init,0,0.013200
1,commit,0,0.650600
1,native_hash,321600,1.156900
1,aggregate,343533,3.973200
1,ledger_hash,321600,2.115700
1,ledger_hash,321600,1.509900
1,ledger_validate,321600,1.823200
1,pod_hash,321600,1.028400
1,pod_hash,321600,1.003900
1,pod_hash,321600,1.082600
1,research_scratch_clear,0,0.000000
2,epoch_vectors,67,1.250300
2,building_plan,9,0.388500
2,trade_settle,0,0.000400
2,ledger_apply,0,0.000600
2,employment,6,0.358600
2,production.compute,1,0.105200
2,production.merge_summary,1,0.003000
2,production.compute,1,0.089400
2,production.merge_summary,1,0.006200
2,production.compute,1,0.109700
2,production.merge_summary,1,0.001700
2,production.compute,1,0.075300
2,production.merge_summary,1,0.001600
2,production.compute,1,0.070000
2,production.merge_summary,1,0.001800
2,production.compute,1,0.082900
2,production.merge_summary,1,0.005200
2,production,6,0.569400
2,household.prepare,0,0.004600
2,household.worker,0,0.400500
2,household.merge,0,0.037300
2,household.merge_trade,0,0.012000
2,household.merge_aggregate,0,0.022100
2,household,24,0.595900
2,research,1,0.001200
2,trade_dispatch,0,0.005600
2,structural,0,0.051900
2,building_commit,35,0.692000
2,family.normalize,0,0.330700
2,family.attribution,0,0.001900
2,family.form,0,0.006400
2,family.index,0,0.000000
2,family.lifecycle,0,0.001600
2,family.influence,0,0.000000
2,family,2402,0.481600
2,person.retire,0,0.002200
2,person.index,0,0.008400
2,person.bind_jobs,0,0.001100
2,person.claims,0,0.000500
2,person.equity,0,0.000100
2,person.promote,0,0.000100
2,person,16,0.015800
2,prepare,0,0.006600
2,verify,0,0.000800
2,watermark,0,0.007200
2,trade_flow,0,0.000200
2,trade_diagnostics,0,0.000700
2,trade_init,0,0.000700
2,commit,0,1.228300
2,native_hash,321600,1.541900
2,aggregate,2481,2.799200
2,domain_projection,0,0.244400
2,ledger_validate,321600,0.153000
2,ledger_hash,321600,0.968800
2,ledger_export.population,0,0.026900
2,ledger_export.market,0,1.723100
2,ledger_export.blocks,0,0.271200
2,ledger_export.validate,0,0.157700
2,ledger_export.hash,0,1.104600
2,ledger_export,321600,3.321800
2,pod_hash,321600,1.005800
2,research_scratch_clear,0,0.000200
3,epoch_vectors,67,1.305800
3,building_plan,7,0.073000
3,trade_settle,0,0.000500
3,ledger_apply,0,0.000500
3,employment,6,0.388400
3,production.compute,1,0.098300
3,production.merge_summary,1,0.003000
3,production.compute,1,0.115700
3,production.merge_summary,1,0.005400
3,production.compute,1,0.152600
3,production.merge_summary,1,0.001900
3,production.compute,1,0.063500
3,production.merge_summary,1,0.001100
3,production.compute,1,0.051900
3,production.merge_summary,1,0.000900
3,production.compute,1,0.056600
3,production.merge_summary,1,0.000900
3,production,6,0.570000
3,household.prepare,0,0.001600
3,household.worker,0,0.803600
3,household.merge,0,0.028700
3,household.merge_trade,0,0.011800
3,household.merge_aggregate,0,0.014800
3,household,24,0.928700
3,research,1,0.001400
3,trade_dispatch,0,0.005600
3,structural,0,0.143000
3,building_commit,33,0.160000
3,family.normalize,0,0.026700
3,family.attribution,0,0.002200
3,family.form,0,0.006200
3,family.index,0,0.000100
3,family.lifecycle,0,0.001200
3,family.influence,0,0.000000
3,family,2402,0.247200
3,person.retire,0,0.001700
3,person.index,0,0.009700
3,person.bind_jobs,0,0.001500
3,person.claims,0,0.005400
3,person.equity,0,0.000100
3,person.promote,0,0.000100
3,person,16,0.021500
3,prepare,0,0.006000
3,verify,0,0.000800
3,watermark,0,0.006700
3,trade_flow,0,0.000100
3,trade_diagnostics,0,0.000500
3,trade_init,0,0.000800
3,trade_init,0,0.001200
3,trade_init,0,0.000200
3,trade_init,0,0.000200
3,trade_init,0,0.002900
3,trade_init,0,0.000200
