frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,34418,2.386,188,false,2,192,186,6,0,0,186,46,3.1163,0.0024,0,0
1,34423,4.844,188,false,2,192,186,6,0,0,186,46,3.1163,0.0024,0,0
2,34430,6.946,188,false,2,193,186,7,0,0,187,46,3.1163,0.0024,0,0
3,34440,10.419,189,true,4,193,187,6,0,0,187,33,4.7316,0.0027,0,0
4,34444,3.368,189,false,4,193,187,6,0,0,187,33,4.7316,0.0027,0,0
5,34451,6.881,189,false,4,193,187,6,0,0,187,33,4.7316,0.0027,0,0
6,34458,6.894,189,false,4,194,187,7,0,0,188,33,4.7316,0.0027,0,0
7,34466,7.995,190,true,2,194,188,6,0,0,188,21,3.5169,0.0024,0,0
8,34471,5.805,190,false,2,194,188,6,0,0,188,21,3.5169,0.0024,0,0
9,34478,6.937,190,false,2,194,188,6,0,0,188,21,3.5169,0.0024,0,0
10,34485,6.869,190,false,2,195,188,7,0,0,189,21,3.5169,0.0024,0,0
11,34493,8.003,191,true,3,195,189,6,0,0,189,19,2.073,0.0017,0,0
12,34499,5.869,191,false,3,195,189,6,0,0,189,19,2.073,0.0017,0,0
13,34506,6.813,191,false,3,195,189,6,0,0,189,19,2.073,0.0017,0,0
14,34513,6.945,191,false,3,196,189,7,0,0,190,19,2.4433,0.0015,0,0
15,34522,9.358,192,true,3,196,190,6,0,0,190,18,2.4433,0.0015,0,0
16,34527,4.442,192,false,3,196,190,6,0,0,190,18,2.4433,0.0015,0,0
17,34534,6.873,192,false,3,196,190,6,0,0,191,18,2.8645,0.0018,0,0
18,34544,10.343,193,true,3,197,191,6,0,0,191,18,2.8645,0.0018,0,0
19,34547,3.485,193,false,3,197,191,6,0,0,191,18,2.8645,0.0018,0,0
20,34554,6.857,193,false,3,197,191,6,0,0,192,18,2.8645,0.0018,0,0
21,34564,9.814,194,true,3,198,192,6,0,0,192,18,2.2667,0.0017,0,0
22,34568,3.981,194,false,3,198,192,6,0,0,192,18,2.2667,0.0017,0,0
23,34575,6.91,194,false,3,198,192,6,0,0,193,18,2.2667,0.0017,0,0
24,34584,9.202,195,true,3,199,193,6,0,0,193,18,2.804,0.0034,0,0
25,34589,4.594,195,false,3,199,193,6,0,0,193,18,2.804,0.0034,0,0
26,34596,6.961,195,false,3,200,193,7,0,0,194,18,2.804,0.0034,0,0
27,34605,8.941,196,true,3,200,194,6,0,0,194,26,2.3,0.0019,0,0
28,34609,4.835,196,false,3,200,194,6,0,0,194,26,2.3,0.0019,0,0
29,34616,6.86,196,false,3,200,194,6,0,0,194,26,2.3,0.0019,0,0
30,34623,6.91,196,false,3,201,194,7,0,0,195,26,3.4699,0.0022,0,0
31,34634,10.54,197,true,3,201,195,6,0,0,195,26,3.4699,0.0022,0,0
32,34637,3.254,197,false,3,201,195,6,0,0,195,26,3.4699,0.0022,0,0
33,34644,6.946,197,false,3,201,195,6,0,0,196,26,3.4699,0.0022,0,0
34,34652,7.719,198,true,2,202,196,6,0,0,196,26,2.6772,0.002,0,0
35,34658,6.043,198,false,2,202,196,6,0,0,196,26,2.6772,0.002,0,0
36,34665,6.932,198,false,2,202,196,6,0,0,197,26,2.6772,0.002,0,0
37,34676,11.326,199,true,3,203,197,6,0,0,197,26,3.0594,0.0013,0,0
38,34679,2.467,199,false,3,203,197,6,0,0,197,26,3.0594,0.0013,0,0
39,34685,6.875,199,false,3,203,197,6,0,0,197,26,3.0594,0.0013,0,0
40,34692,6.903,199,false,3,204,197,7,0,0,198,26,2.8965,0.0021,0,0
41,34701,9.434,200,true,3,204,198,6,0,0,198,22,2.8965,0.0021,0,0
42,34706,4.404,200,false,3,204,198,6,0,0,198,22,2.8965,0.0021,0,0
43,34713,6.889,200,false,3,204,198,6,0,0,199,22,2.8965,0.0021,0,0
44,34725,11.785,201,true,3,205,199,6,0,0,199,22,2.7499,0.0023,0,0
45,34727,2.682,201,false,3,205,199,6,0,0,199,22,2.7499,0.0023,0,0
46,34734,6.2,201,false,3,205,199,6,0,0,199,22,2.7499,0.0023,0,0
47,34740,6.895,201,false,3,206,199,7,0,0,200,22,2.1383,0.0015,0,0
48,34750,9.26,202,true,3,206,200,6,0,0,200,18,2.1383,0.0015,0,0
49,34754,4.541,202,false,3,206,200,6,0,0,200,18,2.1383,0.0015,0,0
50,34761,6.937,202,false,3,206,200,6,0,0,201,18,2.341,0.0013,0,0
51,34771,10.056,203,true,3,207,201,6,0,0,201,18,2.341,0.0013,0,0
52,34775,3.714,203,false,3,207,201,6,0,0,201,18,2.341,0.0013,0,0
53,34782,6.966,203,false,3,207,201,6,0,0,202,18,2.3623,0.0021,0,0
54,34792,9.937,204,true,3,208,202,6,0,0,202,18,2.3623,0.0021,0,0
55,34796,3.826,204,false,3,208,202,6,0,0,202,18,2.3623,0.0021,0,0
56,34803,6.87,204,false,3,208,202,6,0,0,203,18,2.3623,0.0021,0,0
57,34813,10.842,205,true,3,209,203,6,0,0,203,18,4.461,0.0018,0,0
58,34816,2.964,205,false,3,209,203,6,0,0,203,18,4.461,0.0018,0,0
59,34823,6.898,205,false,3,210,203,7,0,0,203,18,4.461,0.0018,0,0
60,34830,6.942,205,false,3,210,203,7,0,0,204,28,2.6858,0.0022,0,0
61,34840,9.377,206,true,3,210,204,6,0,0,204,28,2.6858,0.0022,0,0
62,34844,4.415,206,false,3,210,204,6,0,0,204,28,2.6858,0.0022,0,0
63,34851,6.854,206,false,3,210,204,6,0,0,205,28,2.6858,0.0022,0,0
64,34862,10.978,207,true,4,211,205,6,0,0,205,28,2.6383,0.0026,0,0
65,34865,2.844,207,false,4,211,205,6,0,0,205,28,2.6383,0.0026,0,0
66,34872,6.891,207,false,4,211,205,6,0,0,206,28,2.6383,0.0026,0,0
67,34881,9.366,208,true,3,212,206,6,0,0,206,28,2.5523,0.0021,0,0
68,34885,4.434,208,false,3,212,206,6,0,0,206,28,2.5523,0.0021,0,0
69,34892,6.888,208,false,3,212,206,6,0,0,206,28,2.5523,0.0021,0,0
70,34904,11.705,209,true,3,213,207,6,0,0,207,28,2.1407,0.0019,0,0
71,34906,2.558,209,false,3,213,207,6,0,0,207,28,2.1407,0.0019,0,0
72,34913,6.482,209,false,3,213,207,6,0,0,207,28,2.1407,0.0019,0,0
73,34920,6.86,209,false,3,214,207,7,0,0,208,28,2.8239,0.0027,0,0
74,34930,10.38,210,true,3,214,208,6,0,0,208,29,2.8239,0.0027,0,0
75,34934,3.414,210,false,3,214,208,6,0,0,208,29,2.8239,0.0027,0,0
76,34941,6.911,210,false,3,214,208,6,0,0,209,29,2.8239,0.0027,0,0
77,34958,17.805,211,true,3,215,209,6,0,0,209,29,3.8996,0.0016,0,0
78,34960,2.034,211,false,3,215,209,6,0,0,209,29,3.8996,0.0016,0,0
79,34965,4.863,211,false,3,215,209,6,0,0,209,29,3.8996,0.0016,0,0
80,34975,9.604,212,true,3,216,210,6,0,0,210,29,3.1543,0.0016,0,0
81,34979,4.213,212,false,3,216,210,6,0,0,210,29,3.1543,0.0016,0,0
82,34986,6.916,212,false,3,216,210,6,0,0,210,29,3.1543,0.0016,0,0
83,34993,6.851,212,false,3,217,210,7,0,0,211,29,3.0993,0.002,0,0
84,35006,12.781,213,true,4,217,211,6,0,0,211,272,3.0993,0.002,0,0
85,35008,2.456,213,false,4,217,211,6,0,0,211,272,3.0993,0.002,0,0
86,35014,5.495,213,false,4,217,211,6,0,0,212,272,3.0993,0.002,0,0
87,35024,10.003,214,true,3,218,212,6,0,0,212,272,2.3035,0.0015,0,0
88,35027,3.758,214,false,3,218,212,6,0,0,212,272,2.3035,0.0015,0,0
89,35034,6.945,214,false,3,218,212,6,0,0,213,272,2.3035,0.0015,0,0
90,35043,8.872,215,true,2,219,213,6,0,0,213,272,2.3764,0.0014,0,0
91,35048,4.925,215,false,2,219,213,6,0,0,213,272,2.3764,0.0014,0,0
92,35055,6.856,215,false,2,220,213,7,0,0,214,272,2.3764,0.0014,0,0
93,35063,8.632,216,true,2,220,214,6,0,0,214,21,2.831,0.0016,0,0
94,35069,5.222,216,false,2,220,214,6,0,0,214,21,2.831,0.0016,0,0
95,35076,6.869,216,false,2,220,214,6,0,0,215,21,2.831,0.0016,0,0
96,35087,11.441,217,true,3,221,215,6,0,0,215,21,4.7871,0.0019,0,0
97,35089,2.34,217,false,3,221,215,6,0,0,215,21,4.7871,0.0019,0,0
98,35096,6.911,217,false,3,221,215,6,0,0,215,21,4.7871,0.0019,0,0
99,35103,6.947,217,false,3,222,215,7,0,0,216,21,4.7871,0.0019,0,0
100,35112,8.321,218,true,2,222,216,6,0,0,216,27,2.4102,0.0019,0,0
101,35117,5.481,218,false,2,222,216,6,0,0,216,27,2.4102,0.0019,0,0
102,35124,6.846,218,false,2,222,216,6,0,0,217,27,2.4102,0.0019,0,0
103,35133,8.892,219,true,2,223,217,6,0,0,217,27,2.3776,0.002,0,0
104,35138,5.092,219,false,2,223,217,6,0,0,217,27,2.3776,0.002,0,0
105,35145,6.718,219,false,2,223,217,6,0,0,217,27,2.3776,0.002,0,0
106,35152,6.944,219,false,2,224,217,7,0,0,218,27,3.0562,0.0029,0,0
107,35161,9.378,220,true,3,224,218,6,0,0,218,21,3.0562,0.0029,0,0
