day,phase,work,ms
1,epoch_vectors,67,0.567600
1,native_hash,321600,1.119100
1,building_plan,6,1.137300
1,trade_settle,0,0.001400
1,native_hash,321600,0.976500
1,ledger_apply,0,0.979300
1,native_hash,321600,1.140600
1,employment,6,1.509900
1,native_hash,321600,0.994200
1,production,6,1.454100
1,native_hash,321600,1.102400
1,household,24,1.679100
1,native_hash,321600,0.886300
1,research,1,0.896800
1,trade_dispatch,0,0.073600
1,native_hash,321600,1.243200
1,structural,0,1.444900
1,native_hash,321600,0.891800
1,building_commit,31,1.212600
1,family,2402,0.174600
1,person,16,0.013100
1,prepare,0,0.006100
1,audit_population,0,0.000900
1,audit_market,0,0.832300
1,audit_market,0,0.405200
1,audit_market,0,0.374200
1,audit_transit,0,0.000100
1,audit_escrow,0,0.003000
1,audit_country,0,0.000800
1,verify,0,0.000500
1,watermark,0,0.005600
1,trade_flow,0,0.000200
1,trade_diagnostics,0,0.000600
1,trade_init,0,0.001400
1,trade_init,0,0.009400
1,trade_init,0,0.000100
1,trade_init,0,0.000500
1,trade_init,0,0.005800
1,trade_init,0,0.000500
1,trade_init,0,0.003800
1,trade_init,0,0.004000
1,trade_init,0,0.049000
1,commit,0,0.442200
1,native_hash,321600,0.837600
1,aggregate,343533,3.002900
1,ledger_hash,321600,0.679700
1,ledger_hash,321600,0.601300
1,ledger_validate,321600,0.750900
1,pod_hash,321600,1.142100
1,pod_hash,321600,0.954600
1,pod_hash,321600,1.060400
2,epoch_vectors,67,0.741600
2,building_plan,9,0.132600
2,trade_settle,0,0.000400
2,ledger_apply,0,0.000300
2,employment,6,0.240800
2,production,6,0.361900
2,household,24,0.503100
2,research,1,0.000800
2,trade_dispatch,0,0.004800
2,structural,0,0.048700
2,building_commit,35,0.294800
2,family,2402,0.154700
2,person,16,0.011500
2,prepare,0,0.005100
2,verify,0,0.000600
2,watermark,0,0.005900
2,trade_flow,0,0.000100
2,trade_diagnostics,0,0.000700
2,trade_init,0,0.000500
2,commit,0,0.541900
2,native_hash,321600,1.005400
2,aggregate,2481,1.566600
2,domain_projection,0,0.199400
2,ledger_validate,321600,0.133400
2,ledger_hash,321600,0.662900
2,ledger_export,321600,2.073300
2,pod_hash,321600,0.944200
3,epoch_vectors,67,0.764300
3,building_plan,7,0.054000
3,trade_settle,0,0.000400
3,ledger_apply,0,0.000400
3,employment,6,0.281800
3,production,6,0.357800
3,household,24,0.892400
3,research,1,0.000900
3,trade_dispatch,0,0.004800
3,structural,0,0.075100
3,building_commit,33,0.143800
3,family,2402,0.144200
3,person,16,0.011700
3,prepare,0,0.004900
3,verify,0,0.000400
3,watermark,0,0.005300
3,trade_flow,0,0.000100
3,trade_diagnostics,0,0.000500
3,trade_init,0,0.000500
3,trade_init,0,0.000900
3,trade_init,0,0.000200
3,trade_init,0,0.000200
3,trade_init,0,0.002800
3,trade_init,0,0.000300
3,trade_init,0,0.000400
3,trade_init,0,0.003900
3,trade_init,0,0.000200
3,commit,0,0.542700
3,native_hash,321600,1.097600
3,aggregate,5008,1.670200
3,domain_projection,0,0.311700
3,ledger_validate,321600,0.144800
3,ledger_hash,321600,0.783600
3,ledger_export,321600,1.564200
3,pod_hash,321600,1.029400
4,epoch_vectors,67,0.772600
4,building_plan,7,0.050700
4,trade_settle,0,0.000600
4,ledger_apply,0,0.000400
4,employment,6,0.307300
4,production,6,0.368100
4,household,24,0.843400
4,research,1,0.001200
4,trade_dispatch,0,0.004900
4,structural,0,0.111600
4,building_commit,31,0.040100
4,family,2402,0.229500
4,person,16,0.013600
4,prepare,0,0.005500
4,verify,0,0.000500
4,watermark,0,0.006100
4,trade_flow,0,0.000100
4,trade_diagnostics,0,0.000700
4,trade_init,0,0.000600
4,commit,0,0.615000
4,native_hash,321600,1.147000
4,aggregate,2483,1.783900
4,domain_projection,0,0.259700
4,ledger_validate,321600,0.167500
4,ledger_hash,321600,0.714500
4,ledger_export,321600,1.662500
4,pod_hash,321600,0.941000
5,epoch_vectors,67,0.713400
5,building_plan,7,0.046900
5,trade_settle,0,0.000300
5,ledger_apply,0,0.000300
5,employment,6,0.264300
5,production,6,0.344000
5,household,24,0.862700
5,research,1,0.001100
5,trade_dispatch,0,0.004900
5,structural,0,0.076000
5,building_commit,41,0.590300
5,family,2402,0.145700
5,person,16,0.013900
5,prepare,0,0.005500
5,verify,0,0.000700
5,watermark,0,0.006700
5,trade_flow,0,0.000000
5,trade_diagnostics,0,0.000600
5,trade_init,0,0.000900
5,trade_init,0,0.000900
5,trade_init,0,0.000100
5,trade_init,0,0.000200
5,trade_init,0,0.002900
5,trade_init,0,0.000300
5,trade_init,0,0.000500
5,trade_init,0,0.003600
5,trade_init,0,0.000200
5,commit,0,0.605500
5,native_hash,321600,1.167800
5,aggregate,5028,1.955900
5,domain_projection,0,0.195800
5,ledger_validate,321600,0.136500
5,ledger_hash,321600,0.670800
5,ledger_export,321600,1.308500
5,pod_hash,321600,0.950500
6,epoch_vectors,67,0.750700
6,building_plan,6,0.010800
6,trade_settle,0,0.000200
6,ledger_apply,0,0.000300
6,employment,6,0.336700
6,production,6,0.342000
6,household,24,0.788600
6,research,1,0.000900
6,trade_dispatch,0,0.003500
6,structural,0,0.124400
6,building_commit,31,0.021800
6,family,2402,0.139600
6,person,16,0.014400
6,prepare,0,0.005000
6,verify,0,0.000500
6,watermark,0,0.005600
6,trade_flow,0,0.000100
6,trade_diagnostics,0,0.000500
6,trade_init,0,0.000600
6,commit,0,0.521600
6,native_hash,321600,0.983000
6,aggregate,2484,1.523300
6,domain_projection,0,0.188100
6,ledger_validate,321600,0.158200
6,ledger_hash,321600,0.793000
6,ledger_export,321600,1.364900
6,pod_hash,321600,0.980100
7,epoch_vectors,67,1.008000
7,building_plan,9,0.130800
7,trade_settle,0,0.000300
7,ledger_apply,0,0.000300
7,employment,6,0.331600
7,production,6,0.376200
7,household,24,0.817200
7,research,1,0.001000
7,trade_dispatch,0,0.006100
7,structural,0,0.133300
7,building_commit,33,0.148300
7,family,2402,0.164700
7,person,16,0.014500
7,prepare,0,0.005100
7,verify,0,0.000700
7,watermark,0,0.005700
7,trade_flow,0,0.000100
7,trade_diagnostics,0,0.000500
7,trade_init,0,0.000600
7,trade_init,0,0.000800
7,trade_init,0,0.000100
7,trade_init,0,0.000200
7,trade_init,0,0.002600
7,trade_init,0,0.000300
7,trade_init,0,0.000400
7,trade_init,0,0.004400
7,trade_init,0,0.000200
7,commit,0,0.599200
7,native_hash,321600,1.071400
7,aggregate,5011,1.703700
7,domain_projection,0,0.205100
7,ledger_validate,321600,0.149100
7,ledger_hash,321600,0.760000
7,ledger_export,321600,1.548000
7,pod_hash,321600,0.985800
8,epoch_vectors,67,0.706000
8,building_plan,8,0.078900
8,trade_settle,0,0.000400
8,ledger_apply,0,0.000200
8,employment,6,0.297000
8,production,6,0.329900
8,household,24,0.489100
8,research,1,0.001000
8,trade_dispatch,0,0.004400
8,structural,0,0.117800
8,building_commit,31,0.022100
8,family,2402,0.206500
8,person,16,0.013600
8,prepare,0,0.005100
8,verify,0,0.000400
8,watermark,0,0.005800
8,trade_flow,0,0.000100
8,trade_diagnostics,0,0.000500
8,trade_init,0,0.000500
8,commit,0,0.561900
8,native_hash,321600,1.033000
8,aggregate,2484,1.613000
8,domain_projection,0,0.195700
8,ledger_validate,321600,0.163200
8,ledger_hash,321600,0.656500
8,ledger_export,321600,1.234200
8,pod_hash,321600,0.984700
9,epoch_vectors,67,0.690500
9,building_plan,8,0.072100
9,trade_settle,0,0.000300
9,ledger_apply,0,0.000300
9,employment,6,0.264600
9,production,6,0.327200
9,household,24,0.867600
9,research,1,0.001200
9,trade_dispatch,0,0.005400
9,structural,0,0.097000
9,building_commit,32,0.113300
9,family,2402,0.221800
9,person,16,0.030900
9,prepare,0,0.005900
9,verify,0,0.000500
9,watermark,0,0.006800
9,trade_flow,0,0.000100
9,trade_diagnostics,0,0.000600
9,trade_init,0,0.000900
9,trade_init,0,0.001600
9,trade_init,0,0.000100
9,trade_init,0,0.000200
9,trade_init,0,0.002800
9,trade_init,0,0.000400
9,trade_init,0,0.000500
9,trade_init,0,0.009000
9,trade_init,0,0.000200
9,commit,0,0.671600
9,native_hash,321600,1.206500
9,aggregate,5028,1.920800
9,domain_projection,0,0.201100
9,ledger_validate,321600,0.277700
9,ledger_hash,321600,1.327600
9,ledger_export,321600,2.684200
9,pod_hash,321600,0.993700
10,epoch_vectors,67,1.012500
10,building_plan,8,0.095500
10,trade_settle,0,0.000400
10,ledger_apply,0,0.000400
10,employment,6,0.300000
10,production,6,0.353900
10,household,24,0.521100
10,research,1,0.001100
10,trade_dispatch,0,0.005200
10,structural,0,0.043600
10,building_commit,32,0.112500
10,family,2402,0.146900
10,person,16,0.015900
10,prepare,0,0.004600
10,verify,0,0.000600
10,watermark,0,0.005700
10,trade_flow,0,0.000200
10,trade_diagnostics,0,0.000500
10,trade_init,0,0.000700
10,commit,0,0.541000
10,native_hash,321600,1.029100
10,aggregate,2481,1.654400
10,domain_projection,0,0.194600
10,ledger_validate,321600,0.190800
