frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,30156,1.961,233,false,2,234,231,3,0,0,231,27,1.8745,0.0015,0,0
1,30163,6.926,233,false,2,235,231,4,0,0,232,27,1.8745,0.0015,0,0
2,30170,6.879,234,true,2,235,232,3,0,0,232,27,2.2433,0.0016,0,0
3,30177,6.903,234,false,2,235,232,3,0,0,232,27,2.2433,0.0016,0,0
4,30184,7.599,235,true,2,236,233,3,0,0,233,27,2.8935,0.0021,0,0
5,30191,6.205,235,false,2,236,233,3,0,0,233,27,2.8935,0.0021,0,0
6,30198,6.935,235,false,2,236,233,3,0,0,233,27,2.8935,0.0021,0,0
7,30206,7.945,236,true,2,237,234,3,0,0,234,27,2.0325,0.0015,0,0
8,30212,5.851,236,false,2,237,234,3,0,0,234,27,2.0325,0.0015,0,0
9,30218,6.862,236,false,2,237,234,3,0,0,234,27,2.0325,0.0015,0,0
10,30226,7.869,237,true,2,238,235,3,0,0,235,27,2.7658,0.0012,0,0
11,30232,5.957,237,false,2,238,235,3,0,0,235,27,2.7658,0.0012,0,0
12,30239,6.878,237,false,2,238,235,3,0,0,236,27,2.7658,0.0012,0,0
13,30248,8.804,238,true,2,239,236,3,0,0,236,27,1.9466,0.0021,0,0
14,30253,4.994,238,false,2,239,236,3,0,0,236,27,1.9466,0.0021,0,0
15,30261,8.195,239,true,2,240,237,3,0,0,237,27,2.1249,0.0014,0,0
16,30267,5.642,239,false,2,240,237,3,0,0,237,27,2.1249,0.0014,0,0
17,30274,6.867,239,false,2,240,237,3,0,0,237,27,2.1249,0.0014,0,0
18,30281,7.469,240,true,2,241,238,3,0,0,238,27,1.9875,0.0012,0,0
19,30287,6.33,240,false,2,241,238,3,0,0,238,27,1.9875,0.0012,0,0
20,30294,6.902,240,false,2,241,238,3,0,0,239,27,1.9875,0.0012,0,0
21,30302,7.384,241,true,2,242,239,3,0,0,239,27,3.1719,0.0014,0,0
22,30308,6.414,241,false,2,242,239,3,0,0,239,27,3.1719,0.0014,0,0
23,30315,6.932,241,false,2,242,239,3,0,0,240,27,3.1719,0.0014,0,0
24,30322,7.353,242,true,2,243,240,3,0,0,240,27,1.9696,0.0015,0,0
25,30329,6.443,242,false,2,243,240,3,0,0,240,27,1.9696,0.0015,0,0
26,30336,6.865,242,false,2,243,240,3,0,0,241,27,2.3863,0.0015,0,0
27,30342,6.892,243,true,2,244,241,3,0,0,241,27,2.3863,0.0015,0,0
28,30349,6.959,243,false,2,244,241,3,0,0,242,27,2.3863,0.0015,0,0
29,30356,6.849,244,true,2,244,242,2,0,0,242,27,1.9682,0.0012,0,0
30,30363,6.92,244,false,2,245,242,3,0,0,242,27,1.9682,0.0012,0,0
31,30370,6.88,244,false,2,245,242,3,0,0,243,27,2.826,0.0012,0,0
