day,phase,work,ms
1,native_hash,321600,1.677900
1,building_plan,0,1.761300
1,trade_settle,0,0.003200
1,native_hash,321600,1.439900
1,ledger_apply,0,1.470400
1,native_hash,321600,1.396800
1,employment,0,2.328600
1,native_hash,321600,1.425400
1,production,0,2.074200
1,native_hash,321600,1.503500
1,household,0,2.712000
1,native_hash,321600,1.404100
1,research,0,1.447000
1,trade_dispatch,0,0.032600
1,native_hash,321600,1.377500
1,structural,0,1.647100
1,native_hash,321600,1.403800
1,building_commit,0,3.861900
1,family,0,0.301500
1,person,0,0.016100
1,native_hash,321600,1.423100
1,aggregate,0,3.498600
1,ledger_hash,321600,1.253400
1,ledger_hash,321600,1.184700
1,ledger_validate,321600,1.341900
1,pod_hash,321600,1.023200
1,pod_hash,321600,1.078200
1,pod_hash,321600,1.049900
2,building_plan,0,0.300300
2,trade_settle,0,0.000500
2,ledger_apply,0,0.000200
2,employment,0,0.283300
2,production,0,0.405500
2,household,0,0.518400
2,research,0,0.001300
2,trade_dispatch,0,0.005100
2,structural,0,0.057900
2,building_commit,0,0.461900
2,family,0,0.163200
2,person,0,0.014700
2,native_hash,321600,1.474800
2,aggregate,0,2.195300
2,domain_projection,0,0.220000
2,ledger_validate,321600,0.157500
2,ledger_hash,321600,1.256600
2,ledger_export,321600,7.699500
2,pod_hash,321600,1.030600
3,building_plan,0,0.058800
3,trade_settle,0,0.000300
3,ledger_apply,0,0.000500
3,employment,0,0.339200
3,production,0,0.370300
3,household,0,0.559300
3,research,0,0.001600
3,trade_dispatch,0,0.008300
3,structural,0,0.095100
3,building_commit,0,0.235900
3,family,0,0.225600
3,person,0,0.017800
3,native_hash,321600,2.017300
3,aggregate,0,2.787300
3,domain_projection,0,0.211600
3,ledger_validate,321600,0.150100
3,ledger_hash,321600,1.194800
3,ledger_export,321600,1.847600
3,pod_hash,321600,1.355500
4,building_plan,0,0.058700
4,trade_settle,0,0.000400
4,ledger_apply,0,0.000500
4,employment,0,0.336200
4,production,0,0.382600
4,household,0,0.559200
4,research,0,0.001100
4,trade_dispatch,0,0.004500
4,structural,0,0.115400
4,building_commit,0,0.031300
4,family,0,0.238800
4,person,0,0.019300
4,native_hash,321600,1.718100
4,aggregate,0,2.458400
4,domain_projection,0,0.246700
4,ledger_validate,321600,0.149900
4,ledger_hash,321600,1.218900
4,ledger_export,321600,1.973600
4,pod_hash,321600,1.038600
5,building_plan,0,0.047600
5,trade_settle,0,0.000300
5,ledger_apply,0,0.000200
5,employment,0,0.310500
5,production,0,0.412500
5,household,0,0.562000
5,research,0,0.001200
5,trade_dispatch,0,0.004900
5,structural,0,0.087400
5,building_commit,0,0.727800
5,family,0,0.162100
5,person,0,0.086000
5,native_hash,321600,1.578500
5,aggregate,0,3.142200
5,domain_projection,0,0.240500
5,ledger_validate,321600,0.169300
5,ledger_hash,321600,1.291200
5,ledger_export,321600,2.314600
5,pod_hash,321600,1.097300
6,building_plan,0,0.011200
6,trade_settle,0,0.000600
6,ledger_apply,0,0.000300
6,employment,0,0.400000
6,production,0,0.448300
6,household,0,0.881800
6,research,0,0.001600
6,trade_dispatch,0,0.005200
6,structural,0,0.163500
6,building_commit,0,0.025800
6,family,0,0.145800
6,person,0,0.018400
6,native_hash,321600,1.484900
6,aggregate,0,2.307200
6,domain_projection,0,0.237000
6,ledger_validate,321600,0.155000
6,ledger_hash,321600,1.253900
6,ledger_export,321600,1.965600
6,pod_hash,321600,1.075400
7,building_plan,0,0.114500
7,trade_settle,0,0.000400
7,ledger_apply,0,0.001400
7,employment,0,0.364900
7,production,0,0.395500
7,household,0,1.078400
7,research,0,0.001000
7,trade_dispatch,0,0.007400
7,structural,0,0.153000
7,building_commit,0,0.172200
7,family,0,0.172800
7,person,0,0.018300
7,native_hash,321600,1.524000
7,aggregate,0,2.388800
7,domain_projection,0,0.234100
7,ledger_validate,321600,0.159800
7,ledger_hash,321600,2.222600
7,ledger_export,321600,3.023800
7,pod_hash,321600,2.040200
8,building_plan,0,0.101000
8,trade_settle,0,0.000600
8,ledger_apply,0,0.000700
8,employment,0,0.470100
8,production,0,0.393800
8,household,0,0.967800
8,research,0,0.001200
8,trade_dispatch,0,0.007600
8,structural,0,0.173000
8,building_commit,0,0.027300
8,family,0,0.415200
8,person,0,0.022400
8,native_hash,321600,1.736200
8,aggregate,0,2.999400
8,domain_projection,0,0.249600
8,ledger_validate,321600,0.159000
8,ledger_hash,321600,1.276100
8,ledger_export,321600,2.152100
