frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,34630,2.891,190,false,1,193,188,5,0,0,188,22,2.3397,0.0014,0,0
1,34637,6.868,190,false,1,193,188,5,0,0,188,22,2.3397,0.0014,0,0
2,34644,7.511,191,true,2,194,189,5,0,0,189,22,1.9179,0.0012,0,0
3,34651,6.295,191,false,2,194,189,5,0,0,189,22,1.9179,0.0012,0,0
4,34658,6.917,191,false,2,194,189,5,0,0,189,22,1.9179,0.0012,0,0
5,34665,7.975,192,true,2,195,190,5,0,0,190,22,1.9497,0.0012,0,0
6,34671,5.801,192,false,2,195,190,5,0,0,190,22,1.9497,0.0012,0,0
7,34678,6.92,192,false,2,195,190,5,0,0,191,22,1.9497,0.0012,0,0
8,34686,7.666,193,true,2,196,191,5,0,0,191,22,3.2108,0.0017,0,0
9,34692,6.132,193,false,2,196,191,5,0,0,191,22,3.2108,0.0017,0,0
10,34699,6.885,193,false,2,196,191,5,0,0,192,22,3.2108,0.0017,0,0
11,34707,8.155,194,true,2,197,192,5,0,0,192,22,2.1298,0.0021,0,0
12,34713,5.677,194,false,2,197,192,5,0,0,192,22,2.1298,0.0021,0,0
13,34721,7.827,195,true,2,198,193,5,0,0,193,22,2.1729,0.0012,0,0
14,34727,5.967,195,false,2,198,193,5,0,0,193,22,2.1729,0.0012,0,0
15,34734,6.866,195,false,2,198,193,5,0,0,193,22,2.1729,0.0012,0,0
16,34742,8.463,196,true,2,199,194,5,0,0,194,22,2.3931,0.0014,0,0
17,34747,5.358,196,false,2,199,194,5,0,0,194,22,2.3931,0.0014,0,0
18,34754,6.881,196,false,2,199,194,5,0,0,195,22,2.3931,0.0014,0,0
19,34761,7.228,197,true,2,200,195,5,0,0,195,22,2.7999,0.0013,0,0
20,34768,6.567,197,false,2,200,195,5,0,0,195,22,2.7999,0.0013,0,0
