frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,33819,1.897,184,false,2,188,182,6,0,0,183,32,2.6594,0.002,0,0
1,33825,5.96,185,true,3,188,183,5,0,0,183,32,2.6594,0.002,0,0
2,33831,6.252,185,false,3,189,183,6,0,0,183,32,2.6594,0.002,0,0
3,33833,1.581,185,false,3,189,183,6,0,0,183,32,2.6594,0.002,0,0
4,33840,6.953,185,false,3,189,183,6,0,0,184,32,2.6594,0.002,0,0
5,33849,8.703,186,true,2,190,184,6,0,0,184,32,2.9493,0.0016,0,0
6,33854,5.096,186,false,2,190,184,6,0,0,184,32,2.9493,0.0016,0,0
7,33861,6.862,186,false,2,190,184,6,0,0,185,32,2.9493,0.0016,0,0
8,33869,8.276,187,true,2,191,185,6,0,0,185,32,3.0507,0.0015,0,0
9,33874,5.541,187,false,2,191,185,6,0,0,185,32,3.0507,0.0015,0,0
10,33881,6.892,187,false,2,191,185,6,0,0,186,32,3.0507,0.0015,0,0
11,33891,9.818,188,true,2,192,186,6,0,0,186,32,2.9626,0.0018,0,0
12,33895,3.972,188,false,2,192,186,6,0,0,186,32,2.9626,0.0018,0,0
13,33902,6.903,188,false,2,192,186,6,0,0,186,32,2.9626,0.0018,0,0
14,33909,6.937,188,false,2,193,186,7,0,0,187,32,3.3005,0.0017,0,0
15,33919,9.817,189,true,3,193,187,6,0,0,187,20,3.3005,0.0017,0,0
16,33923,3.968,189,false,3,193,187,6,0,0,187,20,3.3005,0.0017,0,0
17,33930,6.884,189,false,3,193,187,6,0,0,188,20,2.6945,0.0023,0,0
18,33939,9.615,190,true,3,194,188,6,0,0,188,20,2.6945,0.0023,0,0
19,33943,4.175,190,false,3,194,188,6,0,0,188,20,2.6945,0.0023,0,0
20,33950,6.905,190,false,3,194,188,6,0,0,189,20,2.6945,0.0023,0,0
21,33960,9.482,191,true,3,195,189,6,0,0,189,20,2.4756,0.0015,0,0
22,33964,4.311,191,false,3,195,189,6,0,0,189,20,2.4756,0.0015,0,0
23,33971,6.93,191,false,3,195,189,6,0,0,189,20,2.4756,0.0015,0,0
24,33981,9.98,192,true,3,196,190,6,0,0,190,20,2.3992,0.0021,0,0
25,33985,3.795,192,false,3,196,190,6,0,0,190,20,2.3992,0.0021,0,0
26,33992,6.973,192,false,3,196,190,6,0,0,191,20,2.3992,0.0021,0,0
27,34002,10.631,193,true,3,197,191,6,0,0,191,20,3.6693,0.0023,0,0
28,34005,3.124,193,false,3,197,191,6,0,0,191,20,3.6693,0.0023,0,0
29,34012,6.868,193,false,3,198,191,7,0,0,191,20,3.6693,0.0023,0,0
30,34022,9.829,194,true,3,198,192,6,0,0,192,24,2.5367,0.0018,0,0
31,34026,4.022,194,false,3,198,192,6,0,0,192,24,2.5367,0.0018,0,0
32,34033,6.853,194,false,3,198,192,6,0,0,192,24,2.5367,0.0018,0,0
33,34040,6.934,194,false,3,199,192,7,0,0,193,24,2.0595,0.0013,0,0
34,34050,9.958,195,true,3,199,193,6,0,0,193,16,2.0595,0.0013,0,0
35,34054,3.844,195,false,3,199,193,6,0,0,193,16,2.0595,0.0013,0,0
36,34061,6.867,195,false,3,199,193,6,0,0,194,16,2.3788,0.0023,0,0
37,34071,10.164,196,true,3,200,194,6,0,0,194,16,2.3788,0.0023,0,0
38,34074,3.654,196,false,3,200,194,6,0,0,194,16,2.3788,0.0023,0,0
39,34081,6.88,196,false,3,200,194,6,0,0,195,16,2.3788,0.0023,0,0
40,34089,7.986,197,true,3,201,195,6,0,0,195,16,3.4592,0.0015,0,0
41,34095,5.816,197,false,3,201,195,6,0,0,195,16,3.4592,0.0015,0,0
42,34102,6.901,197,false,3,201,195,6,0,0,195,16,3.4592,0.0015,0,0
43,34113,11.134,198,true,4,202,196,6,0,0,196,16,3.1711,0.0016,0,0
44,34116,2.654,198,false,4,202,196,6,0,0,196,16,3.1711,0.0016,0,0
45,34123,6.958,198,false,4,202,196,6,0,0,196,16,3.1711,0.0016,0,0
