frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,32870,1.198,199,false,2,203,197,6,0,0,197,33,3.3642,0.002,0,0
1,32873,2.95,199,false,2,203,197,6,0,0,197,33,3.3642,0.002,0,0
2,32880,6.934,199,false,2,203,197,6,0,0,197,33,3.3642,0.002,0,0
3,32887,6.872,199,false,2,204,197,7,0,0,198,33,2.8925,0.0015,0,0
4,32894,7.361,200,true,2,204,198,6,0,0,198,17,2.8925,0.0015,0,0
5,32900,6.455,200,false,2,204,198,6,0,0,198,17,2.8925,0.0015,0,0
6,32907,6.879,200,false,2,205,198,7,0,0,199,17,2.8925,0.0015,0,0
7,32917,9.256,201,true,3,205,199,6,0,0,199,18,2.5029,0.0016,0,0
8,32921,4.551,201,false,3,205,199,6,0,0,199,18,2.5029,0.0016,0,0
9,32928,6.968,201,false,3,205,199,6,0,0,200,18,2.5029,0.0016,0,0
10,32939,10.642,202,true,3,206,200,6,0,0,200,18,2.646,0.0017,0,0
11,32942,3.109,202,false,3,206,200,6,0,0,200,18,2.646,0.0017,0,0
12,32949,6.887,202,false,3,206,200,6,0,0,201,18,2.646,0.0017,0,0
13,32959,10.024,203,true,3,207,201,6,0,0,201,18,2.3833,0.0014,0,0
14,32962,3.829,203,false,3,207,201,6,0,0,201,18,2.3833,0.0014,0,0
15,32969,6.833,203,false,3,207,201,6,0,0,201,18,2.3833,0.0014,0,0
16,32979,9.43,204,true,2,208,202,6,0,0,202,18,2.5796,0.0013,0,0
17,32983,4.373,204,false,2,208,202,6,0,0,202,18,2.5796,0.0013,0,0
18,32990,6.922,204,false,2,208,202,6,0,0,202,18,2.5796,0.0013,0,0
19,32997,6.927,204,false,2,209,202,7,0,0,203,18,2.5796,0.0013,0,0
20,33006,9.067,205,true,3,209,203,6,0,0,203,28,6.2733,0.0021,0,0
21,33011,4.717,205,false,3,209,203,6,0,0,203,28,6.2733,0.0021,0,0
22,33018,6.871,205,false,3,209,203,6,0,0,204,28,6.2733,0.0021,0,0
23,33027,9.755,206,true,3,210,204,6,0,0,204,28,2.81,0.0013,0,0
24,33032,4.039,206,false,3,210,204,6,0,0,204,28,2.81,0.0013,0,0
25,33038,6.913,206,false,3,210,204,6,0,0,204,28,2.81,0.0013,0,0
26,33049,10.665,207,true,3,211,205,6,0,0,205,28,2.6348,0.002,0,0
27,33052,3.123,207,false,3,211,205,6,0,0,205,28,2.6348,0.002,0,0
28,33059,6.958,207,false,3,211,205,6,0,0,205,28,2.6348,0.002,0,0
29,33071,12.258,208,true,3,212,206,6,0,0,206,28,2.6249,0.0015,0,0
30,33073,2.025,208,false,3,212,206,6,0,0,206,28,2.6249,0.0015,0,0
31,33080,6.394,208,false,3,212,206,6,0,0,206,28,2.6249,0.0015,0,0
32,33087,6.871,208,false,3,213,206,7,0,0,207,28,2.237,0.0014,0,0
33,33096,9.072,209,true,3,213,207,6,0,0,207,18,2.237,0.0014,0,0
34,33101,4.731,209,false,3,213,207,6,0,0,207,18,2.237,0.0014,0,0
35,33107,6.903,209,false,3,213,207,6,0,0,208,18,2.237,0.0014,0,0
36,33118,10.868,210,true,4,214,208,6,0,0,208,18,3.0853,0.0024,0,0
37,33121,2.924,210,false,4,214,208,6,0,0,208,18,3.0853,0.0024,0,0
38,33128,6.93,210,false,4,215,208,7,0,0,208,18,3.0853,0.0024,0,0
39,33137,8.647,211,true,3,215,209,6,0,0,209,20,3.4408,0.0021,0,0
40,33142,5.167,211,false,3,215,209,6,0,0,209,20,3.4408,0.0021,0,0
41,33149,6.86,211,false,3,215,209,6,0,0,209,20,3.4408,0.0021,0,0
42,33156,6.91,211,false,3,216,209,7,0,0,210,20,2.9557,0.0021,0,0
43,33164,8.157,212,true,2,216,210,6,0,0,210,16,2.9557,0.0021,0,0
44,33170,5.625,212,false,2,216,210,6,0,0,210,16,2.9557,0.0021,0,0
45,33177,6.942,212,false,2,216,210,6,0,0,211,16,2.9557,0.0021,0,0
46,33186,9.712,213,true,2,217,211,6,0,0,211,16,3.5394,0.0022,0,0
47,33190,4.054,213,false,2,217,211,6,0,0,211,16,3.5394,0.0022,0,0
48,33197,6.928,213,false,2,217,211,6,0,0,212,16,3.5394,0.0022,0,0
49,33209,11.868,214,true,2,218,212,6,0,0,212,16,2.6303,0.0015,0,0
50,33211,1.914,214,false,2,218,212,6,0,0,212,16,2.6303,0.0015,0,0
51,33218,6.888,214,false,2,218,212,6,0,0,212,16,2.6303,0.0015,0,0
52,33228,10.185,215,true,3,219,213,6,0,0,213,16,2.2468,0.002,0,0
53,33232,3.609,215,false,3,219,213,6,0,0,213,16,2.2468,0.002,0,0
54,33239,6.916,215,false,3,219,213,6,0,0,213,16,2.2468,0.002,0,0
55,33248,9.972,216,true,3,220,214,6,0,0,214,16,2.33,0.0014,0,0
56,33252,3.809,216,false,3,220,214,6,0,0,214,16,2.33,0.0014,0,0
57,33259,6.938,216,false,3,220,214,6,0,0,214,16,2.33,0.0014,0,0
58,33266,6.864,217,true,3,221,215,6,0,0,215,16,3.9429,0.0021,0,0
59,33273,6.906,217,false,3,221,215,6,0,0,215,20,3.9429,0.0021,0,0
60,33280,6.943,217,false,3,221,215,6,0,0,215,20,3.9429,0.0021,0,0
61,33287,6.858,217,false,3,221,215,6,0,0,216,20,3.9429,0.0021,0,0
62,33296,9.115,218,true,3,222,216,6,0,0,216,20,2.5485,0.0024,0,0
63,33301,4.68,218,false,3,222,216,6,0,0,216,20,2.5485,0.0024,0,0
64,33308,6.9,218,false,3,222,216,6,0,0,217,20,2.5485,0.0024,0,0
65,33318,10.421,219,true,3,223,217,6,0,0,217,20,2.375,0.0017,0,0
66,33321,3.377,219,false,3,223,217,6,0,0,217,20,2.375,0.0017,0,0
67,33328,6.927,219,false,3,224,217,7,0,0,217,20,2.375,0.0017,0,0
68,33338,9.725,220,true,3,224,218,6,0,0,218,21,3.0154,0.0018,0,0
69,33342,4.092,220,false,3,224,218,6,0,0,218,21,3.0154,0.0018,0,0
70,33349,6.864,220,false,3,224,218,6,0,0,218,21,3.0154,0.0018,0,0
71,33356,6.892,220,false,3,225,218,7,0,0,219,21,3.7699,0.0015,0,0
72,33365,9.443,221,true,3,225,219,6,0,0,219,22,3.7699,0.0015,0,0
73,33369,4.354,221,false,3,225,219,6,0,0,219,22,3.7699,0.0015,0,0
74,33377,6.96,221,false,3,225,219,6,0,0,220,22,3.7699,0.0015,0,0
75,33386,9.21,222,true,3,226,220,6,0,0,220,22,2.8145,0.0015,0,0
76,33390,4.544,222,false,3,226,220,6,0,0,220,22,2.8145,0.0015,0,0
77,33397,6.926,222,false,3,226,220,6,0,0,220,22,2.8145,0.0015,0,0
78,33407,9.946,223,true,3,227,221,6,0,0,221,22,3.5748,0.0017,0,0
79,33411,3.872,223,false,3,227,221,6,0,0,221,22,3.5748,0.0017,0,0
80,33418,6.854,223,false,3,227,221,6,0,0,221,22,3.5748,0.0017,0,0
81,33425,6.941,223,false,3,228,221,7,0,0,222,22,2.5883,0.0021,0,0
82,33433,8.517,224,true,3,228,222,6,0,0,222,20,2.5883,0.0021,0,0
83,33439,5.243,224,false,3,228,222,6,0,0,222,20,2.5883,0.0021,0,0
84,33446,6.932,224,false,3,228,222,6,0,0,223,20,2.5883,0.0021,0,0
85,33458,12.426,225,true,4,229,223,6,0,0,223,20,2.8472,0.0014,0,0
86,33460,2.249,225,false,4,229,223,6,0,0,223,20,2.8472,0.0014,0,0
87,33466,5.991,225,false,4,229,223,6,0,0,223,20,2.8472,0.0014,0,0
88,33473,6.9,225,false,4,230,223,7,0,0,224,20,2.547,0.0017,0,0
89,33485,11.617,226,true,3,230,224,6,0,0,224,17,2.547,0.0017,0,0
90,33487,2.178,226,false,3,230,224,6,0,0,224,17,2.547,0.0017,0,0
91,33494,6.96,226,false,3,230,224,6,0,0,224,17,2.547,0.0017,0,0
92,33504,10.544,227,true,3,231,225,6,0,0,225,17,2.6493,0.0022,0,0
93,33508,3.193,227,false,3,231,225,6,0,0,225,17,2.6493,0.0022,0,0
94,33515,6.945,227,false,3,231,225,6,0,0,225,17,2.6493,0.0022,0,0
95,33525,11.028,228,true,4,232,226,6,0,0,226,17,2.4356,0.0015,0,0
96,33528,2.766,228,false,4,232,226,6,0,0,226,17,2.4356,0.0015,0,0
97,33535,6.867,228,false,4,232,226,6,0,0,226,17,2.4356,0.0015,0,0
98,33542,7.134,228,false,4,233,226,7,0,0,227,17,2.4356,0.0015,0,0
99,33553,10.835,229,true,3,233,227,6,0,0,227,23,4.7821,0.002,0,0
100,33556,2.726,229,false,3,233,227,6,0,0,227,23,4.7821,0.002,0,0
101,33563,6.936,229,false,3,234,227,7,0,0,227,23,4.7821,0.002,0,0
