frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,33619,3.828,190,false,2,195,188,7,0,0,189,45,3.1435,0.002,0,0
1,33629,9.79,191,true,2,195,189,6,0,0,189,18,3.1435,0.002,0,0
2,33634,4.045,191,false,2,195,189,6,0,0,189,18,3.1435,0.002,0,0
3,33640,6.83,191,false,2,196,189,7,0,0,189,18,3.1435,0.002,0,0
4,33650,9.51,192,true,3,196,190,6,0,0,190,20,3.2825,0.0025,0,0
5,33654,4.301,192,false,3,196,190,6,0,0,190,20,3.2825,0.0025,0,0
6,33661,6.908,192,false,3,196,190,6,0,0,190,20,3.2825,0.0025,0,0
7,33668,6.917,192,false,3,197,190,7,0,0,191,20,3.2825,0.0025,0,0
8,33680,12.189,193,true,4,197,191,6,0,0,191,21,3.8931,0.0014,0,0
9,33682,2.09,193,false,4,197,191,6,0,0,191,21,3.8931,0.0014,0,0
10,33689,6.381,193,false,4,197,191,6,0,0,191,21,3.8931,0.0014,0,0
11,33700,11.426,194,true,3,198,192,6,0,0,192,21,2.7097,0.0015,0,0
12,33702,2.412,194,false,3,198,192,6,0,0,192,21,2.7097,0.0015,0,0
13,33709,6.862,194,false,3,198,192,6,0,0,192,21,2.7097,0.0015,0,0
14,33716,6.945,194,false,3,199,192,7,0,0,193,21,3.1588,0.002,0,0
15,33726,10.145,195,true,3,199,193,6,0,0,193,30,3.1588,0.002,0,0
16,33730,3.601,195,false,3,199,193,6,0,0,193,30,3.1588,0.002,0,0
17,33737,6.946,195,false,3,199,193,6,0,0,194,30,3.1588,0.002,0,0
18,33747,10.344,196,true,3,200,194,6,0,0,194,30,2.8052,0.0014,0,0
19,33751,3.46,196,false,3,200,194,6,0,0,194,30,2.8052,0.0014,0,0
20,33757,6.864,196,false,3,200,194,6,0,0,194,30,2.8052,0.0014,0,0
21,33767,9.073,197,true,2,201,195,6,0,0,195,30,3.1739,0.0017,0,0
22,33771,4.74,197,false,2,201,195,6,0,0,195,30,3.1739,0.0017,0,0
23,33778,6.877,197,false,2,201,195,6,0,0,195,30,3.1739,0.0017,0,0
24,33785,7.006,197,false,2,202,195,7,0,0,196,30,2.619,0.0026,0,0
25,33794,8.639,198,true,3,202,196,6,0,0,196,17,2.619,0.0026,0,0
26,33799,5.104,198,false,3,202,196,6,0,0,196,17,2.619,0.0026,0,0
27,33806,6.866,198,false,3,202,196,6,0,0,197,17,2.619,0.0026,0,0
28,33816,10.362,199,true,3,203,197,6,0,0,197,17,2.9964,0.0018,0,0
29,33819,3.459,199,false,3,203,197,6,0,0,197,17,2.9964,0.0018,0,0
30,33826,6.874,199,false,3,203,197,6,0,0,197,17,2.9964,0.0018,0,0
31,33835,8.787,200,true,2,204,198,6,0,0,198,17,2.678,0.0023,0,0
32,33840,5.011,200,false,2,204,198,6,0,0,198,17,2.678,0.0023,0,0
33,33847,6.971,200,false,2,204,198,6,0,0,198,17,2.678,0.0023,0,0
34,33857,10.319,201,true,3,205,199,6,0,0,199,17,2.3715,0.0016,0,0
