day,phase,work,ms
-1,research_scratch_clear,0,0.003100
-1,research_scratch_clear,0,0.000000
1,epoch_vectors,67,0.597200
1,native_hash,321600,1.348600
1,building_plan,6,1.376200
1,trade_settle,0,0.002600
1,native_hash,321600,0.977700
1,ledger_apply,0,0.981900
1,native_hash,321600,0.891200
1,employment,6,1.264000
1,production.compute,1,0.121600
1,production.merge_summary,1,0.002300
1,production.compute,1,0.057200
1,production.merge_summary,1,0.002800
1,production.compute,1,0.070200
1,production.merge_summary,1,0.001700
1,production.compute,1,0.087800
1,production.merge_summary,1,0.002500
1,production.compute,1,0.058200
1,production.merge_summary,1,0.001500
1,production.compute,1,0.052900
1,production.merge_summary,1,0.001100
1,native_hash,321600,0.900300
1,production,6,1.378600
1,native_hash,321600,0.927400
1,household.prepare,0,0.005200
1,household.worker,0,0.515300
1,household.merge,0,0.051200
1,household.merge_trade,0,0.035000
1,household.merge_aggregate,0,0.013900
1,household,24,1.593700
1,native_hash,321600,0.844100
1,research,1,0.853400
1,trade_dispatch,0,0.020500
1,native_hash,321600,0.835200
1,structural,0,1.022500
1,native_hash,321600,0.808000
1,building_commit,31,1.101200
1,family.normalize,0,0.031200
1,family.attribution,0,0.002000
1,family.form,0,0.005700
1,family.index,0,0.000000
1,family.lifecycle,0,0.002100
1,family.influence,0,0.000000
1,family,2402,0.172700
1,person.retire,0,0.001600
1,person.index,0,0.007900
1,person.bind_jobs,0,0.001200
1,person.claims,0,0.000500
1,person.equity,0,0.000100
1,person.promote,0,0.000100
1,person,16,0.016700
1,prepare,0,0.006200
1,audit_population,0,0.000700
1,audit_market,0,0.631600
1,audit_market,0,0.525600
1,audit_market,0,0.585300
1,audit_transit,0,0.000200
1,audit_escrow,0,0.001000
1,audit_country,0,0.002600
1,verify,0,0.000600
1,watermark,0,0.016600
1,trade_flow,0,0.000100
1,trade_diagnostics,0,0.001700
1,trade_init,0,0.003300
1,trade_init,0,0.015100
1,trade_init,0,0.000600
1,trade_init,0,0.001200
1,trade_init,0,0.010200
1,trade_init,0,0.000600
1,trade_init,0,0.006900
1,trade_init,0,0.003300
1,trade_init,0,0.049100
1,commit,0,0.634600
1,native_hash,321600,1.162400
1,aggregate,343533,3.687200
1,ledger_hash,321600,0.850500
1,ledger_hash,321600,0.619500
1,ledger_validate,321600,0.759500
1,pod_hash,321600,1.207100
1,pod_hash,321600,1.147200
1,pod_hash,321600,0.973300
1,research_scratch_clear,0,0.000100
2,epoch_vectors,67,0.723200
2,building_plan,9,0.136300
2,trade_settle,0,0.000200
2,ledger_apply,0,0.000300
2,employment,6,0.223100
2,production.compute,1,0.063600
2,production.merge_summary,1,0.001600
2,production.compute,1,0.054300
2,production.merge_summary,1,0.003500
2,production.compute,1,0.068500
2,production.merge_summary,1,0.000800
2,production.compute,1,0.056400
2,production.merge_summary,1,0.001100
2,production.compute,1,0.059800
2,production.merge_summary,1,0.000800
2,production.compute,1,0.050500
2,production.merge_summary,1,0.000800
2,production,6,0.370900
2,household.prepare,0,0.001200
2,household.worker,0,0.387400
2,household.merge,0,0.019000
2,household.merge_trade,0,0.008400
2,household.merge_aggregate,0,0.009100
2,household,24,0.481800
2,research,1,0.001000
2,trade_dispatch,0,0.004000
2,structural,0,0.047200
2,building_commit,35,0.278100
2,family.normalize,0,0.020400
2,family.attribution,0,0.001600
2,family.form,0,0.005900
2,family.index,0,0.000000
2,family.lifecycle,0,0.001200
2,family.influence,0,0.000000
2,family,2402,0.165100
2,person.retire,0,0.001900
2,person.index,0,0.008300
2,person.bind_jobs,0,0.001000
2,person.claims,0,0.000500
2,person.equity,0,0.000100
2,person.promote,0,0.000100
2,person,16,0.015000
2,prepare,0,0.004900
2,verify,0,0.000600
2,watermark,0,0.006700
2,trade_flow,0,0.000100
2,trade_diagnostics,0,0.000500
2,trade_init,0,0.000600
2,commit,0,0.649300
2,native_hash,321600,1.090400
2,aggregate,2481,1.762400
2,domain_projection,0,0.217400
2,ledger_validate,321600,0.151700
2,ledger_hash,321600,0.671600
2,ledger_export,321600,2.544700
2,pod_hash,321600,0.940900
2,research_scratch_clear,0,0.000000
3,epoch_vectors,67,0.718200
3,building_plan,7,0.045000
3,trade_settle,0,0.000300
3,ledger_apply,0,0.000300
3,employment,6,0.260900
3,production.compute,1,0.064300
3,production.merge_summary,1,0.001500
3,production.compute,1,0.052500
3,production.merge_summary,1,0.002900
3,production.compute,1,0.069300
3,production.merge_summary,1,0.000800
3,production.compute,1,0.045600
3,production.merge_summary,1,0.000600
3,production.compute,1,0.041900
3,production.merge_summary,1,0.000500
3,production.compute,1,0.048000
3,production.merge_summary,1,0.000600
3,production,6,0.336900
3,household.prepare,0,0.001200
3,household.worker,0,0.416400
3,household.merge,0,0.019000
3,household.merge_trade,0,0.008400
3,household.merge_aggregate,0,0.009100
3,household,24,0.511800
3,research,1,0.000900
3,trade_dispatch,0,0.004400
3,structural,0,0.074000
3,building_commit,33,0.138600
3,family.normalize,0,0.020700
3,family.attribution,0,0.002000
3,family.form,0,0.006000
3,family.index,0,0.000000
3,family.lifecycle,0,0.001100
3,family.influence,0,0.000000
3,family,2402,0.131100
3,person.retire,0,0.001300
3,person.index,0,0.007400
3,person.bind_jobs,0,0.001000
3,person.claims,0,0.000700
3,person.equity,0,0.000100
3,person.promote,0,0.000100
3,person,16,0.013400
3,prepare,0,0.004600
3,verify,0,0.000700
3,watermark,0,0.005700
3,trade_flow,0,0.000100
3,trade_diagnostics,0,0.000600
3,trade_init,0,0.000600
3,trade_init,0,0.000800
3,trade_init,0,0.000100
3,trade_init,0,0.000100
3,trade_init,0,0.002300
3,trade_init,0,0.000200
3,trade_init,0,0.000400
3,trade_init,0,0.003800
3,trade_init,0,0.000100
3,commit,0,0.635700
3,native_hash,321600,1.065700
3,aggregate,5008,1.732200
3,domain_projection,0,0.277100
3,ledger_validate,321600,0.135600
3,ledger_hash,321600,0.713500
3,ledger_export,321600,1.459600
3,pod_hash,321600,0.954200
3,research_scratch_clear,0,0.000000
4,epoch_vectors,67,0.750400
4,building_plan,7,0.059600
4,trade_settle,0,0.000200
4,ledger_apply,0,0.000400
4,employment,6,0.317000
4,production.compute,1,0.065400
4,production.merge_summary,1,0.002000
4,production.compute,1,0.055500
4,production.merge_summary,1,0.003200
4,production.compute,1,0.079100
4,production.merge_summary,1,0.001000
4,production.compute,1,0.046400
4,production.merge_summary,1,0.001000
4,production.compute,1,0.043200
4,production.merge_summary,1,0.000800
4,production.compute,1,0.048800
4,production.merge_summary,1,0.000900
4,production,6,0.356700
4,household.prepare,0,0.001500
4,household.worker,0,0.389600
4,household.merge,0,0.018600
4,household.merge_trade,0,0.008100
4,household.merge_aggregate,0,0.009000
4,household,24,0.488400
4,research,1,0.001000
4,trade_dispatch,0,0.004400
4,structural,0,0.097600
4,building_commit,31,0.023900
4,family.normalize,0,0.018500
4,family.attribution,0,0.001600
4,family.form,0,0.005900
4,family.index,0,0.000000
4,family.lifecycle,0,0.001100
4,family.influence,0,0.054700
4,family,2402,0.179200
4,person.retire,0,0.000900
4,person.index,0,0.008400
4,person.bind_jobs,0,0.001000
4,person.claims,0,0.000500
4,person.equity,0,0.000000
4,person.promote,0,0.000100
4,person,16,0.014000
4,prepare,0,0.004200
4,verify,0,0.000400
4,watermark,0,0.005500
4,trade_flow,0,0.000100
4,trade_diagnostics,0,0.000600
4,trade_init,0,0.000500
4,commit,0,0.626900
4,native_hash,321600,1.020700
4,aggregate,2483,1.664500
4,domain_projection,0,0.235800
4,ledger_validate,321600,0.134100
4,ledger_hash,321600,0.624600
4,ledger_export,321600,1.420400
4,pod_hash,321600,0.939500
4,research_scratch_clear,0,0.000100
5,epoch_vectors,67,0.834400
5,building_plan,7,0.045000
5,trade_settle,0,0.000200
5,ledger_apply,0,0.000300
5,employment,6,0.266600
5,production.compute,1,0.066400
5,production.merge_summary,1,0.001800
5,production.compute,1,0.055500
5,production.merge_summary,1,0.003300
5,production.compute,1,0.073600
5,production.merge_summary,1,0.001000
5,production.compute,1,0.048600
5,production.merge_summary,1,0.000600
5,production.compute,1,0.044600
