frame_idx,timestamp_ms,frame_wall_ms,fast_tick_count,fast_tick_occurred,last_fast_tick_ms,clock_day,writeback_last_day,writeback_lag_days,main_wait_on_sim_us,worker_fault_count,completed_days,runtime_graph_last_elapsed_us,climate_pod_plan_ms,climate_pod_replay_ms,domain_authority_plan_ms,domain_authority_replay_ms
0,31240,4.559,205,false,2,209,203,6,0,0,203,21,4.4767,0.0024,0,0
1,31247,6.96,205,false,2,209,203,6,0,0,204,21,4.4767,0.0024,0,0
2,31258,10.772,206,true,4,210,204,6,0,0,204,21,3.6501,0.0047,0,0
3,31260,2.953,206,false,4,210,204,6,0,0,204,21,3.6501,0.0047,0,0
4,31268,6.968,206,false,4,211,204,7,0,0,204,21,3.6501,0.0047,0,0
5,31280,11.978,207,true,4,211,205,6,0,0,205,28,3.3695,0.0025,0,0
6,31282,2.373,207,false,4,211,205,6,0,0,205,28,3.3695,0.0025,0,0
7,31288,6.317,207,false,4,211,205,6,0,0,205,28,3.3695,0.0025,0,0
8,31295,6.922,207,false,4,212,205,7,0,0,205,28,3.3695,0.0025,0,0
9,31302,6.862,207,false,4,212,205,7,0,0,206,35,3.3695,0.0025,0,0
10,31315,13.006,208,true,4,212,206,6,0,0,206,26,3.5425,0.0022,0,0
11,31318,2.453,208,false,4,212,206,6,0,0,206,26,3.5425,0.0022,0,0
12,31323,5.228,208,false,4,212,206,6,0,0,206,26,3.5425,0.0022,0,0
13,31330,6.995,208,false,4,213,206,7,0,0,206,26,3.5425,0.0022,0,0
14,31345,15.342,209,true,4,213,207,6,0,0,207,32,3.7528,0.002,0,0
15,31349,3.725,209,false,4,213,207,6,0,0,207,32,3.7528,0.002,0,0
16,31352,3.225,209,false,4,213,207,6,0,0,207,32,3.7528,0.002,0,0
17,31359,6.86,209,false,4,214,207,7,0,0,207,32,3.7528,0.002,0,0
18,31373,14.312,210,true,4,214,208,6,0,0,208,35,3.0677,0.0032,0,0
19,31375,2.273,210,false,4,214,208,6,0,0,208,35,3.0677,0.0032,0,0
20,31380,4.657,210,false,4,214,208,6,0,0,208,35,3.0677,0.0032,0,0
21,31387,6.843,210,false,4,215,208,7,0,0,208,35,3.0677,0.0032,0,0
22,31394,6.897,210,false,4,215,208,7,0,0,209,31,3.0677,0.0032,0,0
23,31408,14.055,211,true,4,215,209,6,0,0,209,29,4.6604,0.0035,0,0
24,31411,2.523,211,false,4,215,209,6,0,0,209,29,4.6604,0.0035,0,0
25,31415,4.395,211,false,4,215,209,6,0,0,209,29,4.6604,0.0035,0,0
26,31441,26.491,212,true,4,216,210,6,0,0,210,29,4.3194,0.01,0,0
27,31444,2.378,212,false,4,216,210,6,0,0,210,29,4.3194,0.01,0,0
28,31448,4.537,212,false,4,217,210,7,0,0,210,29,4.3194,0.01,0,0
