epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,production_output_stock,production_output_discarded,production_output_retained,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_reserved,merchant_procurement_spent,trade_runtime_mode,trade_topology_ready,population_error,money_error,goods_error
1,1,5,false,trade_planning,65535,1,5,1784,1120,120,259,3612,0,24359,0,189,50971759,195099289,48233650,0,0,0,22431124,-22431124,0,854663299,284887986,208008661,ACTIVE,true,0,0,0
2,2,10,false,trade_planning,65535,6,10,1784,1120,120,259,3612,0,24292,0,189,6665440,240196161,48175233,0,0,0,22431124,-22431124,0,803681795,267894155,29753216,ACTIVE,true,0,0,0
3,3,15,false,trade_planning,65535,11,15,1784,1120,120,259,3612,0,24221,0,189,13879392,234072638,47177274,0,0,0,25257169,-25257169,0,887906090,295968929,76776233,ACTIVE,true,0,0,0
4,4,20,false,trade_planning,65535,16,20,1784,1120,120,259,3612,0,24221,0,189,13561221,235433723,46138875,0,0,0,25275186,-25275186,0,949154248,316384973,78791395,ACTIVE,true,0,0,0
5,5,25,false,trade_planning,65535,21,25,1784,1120,120,259,3612,0,24221,0,189,13348086,236676170,45113639,0,0,0,25292831,-25292831,0,1010933222,336977977,82583371,ACTIVE,true,0,0,0
6,6,30,false,trade_planning,65535,26,30,1784,1120,120,259,3612,0,21587,0,2823,13212013,238555664,43925691,0,0,0,22554265,-22554265,440,1072221606,357407428,82144529,ACTIVE,true,0,0,0
7,7,35,false,trade_planning,65535,31,35,1784,1120,120,259,3612,0,21553,0,2823,12779813,239493350,42915720,0,0,0,22529725,-22529725,440,1133363269,377787978,83883931,ACTIVE,true,0,0,0
8,8,40,false,trade_planning,65535,36,40,1784,1120,120,259,3612,0,22721,0,1647,12773936,240040346,42017123,0,0,0,23761101,-23761101,244,1195000772,398333811,98205636,ACTIVE,true,0,0,0
9,9,45,false,trade_planning,65535,41,45,1784,1120,120,259,3612,0,23800,0,568,12722060,240612910,41240460,0,0,52544,25058408,-25005864,283,1254575490,418192048,110885342,ACTIVE,true,0,0,0
10,10,50,false,trade_planning,65535,46,50,1784,1120,120,259,3612,0,24033,0,335,12835641,241429306,40269963,0,0,0,25332562,-25332562,245,1311938336,437313008,119399376,ACTIVE,true,0,0,0
11,11,55,false,trade_planning,65535,51,55,1784,1120,120,259,3612,0,24033,0,335,12682006,242358519,39493167,0,0,0,25327642,-25327642,245,1369371732,456457464,124720909,ACTIVE,true,0,0,0
12,12,60,false,trade_planning,65535,56,60,1784,1120,120,259,3612,0,24034,0,334,12570089,243231456,38736540,0,0,0,25334676,-25334676,244,1426695487,475565375,130680330,ACTIVE,true,0,0,0
13,13,65,false,trade_planning,65535,61,65,1784,1120,120,259,3612,0,24034,0,334,12549345,243941735,38015385,0,0,0,25340984,-25340984,244,1481539831,493846823,135083638,ACTIVE,true,0,0,0
