epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,production_output_stock,production_output_discarded,production_output_retained,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_reserved,merchant_procurement_spent,trade_runtime_mode,trade_topology_ready,population_error,money_error,goods_error
1,17,85,false,trade_planning,65535,81,85,1845,1120,120,259,3742,0,5196,0,20018,9271287,4770309,28227494,0,0,10870,1458900,-1448030,457,2109171498,703057401,156162781,ACTIVE,true,0,0,0
2,18,90,false,trade_planning,65535,86,90,1845,1120,120,259,3742,0,5169,0,20033,9912228,4552750,27396410,0,0,10721,1448444,-1437723,457,2180487915,726829535,184580991,ACTIVE,true,0,0,0
3,19,95,false,trade_planning,65535,91,95,1845,1120,120,259,3742,0,5160,0,20023,9099407,5846107,26807602,0,0,10485,1456336,-1445851,457,2246640109,748880259,176783686,ACTIVE,true,0,0,0
4,20,100,false,trade_planning,65535,96,100,1845,1120,120,259,3742,0,4912,0,20271,6584421,5259153,26216745,0,0,10219,1466161,-1455942,457,2316335555,772112082,122231191,ACTIVE,true,0,0,0
5,21,105,false,trade_planning,65535,101,105,1845,1120,120,259,3742,0,4767,0,20412,5248176,5220923,25403791,0,0,10311,1438014,-1427703,457,2376884689,792295137,93827443,ACTIVE,true,0,0,0
6,22,110,false,trade_planning,65535,106,110,1845,1120,120,259,3742,0,4776,0,20400,5332451,5589616,25089700,0,0,10442,1436390,-1425948,457,2451334820,817111852,103991713,ACTIVE,true,0,0,0
7,23,115,false,trade_planning,65535,111,115,1845,1120,120,259,3742,0,4757,0,20418,5151430,5633341,24940580,0,0,10434,1433819,-1423385,457,2512975706,837658793,104661379,ACTIVE,true,0,0,0
8,24,120,false,trade_planning,65535,116,120,1845,1120,120,259,3742,0,4655,0,20492,4972033,4812887,24414431,0,0,10429,1414482,-1404053,457,2575372622,858457780,105859981,ACTIVE,true,0,0,0
9,25,125,false,trade_planning,65535,121,125,1845,1120,120,259,3742,0,4672,0,20447,4876944,5172575,24397306,0,0,10420,1400128,-1389708,457,2634890323,878297011,108524762,ACTIVE,true,0,0,0
10,26,130,false,trade_planning,65535,126,130,1845,1120,120,259,3742,0,4643,0,20238,4714799,5063462,24223656,0,0,10409,1398548,-1388139,457,2689208349,896403016,107757667,ACTIVE,true,0,0,0
11,27,135,false,trade_planning,65535,131,135,1845,1120,120,259,3742,0,4578,0,20135,4447651,4751492,23845458,0,0,10397,1397264,-1386867,457,2742821636,914274099,99592290,ACTIVE,true,0,0,0
12,28,140,false,trade_planning,65535,136,140,1845,1120,120,259,3742,0,4533,0,20168,4305379,4682961,23470474,0,0,10385,1395388,-1385003,457,2802478152,934159605,95078233,ACTIVE,true,0,0,0
13,29,145,false,trade_planning,65535,141,145,1845,1120,120,259,3742,0,4488,0,20209,4168007,4432409,23183907,0,0,10370,1395391,-1385021,457,2862022539,954007746,89383888,ACTIVE,true,0,0,0
14,30,150,false,trade_planning,65535,146,150,1845,1120,120,259,3742,0,4456,0,20234,4080430,4311775,22911906,0,0,10352,1395395,-1385043,457,2924143595,974714775,85999708,ACTIVE,true,0,0,0
15,31,155,false,trade_planning,65535,151,155,1845,1120,120,259,3742,0,4440,0,20244,3982770,4318313,22762918,0,0,10333,1395393,-1385060,457,2987251940,995750869,81621076,ACTIVE,true,0,0,0
16,32,160,false,trade_planning,65535,156,160,1845,1120,120,259,3742,0,4426,0,20224,3909218,4313687,22630354,0,0,10315,1395393,-1385078,457,3051621756,1017207484,78581370,ACTIVE,true,0,0,0
17,33,165,false,trade_planning,65535,161,165,1845,1120,120,259,3742,0,4410,0,20203,3835709,4299229,22477817,0,0,10296,1395393,-1385097,457,3117255342,1039085345,75147113,ACTIVE,true,0,0,0
18,34,170,false,trade_planning,65535,166,170,1845,1120,120,259,3742,0,4398,0,19822,3769903,4299220,22363002,0,0,10276,1395395,-1385119,457,3184591754,1061530791,72385537,ACTIVE,true,0,0,0
19,35,175,false,trade_planning,65535,171,175,1845,1120,120,259,3742,0,4389,0,19822,3719908,4304023,22287202,0,0,10259,1395393,-1385134,457,3252562709,1084187811,70217853,ACTIVE,true,0,0,0
20,36,180,false,trade_planning,65535,176,180,1845,1120,120,259,3742,0,4378,0,19827,3674981,4307338,22219976,0,0,10240,1395391,-1385151,457,3320152107,1106717597,68442345,ACTIVE,true,0,0,0
21,37,185,false,trade_planning,65535,181,185,1845,1120,120,259,3742,0,4367,0,19828,3626542,4304279,22134185,0,0,10223,1395392,-1385169,457,3387157701,1129052794,66271075,ACTIVE,true,0,0,0
22,38,190,false,trade_planning,65535,186,190,1845,1120,120,259,3742,0,4341,0,19834,3570871,4307964,22044959,0,0,10209,1393382,-1383173,457,3455223419,1151741353,63952888,ACTIVE,true,0,0,0
23,39,195,false,trade_planning,65535,191,195,1845,1120,120,259,3742,0,4298,0,19835,3500080,4318987,21941098,0,0,10196,1392091,-1381895,457,3522000893,1174000519,59241471,ACTIVE,true,0,0,0
24,40,200,false,trade_planning,65535,196,200,1845,1120,120,259,3742,0,4273,0,19828,3432684,4335334,21849311,0,0,10186,1390962,-1380776,457,3589194005,1196398216,55684970,ACTIVE,true,0,0,0
25,41,205,false,trade_planning,65535,201,205,1845,1120,120,259,3742,0,4238,0,19836,3352982,4324847,21649910,0,0,10179,1390547,-1380368,457,3656846458,1218949055,51574644,ACTIVE,true,0,0,0
26,42,210,false,trade_planning,65535,206,210,1845,1120,120,259,3742,0,4174,0,19825,3228222,4300866,21282629,0,0,10179,1390033,-1379854,457,3726854585,1242285091,45013254,ACTIVE,true,0,0,0
27,43,215,false,trade_planning,65535,211,215,1845,1120,120,259,3742,0,4144,0,19718,3199439,4299982,21204869,0,0,10174,1390032,-1379858,457,3800280381,1266760345,43050463,ACTIVE,true,0,0,0
28,44,220,false,trade_planning,65535,216,220,1845,1120,120,259,3742,0,4104,0,19399,3156422,4293251,21097800,0,0,10171,1390030,-1379859,457,3870904513,1290301717,40225676,ACTIVE,true,0,0,0
29,45,225,false,trade_planning,65535,221,225,1845,1120,120,259,3742,0,4077,0,19389,3108420,4434987,20954424,0,0,10165,1389772,-1379607,457,3942663234,1314221321,37264646,ACTIVE,true,0,0,0
30,46,230,false,trade_planning,65535,226,230,1845,1120,120,259,3742,0,4051,0,19378,3103002,4339665,20939781,0,0,8065,1390559,-1382494,453,4015199492,1338400063,36466935,ACTIVE,true,0,0,0
31,47,235,false,trade_planning,65535,231,235,1845,1120,120,259,3742,0,4043,0,19357,3099349,4437556,20937371,0,0,8064,1388273,-1380209,453,4086372883,1362124525,36069462,ACTIVE,true,0,0,0
32,48,240,false,trade_planning,65535,236,240,1845,1120,120,259,3742,0,4005,0,19350,3077896,4342093,20925435,0,0,8064,1385770,-1377706,453,4155591180,1385197281,34748598,ACTIVE,true,0,0,0
33,49,245,false,trade_planning,65535,241,245,1845,1120,120,259,3742,0,3981,0,19348,3052152,4287560,20879861,0,0,8064,1384018,-1375954,453,4222276905,1407425867,33279462,ACTIVE,true,0,0,0
