epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,is_construction,group_index,type_id,owner_signature_id,count,filled_owner,employee_required,employee_filled,wage_suspended,capacity_q16,purchase_intent_capacity_q16,realized_profit_margin_q16,severe_loss_cycles,recovery_cycles,operating_state,last_input,last_output,last_sold,last_discarded,last_retained,last_resource,last_resource_generated,last_revenue,last_input_cost,last_wages_paid,last_wages_due,last_expected_revenue,last_operating_cost,last_margin_gap_q16,planned_utilization_q16,last_base_wages_due,last_base_wages_paid,last_bonus_due,last_bonus_paid,construction_ready_days
1,21,105,643,-5,16,-11,0,0,65,9,24,1,0,0,0,2048,2048,0,0,0,0,0,14726,14726,0,0,735,0,1178,0,0,0,5580,0,65536,2048,0,0,0,0,
1,21,105,643,-5,16,-11,0,1,90,2,1,1,0,0,0,2048,2048,1199,0,0,0,156,461,461,0,0,0,0,245,62,0,0,1168,62,45986,2048,0,0,0,0,
1,21,105,643,-5,16,-11,0,2,202,20,8,1,0,0,0,2048,2048,0,0,0,0,0,125,125,0,0,62,0,100000,0,0,0,100000,0,65536,2048,0,0,0,0,
1,21,105,643,-5,16,-11,0,3,237,12,24,3,0,0,0,8192,8192,65536,0,0,0,150,64800,17420,0,47380,10725,0,10441,399,0,0,380876,399,65536,10922,0,0,0,0,
1,21,105,643,-5,16,-11,0,4,238,9,1,1,0,0,0,2048,2048,131,0,0,0,31,282,282,0,0,28,0,102,82,0,0,488,82,16652,2048,0,0,0,0,
1,21,105,643,-5,16,-11,0,5,241,20,1,1,0,0,0,2048,2048,0,0,0,0,0,312,312,0,0,78,0,3120,0,0,0,3125,0,65536,2048,0,0,0,0,
2,22,110,643,-5,16,-11,0,0,65,9,24,1,0,0,0,2048,2048,0,0,0,0,0,14726,14726,0,0,735,0,1178,0,0,0,5580,0,65536,2048,0,0,0,0,
2,22,110,643,-5,16,-11,0,1,90,2,1,1,0,0,0,2048,2048,1074,0,0,0,156,461,461,0,0,0,0,226,62,0,0,1078,62,42224,2048,0,0,0,0,
2,22,110,643,-5,16,-11,0,2,202,20,8,1,0,0,0,2048,2048,0,0,0,0,0,125,125,0,0,62,0,100000,0,0,0,100000,0,65536,2048,0,0,0,0,
2,22,110,643,-5,16,-11,0,3,237,12,24,3,0,0,0,8192,8192,65536,0,0,0,150,64800,17420,0,47380,10725,0,12463,369,0,0,387976,369,65536,10922,0,0,0,0,
2,22,110,643,-5,16,-11,0,4,238,9,1,1,0,0,0,2048,2048,117,0,0,0,31,282,282,0,0,28,0,94,76,0,0,449,76,15302,2048,0,0,0,0,
2,22,110,643,-5,16,-11,0,5,241,20,1,1,0,0,0,2048,2048,0,0,0,0,0,312,312,0,0,78,0,3120,0,0,0,3125,0,65536,2048,0,0,0,0,
