epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,cohort_index,handle,signature_id,profession_id,ethnicity_id,population,funds,epoch_income,epoch_expense,income_ema,satisfaction_q16,worst_need_id,is_merchant,owner_employed,employee_employed,unemployed
1,1,5,501,15,12,-27,0,8589953728,9,9,0,73,26962813,1694990,1225517,58683,65535,10,0,73,0,0
1,1,5,501,15,12,-27,1,8589953729,2,2,0,26,9566803,896072,765252,16352,65535,10,0,26,0,0
1,1,5,501,15,12,-27,2,8589953730,8,8,0,24,9550703,1338875,498311,105070,65535,10,0,24,0,0
1,1,5,501,15,12,-27,3,8589953731,12,12,0,24,8079018,0,631121,-78890,65535,10,0,24,0,0
1,1,5,501,15,12,-27,4,4294986436,20,20,0,72,67545744,15352449,4765476,1323371,65535,10,1,24,0,48
2,2,10,501,15,12,-27,0,8589953728,9,9,0,61,23678822,2305364,1099232,168940,65535,10,0,61,0,0
2,2,10,501,15,12,-27,1,8589953729,2,2,0,14,5145738,396231,401849,2600,65535,10,0,14,0,0
2,2,10,501,15,12,-27,2,8589953730,8,8,0,24,12231364,3167231,486570,374483,65535,10,0,24,0,0
2,2,10,501,15,12,-27,3,8589953731,12,12,0,24,7496487,0,582531,-102399,65535,10,0,24,0,0
2,2,10,501,15,12,-27,4,4294986436,20,20,0,96,77535011,9804155,8525026,662816,65535,10,1,48,0,48
3,3,15,501,15,12,-27,0,8589953728,9,9,0,67,27134750,2737358,1449609,224738,65535,10,0,67,0,0
3,3,15,501,15,12,-27,1,8589953729,2,2,0,8,2985799,283259,237882,6228,65535,10,0,8,0,0
3,3,15,501,15,12,-27,2,8589953730,8,8,0,24,12637933,905963,499394,191251,65535,10,0,24,0,0
3,3,15,501,15,12,-27,3,8589953731,12,12,0,24,10510500,3542278,528265,338352,65535,10,0,24,0,0
3,3,15,501,15,12,-27,4,4294986436,20,20,0,96,76158968,6483021,7859064,76551,65535,10,1,48,0,48
4,4,20,501,15,12,-27,0,8589953728,9,9,0,63,27031328,3332610,1604861,310690,65535,10,0,63,0,0
4,4,20,501,15,12,-27,1,8589953729,2,2,0,5,1945762,254204,174567,11413,65535,16,0,5,0,0
4,4,20,501,15,12,-27,2,8589953730,8,8,0,15,7973564,436931,362076,54180,65535,16,0,15,0,0
4,4,20,501,15,12,-27,3,8589953731,12,12,0,3,1447023,211007,77797,32511,65535,16,0,3,0,0
4,4,20,501,15,12,-27,4,4294986436,20,20,0,96,76803200,6801363,6157131,109234,65535,10,1,48,0,48
4,4,20,501,15,12,-27,5,17179888325,31,31,0,37,15910226,3359320,1317686,383549,65535,-1,0,0,0,37
5,5,25,501,15,12,-27,0,8589953728,9,9,0,57,26255664,3710826,1912078,330255,65535,10,0,57,0,0
5,5,25,501,15,12,-27,1,8589953729,2,2,0,3,1278941,264924,153441,16503,65535,16,0,3,0,0
5,5,25,501,15,12,-27,2,8589953730,8,8,0,9,4712161,230109,302087,3194,65535,16,0,9,0,0
5,5,25,501,15,12,-27,3,8589953731,12,12,0,3,1523791,184271,107503,21786,65535,16,0,3,0,0
5,5,25,501,15,12,-27,4,4294986436,20,20,0,96,76970344,8800698,8633554,61854,65535,10,1,48,0,48
5,5,25,501,15,12,-27,5,17179888325,31,31,0,51,21763301,593844,1056565,106925,65535,-1,0,0,0,51
6,6,30,501,15,12,-27,0,8589953728,9,9,0,53,26911635,4527976,2029503,427463,65535,10,0,53,0,0
6,6,30,501,15,12,-27,1,8589953729,2,2,0,3,1424182,302158,156917,24343,65535,16,0,3,0,0
6,6,30,501,15,12,-27,2,8589953730,8,8,0,6,3066891,135387,209937,-8520,65535,16,0,6,0,0
6,6,30,501,15,12,-27,3,8589953731,12,12,0,3,1574082,164820,114529,14455,65535,16,0,3,0,0
6,6,30,501,15,12,-27,4,4294986436,20,20,0,96,76417653,9250715,9803406,-45891,65535,10,1,48,0,48
6,6,30,501,15,12,-27,5,17179888325,31,31,0,58,24394465,337111,1016933,-35791,65535,-1,0,0,0,58
7,7,35,501,15,12,-27,0,8589953728,9,9,0,51,27278314,3509827,2127615,327025,65535,10,0,51,0,0
7,7,35,501,15,12,-27,1,8589953729,2,2,0,3,1606849,347769,165102,31961,65535,16,0,3,0,0
7,7,35,501,15,12,-27,2,8589953730,8,8,0,5,2480380,103303,178666,-12082,65535,16,0,5,0,0
7,7,35,501,15,12,-27,3,8589953731,12,12,0,3,1695053,242004,121033,20541,65535,16,0,3,0,0
7,7,35,501,15,12,-27,4,4294986436,20,20,0,96,77233830,9580329,8764152,84812,65535,10,1,48,0,48
7,7,35,501,15,12,-27,5,17179888325,31,31,0,61,25107751,193431,924969,-99346,65535,-1,0,0,0,61
8,8,40,501,15,12,-27,0,8589953728,9,9,0,50,26783484,2195649,2155611,125233,65535,10,0,50,0,0
8,8,40,501,15,12,-27,1,8589953729,2,2,0,2,1356010,399405,114628,43586,65535,16,0,2,0,0
8,8,40,501,15,12,-27,2,8589953730,8,8,0,14,6134215,433987,507329,-18105,65535,16,0,14,0,0
8,8,40,501,15,12,-27,3,8589953731,12,12,0,3,2097169,530157,128041,57966,65535,16,0,3,0,0
8,8,40,501,15,12,-27,4,4294986436,20,20,0,96,79305648,9816583,7744765,290780,65535,10,1,48,0,48
8,8,40,501,15,12,-27,5,17179888325,31,31,0,54,21731941,158352,789477,-105337,65535,-1,0,0,0,54
9,9,45,501,15,12,-27,0,8589953728,9,9,0,44,23754225,2120409,1935650,64421,65535,10,0,44,0,0
9,9,45,501,15,12,-27,1,8589953729,2,2,0,2,1698965,456833,113878,59213,65535,16,0,2,0,0
9,9,45,501,15,12,-27,2,8589953730,8,8,0,19,8258943,705735,659436,-3825,65535,16,0,19,0,0
9,9,45,501,15,12,-27,3,8589953731,12,12,0,3,2521849,559478,134798,74822,65535,16,0,3,0,0
9,9,45,501,15,12,-27,4,4294986436,20,20,0,96,81049155,9512851,7769344,326980,65535,10,1,48,0,48
9,9,45,501,15,12,-27,5,17179888325,31,31,0,55,22164007,241521,940240,-118383,65535,-1,0,0,0,55
10,10,50,501,15,12,-27,0,8589953728,9,9,0,39,21397210,2206409,1864081,64202,65535,10,0,39,0,0
10,10,50,501,15,12,-27,1,8589953729,2,2,0,2,2100734,519975,118206,72424,65535,16,0,2,0,0
10,10,50,501,15,12,-27,2,8589953730,8,8,0,21,9348809,1009016,747229,29901,65535,16,0,21,0,0
10,10,50,501,15,12,-27,3,8589953731,12,12,0,24,12923300,2777482,1070855,226809,65535,16,0,24,0,0
10,10,50,501,15,12,-27,4,4294986436,20,20,0,96,81635884,10305582,9718853,195957,65535,10,1,48,0,48
10,10,50,501,15,12,-27,5,17179888325,31,31,0,37,14869913,148590,598129,-81874,65535,-1,0,0,0,37
11,11,55,501,15,12,-27,0,8589953728,9,9,0,36,20312686,2407452,1846037,92400,65535,10,0,36,0,0
11,11,55,501,15,12,-27,1,8589953729,2,2,0,2,2357475,383470,126729,59251,65535,10,0,2,0,0
11,11,55,501,15,12,-27,2,8589953730,8,8,0,21,8972160,421705,798354,-35868,65535,10,0,21,0,0
11,11,55,501,15,12,-27,3,8589953731,12,12,0,3,1634304,153289,134398,12993,65535,10,0,3,0,0
11,11,55,501,15,12,-27,4,4294986436,20,20,0,96,83908992,10177030,7903922,357621,65535,10,1,48,0,48
11,11,55,501,15,12,-27,5,17179888325,31,31,0,61,27069876,2600019,1834251,141290,65535,-1,0,0,0,61
12,12,60,501,15,12,-27,0,8589953728,9,9,0,33,19374728,2427738,1672973,126107,65535,10,0,33,0,0
12,12,60,501,15,12,-27,1,8589953729,2,2,0,2,2302552,75118,130041,15354,65535,10,0,2,0,0
12,12,60,501,15,12,-27,2,8589953730,8,8,0,18,7320869,339368,708922,-57722,65535,10,0,18,0,0
12,12,60,501,15,12,-27,3,8589953731,12,12,0,3,1632101,137194,139397,4597,65535,10,0,3,0,0
12,12,60,501,15,12,-27,4,4294986436,20,20,0,96,86137223,10311877,8083646,412635,65535,10,1,48,0,48
12,12,60,501,15,12,-27,5,17179888325,31,31,0,67,29229943,260864,1082279,-48727,65535,-1,0,0,0,67
13,13,65,501,15,12,-27,0,8589953728,9,9,0,32,19630418,2447810,1605008,151207,65535,10,0,32,0,0
13,13,65,501,15,12,-27,1,8589953729,2,2,0,2,2205483,33020,130089,-6376,65535,10,0,2,0,0
13,13,65,501,15,12,-27,2,8589953730,8,8,0,17,6551367,305716,668504,-65791,65535,10,0,17,0,0
13,13,65,501,15,12,-27,3,8589953731,12,12,0,3,1672487,181518,141132,6771,65535,10,0,3,0,0
13,13,65,501,15,12,-27,4,4294986436,20,20,0,96,88108872,10366811,8395162,401193,65535,10,1,48,0,48
13,13,65,501,15,12,-27,5,17179888325,31,31,0,69,29396507,92420,917342,-121157,65535,-1,0,0,0,69
14,14,70,501,15,12,-27,0,8589953728,9,9,0,32,20569997,2520788,1581209,174148,65535,10,0,32,0,0
14,14,70,501,15,12,-27,1,8589953729,2,2,0,2,2093286,15513,127710,-16415,65535,10,0,2,0,0
14,14,70,501,15,12,-27,2,8589953730,8,8,0,20,7521652,469405,813095,-69607,65535,10,0,20,0,0
14,14,70,501,15,12,-27,3,8589953731,12,12,0,3,2038159,510445,144773,48247,65535,10,0,3,0,0
14,14,70,501,15,12,-27,4,4294986436,20,20,0,96,89446540,10378530,9040862,317655,65535,10,1,48,0,48
14,14,70,501,15,12,-27,5,17179888325,31,31,0,66,27335573,0,782825,-141311,65535,-1,0,0,0,66
15,15,75,501,15,12,-27,0,8589953728,9,9,0,40,25298110,3281873,1962050,223859,65535,10,0,40,0,0
15,15,75,501,15,12,-27,1,8589953729,2,2,0,2,2011354,36134,118066,-16396,65535,16,0,2,0,0
15,15,75,501,15,12,-27,2,8589953730,8,8,0,22,8215007,636787,795503,-47547,65535,16,0,22,0,0
15,15,75,501,15,12,-27,3,8589953731,12,12,0,3,2494690,603845,147314,75158,65535,16,0,3,0,0
15,15,75,501,15,12,-27,4,4294986436,20,20,0,96,89775784,10121583,9792339,160275,65535,10,1,48,0,48
15,15,75,501,15,12,-27,5,17179888325,31,31,0,56,22534105,0,659716,-127426,65535,-1,0,0,0,56
16,16,80,501,15,12,-27,0,8589953728,9,9,0,44,27778233,2519325,1695902,183461,65535,10,0,44,0,0
16,16,80,501,15,12,-27,1,8589953729,2,2,0,2,2338310,444404,117448,34721,65535,16,0,2,0,0
16,16,80,501,15,12,-27,2,8589953730,8,8,0,23,9313548,1475996,791629,66862,65535,16,0,23,0,0
16,16,80,501,15,12,-27,3,8589953731,12,12,0,24,12788621,2835523,1239274,209795,65535,16,0,24,0,0
16,16,80,501,15,12,-27,4,4294986436,20,20,0,96,88118497,10137546,11794833,-147057,65535,10,1,48,0,48
16,16,80,501,15,12,-27,5,17179888325,31,31,0,30,11719647,0,352197,-69623,65535,-1,0,0,0,30
17,17,85,501,15,12,-27,0,8589953728,9,9,0,46,31190929,5019238,2450188,391604,65535,10,0,46,0,0
17,17,85,501,15,12,-27,1,8589953729,2,2,0,2,2693152,483770,128928,57375,65535,16,0,2,0,0
17,17,85,501,15,12,-27,2,8589953730,8,8,0,23,9793956,1348013,867605,85123,65535,16,0,23,0,0
17,17,85,501,15,12,-27,3,8589953731,12,12,0,3,1604086,140499,134991,10522,65535,16,0,3,0,0
17,17,85,501,15,12,-27,4,4294986436,20,20,0,96,86403029,10849543,12565011,-269579,65535,10,1,48,0,48
17,17,85,501,15,12,-27,5,17179888325,31,31,0,49,21429499,2383785,1623612,136075,65535,-1,0,0,0,49
18,18,90,501,15,12,-27,0,8589953728,9,9,0,47,34172006,5145105,2585850,467798,65535,10,0,47,0,0
18,18,90,501,15,12,-27,1,8589953729,2,2,0,2,3095938,535077,132291,71863,65535,16,0,2,0,0
18,18,90,501,15,12,-27,2,8589953730,8,8,0,23,9958727,1044040,879269,52517,65535,16,0,23,0,0
18,18,90,501,15,12,-27,3,8589953731,12,12,0,3,1597955,130257,136388,3179,65535,16,0,3,0,0
18,18,90,501,15,12,-27,4,4294986436,20,20,0,96,84996345,11060151,12466835,-276927,65535,10,1,48,0,48
18,18,90,501,15,12,-27,5,17179888325,31,31,0,48,20418993,0,573170,-21660,65535,-1,0,0,0,48
19,19,95,501,15,12,-27,0,8589953728,9,9,0,48,36608010,4694096,2695428,425088,65535,10,0,48,0,0
19,19,95,501,15,12,-27,1,8589953729,2,2,0,2,3559798,596879,133019,84930,65535,16,0,2,0,0
19,19,95,501,15,12,-27,2,8589953730,8,8,0,23,10148293,1075217,885651,43388,65535,16,0,23,0,0
19,19,95,501,15,12,-27,3,8589953731,12,12,0,3,2030911,576236,143280,55311,65535,16,0,3,0,0
19,19,95,501,15,12,-27,4,4294986436,20,20,0,96,83588323,11199579,12607601,-279849,65535,10,1,48,0,48
19,19,95,501,15,12,-27,5,17179888325,31,31,0,47,19427298,0,566300,-78740,65535,-1,0,0,0,47
20,20,100,501,15,12,-27,0,8589953728,9,9,0,48,38191750,4311123,2727383,357375,65535,10,0,48,0,0
20,20,100,501,15,12,-27,1,8589953729,2,2,0,2,4099639,669870,130029,99328,65535,16,0,2,0,0
20,20,100,501,15,12,-27,2,8589953730,8,8,0,23,10382256,1098658,864695,45515,65535,16,0,23,0,0
20,20,100,501,15,12,-27,3,8589953731,12,12,0,3,2481295,600583,150199,77038,65535,16,0,3,0,0
20,20,100,501,15,12,-27,4,4294986436,20,20,0,96,82582803,11082295,12087815,-230633,65535,10,1,48,0,48
20,20,100,501,15,12,-27,5,17179888325,31,31,0,47,18854346,0,572952,-101145,65535,-1,0,0,0,47
21,21,105,501,15,12,-27,0,8589953728,9,9,0,48,39351151,3912332,2752931,278940,65535,10,0,48,0,0
21,21,105,501,15,12,-27,1,8589953729,2,2,0,2,4725260,755550,129929,115450,65535,16,0,2,0,0
21,21,105,501,15,12,-27,2,8589953730,8,8,0,23,10934301,1422248,870203,86073,65535,16,0,23,0,0
21,21,105,501,15,12,-27,3,8589953731,12,12,0,24,12789808,2979228,1350996,215470,65535,16,0,24,0,0
21,21,105,501,15,12,-27,4,4294986436,20,20,0,96,80551567,11746984,13778220,-340391,65535,10,1,48,0,48
21,21,105,501,15,12,-27,5,17179888325,31,31,0,26,10108788,0,321276,-61141,65535,-1,0,0,0,26
22,22,110,501,15,12,-27,0,8589953728,9,9,0,48,40519989,4153577,2984739,250706,65535,10,0,48,0,0
22,22,110,501,15,12,-27,1,8589953729,2,2,0,2,5445634,854088,133714,133339,65535,16,0,2,0,0
22,22,110,501,15,12,-27,2,8589953730,8,8,0,23,11601035,1580596,913862,115618,65535,16,0,23,0,0
22,22,110,501,15,12,-27,3,8589953731,12,12,0,3,1591051,133626,141301,9141,65535,16,0,3,0,0
22,22,110,501,15,12,-27,4,4294986436,20,20,0,96,79898476,11503277,12156368,-209282,65535,10,1,48,0,48
22,22,110,501,15,12,-27,5,17179888325,31,31,0,47,20703756,2606824,1778235,151346,65535,-1,0,0,0,47
23,23,115,501,15,12,-27,0,8589953728,9,9,0,48,41153540,3764279,3130728,173207,65535,10,0,48,0,0
23,23,115,501,15,12,-27,1,8589953729,2,2,0,2,6278218,968413,135829,154074,65535,16,0,2,0,0
23,23,115,501,15,12,-27,2,8589953730,8,8,0,23,11930936,1261041,931140,84593,65535,16,0,23,0,0
23,23,115,501,15,12,-27,3,8589953731,12,12,0,3,1581127,133594,143518,2187,65535,16,0,3,0,0
